,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,,,,,1,1
top,BISSE,,,,,,,,,,,,,,BISSE,phyloNa
freq,100,,,,,,,,,,,,,,100,100
mean,,0.1714544216730098,0.18696628967122442,0.18309092895499493,0.19982493350774164,0.20522931644570647,0.2252748669539941,0.19681124227099014,0.19475314380047454,0.199939853548983,0.19938497445513226,0.24750774696501737,0.18905106611447484,0.18562230362157842,,
std,,0.10080924288521516,0.12431630722419257,0.11349751935115386,0.1298738855676936,0.12561243975157138,0.15543638239833332,0.10653008853833609,0.10425551257498313,0.1366566314805077,0.13302960026285285,0.17977069381536143,0.1142047780924009,0.11925237564256837,,
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
25%,,0.0985991178113704,0.09999873761744149,0.09911111111111112,0.10953767197952557,0.11780910450121873,0.10537074301334166,0.1003600511742072,0.1127571136940089,0.09115677519564531,0.09729108323324846,0.11383253576482318,0.09632691961242407,0.09593553204651187,,
50%,,0.18398286945535772,0.1983758586128106,0.18507698219749036,0.21071262020538845,0.21315589754544287,0.24274466181166393,0.21452574027516946,0.21167223686104142,0.21297761248510025,0.21058294973431363,0.22342849898125494,0.1980042610342875,0.19878733463581033,,
75%,,0.23124983382260006,0.2522051596186295,0.255679012345679,0.25119571175007116,0.26598541275986876,0.2950462825156327,0.26749944619289884,0.26407916807897935,0.2732739849115375,0.2804817237206877,0.3621778917179837,0.2567050789150073,0.2526581492311797,,
max,,0.47058692074445824,0.6160182020955981,0.5293106164005927,0.8418399119768856,0.8580218796067026,0.990733065655904,0.4375845408371769,0.42590810785810057,0.674033227933988,0.80545826785843,0.8207077367178446,0.5141566738412096,0.58894378417281,,
