"","t1","t16","t29","t112","t113","t68","t69","t62","t47","t24","t132","t133","t116","t100","t59","t60","t117","t118","t88","t20","t6","t7","t4","t5","t11","t30","t63","t64","t23","t27","t83","t84","t44","t73","t74","t19","t72","t105","t106","t22","t28","t146","t147","t145","t142","t40","t124","t125","t42","t50","t51","t34","t21","t10","t14","t52","t136","t137","t65","t110","t111","t138","t139","t89","t38","t39","t3","t66","t76","t77","t70","t57","t58","t49","t17","t18","t93","t94","t85","t148","t149","t78","t67","t91","t92","t43","t55","t101","t102","t54","t31","t103","t104","t41","t45","t46","t126","t127","t90","t71","t152","t153","t81","t82","t33","t36","t37","t61","t95","t143","t144","t121","t15","t12","t8","t9","t134","t135","t2","t86","t87","t128","t129","t75","t114","t115","t56","t35","t13","t32","t140","t141","t122","t123","t53","t25","t26","t79","t80","t96","t97","t130","t131","t150","t151","t107","t108","t109","t119","t120","t98","t99","t48"
"t1",0,4.9447404894,7.32852104741,7.32852104753,7.32852104753,7.32852104763,7.32852104763,7.32852104753,7.32852104721,7.32852104721,7.32852104753,7.32852104753,7.32852104743,7.32852104751,7.28164286021,7.02590545371,7.32852104711,7.32852104711,6.87739026671,7.3285210471,3.6969341546,6.3053612638,3.9104364028,3.7539137611,5.143137814074,5.861871531674,6.902541391174,7.328521048174,7.328521048074,6.204940349074,7.328521048274,7.328521048274,6.805024754374,7.328521047574,7.328521047574,5.482453298774,7.328521047374,7.328521047374,7.328521047374,5.332799114744,7.328521047444,7.328521047677,7.328521047677,7.328521047684,7.328521047674,6.094164955534,7.328521047564,7.328521047564,7.328521047864,7.328521047764,6.626528467464,6.263414376964,6.760555232064,4.2822980194,5.2339163278,7.3285210482,7.328521048,7.328521048,7.328521048,7.3285210481,7.06192818556,7.328521048,7.328521048,7.328521048,6.5136340103,7.3285210481,3.3593028399,6.59888575877,6.96802721875,7.32852104745,6.9791702952,7.32852104738,7.32852104738,6.31024502003,5.2618336201,5.43148643,7.23469666925,7.32852104795,7.3285210479,7.32852104774,7.32852104774,6.84867283403,7.32852104773,7.32852104793,7.32852104793,7.32852104813,7.328521047965,7.328521047965,7.328521047965,7.32852104796,7.32852104796,7.30179063286,7.32852104736,7.32852104756,6.24348393899,7.32852104816,7.3285210478,7.3285210478,7.3285210478,7.3285210479,7.32852104786,7.32852104786,7.3285210478,7.3285210478,6.5535861537,6.4053731797,7.3285210482,6.6075856171,7.3285210482,7.32852104827,7.32852104827,7.3285210482,4.5557050932,4.1594429121,4.55592817721,3.60544345462,7.20010191303,7.32852104751,3.3855508661,7.1278877809,7.3285210471,7.3285210471,7.3285210471,7.3285210472,7.3285210471,7.3285210471,7.3285210472,6.0988232289,5.373915796341,6.232293261541,7.328521048081,7.328521048081,7.328521048141,7.328521048141,7.328521048041,6.589521348241,7.328521047241,7.328521047241,7.254537470661,7.328521047261,7.328521047261,7.3285210477,7.3285210477,7.32852104767,7.32852104767,7.3285210477,7.3285210477,7.3285210477,7.32852104771,7.32852104771,7.2879493855,7.2224979731,6.951386575
"t16",4.9447404894,0,3.53571517461,3.53571517473,3.53571517473,3.53571517483,3.53571517483,3.53571517473,3.53571517441,3.53571517441,3.53571517473,3.53571517473,3.53571517463,3.53571517471,3.48883698741,3.23309958091,3.53571517431,3.53571517431,3.08458439391,3.5357151743,4.9141871378,7.522614247,5.127689386,4.9711667443,8.381226393274,9.099960110874,10.140629970374,10.566609627374,10.566609627274,9.443028928274,10.566609627474,10.566609627474,10.043113333574,10.566609626774,10.566609626774,8.720541877974,10.566609626574,10.566609626574,10.566609626574,8.570887693944,10.566609626644,10.566609626877,10.566609626877,10.566609626884,10.566609626874,9.332253534734,10.566609626764,10.566609626764,10.566609627064,10.566609626964,9.864617046664,9.501502956164,9.998643811264,7.5203865986,8.472004907,10.5666096274,10.5666096272,10.5666096272,10.5666096272,10.5666096273,10.30001676476,10.5666096272,10.5666096272,10.5666096272,9.7517225895,10.5666096273,6.5973914191,9.83697433797,10.20611579795,10.56660962665,10.2172588744,10.56660962658,10.56660962658,9.54833359923,8.4999221993,8.6695750092,10.47278524845,10.56660962715,10.5666096271,10.56660962694,10.56660962694,10.08676141323,10.56660962693,10.56660962713,10.56660962713,10.56660962733,10.566609627165,10.566609627165,10.566609627165,10.56660962716,10.56660962716,10.53987921206,10.56660962656,10.56660962676,9.48157251819,10.56660962736,10.566609627,10.566609627,10.566609627,10.5666096271,10.56660962706,10.56660962706,10.566609627,10.566609627,9.7916747329,9.6434617589,10.5666096274,9.8456741963,10.5666096274,10.56660962747,10.56660962747,10.5666096274,7.7937936724,7.3975314913,7.79401675641,6.84353203382,10.43819049223,10.56660962671,6.6236394453,10.3659763601,10.5666096263,10.5666096263,10.5666096263,10.5666096264,10.5666096263,10.5666096263,10.5666096264,9.3369118081,8.612004375541,9.470381840741,10.566609627281,10.566609627281,10.566609627341,10.566609627341,10.566609627241,9.827609927441,10.566609626441,10.566609626441,10.492626049861,10.566609626461,10.566609626461,10.5666096269,10.5666096269,10.56660962687,10.56660962687,10.5666096269,10.5666096269,10.5666096269,10.56660962691,10.56660962691,10.5260379647,10.4605865523,10.1894751542
"t29",7.32852104741,3.53571517461,0,3.26615884212,3.26615884212,3.26615884222,3.26615884222,3.26615884212,3.2661588418,4.1541167622,4.90920172212,4.90920172212,4.90920172202,4.9092017221,4.8623235348,4.6065861283,4.9092017217,4.9092017217,4.4580709413,5.00207552031,7.29796769581,9.90639480501,7.51146994401,7.35494730231,10.765006951284,11.483740668884,12.524410528384,12.950390185384,12.950390185284,11.826809486284,12.950390185484,12.950390185484,12.426893891584,12.950390184784,12.950390184784,11.104322435984,12.950390184584,12.950390184584,12.950390184584,10.954668251954,12.950390184654,12.950390184887,12.950390184887,12.950390184894,12.950390184884,11.716034092744,12.950390184774,12.950390184774,12.950390185074,12.950390184974,12.248397604674,11.885283514174,12.382424369274,9.90416715661,10.85578546501,12.95039018541,12.95039018521,12.95039018521,12.95039018521,12.95039018531,12.68379732277,12.95039018521,12.95039018521,12.95039018521,12.13550314751,12.95039018531,8.98117197711,12.22075489598,12.58989635596,12.95039018466,12.60103943241,12.95039018459,12.95039018459,11.93211415724,10.88370275731,11.05335556721,12.85656580646,12.95039018516,12.95039018511,12.95039018495,12.95039018495,12.47054197124,12.95039018494,12.95039018514,12.95039018514,12.95039018534,12.950390185175,12.950390185175,12.950390185175,12.95039018517,12.95039018517,12.92365977007,12.95039018457,12.95039018477,11.8653530762,12.95039018537,12.95039018501,12.95039018501,12.95039018501,12.95039018511,12.95039018507,12.95039018507,12.95039018501,12.95039018501,12.17545529091,12.02724231691,12.95039018541,12.22945475431,12.95039018541,12.95039018548,12.95039018548,12.95039018541,10.17757423041,9.78131204931,10.17779731442,9.22731259183,12.82197105024,12.95039018472,9.00742000331,12.74975691811,12.95039018431,12.95039018431,12.95039018431,12.95039018441,12.95039018431,12.95039018431,12.95039018441,11.72069236611,10.995784933551,11.854162398751,12.950390185291,12.950390185291,12.950390185351,12.950390185351,12.950390185251,12.211390485451,12.950390184451,12.950390184451,12.876406607871,12.950390184471,12.950390184471,12.95039018491,12.95039018491,12.95039018488,12.95039018488,12.95039018491,12.95039018491,12.95039018491,12.95039018492,12.95039018492,12.90981852271,12.84436711031,12.57325571221
"t112",7.32852104753,3.53571517473,3.26615884212,0,0.5434467038,2.0034232703,2.0034232703,2.0034232702,2.17504660632,4.15411676232,4.90920172224,4.90920172224,4.90920172214,4.90920172222,4.86232353492,4.60658612842,4.90920172182,4.90920172182,4.45807094142,5.00207552043,7.29796769593,9.90639480513,7.51146994413,7.35494730243,10.765006951404,11.483740669004,12.524410528504,12.950390185504,12.950390185404,11.826809486404,12.950390185604,12.950390185604,12.426893891704,12.950390184904,12.950390184904,11.104322436104,12.950390184704,12.950390184704,12.950390184704,10.954668252074,12.950390184774,12.950390185007,12.950390185007,12.950390185014,12.950390185004,11.716034092864,12.950390184894,12.950390184894,12.950390185194,12.950390185094,12.248397604794,11.885283514294,12.382424369394,9.90416715673,10.85578546513,12.95039018553,12.95039018533,12.95039018533,12.95039018533,12.95039018543,12.68379732289,12.95039018533,12.95039018533,12.95039018533,12.13550314763,12.95039018543,8.98117197723,12.2207548961,12.58989635608,12.95039018478,12.60103943253,12.95039018471,12.95039018471,11.93211415736,10.88370275743,11.05335556733,12.85656580658,12.95039018528,12.95039018523,12.95039018507,12.95039018507,12.47054197136,12.95039018506,12.95039018526,12.95039018526,12.95039018546,12.950390185295,12.950390185295,12.950390185295,12.95039018529,12.95039018529,12.92365977019,12.95039018469,12.95039018489,11.86535307632,12.95039018549,12.95039018513,12.95039018513,12.95039018513,12.95039018523,12.95039018519,12.95039018519,12.95039018513,12.95039018513,12.17545529103,12.02724231703,12.95039018553,12.22945475443,12.95039018553,12.9503901856,12.9503901856,12.95039018553,10.17757423053,9.78131204943,10.17779731454,9.22731259195,12.82197105036,12.95039018484,9.00742000343,12.74975691823,12.95039018443,12.95039018443,12.95039018443,12.95039018453,12.95039018443,12.95039018443,12.95039018453,11.72069236623,10.995784933671,11.854162398871,12.950390185411,12.950390185411,12.950390185471,12.950390185471,12.950390185371,12.211390485571,12.950390184571,12.950390184571,12.876406607991,12.950390184591,12.950390184591,12.95039018503,12.95039018503,12.950390185,12.950390185,12.95039018503,12.95039018503,12.95039018503,12.95039018504,12.95039018504,12.90981852283,12.84436711043,12.57325571233
"t113",7.32852104753,3.53571517473,3.26615884212,0.5434467038,0,2.0034232703,2.0034232703,2.0034232702,2.17504660632,4.15411676232,4.90920172224,4.90920172224,4.90920172214,4.90920172222,4.86232353492,4.60658612842,4.90920172182,4.90920172182,4.45807094142,5.00207552043,7.29796769593,9.90639480513,7.51146994413,7.35494730243,10.765006951404,11.483740669004,12.524410528504,12.950390185504,12.950390185404,11.826809486404,12.950390185604,12.950390185604,12.426893891704,12.950390184904,12.950390184904,11.104322436104,12.950390184704,12.950390184704,12.950390184704,10.954668252074,12.950390184774,12.950390185007,12.950390185007,12.950390185014,12.950390185004,11.716034092864,12.950390184894,12.950390184894,12.950390185194,12.950390185094,12.248397604794,11.885283514294,12.382424369394,9.90416715673,10.85578546513,12.95039018553,12.95039018533,12.95039018533,12.95039018533,12.95039018543,12.68379732289,12.95039018533,12.95039018533,12.95039018533,12.13550314763,12.95039018543,8.98117197723,12.2207548961,12.58989635608,12.95039018478,12.60103943253,12.95039018471,12.95039018471,11.93211415736,10.88370275743,11.05335556733,12.85656580658,12.95039018528,12.95039018523,12.95039018507,12.95039018507,12.47054197136,12.95039018506,12.95039018526,12.95039018526,12.95039018546,12.950390185295,12.950390185295,12.950390185295,12.95039018529,12.95039018529,12.92365977019,12.95039018469,12.95039018489,11.86535307632,12.95039018549,12.95039018513,12.95039018513,12.95039018513,12.95039018523,12.95039018519,12.95039018519,12.95039018513,12.95039018513,12.17545529103,12.02724231703,12.95039018553,12.22945475443,12.95039018553,12.9503901856,12.9503901856,12.95039018553,10.17757423053,9.78131204943,10.17779731454,9.22731259195,12.82197105036,12.95039018484,9.00742000343,12.74975691823,12.95039018443,12.95039018443,12.95039018443,12.95039018453,12.95039018443,12.95039018443,12.95039018453,11.72069236623,10.995784933671,11.854162398871,12.950390185411,12.950390185411,12.950390185471,12.950390185471,12.950390185371,12.211390485571,12.950390184571,12.950390184571,12.876406607991,12.950390184591,12.950390184591,12.95039018503,12.95039018503,12.950390185,12.950390185,12.95039018503,12.95039018503,12.95039018503,12.95039018504,12.95039018504,12.90981852283,12.84436711043,12.57325571233
"t68",7.32852104763,3.53571517483,3.26615884222,2.0034232703,2.0034232703,0,1.4985408654,1.7469381183,2.17504660642,4.15411676242,4.90920172234,4.90920172234,4.90920172224,4.90920172232,4.86232353502,4.60658612852,4.90920172192,4.90920172192,4.45807094152,5.00207552053,7.29796769603,9.90639480523,7.51146994423,7.35494730253,10.765006951504,11.483740669104,12.524410528604,12.950390185604,12.950390185504,11.826809486504,12.950390185704,12.950390185704,12.426893891804,12.950390185004,12.950390185004,11.104322436204,12.950390184804,12.950390184804,12.950390184804,10.954668252174,12.950390184874,12.950390185107,12.950390185107,12.950390185114,12.950390185104,11.716034092964,12.950390184994,12.950390184994,12.950390185294,12.950390185194,12.248397604894,11.885283514394,12.382424369494,9.90416715683,10.85578546523,12.95039018563,12.95039018543,12.95039018543,12.95039018543,12.95039018553,12.68379732299,12.95039018543,12.95039018543,12.95039018543,12.13550314773,12.95039018553,8.98117197733,12.2207548962,12.58989635618,12.95039018488,12.60103943263,12.95039018481,12.95039018481,11.93211415746,10.88370275753,11.05335556743,12.85656580668,12.95039018538,12.95039018533,12.95039018517,12.95039018517,12.47054197146,12.95039018516,12.95039018536,12.95039018536,12.95039018556,12.950390185395,12.950390185395,12.950390185395,12.95039018539,12.95039018539,12.92365977029,12.95039018479,12.95039018499,11.86535307642,12.95039018559,12.95039018523,12.95039018523,12.95039018523,12.95039018533,12.95039018529,12.95039018529,12.95039018523,12.95039018523,12.17545529113,12.02724231713,12.95039018563,12.22945475453,12.95039018563,12.9503901857,12.9503901857,12.95039018563,10.17757423063,9.78131204953,10.17779731464,9.22731259205,12.82197105046,12.95039018494,9.00742000353,12.74975691833,12.95039018453,12.95039018453,12.95039018453,12.95039018463,12.95039018453,12.95039018453,12.95039018463,11.72069236633,10.995784933771,11.854162398971,12.950390185511,12.950390185511,12.950390185571,12.950390185571,12.950390185471,12.211390485671,12.950390184671,12.950390184671,12.876406608091,12.950390184691,12.950390184691,12.95039018513,12.95039018513,12.9503901851,12.9503901851,12.95039018513,12.95039018513,12.95039018513,12.95039018514,12.95039018514,12.90981852293,12.84436711053,12.57325571243
"t69",7.32852104763,3.53571517483,3.26615884222,2.0034232703,2.0034232703,1.4985408654,0,1.7469381183,2.17504660642,4.15411676242,4.90920172234,4.90920172234,4.90920172224,4.90920172232,4.86232353502,4.60658612852,4.90920172192,4.90920172192,4.45807094152,5.00207552053,7.29796769603,9.90639480523,7.51146994423,7.35494730253,10.765006951504,11.483740669104,12.524410528604,12.950390185604,12.950390185504,11.826809486504,12.950390185704,12.950390185704,12.426893891804,12.950390185004,12.950390185004,11.104322436204,12.950390184804,12.950390184804,12.950390184804,10.954668252174,12.950390184874,12.950390185107,12.950390185107,12.950390185114,12.950390185104,11.716034092964,12.950390184994,12.950390184994,12.950390185294,12.950390185194,12.248397604894,11.885283514394,12.382424369494,9.90416715683,10.85578546523,12.95039018563,12.95039018543,12.95039018543,12.95039018543,12.95039018553,12.68379732299,12.95039018543,12.95039018543,12.95039018543,12.13550314773,12.95039018553,8.98117197733,12.2207548962,12.58989635618,12.95039018488,12.60103943263,12.95039018481,12.95039018481,11.93211415746,10.88370275753,11.05335556743,12.85656580668,12.95039018538,12.95039018533,12.95039018517,12.95039018517,12.47054197146,12.95039018516,12.95039018536,12.95039018536,12.95039018556,12.950390185395,12.950390185395,12.950390185395,12.95039018539,12.95039018539,12.92365977029,12.95039018479,12.95039018499,11.86535307642,12.95039018559,12.95039018523,12.95039018523,12.95039018523,12.95039018533,12.95039018529,12.95039018529,12.95039018523,12.95039018523,12.17545529113,12.02724231713,12.95039018563,12.22945475453,12.95039018563,12.9503901857,12.9503901857,12.95039018563,10.17757423063,9.78131204953,10.17779731464,9.22731259205,12.82197105046,12.95039018494,9.00742000353,12.74975691833,12.95039018453,12.95039018453,12.95039018453,12.95039018463,12.95039018453,12.95039018453,12.95039018463,11.72069236633,10.995784933771,11.854162398971,12.950390185511,12.950390185511,12.950390185571,12.950390185571,12.950390185471,12.211390485671,12.950390184671,12.950390184671,12.876406608091,12.950390184691,12.950390184691,12.95039018513,12.95039018513,12.9503901851,12.9503901851,12.95039018513,12.95039018513,12.95039018513,12.95039018514,12.95039018514,12.90981852293,12.84436711053,12.57325571243
"t62",7.32852104753,3.53571517473,3.26615884212,2.0034232702,2.0034232702,1.7469381183,1.7469381183,0,2.17504660632,4.15411676232,4.90920172224,4.90920172224,4.90920172214,4.90920172222,4.86232353492,4.60658612842,4.90920172182,4.90920172182,4.45807094142,5.00207552043,7.29796769593,9.90639480513,7.51146994413,7.35494730243,10.765006951404,11.483740669004,12.524410528504,12.950390185504,12.950390185404,11.826809486404,12.950390185604,12.950390185604,12.426893891704,12.950390184904,12.950390184904,11.104322436104,12.950390184704,12.950390184704,12.950390184704,10.954668252074,12.950390184774,12.950390185007,12.950390185007,12.950390185014,12.950390185004,11.716034092864,12.950390184894,12.950390184894,12.950390185194,12.950390185094,12.248397604794,11.885283514294,12.382424369394,9.90416715673,10.85578546513,12.95039018553,12.95039018533,12.95039018533,12.95039018533,12.95039018543,12.68379732289,12.95039018533,12.95039018533,12.95039018533,12.13550314763,12.95039018543,8.98117197723,12.2207548961,12.58989635608,12.95039018478,12.60103943253,12.95039018471,12.95039018471,11.93211415736,10.88370275743,11.05335556733,12.85656580658,12.95039018528,12.95039018523,12.95039018507,12.95039018507,12.47054197136,12.95039018506,12.95039018526,12.95039018526,12.95039018546,12.950390185295,12.950390185295,12.950390185295,12.95039018529,12.95039018529,12.92365977019,12.95039018469,12.95039018489,11.86535307632,12.95039018549,12.95039018513,12.95039018513,12.95039018513,12.95039018523,12.95039018519,12.95039018519,12.95039018513,12.95039018513,12.17545529103,12.02724231703,12.95039018553,12.22945475443,12.95039018553,12.9503901856,12.9503901856,12.95039018553,10.17757423053,9.78131204943,10.17779731454,9.22731259195,12.82197105036,12.95039018484,9.00742000343,12.74975691823,12.95039018443,12.95039018443,12.95039018443,12.95039018453,12.95039018443,12.95039018443,12.95039018453,11.72069236623,10.995784933671,11.854162398871,12.950390185411,12.950390185411,12.950390185471,12.950390185471,12.950390185371,12.211390485571,12.950390184571,12.950390184571,12.876406607991,12.950390184591,12.950390184591,12.95039018503,12.95039018503,12.950390185,12.950390185,12.95039018503,12.95039018503,12.95039018503,12.95039018504,12.95039018504,12.90981852283,12.84436711043,12.57325571233
"t47",7.32852104721,3.53571517441,3.2661588418,2.17504660632,2.17504660632,2.17504660642,2.17504660642,2.17504660632,0,4.154116762,4.90920172192,4.90920172192,4.90920172182,4.9092017219,4.8623235346,4.6065861281,4.9092017215,4.9092017215,4.4580709411,5.00207552011,7.29796769561,9.90639480481,7.51146994381,7.35494730211,10.765006951084,11.483740668684,12.524410528184,12.950390185184,12.950390185084,11.826809486084,12.950390185284,12.950390185284,12.426893891384,12.950390184584,12.950390184584,11.104322435784,12.950390184384,12.950390184384,12.950390184384,10.954668251754,12.950390184454,12.950390184687,12.950390184687,12.950390184694,12.950390184684,11.716034092544,12.950390184574,12.950390184574,12.950390184874,12.950390184774,12.248397604474,11.885283513974,12.382424369074,9.90416715641,10.85578546481,12.95039018521,12.95039018501,12.95039018501,12.95039018501,12.95039018511,12.68379732257,12.95039018501,12.95039018501,12.95039018501,12.13550314731,12.95039018511,8.98117197691,12.22075489578,12.58989635576,12.95039018446,12.60103943221,12.95039018439,12.95039018439,11.93211415704,10.88370275711,11.05335556701,12.85656580626,12.95039018496,12.95039018491,12.95039018475,12.95039018475,12.47054197104,12.95039018474,12.95039018494,12.95039018494,12.95039018514,12.950390184975,12.950390184975,12.950390184975,12.95039018497,12.95039018497,12.92365976987,12.95039018437,12.95039018457,11.865353076,12.95039018517,12.95039018481,12.95039018481,12.95039018481,12.95039018491,12.95039018487,12.95039018487,12.95039018481,12.95039018481,12.17545529071,12.02724231671,12.95039018521,12.22945475411,12.95039018521,12.95039018528,12.95039018528,12.95039018521,10.17757423021,9.78131204911,10.17779731422,9.22731259163,12.82197105004,12.95039018452,9.00742000311,12.74975691791,12.95039018411,12.95039018411,12.95039018411,12.95039018421,12.95039018411,12.95039018411,12.95039018421,11.72069236591,10.995784933351,11.854162398551,12.950390185091,12.950390185091,12.950390185151,12.950390185151,12.950390185051,12.211390485251,12.950390184251,12.950390184251,12.876406607671,12.950390184271,12.950390184271,12.95039018471,12.95039018471,12.95039018468,12.95039018468,12.95039018471,12.95039018471,12.95039018471,12.95039018472,12.95039018472,12.90981852251,12.84436711011,12.57325571201
"t24",7.32852104721,3.53571517441,4.1541167622,4.15411676232,4.15411676232,4.15411676242,4.15411676242,4.15411676232,4.154116762,0,4.90920172192,4.90920172192,4.90920172182,4.9092017219,4.8623235346,4.6065861281,4.9092017215,4.9092017215,4.4580709411,5.00207552011,7.29796769561,9.90639480481,7.51146994381,7.35494730211,10.765006951084,11.483740668684,12.524410528184,12.950390185184,12.950390185084,11.826809486084,12.950390185284,12.950390185284,12.426893891384,12.950390184584,12.950390184584,11.104322435784,12.950390184384,12.950390184384,12.950390184384,10.954668251754,12.950390184454,12.950390184687,12.950390184687,12.950390184694,12.950390184684,11.716034092544,12.950390184574,12.950390184574,12.950390184874,12.950390184774,12.248397604474,11.885283513974,12.382424369074,9.90416715641,10.85578546481,12.95039018521,12.95039018501,12.95039018501,12.95039018501,12.95039018511,12.68379732257,12.95039018501,12.95039018501,12.95039018501,12.13550314731,12.95039018511,8.98117197691,12.22075489578,12.58989635576,12.95039018446,12.60103943221,12.95039018439,12.95039018439,11.93211415704,10.88370275711,11.05335556701,12.85656580626,12.95039018496,12.95039018491,12.95039018475,12.95039018475,12.47054197104,12.95039018474,12.95039018494,12.95039018494,12.95039018514,12.950390184975,12.950390184975,12.950390184975,12.95039018497,12.95039018497,12.92365976987,12.95039018437,12.95039018457,11.865353076,12.95039018517,12.95039018481,12.95039018481,12.95039018481,12.95039018491,12.95039018487,12.95039018487,12.95039018481,12.95039018481,12.17545529071,12.02724231671,12.95039018521,12.22945475411,12.95039018521,12.95039018528,12.95039018528,12.95039018521,10.17757423021,9.78131204911,10.17779731422,9.22731259163,12.82197105004,12.95039018452,9.00742000311,12.74975691791,12.95039018411,12.95039018411,12.95039018411,12.95039018421,12.95039018411,12.95039018411,12.95039018421,11.72069236591,10.995784933351,11.854162398551,12.950390185091,12.950390185091,12.950390185151,12.950390185151,12.950390185051,12.211390485251,12.950390184251,12.950390184251,12.876406607671,12.950390184271,12.950390184271,12.95039018471,12.95039018471,12.95039018468,12.95039018468,12.95039018471,12.95039018471,12.95039018471,12.95039018472,12.95039018472,12.90981852251,12.84436711011,12.57325571201
