accepted_species,APWD
Acokanthera,0.8550162056879915
Adenium,0.4194859183067361
Adina,0.7718198089620619
Aganosma,0.696916438596497
Aidia,0.5994266898001324
Alafia,0.624144399578272
Alberta,0.7430823754525796
Alibertia,0.6618377036796639
Allamanda,0.7822711407521028
Alstonia,0.8154796943087061
Alyxia,0.8439334206005847
Amalocalyx,0.3617959429939745
Amsonia,0.8183210103033242
Anodendron,0.7480050242461935
Anthocleista,0.8417539001386654
Antonia,
Apocynum,0.848594064383418
Araujia,0.5361880465021589
Asclepias,0.7460291001681443
Asperula,0.6391752577319587
Aspidosperma,0.7950850609346566
Baroniella,0.7033144366918656
Beaumontia,0.7134830049566102
Blackstonia,0.4753912016211281
Boucerosia,0.3409812667869
Bousigonia,0.6327927501575313
Breonadia,0.8823529411764706
Breonia,0.7915301671734847
Callichilia,0.7111436627745374
Calotropis,0.7644089515572197
Calycophyllum,
Canscora,0.6087927084509522
Canthium,0.5473425797827287
Caralluma,0.4474798257201047
Carapichea,0.8210341653995608
Carissa,0.8599327287791633
Cascabela,
Catharanthus,0.860318064245996
Catunaregam,0.7771928727720249
Centaurium,0.8377450133528273
Cephalanthus,0.7924628774835258
Cerbera,0.7717490069890219
Ceropegia,0.452830331659693
Chassalia,0.5776954764013763
Chimarrhis,0.7370442494751812
Chiococca,0.8173206934781994
Chione,0.7137721716470768
Chironia,0.6392811029038845
Chonemorpha,0.7710141514063084
Ciliosemina,0.6620718794272445
Cinchona,0.7921560648999793
Coelospermum,0.760229159413598
Coffea,0.9080254393136136
Comastoma,0.2195121951219512
Coprosma,
Cordiera,0.8482505850287637
Corynanthe,0.6023207975376562
Coussarea,0.7887923794492396
Coutarea,0.4780925750966563
Coutoubea,0.5805915817481238
Craspidospermum,0.8202247191011236
Crioceras,0.7068833571366412
Crossopteryx,0.7032863370857106
Crucianella,0.6431644746721851
Cruciata,0.6689807616369148
Cruckshanksia,0.6073652375022238
Cryptolepis,
Cryptostegia,0.6728060499674825
Curtia,0.4670918998280964
Cynanchum,0.7608368315742041
Cyrtophyllum,0.7130718606868006
Damnacanthus,0.6567102986911634
Debia,0.1796556784947224
Decalepis,0.7358373553707126
Desmidorchis,0.5118119985895073
Dimetia,
Dioecrescis,0.6059401936691289
Diplorhynchus,0.7368771213894073
Diplospora,0.735393791403885
Dischidanthus,0.6997714319246853
Dischidia,0.8177243471731573
Dolichopentas,0.746596279440362
Dunnia,0.8255813953488372
Duroia,
Dyera,
Emmenopterys,0.2839506172839506
Eumachia,0.4752500934872485
Eustoma,
Exacum,0.6940830940563918
Exallage,0.8588520927207131
Exostema,0.5621008879462838
Fadogia,0.6340859039728258
Fagraea,0.7573403319229163
Faramea,0.773507835838214
Feretia,0.5461188352729298
Forsteronia,0.1122410546139359
Frasera,0.596981771781118
Funastrum,0.1735162045479957
Funtumia,0.6564629522457702
Galianthe,0.1999999999999999
Galium,0.7958207112441348
Gardenia,0.8407651203261243
Gardneria,
Geissospermum,0.7606698314676348
Gelsemium,0.7460786278001027
Geniostoma,0.5600928394153875
Genipa,0.6632376361206888
Gentiana,0.8391723907028703
Gentianella,0.7661422834742065
Gentianopsis,0.7348773862015986
Gomphocarpus,0.671661950920705
Gongronemopsis,0.48284703905568
Gonioma,0.7410707605833614
Guettarda,
Guettardella,0.0
Gymnema,0.6535623531527727
