"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128","c129","c130","c131","c132","c133","c134","c135","c136","c137","c138","c139","c140","c141","c142","c143","c144","c145"
"t16",-0.127171198096795,-0.0516341670806621,0.00167357693906026,-0.0152116610502891,-0.00115873141954741,0.000644144066167527,7.5125671288977e-05,0.00027422613265224,0.0384959315595952,0.0186420993169664,0.00200482953740577,-0.00246316053760573,3.26654191809794e-05,-0.0197164483816081,0.00118658484965166,0.00019595786042677,9.00563153480714e-06,0.0317093678979035,-0.032366313370147,0.0439532023905328,-0.0429919990762888,-0.00537398200662222,-0.000492670961501561,0.0240362165782162,-0.000321924352359876,-0.00791827828843144,-0.0325200708977857,0.023496298839201,0.558274145174799,-0.07745778882323,0.0214025515729891,0.00134801728475047,-0.0094555381652761,0.775765903727337,-3.45323424913865e-05,-0.175718196675534,-0.00868843085647559,0.00139826961765936,4.74316555171247e-06,-0.0920013148439576,6.0690569576511e-05,-3.58264280938232e-05,0.000874542340233756,-0.00143369081981733,0.0332527166348182,-0.000317271767449125,0.000511460564611077,-0.000570764339653703,0.0299910011028109,0.00441106595746918,-0.000917120319662601,-0.0173531822750288,0.00131069070840809,-0.00498220926477433,0.00481920369170913,-0.00733436660193459,0.00415330893353984,-0.00044157518347816,0.0213201816928243,-0.000798492470717662,-0.0118745538859212,-3.86239212425231e-05,-5.78924964777346e-05,0.000659674028894636,-0.00153129468938386,-0.00679034579367485,4.13298495695813e-15,-0.0328852735681084,7.85228338997653e-05,-4.57931333217467e-05,0.000128195522612192,3.7870058612752e-06,-0.000187882346123486,1.41105160451675e-05,-2.64247343237771e-07,-0.00459380935173739,9.1042015800695e-08,9.16141550004016e-17,2.24022043414301e-05,-0.00212499648092656,-6.88473953068505e-08,1.63158052098977e-08,-0.000634645569126844,-1.40834393081473e-07,2.0366990927318e-07,-2.59029914263302e-06,-0.00249609057724168,-7.80082342223821e-05,8.01861913586283e-05,5.02448825726884e-10,9.06322405135277e-08,-5.18980183483043e-11,-9.59760711758344e-12,5.22208940502376e-08,-1.41416892845412e-16,-4.32140721771747e-09,-2.27293683210649e-16,2.68138356751007e-07,-1.33018771575145e-16,1.26178782197622e-16,0.00145448299301477,-0.00261602497837154,-4.57467711323066e-08,4.73683202248371e-08,8.30797732569804e-09,0.00411184852488532,-2.00772225574453e-15,3.88082892415195e-05,9.12034245476584e-08,-5.11901300932032e-16,8.7068164522233e-16,2.46026042044358e-17,-6.42200694945188e-06,0.000563477425047028,1.62848945876656e-10,-1.18167104667334e-16,5.02777693905851e-06,3.29827279728385e-16,-9.53769583987503e-10,1.6259774388785e-08,9.89981670884117e-08,3.34104033923854e-16,-1.27974370483578e-15,1.57573590006235e-07,-2.59748540335262e-16,-1.32430516995909e-08,-8.10015182766352e-17,-2.3361977884302e-16,-4.54840125956052e-16,7.18536733586344e-17,-3.12743493991833e-16,1.17457285247287e-08,-7.91580575567242e-08,-2.70423946474625e-16,-2.13425026760631e-07,-7.17278998792542e-17,4.81890008029681e-16,5.83858018593011e-07,-2.18841966166589e-15,-7.73462613916207e-16,-2.69393915872895e-17,-1.52342228156345e-15,1.73022210002116e-15,-5.24727378228403e-15,0.0830454798537417
"t48",-0.135097702431953,-0.0558454250294461,0.002266844741896,-0.0222497921636241,-0.00187472399907727,0.00343953268431956,-0.000454727982063665,-0.00118417914840747,-0.0768988523582901,-0.0362336047321326,-0.00153451420762841,0.0013534676573923,-1.47474308096156e-05,-0.00144911108901284,0.000273480487028954,7.20465450388789e-05,9.63417570536289e-06,0.12423671339452,-0.140094709514951,0.00635807137253146,-0.417249001774341,0.118379374467664,0.00102546254347474,-0.0120408421573452,8.97579607144893e-05,0.00184992844081726,0.00575335834819719,-0.00334123840294019,-0.0556443739484587,0.00709949348246301,-0.00187829503720353,-0.000100838214929282,0.000442803170905496,-0.0165148203324527,4.09892585309621e-07,-0.0296796324798955,-0.000104457879067247,1.98876448985356e-05,1.08064809580998e-07,-0.00250732331854177,1.67261779699099e-06,-1.0680097449315e-06,2.58737524963591e-05,-4.26510852579638e-05,0.00434138273895903,1.6504584230974e-06,-1.08487951394886e-05,1.29468237858348e-05,-0.00267277880708973,-0.000483939888539266,0.000110145586594905,0.00300105968548437,-0.000242833042557677,0.0080620292613045,-0.00297689161271133,0.00480155343498594,-0.00417016405972089,0.000540897034522405,-0.0387957470163326,0.0029715949412293,0.856580424655052,-5.23704685887195e-05,-5.22624889025754e-05,0.00252145017257066,-0.00123874964307635,-0.00526385003874721,4.45569345983381e-15,-0.0241607924669558,4.76250014973042e-05,-2.67741401391811e-05,7.33473156428678e-05,2.11644572524206e-06,-0.000101456910495233,7.48613295399131e-06,-1.5092534761617e-07,-0.0128037441189927,4.07018050727006e-08,-8.09494602613407e-16,9.8525313054267e-06,-0.000933579875179749,-2.99251884365651e-08,7.08842443981373e-09,-0.00145506876775005,-5.93409031018004e-08,8.60006760750748e-08,-1.10728956712423e-06,-0.00515289676197273,-2.90642017931086e-05,3.05824137885658e-05,1.97911049350311e-10,3.56959100719755e-08,-2.04023661004964e-11,-3.76660826773128e-12,2.04779855746777e-08,1.94417647033434e-15,-1.69355700330139e-09,3.83176181366922e-16,1.05564588182348e-07,6.43374370369078e-16,4.96169332450388e-17,0.000576020357886385,-0.00104201704541104,-1.84337055112107e-08,1.94690490320399e-08,3.50008263024309e-09,0.00769073789479739,-5.05285077324778e-15,7.23542770516524e-05,2.91204620028015e-08,-6.9627453125665e-16,-1.00303940305617e-14,8.05695186391832e-16,-2.3458640256411e-06,0.000210334314659443,6.08501440375076e-11,-2.89468150779802e-16,1.87923073598275e-06,-3.25592505838482e-16,-3.56781338690369e-10,6.0850383964838e-09,3.70664582727982e-08,1.33479428589155e-14,5.86167246854209e-15,5.90398083760457e-08,-4.94980143164489e-16,-4.96250479454499e-09,1.17230596862664e-14,-1.73831955210606e-15,3.24483288637833e-15,-7.25240412061102e-16,-6.97235339066183e-16,4.405825029691e-09,-2.96974888123761e-08,3.98104922977528e-16,-8.00770096824832e-08,3.25766553903582e-16,-9.14221493760682e-16,2.19120299010252e-07,-1.80500136767015e-15,2.19720061089388e-16,-6.24661009776897e-16,8.54845354915388e-16,2.28329751867232e-15,-7.33969477862068e-15,0.0830454798537558
"t110",-0.135689599450317,-0.0561573082143721,0.00230692872519246,-0.0227127418238999,-0.0019203323123624,0.00358454224064071,-0.000478228257125348,-0.00124707206284062,-0.0813613582355408,-0.0383442726979721,-0.00163770899745698,0.0014491833813701,-1.58194688122046e-05,-0.00158055370944032,0.000300679218576507,7.98286953631622e-05,1.09855276692478e-05,0.143802866359815,-0.162217844086376,0.00745312081894367,-0.501193310604095,0.142922292464177,0.00125879552845748,-0.0156433797559443,0.000122213173537211,0.00256182542593208,0.00819916587754877,-0.00487655408374202,-0.0845286850688065,0.0108873380403912,-0.00289454744872901,-0.000158187044004265,0.000729624958107211,-0.0290316982798572,7.4247926056483e-07,-0.0571804427196217,-0.00022513133398911,4.37541389317752e-05,2.67957747274154e-07,-0.007058084130371,4.77352056248758e-06,-3.96222057264885e-06,0.000113667624158987,-0.000228385041590599,0.0332580451338182,-4.47001777463726e-05,8.39029369823818e-05,-9.45927571146104e-05,0.00659959747409983,0.00102912659324099,-0.000219852510066772,-0.00470028119057493,0.000364425087522716,-0.00977503091615824,0.00227944941445256,-0.00358844986728139,0.00266020233233273,-0.000324469358053466,0.0210371845139698,-0.00142651763277409,-0.361509757224541,1.25587307033311e-05,7.38153572546586e-06,-0.000291559926676742,0.000131393792081436,0.000474738596036988,-2.0809778753387e-15,0.00167338603072302,9.9061608179638e-07,-1.12004778298259e-06,4.04407749662306e-06,1.49305483469267e-07,-9.74911170780287e-06,8.44209257584036e-07,-2.29257709504449e-08,-0.0020353677668313,7.33932875488854e-09,1.45188804691953e-15,2.32986169719487e-06,-0.000222099364681566,-7.54643142380208e-09,1.79212468838205e-09,-0.000406759749566255,-1.67090365778192e-08,2.43025990078252e-08,-3.96249041180784e-07,-0.0018623044532354,-1.05931099000464e-05,1.11882115922221e-05,7.50417393096259e-11,1.3956378642638e-08,-8.19234739134479e-12,-1.52576635152819e-12,8.50486531064349e-09,1.71857783386629e-15,-7.15548595982811e-10,-3.0538520278331e-15,4.64909042399742e-08,-1.30125520548527e-14,2.71404553320329e-15,0.000256609922779587,-0.000467077830941825,-8.3217514926141e-09,8.8432561069687e-09,1.59596712191554e-09,0.00354186097154774,-1.16144495474326e-14,3.35169579594051e-05,1.34973828728392e-08,2.22758672959235e-15,-2.99633028754275e-14,4.19263383971727e-15,-1.10669586850889e-06,0.000102439761405039,2.97840012162945e-11,1.31120846280006e-14,9.21306809708417e-07,1.23744476244022e-14,-1.75788250251816e-10,3.01045081577932e-09,1.8425644197147e-08,-1.25090127519343e-12,-0.707106781186553,2.96369052035429e-08,-1.1322620396105e-13,-2.4964637864307e-09,8.60615258003013e-14,-3.99558954020924e-14,1.25250604747008e-14,-1.61450501657018e-14,1.40563034280185e-15,2.30568179491785e-09,-1.57728289486824e-08,-1.13846671576933e-14,-4.28121112809663e-08,-4.31711212332922e-15,9.60483016347036e-15,1.18966330698331e-07,-1.82648566424239e-14,-7.94127468011361e-15,-6.29507578733746e-15,-7.40633141131409e-16,3.53920089823558e-15,-3.41399356185918e-15,0.0830454798537239
"t111",-0.135689599450317,-0.056157308214373,0.00230692872519232,-0.0227127418238999,-0.00192033231236261,0.0035845422406404,-0.000478228257125645,-0.0012470720628412,-0.0813613582355413,-0.0383442726979724,-0.00163770899745672,0.00144918338136989,-1.58194688129093e-05,-0.00158055370943867,0.000300679218576351,7.98286953638868e-05,1.0985527670017e-05,0.143802866359818,-0.162217844086378,0.0074531208189442,-0.501193310604095,0.142922292464177,0.00125879552845681,-0.015643379755944,0.000122213173537004,0.00256182542593175,0.00819916587754684,-0.00487655408374121,-0.0845286850688125,0.0108873380403894,-0.0028945474487288,-0.000158187044001091,0.000729624958107611,-0.0290316982798531,7.42479259116764e-07,-0.0571804427196169,-0.000225131333989824,4.37541389314832e-05,2.67957743482078e-07,-0.00705808413037747,4.773520560736e-06,-3.96222057839709e-06,0.00011366762416047,-0.000228385041591093,0.0332580451338254,-4.47001777446403e-05,8.39029369886591e-05,-9.45927571106991e-05,0.0065995974741064,0.00102912659324102,-0.00021985251007026,-0.00470028119057781,0.000364425087523635,-0.00977503091616482,0.00227944941445249,-0.00358844986727973,0.00266020233233059,-0.000324469358045089,0.0210371845139676,-0.00142651763277581,-0.361509757224553,1.25587306994787e-05,7.38153572530915e-06,-0.000291559926679088,0.000131393792082307,0.000474738596039671,-2.13011660177665e-16,0.00167338603072399,9.90616079335513e-07,-1.12004777986518e-06,4.04407748883659e-06,1.49305494436099e-07,-9.74911170548722e-06,8.44209256470347e-07,-2.29257797877288e-08,-0.00203536776685305,7.33934637000916e-09,-1.32341137536669e-15,2.32986169630398e-06,-0.000222099364675477,-7.5464368682479e-09,1.79212100245356e-09,-0.000406759749572514,-1.6709048382277e-08,2.43025968654052e-08,-3.96249042711077e-07,-0.00186230445321957,-1.05931099007283e-05,1.1188211590909e-05,7.50279600777396e-11,1.39563606602076e-08,-8.21813930930234e-12,-1.52742511635877e-12,8.5049009172235e-09,-2.46759232104918e-15,-7.15531236166667e-10,3.18809337804659e-15,4.6490870985769e-08,1.10115874135799e-14,-2.56815391391973e-15,0.000256609922759495,-0.000467077830999819,-8.32177785821926e-09,8.84323092985677e-09,1.59597897029972e-09,0.00354186097149884,9.69907345426359e-15,3.35169581057047e-05,1.3497406880385e-08,-3.07577706050104e-15,4.03126378482665e-14,-4.13176307589502e-15,-1.10669587338531e-06,0.000102439761568729,2.97759660171688e-11,-1.27343107885576e-14,9.21306702245865e-07,-1.20638422432441e-14,-1.7595863607516e-10,3.01058319303228e-09,1.8425014310837e-08,1.24327466405406e-12,0.707106781186542,2.96378550394525e-08,1.13091265981488e-13,-2.49661202992253e-09,-9.46559539371696e-14,4.09291690653889e-14,-1.52055541332884e-14,1.78431102481058e-14,-1.30554208679155e-15,2.30568839213911e-09,-1.5772820040719e-08,1.01468677204831e-14,-4.28121176982929e-08,3.47101547418273e-15,-7.92681308929043e-15,1.18966326868496e-07,1.47022061742148e-14,6.058088070463e-15,5.53204863375509e-15,-3.18145127699024e-15,1.39375320020712e-15,-5.65552433326517e-15,0.083045479853739
"t66",-0.138669140893115,-0.0577517134820151,0.00254919026208925,-0.0256466959655068,-0.00222601152106142,0.00494651146221211,-0.0007578513347689,-0.00202655353874424,-0.145884996965352,-0.069092351530126,-0.00380700173556681,0.00387750617671986,-4.66584496672897e-05,0.0134521955719172,-0.000568916423918253,-6.10483324261352e-05,5.50164735898122e-06,0.205878938278475,-0.239962718162105,-0.143522113834121,0.223710714459728,-0.0460978199818321,-0.000116886298406082,-0.00271742356230037,3.13873267226753e-05,0.000710207328429232,0.00250579970926402,-0.00158667308914083,-0.0299530499629573,0.0039288048110306,-0.0010542130289271,-5.95504314046813e-05,0.000301708864575017,-0.0141449559140993,4.0700323654051e-07,-0.0543174059743604,1.14540104481362e-05,1.20245341361955e-06,4.93837966110737e-08,-0.00163696350737089,1.12281829509609e-06,-1.10321445459009e-06,3.46366344952499e-05,-8.01733022506249e-05,0.0219078165754753,-5.26416330548793e-06,1.1525016196579e-05,-1.30434814158979e-05,0.000841315922400523,0.000125337705556357,-2.61666308143236e-05,-0.000502407510878529,3.81624861408417e-05,-0.00235376679720032,9.67086685096901e-05,-0.000144447730201378,6.99156069104651e-05,-6.86103446564725e-06,0.000281889727452655,-8.24615687942655e-06,-0.000285267160034568,7.0592548823594e-07,2.64042935108246e-06,-0.000437669935245355,9.28248968714752e-05,0.000471238286162988,3.18984836554605e-15,0.00272213544225129,-1.50068313517801e-05,1.10820657393993e-05,-3.65676181275539e-05,-1.33345400556804e-06,0.000100873777287822,-1.08551066814861e-05,1.45899016652349e-06,0.747876467573681,1.90703816402962e-07,1.433348116962e-14,1.53912670203286e-05,-0.00144046305070389,-4.15112872859688e-08,9.79202049468428e-09,-0.00430964555305976,-6.99539235299957e-08,1.0154105053093e-07,-1.32072444081209e-06,-0.0133760524144708,-2.76495098249581e-05,3.06451463989524e-05,2.20595212868977e-10,4.20894033027614e-08,-2.57929644428751e-11,-4.84117802182964e-12,2.90655088040637e-08,5.18252252134464e-15,-2.63086614620064e-09,3.42228217272934e-15,2.43824393964478e-07,-4.10470153680363e-15,-8.5100746006316e-16,0.00163942004194688,-0.00345427918639891,-7.73309071841748e-08,1.09461952728304e-07,2.56463035549021e-08,0.454650145110392,-2.32543042926576e-13,-0.0041233760634619,-4.02135590275331e-07,-3.05092038108576e-14,6.05673094146805e-14,-1.23001525152703e-14,6.09296951750146e-06,-0.000147171239745458,-3.58704185440966e-11,-7.25452219880792e-15,-1.04113121448313e-06,4.0129105398668e-15,1.62493077937279e-10,-2.42304804898715e-09,-1.23129833418884e-08,9.4056520524557e-15,2.61665689116342e-14,-1.29341464262808e-08,9.09346996729471e-15,9.80220028453048e-10,2.3929942986088e-14,1.98087232260349e-15,5.02333437663861e-15,4.63000658471466e-15,-3.05765787566391e-15,2.82400397798113e-10,-3.68578772907899e-09,-1.93314406394086e-15,-1.17739434382847e-08,-1.29920518631117e-15,3.95017892898393e-15,4.23333782952823e-08,1.40399614081195e-14,-1.62855113095416e-15,7.54439084480508e-16,7.67029584606323e-16,2.20231121520361e-15,-2.9236351177136e-15,0.0830454798537911
"t134",-0.139114808540593,-0.0579881010351568,0.00258194151243973,-0.0260335483139945,-0.0022651720768267,0.00509542233359998,-0.000785631539155193,-0.00210282081928435,-0.151863270572377,-0.0719340488926479,-0.00398663992914985,0.00406945073800652,-4.90293914161128e-05,0.014294692060308,-0.000607752320142292,-6.55483553659356e-05,6.0170911130622e-06,0.227293306139476,-0.264982672729485,-0.15969241993758,0.252613574283292,-0.0522115237375195,-0.000133685692968982,-0.0032090434557043,3.80038620380715e-05,0.000867443203789356,0.00310495939274377,-0.00198908434360206,-0.0382653475996326,0.00504097305203881,-0.00135565830049787,-7.719502907352e-05,0.000399554953453393,-0.0192357514199565,5.59991417875103e-07,-0.0764682614574389,1.67521525058786e-05,1.77019772042722e-06,7.53204373668807e-08,-0.0025808370692741,1.77615899171528e-06,-1.84509653334423e-06,5.96256579397494e-05,-0.000141957073024443,0.0403237973796636,-1.08810517783837e-05,2.54105752494642e-05,-2.89116465082295e-05,0.00225794922612017,0.000352828193426347,-7.53501451398308e-05,-0.00160405149734834,0.000124466646865229,-0.00869148433715652,0.000544465918850262,-0.000839252451458592,0.000518280809367122,-5.72329112896535e-05,0.00298004029343213,-0.000130513700089516,-0.00979822781068913,-5.68415345445935e-06,-1.02311597753828e-05,0.0014450425148606,-0.000289173603552622,-0.00133499613572767,-1.00885218118879e-15,-0.0068194328576632,2.23068677988927e-05,-1.45327166507095e-05,4.42250173309072e-05,1.46524666830432e-06,-9.39481762465618e-05,9.02476082745201e-06,-9.06792616829294e-07,-0.438917493444435,-9.29733594716594e-08,-9.66940080750377e-15,-3.98872451979607e-06,0.000365722285519275,8.40870472363289e-09,-1.96125357263584e-09,0.000475713787009585,7.26471275593714e-09,-1.02168313530448e-08,-1.52567509002921e-07,-0.00166715636684522,-3.66155804610913e-06,4.16402531956109e-06,3.72414116425544e-11,8.30178656571462e-09,-5.7729974918788e-12,-1.10853351570898e-12,7.35195145289634e-09,-2.17984670276934e-16,-7.07052074605982e-10,1.6052146404845e-15,7.48269629553796e-08,-4.22644124791943e-15,2.53746445242484e-15,0.000520392148761728,-0.00111601232162785,-2.54881463288359e-08,3.66935186547279e-08,8.68796744182516e-09,0.158152005335058,-8.42674583143175e-14,-0.00145635632990903,-1.42245014244633e-07,-5.98610788521563e-15,2.06318721094512e-14,-4.05716654945597e-15,2.25353944039266e-06,-5.87013188174412e-05,-1.44615499557705e-11,-4.02444607435791e-15,-4.21511316903694e-07,2.39381334059154e-15,6.65896678898051e-11,-1.00100476624403e-09,-5.13963758624229e-09,-2.23091273489046e-14,1.3385126340637e-14,-5.51386874277076e-09,6.89380410657758e-15,4.19800931500004e-10,-8.0449890906477e-15,-3.74428402791765e-15,2.99437917679555e-15,-1.85240530366995e-17,6.34677942945819e-15,1.31020984394252e-10,-1.75867461948468e-09,-2.29932596173364e-14,-5.68768673092351e-09,-1.05601805882603e-14,-3.30429946484281e-14,2.10332512885731e-08,-0.70710678118655,-6.35653160389319e-15,2.23023081003769e-14,-3.04816138013552e-14,6.71564099277588e-15,-5.52850612794455e-15,0.0830454798537317
"t135",-0.139114808540593,-0.0579881010351568,0.00258194151243959,-0.0260335483139943,-0.00226517207682663,0.00509542233359984,-0.000785631539155383,-0.00210282081928448,-0.151863270572376,-0.0719340488926476,-0.00398663992915013,0.00406945073800621,-4.90293914162191e-05,0.0142946920603095,-0.000607752320142558,-6.55483553660338e-05,6.01709111257173e-06,0.227293306139476,-0.264982672729485,-0.159692419937578,0.252613574283292,-0.0522115237375201,-0.000133685692968819,-0.00320904345570337,3.80038620377121e-05,0.000867443203788837,0.00310495939274536,-0.0019890843436018,-0.0382653475996341,0.00504097305203833,-0.00135565830049776,-7.71950290735723e-05,0.000399554953452972,-0.0192357514199557,5.59991418349267e-07,-0.0764682614574377,1.6752152506596e-05,1.77019772011044e-06,7.53204384229512e-08,-0.00258083706927561,1.77615899100664e-06,-1.84509653165074e-06,5.96256579383498e-05,-0.000141957073023174,0.0403237973796647,-1.08810517777793e-05,2.5410575244408e-05,-2.89116465099587e-05,0.00225794922612368,0.000352828193426372,-7.53501451414866e-05,-0.00160405149735517,0.000124466646865439,-0.00869148433716014,0.000544465918850566,-0.00083925245145976,0.000518280809367266,-5.72329112891519e-05,0.0029800402934321,-0.000130513700089652,-0.00979822781068897,-5.68415345437484e-06,-1.02311597772776e-05,0.00144504251485468,-0.00028917360355236,-0.0013349961357269,-1.97268266124925e-15,-0.00681943285767058,2.23068678017525e-05,-1.45327166544818e-05,4.42250173293589e-05,1.46524667027252e-06,-9.39481762476825e-05,9.02476082524373e-06,-9.06792616449798e-07,-0.438917493444448,-9.29733599416551e-08,-7.51844917524368e-15,-3.98872452296236e-06,0.000365722285523896,8.40870707027602e-09,-1.96125602189716e-09,0.000475713787017706,7.26471116766349e-09,-1.02168393394463e-08,-1.52567514230323e-07,-0.00166715636683481,-3.66155804627288e-06,4.16402532059188e-06,3.72389359518768e-11,8.30178821171818e-09,-5.77484578708095e-12,-1.10732928277978e-12,7.35194754443807e-09,1.19917867006492e-15,-7.07048635095191e-10,2.19109724766974e-15,7.4826958571059e-08,-5.88129817570599e-15,4.74494401230388e-17,0.000520392148734377,-0.00111601232164718,-2.54881480086743e-08,3.66935310588917e-08,8.68796930085518e-09,0.158152005335032,-7.61357329881169e-14,-0.0014563563298372,-1.42245005883532e-07,-1.3434069656063e-14,1.74675162630695e-14,2.1212771338934e-15,2.25353945206212e-06,-5.87013187705854e-05,-1.44661771123729e-11,-2.10798940258681e-15,-4.21511315366417e-07,7.24137742324284e-16,6.65925883348808e-11,-1.00101760898856e-09,-5.13961773142425e-09,2.43754242920619e-14,-1.99215643981177e-14,-5.51384389347110e-09,-1.49068758118877e-15,4.1979666976811e-10,1.379979545787e-14,1.67653135995906e-15,-1.67449473756575e-15,2.85607062978649e-15,-8.01896740687313e-15,1.30980446265452e-10,-1.75864860597192e-09,2.00377827620329e-14,-5.6876236974028e-09,9.1508774920282e-15,3.33642320262428e-14,2.10331961933484e-08,0.707106781186545,5.1262874534937e-15,-2.20859046138456e-14,2.64774920577621e-14,-2.1416797417698e-15,-4.37126111236704e-15,0.0830454798537654
"t65",-0.138285975579632,-0.0575487965861591,0.00252150835644936,-0.0253209998769453,-0.00219318562965168,0.0048243470345263,-0.000735312080324234,-0.00196477624032001,-0.141069581938763,-0.0668039760133116,-0.00366378951732805,0.00372506609626534,-4.4779534198258e-05,0.0127972351581434,-0.000538996462721406,-5.76112807531129e-05,5.11999833245087e-06,0.190269647740551,-0.221732160473125,-0.131886822237214,0.203411826728404,-0.0418252815040201,-0.000105330832976135,-0.00239617465416178,2.72305001805399e-05,0.000612754451929407,0.00214262113580673,-0.00134706843792536,-0.0251436650132265,0.00328952925815177,-0.000881522575323847,-4.95632657520557e-05,0.000248061348546371,-0.0114604374372137,3.27687883188083e-07,-0.0432067494319156,8.93653803744428e-06,9.35147309072598e-07,3.77581782305846e-08,-0.00123262702387233,8.44204754344567e-07,-8.09563770345614e-07,2.51138263983957e-05,-5.74746179229729e-05,0.0154700681223981,-3.5649253828185e-06,7.63936461601719e-06,-8.6310993058058e-06,0.000525729657363629,7.72961646361498e-05,-1.60381496209709e-05,-0.000299699665909035,2.26412123214884e-05,-0.00135379165994498,5.01472827864447e-05,-7.42978517939673e-05,3.36238558786176e-05,-3.18066388200832e-06,0.000119857391547059,-2.8274856214886e-06,-2.11485544795928e-05,4.45532357410668e-07,1.43536371033121e-06,-0.000230466156393856,4.83071554982077e-05,0.00024047779821974,1.45457470211737e-15,0.00135320346442855,-6.56574771921935e-06,4.67669193847537e-06,-1.50550026485448e-05,-5.32333299491026e-07,3.80258904420219e-05,-3.92100237824472e-06,4.66073369507442e-07,0.232626571978661,5.4105925713367e-08,5.70764249678081e-15,2.97721077151324e-06,-0.00027468294683257,-6.71135549031639e-09,1.56953227075948e-09,-0.000416351978632824,-6.37948540579399e-09,8.98341240387544e-09,2.77864314392756e-07,0.00309755025035386,6.92961485701212e-06,-7.94813949871956e-06,-7.79496199936323e-11,-1.91061424712149e-08,1.47072951215534e-11,2.87948252248561e-12,-2.1327140856701e-08,-6.63427433284614e-15,2.2204192302757e-09,-8.25147629528524e-15,-2.94614981765296e-07,1.49820161368695e-14,-2.24603917427956e-15,-0.00220531765286735,0.00493221206025714,1.18512779890399e-07,-1.78655821071699e-07,-4.35985879257053e-08,-0.861639318628913,4.39652492860693e-13,0.00835586925556323,8.20451799373706e-07,5.47806016910835e-14,-1.090374518967e-13,1.72826965064547e-14,-1.55077733596815e-05,0.000620662789729512,1.66571673771022e-10,1.49822444362797e-14,5.01512369476974e-06,-7.9016727790521e-15,-8.83960575328205e-10,1.44002054145321e-08,8.29655793745076e-08,-1.4326468015995e-14,-2.89560042610049e-14,1.19162021738998e-07,-1.74984397221267e-14,-9.80780651637871e-09,-3.49769188492514e-14,-9.61563419280062e-16,-7.59628541690919e-15,-7.09427076224972e-15,4.03234939315769e-15,6.45891730439169e-09,-4.00570771422541e-08,5.6256444395229e-15,-1.04432257879143e-07,2.62745578127621e-15,-2.49196792184843e-15,2.66092860425952e-07,-1.58900830716589e-14,-8.02538107072041e-17,-2.3991360799787e-15,-2.58961383565893e-15,1.79056658315628e-15,-8.62026879231012e-15,0.0830454798536656
