"","t1","t2","t3","t4"
"t1",0,0.6485160467,3.76202511912,3.23823136912
"t2",0.6485160467,0,3.61745915262,3.09366540262
"t3",3.76202511912,3.61745915262,0,0.9763340962
"t4",3.23823136912,3.09366540262,0.9763340962,0
