,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,1128.0,1128,1128,1128,1128,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0,1128.0
unique,,6,2,2,1,,,,,,,,,,,,,
top,,HiSSE,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,310,564,700,1128,,,,,,,,,,,,,
mean,186.45744680851064,,,,,0.7906879058427673,0.17526691295673935,0.18647916700802267,0.2052724961414614,0.20851211894713217,0.21785395623026393,0.2038395079597018,0.2029656118345013,0.19592543713908578,0.1999565543951221,0.25011715050547834,0.1981856745630591,0.19510870684614529
std,114.39879482245199,,,,,1.6260698135302132,0.08782627663517593,0.09315323565352195,0.08643620517880111,0.09327829817352767,0.11087536368360885,0.08749663164060498,0.08822762530306748,0.09968976833898523,0.09704920573296631,0.13525295695302442,0.09978954251762742,0.09750180212661592
min,0.0,,,,,0.400948352842434,8.203966901536434e-06,0.0,9.517641300927944e-09,1.7771269021251852e-08,5.3692003882529055e-11,8.080407917891961e-11,3.6645873456266974e-06,1.825326810026662e-07,3.3043307595838566e-05,1.973182090000103e-06,3.27514221801316e-06,5.251074774490038e-05
25%,89.75,,,,,0.5430904496432385,0.12039174463658614,0.13196357549322418,0.164476514356459,0.16321953741192136,0.1557245895772558,0.16184766087830832,0.15666249767682638,0.14302036569032667,0.15226522851126834,0.1672569740876431,0.14417295954871454,0.1389553281994373
50%,172.5,,,,,0.6404228537016035,0.18100810168552464,0.19814345460918945,0.22430545486846432,0.22206913920932206,0.2205367955339641,0.22187892358028,0.22078892735280808,0.20505968883736586,0.21305348749953473,0.2544826623542312,0.20797527926669956,0.206160687291319
75%,282.25,,,,,0.7208845461786072,0.23196995465300735,0.24376919413304898,0.2534451044842873,0.25666954654077356,0.2743338962817301,0.2550166939123857,0.2542036843000312,0.25350842777254695,0.25758761288430654,0.3394198338893146,0.2581196825541023,0.2525391915419161
max,399.0,,,,,35.4844691069326,0.5517360305912471,0.6017014723435585,0.5999924646771604,0.6310793891896842,0.8161889450850408,0.5206474188461621,0.5298267260886202,0.6673288378080401,0.6201201331329601,0.86846440701969,0.610027353283953,0.6886771584709064
