"","t1","t32","t33","t14","t15","t7","t27","t54","t67","t68","t81","t82","t131","t132","t61","t51","t84","t85","t88","t114","t115","t116","t80","t98","t117","t118","t111","t112","t93","t72","t43","t62","t94","t95","t99","t100","t70","t125","t126","t113","t44","t59","t60","t77","t78","t46","t52","t53","t133","t134","t79","t107","t108","t71","t105","t106","t55","t45","t86","t87","t28","t109","t110","t37","t38","t30","t73","t74","t41","t42","t3","t89","t90","t39","t20","t69","t103","t104","t83","t24","t16","t10","t11","t17","t47","t129","t130","t123","t124","t91","t92","t4","t23","t63","t64","t29","t2","t6","t25","t26","t8","t9","t34","t48","t49","t40","t119","t120","t36","t65","t66","t50","t56","t57","t13","t21","t22","t121","t122","t75","t76","t96","t97","t31","t58","t127","t128","t101","t102","t35","t12","t18","t19","t5"
"t1",0,4.92236178263,5.45305812223,3.60106907673,3.55770414793,4.96158403323,5.45305812169,5.45305812169,5.45305812169,5.45305812169,5.42164687752,5.45305812162,5.453058121665,5.453058121665,5.45305812163,5.45305812169,5.45305812159,5.45305812159,5.45305812159,5.45305812162,5.453058121615,5.453058121615,5.45305812169,5.45305812169,5.45305812171,5.45305812171,5.45305812165,5.45305812165,5.45305812169,5.45305812159,5.45305812169,5.45305812169,5.45305812167,5.45305812167,5.45305812172,5.45305812172,5.45305812172,5.45305812167,5.45305812167,5.45305812167,5.22979988192,5.453058121675,5.032008736275,5.45305812172,5.45305812172,4.65342224763,5.45305812178,5.45305812178,5.453058121824,5.453058121824,5.453058121795,5.4530581218,5.4530581218,5.45305812181,5.45305812181,5.45305812181,5.45305812178,4.73434753389,5.45305812124,5.45305812124,5.45305812169,5.45305812177,5.45305812177,5.45305812129,5.45305812129,5.45305812129,5.45305812169,5.45305812169,4.96464848229,5.45305812159,3.03734618419,5.45305812196,5.45305812196,4.78304565056,5.45305812226,5.45305812191,5.45305812181,5.45305812181,5.45305812191,5.32735418771,3.94411809671,5.45305812211,4.38454299511,3.4491067911,4.77859984439,5.45305812164,5.45305812164,5.45305812163,5.45305812163,5.34676851442,5.45305812162,2.53773885462,4.42666982262,5.45305812162,5.09765266772,5.45305812202,2.58947885932,5.11606314612,4.37115821442,4.20822812232,3.07919286412,5.45305812219,5.45305812199,5.39040832619,5.45305812179,5.45305812158,5.45305812182,5.45305812182,4.92442787798,5.45305812178,5.45305812178,5.45305812178,5.45305812171,5.45305812171,4.82512523242,5.45305812132,4.74285248042,5.45305812184,5.45305812184,5.4530581219,5.4530581219,5.45305812221,5.45305812221,5.45305812221,5.4530581216,5.45305812162,5.45305812162,5.4530581217,5.4530581217,5.4530581213,3.5366308044,5.453058122,4.1231559396,2.893519321
"t32",4.92236178263,0,1.9899177404,5.2833815109,5.2400165821,6.6438964674,7.58969073886,7.58969073886,7.58969073886,7.58969073886,7.55827949469,7.58969073879,7.589690738835,7.589690738835,7.5896907388,7.58969073886,7.58969073876,7.58969073876,7.58969073876,7.58969073879,7.589690738785,7.589690738785,7.58969073886,7.58969073886,7.58969073888,7.58969073888,7.58969073882,7.58969073882,7.58969073886,7.58969073876,7.58969073886,7.58969073886,7.58969073884,7.58969073884,7.58969073889,7.58969073889,7.58969073889,7.58969073884,7.58969073884,7.58969073884,7.36643249909,7.589690738845,7.168641353445,7.58969073889,7.58969073889,6.7900548648,7.58969073895,7.58969073895,7.589690738994,7.589690738994,7.589690738965,7.58969073897,7.58969073897,7.58969073898,7.58969073898,7.58969073898,7.58969073895,6.87098015106,7.58969073841,7.58969073841,7.58969073886,7.58969073894,7.58969073894,7.58969073846,7.58969073846,7.58969073846,7.58969073886,7.58969073886,7.10128109946,7.58969073876,5.17397880136,7.58969073913,7.58969073913,6.91967826773,7.58969073943,7.58969073908,7.58969073898,7.58969073898,7.58969073908,7.46398680488,6.08075071388,7.58969073928,6.52117561228,5.58573940827,6.91523246156,7.58969073881,7.58969073881,7.70075936522,7.70075936522,7.59446975801,7.70075936521,5.02122540761,6.91015637561,7.93654467461,7.58113922071,7.93654467501,5.07296541231,7.59954969911,6.85464476741,6.69171467531,5.56267941711,7.93654467518,7.93654467498,7.87389487918,7.93654467478,7.93654467457,7.93654467481,7.93654467481,7.40791443097,7.93654467477,7.93654467477,7.93654467477,7.9365446747,7.9365446747,7.30861178541,7.93654467431,7.22633903341,8.12096253727,8.12096253727,8.12096253733,8.12096253733,8.12096253764,8.12096253764,8.12096253764,8.12096253703,8.12096253705,8.12096253705,8.12096253713,8.12096253713,8.12096253673,6.20453521983,8.12096253743,6.79106035503,5.56142373643
"t33",5.45305812223,1.9899177404,0,5.8140778505,5.7707129217,7.174592807,8.12038707846,8.12038707846,8.12038707846,8.12038707846,8.08897583429,8.12038707839,8.120387078435,8.120387078435,8.1203870784,8.12038707846,8.12038707836,8.12038707836,8.12038707836,8.12038707839,8.120387078385,8.120387078385,8.12038707846,8.12038707846,8.12038707848,8.12038707848,8.12038707842,8.12038707842,8.12038707846,8.12038707836,8.12038707846,8.12038707846,8.12038707844,8.12038707844,8.12038707849,8.12038707849,8.12038707849,8.12038707844,8.12038707844,8.12038707844,7.89712883869,8.120387078445,7.699337693045,8.12038707849,8.12038707849,7.3207512044,8.12038707855,8.12038707855,8.120387078594,8.120387078594,8.120387078565,8.12038707857,8.12038707857,8.12038707858,8.12038707858,8.12038707858,8.12038707855,7.40167649066,8.12038707801,8.12038707801,8.12038707846,8.12038707854,8.12038707854,8.12038707806,8.12038707806,8.12038707806,8.12038707846,8.12038707846,7.63197743906,8.12038707836,5.70467514096,8.12038707873,8.12038707873,7.45037460733,8.12038707903,8.12038707868,8.12038707858,8.12038707858,8.12038707868,7.99468314448,6.61144705348,8.12038707888,7.05187195188,6.11643574787,7.44592880116,8.12038707841,8.12038707841,8.23145570482,8.23145570482,8.12516609761,8.23145570481,5.55192174721,7.44085271521,8.46724101421,8.11183556031,8.46724101461,5.60366175191,8.13024603871,7.38534110701,7.22241101491,6.09337575671,8.46724101478,8.46724101458,8.40459121878,8.46724101438,8.46724101417,8.46724101441,8.46724101441,7.93861077057,8.46724101437,8.46724101437,8.46724101437,8.4672410143,8.4672410143,7.83930812501,8.46724101391,7.75703537301,8.65165887687,8.65165887687,8.65165887693,8.65165887693,8.65165887724,8.65165887724,8.65165887724,8.65165887663,8.65165887665,8.65165887665,8.65165887673,8.65165887673,8.65165887633,6.73523155943,8.65165887703,7.32175669463,6.09212007603
"t14",3.60106907673,5.2833815109,5.8140778505,0,0.4025128192,3.0471578335,6.26839803296,6.26839803296,6.26839803296,6.26839803296,6.23698678879,6.26839803289,6.268398032935,6.268398032935,6.2683980329,6.26839803296,6.26839803286,6.26839803286,6.26839803286,6.26839803289,6.268398032885,6.268398032885,6.26839803296,6.26839803296,6.26839803298,6.26839803298,6.26839803292,6.26839803292,6.26839803296,6.26839803286,6.26839803296,6.26839803296,6.26839803294,6.26839803294,6.26839803299,6.26839803299,6.26839803299,6.26839803294,6.26839803294,6.26839803294,6.04513979319,6.268398032945,5.847348647545,6.26839803299,6.26839803299,5.4687621589,6.26839803305,6.26839803305,6.268398033094,6.268398033094,6.268398033065,6.26839803307,6.26839803307,6.26839803308,6.26839803308,6.26839803308,6.26839803305,5.54968744516,6.26839803251,6.26839803251,6.26839803296,6.26839803304,6.26839803304,6.26839803256,6.26839803256,6.26839803256,6.26839803296,6.26839803296,5.77998839356,6.26839803286,3.85268609546,6.26839803323,6.26839803323,5.59838556183,6.26839803353,6.26839803318,6.26839803308,6.26839803308,6.26839803318,6.14269409898,4.75945800798,6.26839803338,5.19988290638,4.26444670237,5.59393975566,6.26839803291,6.26839803291,6.37946665932,6.37946665932,6.27317705211,6.37946665931,3.69993270171,5.58886366971,6.61525196871,6.25984651481,6.61525196911,3.75167270641,6.27825699321,5.53335206151,5.37042196941,4.24138671121,6.61525196928,6.61525196908,6.55260217328,6.61525196888,6.61525196867,6.61525196891,6.61525196891,6.08662172507,6.61525196887,6.61525196887,6.61525196887,6.6152519688,6.6152519688,5.98731907951,6.61525196841,5.90504632751,6.79966983137,6.79966983137,6.79966983143,6.79966983143,6.79966983174,6.79966983174,6.79966983174,6.79966983113,6.79966983115,6.79966983115,6.79966983123,6.79966983123,6.79966983083,4.88324251393,6.79966983153,5.46976764913,4.24013103053
"t15",3.55770414793,5.2400165821,5.7707129217,0.4025128192,0,3.0037929047,6.22503310416,6.22503310416,6.22503310416,6.22503310416,6.19362185999,6.22503310409,6.225033104135,6.225033104135,6.2250331041,6.22503310416,6.22503310406,6.22503310406,6.22503310406,6.22503310409,6.225033104085,6.225033104085,6.22503310416,6.22503310416,6.22503310418,6.22503310418,6.22503310412,6.22503310412,6.22503310416,6.22503310406,6.22503310416,6.22503310416,6.22503310414,6.22503310414,6.22503310419,6.22503310419,6.22503310419,6.22503310414,6.22503310414,6.22503310414,6.00177486439,6.225033104145,5.803983718745,6.22503310419,6.22503310419,5.4253972301,6.22503310425,6.22503310425,6.225033104294,6.225033104294,6.225033104265,6.22503310427,6.22503310427,6.22503310428,6.22503310428,6.22503310428,6.22503310425,5.50632251636,6.22503310371,6.22503310371,6.22503310416,6.22503310424,6.22503310424,6.22503310376,6.22503310376,6.22503310376,6.22503310416,6.22503310416,5.73662346476,6.22503310406,3.80932116666,6.22503310443,6.22503310443,5.55502063303,6.22503310473,6.22503310438,6.22503310428,6.22503310428,6.22503310438,6.09932917018,4.71609307918,6.22503310458,5.15651797758,4.22108177357,5.55057482686,6.22503310411,6.22503310411,6.33610173052,6.33610173052,6.22981212331,6.33610173051,3.65656777291,5.54549874091,6.57188703991,6.21648158601,6.57188704031,3.70830777761,6.23489206441,5.48998713271,5.32705704061,4.19802178241,6.57188704048,6.57188704028,6.50923724448,6.57188704008,6.57188703987,6.57188704011,6.57188704011,6.04325679627,6.57188704007,6.57188704007,6.57188704007,6.57188704,6.57188704,5.94395415071,6.57188703961,5.86168139871,6.75630490257,6.75630490257,6.75630490263,6.75630490263,6.75630490294,6.75630490294,6.75630490294,6.75630490233,6.75630490235,6.75630490235,6.75630490243,6.75630490243,6.75630490203,4.83987758513,6.75630490273,5.42640272033,4.19676610173
"t7",4.96158403323,6.6438964674,7.174592807,3.0471578335,3.0037929047,0,7.62891298946,7.62891298946,7.62891298946,7.62891298946,7.59750174529,7.62891298939,7.628912989435,7.628912989435,7.6289129894,7.62891298946,7.62891298936,7.62891298936,7.62891298936,7.62891298939,7.628912989385,7.628912989385,7.62891298946,7.62891298946,7.62891298948,7.62891298948,7.62891298942,7.62891298942,7.62891298946,7.62891298936,7.62891298946,7.62891298946,7.62891298944,7.62891298944,7.62891298949,7.62891298949,7.62891298949,7.62891298944,7.62891298944,7.62891298944,7.40565474969,7.628912989445,7.207863604045,7.62891298949,7.62891298949,6.8292771154,7.62891298955,7.62891298955,7.628912989594,7.628912989594,7.628912989565,7.62891298957,7.62891298957,7.62891298958,7.62891298958,7.62891298958,7.62891298955,6.91020240166,7.62891298901,7.62891298901,7.62891298946,7.62891298954,7.62891298954,7.62891298906,7.62891298906,7.62891298906,7.62891298946,7.62891298946,7.14050335006,7.62891298936,5.21320105196,7.62891298973,7.62891298973,6.95890051833,7.62891299003,7.62891298968,7.62891298958,7.62891298958,7.62891298968,7.50320905548,6.11997296448,7.62891298988,6.56039786288,5.62496165887,6.95445471216,7.62891298941,7.62891298941,7.73998161582,7.73998161582,7.63369200861,7.73998161581,5.06044765821,6.94937862621,7.97576692521,7.62036147131,7.97576692561,5.11218766291,7.63877194971,6.89386701801,6.73093692591,5.60190166771,7.97576692578,7.97576692558,7.91311712978,7.97576692538,7.97576692517,7.97576692541,7.97576692541,7.44713668157,7.97576692537,7.97576692537,7.97576692537,7.9757669253,7.9757669253,7.34783403601,7.97576692491,7.26556128401,8.16018478787,8.16018478787,8.16018478793,8.16018478793,8.16018478824,8.16018478824,8.16018478824,8.16018478763,8.16018478765,8.16018478765,8.16018478773,8.16018478773,8.16018478733,6.24375747043,8.16018478803,6.83028260563,5.60064598703
"t27",5.45305812169,7.58969073886,8.12038707846,6.26839803296,6.22503310416,7.62891298946,0,2.812176914,2.812176914,2.812176914,2.78076566983,2.81217691393,2.812176913975,2.812176913975,2.81217691394,2.812176914,2.8121769139,2.8121769139,2.8121769139,2.81217691393,2.812176913925,2.812176913925,2.812176914,2.812176914,2.81217691402,2.81217691402,2.81217691396,2.81217691396,2.812176914,2.8121769139,2.812176914,3.4923579016,3.49235790158,3.49235790158,3.49235790163,3.49235790163,3.49235790163,3.49235790158,3.49235790158,3.49235790158,3.26909966183,3.492357901585,3.071308516185,3.49235790163,3.49235790163,2.69272202754,3.49235790169,3.49235790169,3.492357901734,3.492357901734,3.492357901705,3.49235790171,3.49235790171,3.49235790172,3.49235790172,3.49235790172,3.49235790169,2.7736473138,3.49235790115,3.49235790115,3.4923579016,3.49235790168,3.49235790168,4.8433698154,4.8433698154,4.8433698154,4.8433698158,4.8433698158,4.3549601764,4.8433698157,4.2819275301,8.02861550607,8.02861550607,7.35860303467,8.02861550637,8.02861550602,8.02861550592,8.02861550592,8.02861550602,7.90291157182,6.51967548082,8.02861550622,6.96010037922,6.02466417521,7.3541572285,8.02861550575,8.02861550575,8.23145570428,8.23145570428,8.12516609707,8.23145570427,5.55192174667,7.44085271467,8.46724101367,8.11183555977,8.46724101407,5.60366175137,8.13024603817,7.38534110647,7.22241101437,6.09337575617,8.46724101424,8.46724101404,8.40459121824,8.46724101384,8.46724101363,8.46724101387,8.46724101387,7.93861077003,8.46724101383,8.46724101383,8.46724101383,8.46724101376,8.46724101376,7.83930812447,8.46724101337,7.75703537247,8.65165887633,8.65165887633,8.65165887639,8.65165887639,8.6516588767,8.6516588767,8.6516588767,8.65165887609,8.65165887611,8.65165887611,8.65165887619,8.65165887619,8.65165887579,6.73523155889,8.65165887649,7.32175669409,6.09212007549
"t54",5.45305812169,7.58969073886,8.12038707846,6.26839803296,6.22503310416,7.62891298946,2.812176914,0,1.4034619386,1.4034619386,2.07386585103,2.10527709513,2.105277095175,2.105277095175,2.10527709514,2.1052770952,2.1052770951,2.1052770951,2.1052770951,2.10527709513,2.105277095125,2.105277095125,2.4897102792,2.4897102792,2.48971027922,2.48971027922,2.48971027916,2.48971027916,2.4897102792,2.4897102791,2.4897102792,3.4923579016,3.49235790158,3.49235790158,3.49235790163,3.49235790163,3.49235790163,3.49235790158,3.49235790158,3.49235790158,3.26909966183,3.492357901585,3.071308516185,3.49235790163,3.49235790163,2.69272202754,3.49235790169,3.49235790169,3.492357901734,3.492357901734,3.492357901705,3.49235790171,3.49235790171,3.49235790172,3.49235790172,3.49235790172,3.49235790169,2.7736473138,3.49235790115,3.49235790115,3.4923579016,3.49235790168,3.49235790168,4.8433698154,4.8433698154,4.8433698154,4.8433698158,4.8433698158,4.3549601764,4.8433698157,4.2819275301,8.02861550607,8.02861550607,7.35860303467,8.02861550637,8.02861550602,8.02861550592,8.02861550592,8.02861550602,7.90291157182,6.51967548082,8.02861550622,6.96010037922,6.02466417521,7.3541572285,8.02861550575,8.02861550575,8.23145570428,8.23145570428,8.12516609707,8.23145570427,5.55192174667,7.44085271467,8.46724101367,8.11183555977,8.46724101407,5.60366175137,8.13024603817,7.38534110647,7.22241101437,6.09337575617,8.46724101424,8.46724101404,8.40459121824,8.46724101384,8.46724101363,8.46724101387,8.46724101387,7.93861077003,8.46724101383,8.46724101383,8.46724101383,8.46724101376,8.46724101376,7.83930812447,8.46724101337,7.75703537247,8.65165887633,8.65165887633,8.65165887639,8.65165887639,8.6516588767,8.6516588767,8.6516588767,8.65165887609,8.65165887611,8.65165887611,8.65165887619,8.65165887619,8.65165887579,6.73523155889,8.65165887649,7.32175669409,6.09212007549
"t67",5.45305812169,7.58969073886,8.12038707846,6.26839803296,6.22503310416,7.62891298946,2.812176914,1.4034619386,0,1.0322756022,2.07386585103,2.10527709513,2.105277095175,2.105277095175,2.10527709514,2.1052770952,2.1052770951,2.1052770951,2.1052770951,2.10527709513,2.105277095125,2.105277095125,2.4897102792,2.4897102792,2.48971027922,2.48971027922,2.48971027916,2.48971027916,2.4897102792,2.4897102791,2.4897102792,3.4923579016,3.49235790158,3.49235790158,3.49235790163,3.49235790163,3.49235790163,3.49235790158,3.49235790158,3.49235790158,3.26909966183,3.492357901585,3.071308516185,3.49235790163,3.49235790163,2.69272202754,3.49235790169,3.49235790169,3.492357901734,3.492357901734,3.492357901705,3.49235790171,3.49235790171,3.49235790172,3.49235790172,3.49235790172,3.49235790169,2.7736473138,3.49235790115,3.49235790115,3.4923579016,3.49235790168,3.49235790168,4.8433698154,4.8433698154,4.8433698154,4.8433698158,4.8433698158,4.3549601764,4.8433698157,4.2819275301,8.02861550607,8.02861550607,7.35860303467,8.02861550637,8.02861550602,8.02861550592,8.02861550592,8.02861550602,7.90291157182,6.51967548082,8.02861550622,6.96010037922,6.02466417521,7.3541572285,8.02861550575,8.02861550575,8.23145570428,8.23145570428,8.12516609707,8.23145570427,5.55192174667,7.44085271467,8.46724101367,8.11183555977,8.46724101407,5.60366175137,8.13024603817,7.38534110647,7.22241101437,6.09337575617,8.46724101424,8.46724101404,8.40459121824,8.46724101384,8.46724101363,8.46724101387,8.46724101387,7.93861077003,8.46724101383,8.46724101383,8.46724101383,8.46724101376,8.46724101376,7.83930812447,8.46724101337,7.75703537247,8.65165887633,8.65165887633,8.65165887639,8.65165887639,8.6516588767,8.6516588767,8.6516588767,8.65165887609,8.65165887611,8.65165887611,8.65165887619,8.65165887619,8.65165887579,6.73523155889,8.65165887649,7.32175669409,6.09212007549
"t68",5.45305812169,7.58969073886,8.12038707846,6.26839803296,6.22503310416,7.62891298946,2.812176914,1.4034619386,1.0322756022,0,2.07386585103,2.10527709513,2.105277095175,2.105277095175,2.10527709514,2.1052770952,2.1052770951,2.1052770951,2.1052770951,2.10527709513,2.105277095125,2.105277095125,2.4897102792,2.4897102792,2.48971027922,2.48971027922,2.48971027916,2.48971027916,2.4897102792,2.4897102791,2.4897102792,3.4923579016,3.49235790158,3.49235790158,3.49235790163,3.49235790163,3.49235790163,3.49235790158,3.49235790158,3.49235790158,3.26909966183,3.492357901585,3.071308516185,3.49235790163,3.49235790163,2.69272202754,3.49235790169,3.49235790169,3.492357901734,3.492357901734,3.492357901705,3.49235790171,3.49235790171,3.49235790172,3.49235790172,3.49235790172,3.49235790169,2.7736473138,3.49235790115,3.49235790115,3.4923579016,3.49235790168,3.49235790168,4.8433698154,4.8433698154,4.8433698154,4.8433698158,4.8433698158,4.3549601764,4.8433698157,4.2819275301,8.02861550607,8.02861550607,7.35860303467,8.02861550637,8.02861550602,8.02861550592,8.02861550592,8.02861550602,7.90291157182,6.51967548082,8.02861550622,6.96010037922,6.02466417521,7.3541572285,8.02861550575,8.02861550575,8.23145570428,8.23145570428,8.12516609707,8.23145570427,5.55192174667,7.44085271467,8.46724101367,8.11183555977,8.46724101407,5.60366175137,8.13024603817,7.38534110647,7.22241101437,6.09337575617,8.46724101424,8.46724101404,8.40459121824,8.46724101384,8.46724101363,8.46724101387,8.46724101387,7.93861077003,8.46724101383,8.46724101383,8.46724101383,8.46724101376,8.46724101376,7.83930812447,8.46724101337,7.75703537247,8.65165887633,8.65165887633,8.65165887639,8.65165887639,8.6516588767,8.6516588767,8.6516588767,8.65165887609,8.65165887611,8.65165887611,8.65165887619,8.65165887619,8.65165887579,6.73523155889,8.65165887649,7.32175669409,6.09212007549
