,0,1,2,3,4,5,6,7,8,9,10,11,12,13
t92,12.63787,5.7373176,1.8448707,2.727319,10.575339,6.073432,7.712684,3.789091,4.88719,3.3115447,1.4261466,10.229565,10.437587,3.869429
t93,12.686822,5.829607,1.8352215,2.686473,10.551909,5.994453,7.8104677,3.6763778,4.9023886,3.2892425,1.4236668,10.19012,10.496397,3.7596607
t74,12.691406,5.779981,1.784187,2.6956358,10.541147,6.01637,7.673597,3.7975774,4.924041,3.2770088,1.5132594,10.151827,10.508991,3.8823206
t94,12.623499,5.7925806,1.8646941,2.737897,10.596564,6.06546,7.783875,3.718974,4.865304,3.3328006,1.4003624,10.218217,10.4273205,3.7926264
t95,12.693847,5.8301396,1.837925,2.667974,10.532663,5.98977,7.8076406,3.6459596,4.9210114,3.2699482,1.3780173,10.231174,10.489731,3.7582893
t43,12.7141695,5.920607,1.6019719,2.6468737,10.430962,6.0323043,7.890021,3.663411,5.0636806,3.163941,1.6071734,10.071564,10.483452,3.705298
t77,12.712542,5.7886324,1.5570368,2.7613852,10.4904995,6.041666,7.740402,3.8287616,5.0025496,3.2237961,1.6502138,10.004685,10.527807,3.7476993
t78,12.68574,5.8921576,1.5993756,2.714643,10.476919,6.0576897,7.8193746,3.7327552,5.0239496,3.2088358,1.6253825,10.053089,10.481966,3.7600915
t37,12.768548,5.8501225,1.556196,2.6853478,10.40113,6.003157,7.8006635,3.763305,5.09367,3.1340144,1.6765026,9.99114,10.558238,3.728336
t8,12.724332,5.891875,1.5976361,2.6804156,10.440404,6.027275,7.824877,3.726825,5.0552945,3.1732717,1.6278967,10.043741,10.513018,3.744595
t7,12.746492,5.925179,1.6347408,2.6142747,10.397902,6.0045867,7.893116,3.6398358,5.0882587,3.131343,1.5431389,10.114202,10.493484,3.6896846
t42,-3.792291,5.031306,5.5558457,2.7928002,6.486321,4.0700617,4.4277024,4.5625386,10.642411,5.176169,5.7724366,3.7553067,7.2878475,5.3935757
t48,-3.7396293,5.1342034,5.7166405,2.6836338,6.4398947,4.076602,4.3186316,4.6689734,10.462834,5.1694093,5.8454204,3.6828609,7.19198,5.23209
t59,-3.7343981,5.0336947,5.6631336,2.7029326,6.433038,4.114982,4.408656,4.5856137,10.498658,5.1925955,5.86068,3.6624644,7.2457285,5.2590594
t60,-3.8044288,5.090507,5.5923414,2.770173,6.415975,4.134763,4.472594,4.636857,10.576133,5.2403617,5.864183,3.6979663,7.3239317,5.34222
t27,-3.8263505,5.0347996,5.619416,2.7713141,6.3677435,4.1859965,4.4854984,4.5551577,10.519561,5.1754627,5.8382473,3.6714401,7.2573447,5.280066
t28,-3.824134,5.0880384,5.556521,2.8054957,6.461002,4.088253,4.4730825,4.6207457,10.600689,5.2130876,5.825304,3.7389553,7.322824,5.36223
t46,-3.6911483,5.1732974,5.6896644,2.677379,6.4568596,4.039489,4.28053,4.7393546,10.517689,5.227815,5.887033,3.6809983,7.247836,5.274241
t51,-3.6913888,5.155125,5.6360025,2.7075713,6.438586,4.051114,4.301681,4.7468605,10.565493,5.2882476,5.9480906,3.6560059,7.3009195,5.324381
t52,-3.7321901,5.0752234,5.6010885,2.7342403,6.3873987,4.149839,4.409969,4.6662645,10.591642,5.3,5.9437194,3.6457758,7.3337746,5.3538337
t4,-5.273481,5.144766,5.4148765,3.2202294,3.3841844,6.451504,5.9846435,4.184308,10.284713,4.308935,5.583524,2.3139005,5.5970016,2.8979597
t5,-4.261429,5.125885,5.65386,3.446798,3.7793853,6.2337337,6.1448193,4.0555797,9.686987,3.7745764,5.566017,3.0163603,5.264483,3.502448
t18,-4.5718985,5.136168,5.542391,3.3255541,3.6615257,6.3017926,6.0199556,4.102382,9.891829,3.9561899,5.5407662,2.8144307,5.396036,3.3693748
