"","t92","t93","t74","t94","t95","t43","t77","t78","t37","t8","t7","t42","t48","t59","t60","t27","t28","t46","t51","t52","t4","t5","t18","t45","t131","t132","t53","t54","t133","t140","t141","t75","t76","t41","t61","t62","t47","t112","t113","t6","t13","t14","t82","t123","t124","t16","t49","t50","t110","t111","t12","t9","t55","t127","t128","t69","t119","t120","t106","t107","t11","t67","t68","t20","t72","t108","t109","t97","t98","t99","t129","t130","t125","t126","t29","t30","t34","t80","t81","t44","t114","t115","t117","t118","t136","t137","t40","t138","t139","t83","t64","t91","t134","t135","t17","t31","t32","t102","t103","t96","t15","t22","t57","t58","t70","t71","t33","t79","t84","t104","t105","t2","t65","t66","t116","t121","t122","t3","t1","t87","t88","t73","t56","t35","t19","t25","t26","t38","t39","t21","t10","t85","t86","t63","t36","t89","t90","t100","t101","t23","t24"
"t92",0,0.578404608,1.0851168534,1.6930254369,1.45495665459,4.54752593468,4.60715348058,4.60715348058,4.6071534809,4.6071534805,3.6112409189,7.3813832143,6.5570278568,7.38138321435,7.38138321435,7.381383214241,7.381383214241,6.49982601559,6.96539761937,7.38138321437,7.38138321468,5.41323155326,6.52125932998,7.38138321468,7.38138321471,7.38138321471,7.38138321458,7.38138321458,7.38138321455,7.38138321455,7.38138321455,7.38138321458,7.38138321458,6.49172986463,7.38138321432,7.36926071652,7.38138321432,7.38138321438,7.38138321438,6.0075179908,7.3813832151,7.38138321486,7.38138321446,7.38138321451,7.38138321451,6.03531241217,7.38138321467,6.77771377597,7.38138321437,7.38138321437,5.90473379337,5.69843956365,6.60037641875,7.38138321461,7.38138321461,7.38138321463,7.38138321459,7.38138321459,7.38138321466,7.38138321466,7.02485736127,7.38138321457,7.16566536277,6.96417089537,7.3813832143,7.38138321431,7.38138321431,7.3813832143,7.25255087382,7.3813832146,7.38138321463,7.38138321463,7.38138321465,7.38138321465,7.38138321473,7.38138321473,6.4419067911,7.3813832147,7.01379344509,7.38138321466,7.38138321466,7.38138321466,7.38138321466,7.38138321466,7.3813832146,7.3813832146,7.38138321467,7.38138321473,7.38138321473,7.09619512977,7.38138321467,7.15157598658,7.38138321474,7.38138321474,6.6637896898,6.24890357309,6.4571577782,7.38138321454,7.38138321454,7.3813832146,7.38138321469,7.21052576229,7.38138321469,7.38138321469,7.38138321469,7.38138321469,7.38138321479,7.38138321499,7.38138321497,7.38138321497,7.38138321497,5.494529343,7.10010304672,7.38138321492,7.38138321492,7.38138321493,7.38138321493,5.11804660225,4.75042177722,7.0946649482,7.38138321482,7.38138321482,6.69762050173,7.38138321502,7.30831575042,7.38138321508,6.99503491748,7.24258399005,7.38138321475,6.6944151188,6.2780915289,7.397023323269,7.083513539719,7.397023323269,7.397023323769,7.397023323739,7.397023323739,7.397023323769,7.397023323769,6.751745816269,7.397023323569
"t93",0.578404608,0,1.0851168534,1.6930254369,1.45495665459,4.54752593468,4.60715348058,4.60715348058,4.6071534809,4.6071534805,3.6112409189,7.3813832143,6.5570278568,7.38138321435,7.38138321435,7.381383214241,7.381383214241,6.49982601559,6.96539761937,7.38138321437,7.38138321468,5.41323155326,6.52125932998,7.38138321468,7.38138321471,7.38138321471,7.38138321458,7.38138321458,7.38138321455,7.38138321455,7.38138321455,7.38138321458,7.38138321458,6.49172986463,7.38138321432,7.36926071652,7.38138321432,7.38138321438,7.38138321438,6.0075179908,7.3813832151,7.38138321486,7.38138321446,7.38138321451,7.38138321451,6.03531241217,7.38138321467,6.77771377597,7.38138321437,7.38138321437,5.90473379337,5.69843956365,6.60037641875,7.38138321461,7.38138321461,7.38138321463,7.38138321459,7.38138321459,7.38138321466,7.38138321466,7.02485736127,7.38138321457,7.16566536277,6.96417089537,7.3813832143,7.38138321431,7.38138321431,7.3813832143,7.25255087382,7.3813832146,7.38138321463,7.38138321463,7.38138321465,7.38138321465,7.38138321473,7.38138321473,6.4419067911,7.3813832147,7.01379344509,7.38138321466,7.38138321466,7.38138321466,7.38138321466,7.38138321466,7.3813832146,7.3813832146,7.38138321467,7.38138321473,7.38138321473,7.09619512977,7.38138321467,7.15157598658,7.38138321474,7.38138321474,6.6637896898,6.24890357309,6.4571577782,7.38138321454,7.38138321454,7.3813832146,7.38138321469,7.21052576229,7.38138321469,7.38138321469,7.38138321469,7.38138321469,7.38138321479,7.38138321499,7.38138321497,7.38138321497,7.38138321497,5.494529343,7.10010304672,7.38138321492,7.38138321492,7.38138321493,7.38138321493,5.11804660225,4.75042177722,7.0946649482,7.38138321482,7.38138321482,6.69762050173,7.38138321502,7.30831575042,7.38138321508,6.99503491748,7.24258399005,7.38138321475,6.6944151188,6.2780915289,7.397023323269,7.083513539719,7.397023323269,7.397023323769,7.397023323739,7.397023323739,7.397023323769,7.397023323769,6.751745816269,7.397023323569
"t74",1.0851168534,1.0851168534,0,1.6930254369,1.45495665459,4.54752593468,4.60715348058,4.60715348058,4.6071534809,4.6071534805,3.6112409189,7.3813832143,6.5570278568,7.38138321435,7.38138321435,7.381383214241,7.381383214241,6.49982601559,6.96539761937,7.38138321437,7.38138321468,5.41323155326,6.52125932998,7.38138321468,7.38138321471,7.38138321471,7.38138321458,7.38138321458,7.38138321455,7.38138321455,7.38138321455,7.38138321458,7.38138321458,6.49172986463,7.38138321432,7.36926071652,7.38138321432,7.38138321438,7.38138321438,6.0075179908,7.3813832151,7.38138321486,7.38138321446,7.38138321451,7.38138321451,6.03531241217,7.38138321467,6.77771377597,7.38138321437,7.38138321437,5.90473379337,5.69843956365,6.60037641875,7.38138321461,7.38138321461,7.38138321463,7.38138321459,7.38138321459,7.38138321466,7.38138321466,7.02485736127,7.38138321457,7.16566536277,6.96417089537,7.3813832143,7.38138321431,7.38138321431,7.3813832143,7.25255087382,7.3813832146,7.38138321463,7.38138321463,7.38138321465,7.38138321465,7.38138321473,7.38138321473,6.4419067911,7.3813832147,7.01379344509,7.38138321466,7.38138321466,7.38138321466,7.38138321466,7.38138321466,7.3813832146,7.3813832146,7.38138321467,7.38138321473,7.38138321473,7.09619512977,7.38138321467,7.15157598658,7.38138321474,7.38138321474,6.6637896898,6.24890357309,6.4571577782,7.38138321454,7.38138321454,7.3813832146,7.38138321469,7.21052576229,7.38138321469,7.38138321469,7.38138321469,7.38138321469,7.38138321479,7.38138321499,7.38138321497,7.38138321497,7.38138321497,5.494529343,7.10010304672,7.38138321492,7.38138321492,7.38138321493,7.38138321493,5.11804660225,4.75042177722,7.0946649482,7.38138321482,7.38138321482,6.69762050173,7.38138321502,7.30831575042,7.38138321508,6.99503491748,7.24258399005,7.38138321475,6.6944151188,6.2780915289,7.397023323269,7.083513539719,7.397023323269,7.397023323769,7.397023323739,7.397023323739,7.397023323769,7.397023323769,6.751745816269,7.397023323569
"t94",1.6930254369,1.6930254369,1.6930254369,0,0.27376641409,4.54752593478,4.60715348068,4.60715348068,4.607153481,4.6071534806,3.611240919,7.3813832144,6.5570278569,7.38138321445,7.38138321445,7.381383214341,7.381383214341,6.49982601569,6.96539761947,7.38138321447,7.38138321478,5.41323155336,6.52125933008,7.38138321478,7.38138321481,7.38138321481,7.38138321468,7.38138321468,7.38138321465,7.38138321465,7.38138321465,7.38138321468,7.38138321468,6.49172986473,7.38138321442,7.36926071662,7.38138321442,7.38138321448,7.38138321448,6.0075179909,7.3813832152,7.38138321496,7.38138321456,7.38138321461,7.38138321461,6.03531241227,7.38138321477,6.77771377607,7.38138321447,7.38138321447,5.90473379347,5.69843956375,6.60037641885,7.38138321471,7.38138321471,7.38138321473,7.38138321469,7.38138321469,7.38138321476,7.38138321476,7.02485736137,7.38138321467,7.16566536287,6.96417089547,7.3813832144,7.38138321441,7.38138321441,7.3813832144,7.25255087392,7.3813832147,7.38138321473,7.38138321473,7.38138321475,7.38138321475,7.38138321483,7.38138321483,6.4419067912,7.3813832148,7.01379344519,7.38138321476,7.38138321476,7.38138321476,7.38138321476,7.38138321476,7.3813832147,7.3813832147,7.38138321477,7.38138321483,7.38138321483,7.09619512987,7.38138321477,7.15157598668,7.38138321484,7.38138321484,6.6637896899,6.24890357319,6.4571577783,7.38138321464,7.38138321464,7.3813832147,7.38138321479,7.21052576239,7.38138321479,7.38138321479,7.38138321479,7.38138321479,7.38138321489,7.38138321509,7.38138321507,7.38138321507,7.38138321507,5.4945293431,7.10010304682,7.38138321502,7.38138321502,7.38138321503,7.38138321503,5.11804660235,4.75042177732,7.0946649483,7.38138321492,7.38138321492,6.69762050183,7.38138321512,7.30831575052,7.38138321518,6.99503491758,7.24258399015,7.38138321485,6.6944151189,6.278091529,7.397023323369,7.083513539819,7.397023323369,7.397023323869,7.397023323839,7.397023323839,7.397023323869,7.397023323869,6.751745816369,7.397023323669
"t95",1.45495665459,1.45495665459,1.45495665459,0.27376641409,0,4.30945715247,4.36908469837,4.36908469837,4.36908469869,4.36908469829,3.37317213669,7.14331443209,6.31895907459,7.14331443214,7.14331443214,7.143314432031,7.143314432031,6.26175723338,6.72732883716,7.14331443216,7.14331443247,5.17516277105,6.28319054777,7.14331443247,7.1433144325,7.1433144325,7.14331443237,7.14331443237,7.14331443234,7.14331443234,7.14331443234,7.14331443237,7.14331443237,6.25366108242,7.14331443211,7.13119193431,7.14331443211,7.14331443217,7.14331443217,5.76944920859,7.14331443289,7.14331443265,7.14331443225,7.1433144323,7.1433144323,5.79724362996,7.14331443246,6.53964499376,7.14331443216,7.14331443216,5.66666501116,5.46037078144,6.36230763654,7.1433144324,7.1433144324,7.14331443242,7.14331443238,7.14331443238,7.14331443245,7.14331443245,6.78678857906,7.14331443236,6.92759658056,6.72610211316,7.14331443209,7.1433144321,7.1433144321,7.14331443209,7.01448209161,7.14331443239,7.14331443242,7.14331443242,7.14331443244,7.14331443244,7.14331443252,7.14331443252,6.20383800889,7.14331443249,6.77572466288,7.14331443245,7.14331443245,7.14331443245,7.14331443245,7.14331443245,7.14331443239,7.14331443239,7.14331443246,7.14331443252,7.14331443252,6.85812634756,7.14331443246,6.91350720437,7.14331443253,7.14331443253,6.42572090759,6.01083479088,6.21908899599,7.14331443233,7.14331443233,7.14331443239,7.14331443248,6.97245698008,7.14331443248,7.14331443248,7.14331443248,7.14331443248,7.14331443258,7.14331443278,7.14331443276,7.14331443276,7.14331443276,5.25646056079,6.86203426451,7.14331443271,7.14331443271,7.14331443272,7.14331443272,4.87997782004,4.51235299501,6.85659616599,7.14331443261,7.14331443261,6.45955171952,7.14331443281,7.07024696821,7.14331443287,6.75696613527,7.00451520784,7.14331443254,6.45634633659,6.04002274669,7.158954541059,6.845444757509,7.158954541059,7.158954541559,7.158954541529,7.158954541529,7.158954541559,7.158954541559,6.513677034059,7.158954541359
"t43",4.54752593468,4.54752593468,4.54752593468,4.54752593478,4.30945715247,0,1.8118670037,1.8118670037,1.97132299778,3.43240548818,2.69796824858,7.32175566818,6.49740031068,7.32175566823,7.32175566823,7.321755668121,7.321755668121,6.44019846947,6.90577007325,7.32175566825,7.32175566856,5.35360400714,6.46163178386,7.32175566856,7.32175566859,7.32175566859,7.32175566846,7.32175566846,7.32175566843,7.32175566843,7.32175566843,7.32175566846,7.32175566846,6.43210231851,7.3217556682,7.3096331704,7.3217556682,7.32175566826,7.32175566826,5.94789044468,7.32175566898,7.32175566874,7.32175566834,7.32175566839,7.32175566839,5.97568486605,7.32175566855,6.71808622985,7.32175566825,7.32175566825,5.84510624725,5.63881201753,6.54074887263,7.32175566849,7.32175566849,7.32175566851,7.32175566847,7.32175566847,7.32175566854,7.32175566854,6.96522981515,7.32175566845,7.10603781665,6.90454334925,7.32175566818,7.32175566819,7.32175566819,7.32175566818,7.1929233277,7.32175566848,7.32175566851,7.32175566851,7.32175566853,7.32175566853,7.32175566861,7.32175566861,6.38227924498,7.32175566858,6.95416589897,7.32175566854,7.32175566854,7.32175566854,7.32175566854,7.32175566854,7.32175566848,7.32175566848,7.32175566855,7.32175566861,7.32175566861,7.03656758365,7.32175566855,7.09194844046,7.32175566862,7.32175566862,6.60416214368,6.18927602697,6.39753023208,7.32175566842,7.32175566842,7.32175566848,7.32175566857,7.15089821617,7.32175566857,7.32175566857,7.32175566857,7.32175566857,7.32175566867,7.32175566887,7.32175566885,7.32175566885,7.32175566885,5.43490179688,7.0404755006,7.3217556688,7.3217556688,7.32175566881,7.32175566881,5.05841905613,4.6907942311,7.03503740208,7.3217556687,7.3217556687,6.63799295561,7.3217556689,7.2486882043,7.32175566896,6.93540737136,7.18295644393,7.32175566863,6.63478757268,6.21846398278,7.337395777149,7.023885993599,7.337395777149,7.337395777649,7.337395777619,7.337395777619,7.337395777649,7.337395777649,6.692118270149,7.337395777449
"t77",4.60715348058,4.60715348058,4.60715348058,4.60715348068,4.36908469837,1.8118670037,0,0.9742241784,2.03095054368,3.49203303408,2.75759579448,7.38138321408,6.55702785658,7.38138321413,7.38138321413,7.381383214021,7.381383214021,6.49982601537,6.96539761915,7.38138321415,7.38138321446,5.41323155304,6.52125932976,7.38138321446,7.38138321449,7.38138321449,7.38138321436,7.38138321436,7.38138321433,7.38138321433,7.38138321433,7.38138321436,7.38138321436,6.49172986441,7.3813832141,7.3692607163,7.3813832141,7.38138321416,7.38138321416,6.00751799058,7.38138321488,7.38138321464,7.38138321424,7.38138321429,7.38138321429,6.03531241195,7.38138321445,6.77771377575,7.38138321415,7.38138321415,5.90473379315,5.69843956343,6.60037641853,7.38138321439,7.38138321439,7.38138321441,7.38138321437,7.38138321437,7.38138321444,7.38138321444,7.02485736105,7.38138321435,7.16566536255,6.96417089515,7.38138321408,7.38138321409,7.38138321409,7.38138321408,7.2525508736,7.38138321438,7.38138321441,7.38138321441,7.38138321443,7.38138321443,7.38138321451,7.38138321451,6.44190679088,7.38138321448,7.01379344487,7.38138321444,7.38138321444,7.38138321444,7.38138321444,7.38138321444,7.38138321438,7.38138321438,7.38138321445,7.38138321451,7.38138321451,7.09619512955,7.38138321445,7.15157598636,7.38138321452,7.38138321452,6.66378968958,6.24890357287,6.45715777798,7.38138321432,7.38138321432,7.38138321438,7.38138321447,7.21052576207,7.38138321447,7.38138321447,7.38138321447,7.38138321447,7.38138321457,7.38138321477,7.38138321475,7.38138321475,7.38138321475,5.49452934278,7.1001030465,7.3813832147,7.3813832147,7.38138321471,7.38138321471,5.11804660203,4.750421777,7.09466494798,7.3813832146,7.3813832146,6.69762050151,7.3813832148,7.3083157502,7.38138321486,6.99503491726,7.24258398983,7.38138321453,6.69441511858,6.27809152868,7.397023323049,7.083513539499,7.397023323049,7.397023323549,7.397023323519,7.397023323519,7.397023323549,7.397023323549,6.751745816049,7.397023323349
"t78",4.60715348058,4.60715348058,4.60715348058,4.60715348068,4.36908469837,1.8118670037,0.9742241784,0,2.03095054368,3.49203303408,2.75759579448,7.38138321408,6.55702785658,7.38138321413,7.38138321413,7.381383214021,7.381383214021,6.49982601537,6.96539761915,7.38138321415,7.38138321446,5.41323155304,6.52125932976,7.38138321446,7.38138321449,7.38138321449,7.38138321436,7.38138321436,7.38138321433,7.38138321433,7.38138321433,7.38138321436,7.38138321436,6.49172986441,7.3813832141,7.3692607163,7.3813832141,7.38138321416,7.38138321416,6.00751799058,7.38138321488,7.38138321464,7.38138321424,7.38138321429,7.38138321429,6.03531241195,7.38138321445,6.77771377575,7.38138321415,7.38138321415,5.90473379315,5.69843956343,6.60037641853,7.38138321439,7.38138321439,7.38138321441,7.38138321437,7.38138321437,7.38138321444,7.38138321444,7.02485736105,7.38138321435,7.16566536255,6.96417089515,7.38138321408,7.38138321409,7.38138321409,7.38138321408,7.2525508736,7.38138321438,7.38138321441,7.38138321441,7.38138321443,7.38138321443,7.38138321451,7.38138321451,6.44190679088,7.38138321448,7.01379344487,7.38138321444,7.38138321444,7.38138321444,7.38138321444,7.38138321444,7.38138321438,7.38138321438,7.38138321445,7.38138321451,7.38138321451,7.09619512955,7.38138321445,7.15157598636,7.38138321452,7.38138321452,6.66378968958,6.24890357287,6.45715777798,7.38138321432,7.38138321432,7.38138321438,7.38138321447,7.21052576207,7.38138321447,7.38138321447,7.38138321447,7.38138321447,7.38138321457,7.38138321477,7.38138321475,7.38138321475,7.38138321475,5.49452934278,7.1001030465,7.3813832147,7.3813832147,7.38138321471,7.38138321471,5.11804660203,4.750421777,7.09466494798,7.3813832146,7.3813832146,6.69762050151,7.3813832148,7.3083157502,7.38138321486,6.99503491726,7.24258398983,7.38138321453,6.69441511858,6.27809152868,7.397023323049,7.083513539499,7.397023323049,7.397023323549,7.397023323519,7.397023323519,7.397023323549,7.397023323549,6.751745816049,7.397023323349
"t37",4.6071534809,4.6071534809,4.6071534809,4.607153481,4.36908469869,1.97132299778,2.03095054368,2.03095054368,0,3.4920330344,2.7575957948,7.3813832144,6.5570278569,7.38138321445,7.38138321445,7.381383214341,7.381383214341,6.49982601569,6.96539761947,7.38138321447,7.38138321478,5.41323155336,6.52125933008,7.38138321478,7.38138321481,7.38138321481,7.38138321468,7.38138321468,7.38138321465,7.38138321465,7.38138321465,7.38138321468,7.38138321468,6.49172986473,7.38138321442,7.36926071662,7.38138321442,7.38138321448,7.38138321448,6.0075179909,7.3813832152,7.38138321496,7.38138321456,7.38138321461,7.38138321461,6.03531241227,7.38138321477,6.77771377607,7.38138321447,7.38138321447,5.90473379347,5.69843956375,6.60037641885,7.38138321471,7.38138321471,7.38138321473,7.38138321469,7.38138321469,7.38138321476,7.38138321476,7.02485736137,7.38138321467,7.16566536287,6.96417089547,7.3813832144,7.38138321441,7.38138321441,7.3813832144,7.25255087392,7.3813832147,7.38138321473,7.38138321473,7.38138321475,7.38138321475,7.38138321483,7.38138321483,6.4419067912,7.3813832148,7.01379344519,7.38138321476,7.38138321476,7.38138321476,7.38138321476,7.38138321476,7.3813832147,7.3813832147,7.38138321477,7.38138321483,7.38138321483,7.09619512987,7.38138321477,7.15157598668,7.38138321484,7.38138321484,6.6637896899,6.24890357319,6.4571577783,7.38138321464,7.38138321464,7.3813832147,7.38138321479,7.21052576239,7.38138321479,7.38138321479,7.38138321479,7.38138321479,7.38138321489,7.38138321509,7.38138321507,7.38138321507,7.38138321507,5.4945293431,7.10010304682,7.38138321502,7.38138321502,7.38138321503,7.38138321503,5.11804660235,4.75042177732,7.0946649483,7.38138321492,7.38138321492,6.69762050183,7.38138321512,7.30831575052,7.38138321518,6.99503491758,7.24258399015,7.38138321485,6.6944151189,6.278091529,7.397023323369,7.083513539819,7.397023323369,7.397023323869,7.397023323839,7.397023323839,7.397023323869,7.397023323869,6.751745816369,7.397023323669
"t8",4.6071534805,4.6071534805,4.6071534805,4.6071534806,4.36908469829,3.43240548818,3.49203303408,3.49203303408,3.4920330344,0,2.7575957944,7.381383214,6.5570278565,7.38138321405,7.38138321405,7.381383213941,7.381383213941,6.49982601529,6.96539761907,7.38138321407,7.38138321438,5.41323155296,6.52125932968,7.38138321438,7.38138321441,7.38138321441,7.38138321428,7.38138321428,7.38138321425,7.38138321425,7.38138321425,7.38138321428,7.38138321428,6.49172986433,7.38138321402,7.36926071622,7.38138321402,7.38138321408,7.38138321408,6.0075179905,7.3813832148,7.38138321456,7.38138321416,7.38138321421,7.38138321421,6.03531241187,7.38138321437,6.77771377567,7.38138321407,7.38138321407,5.90473379307,5.69843956335,6.60037641845,7.38138321431,7.38138321431,7.38138321433,7.38138321429,7.38138321429,7.38138321436,7.38138321436,7.02485736097,7.38138321427,7.16566536247,6.96417089507,7.381383214,7.38138321401,7.38138321401,7.381383214,7.25255087352,7.3813832143,7.38138321433,7.38138321433,7.38138321435,7.38138321435,7.38138321443,7.38138321443,6.4419067908,7.3813832144,7.01379344479,7.38138321436,7.38138321436,7.38138321436,7.38138321436,7.38138321436,7.3813832143,7.3813832143,7.38138321437,7.38138321443,7.38138321443,7.09619512947,7.38138321437,7.15157598628,7.38138321444,7.38138321444,6.6637896895,6.24890357279,6.4571577779,7.38138321424,7.38138321424,7.3813832143,7.38138321439,7.21052576199,7.38138321439,7.38138321439,7.38138321439,7.38138321439,7.38138321449,7.38138321469,7.38138321467,7.38138321467,7.38138321467,5.4945293427,7.10010304642,7.38138321462,7.38138321462,7.38138321463,7.38138321463,5.11804660195,4.75042177692,7.0946649479,7.38138321452,7.38138321452,6.69762050143,7.38138321472,7.30831575012,7.38138321478,6.99503491718,7.24258398975,7.38138321445,6.6944151185,6.2780915286,7.397023322969,7.083513539419,7.397023322969,7.397023323469,7.397023323439,7.397023323439,7.397023323469,7.397023323469,6.751745815969,7.397023323269
