,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,2200.0,2200,2200,2200,2200,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
unique,,6,2,2,1,,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,400,1100,1200,2200,,,,,,,,,,,,,
mean,190.4090909090909,,,,,0.11933544912898562,0.13413072679953958,0.14735964635946622,0.1550480267171191,0.1566672079982073,0.16258979424510175,0.1564701840614116,0.15657275437774462,0.14202208338504868,0.14832431733098317,0.18435706150255649,0.14381002863052753,0.14119728405481607
std,115.13744444495879,,,,,0.090629846405015,0.10800711783076734,0.09963369101231744,0.09914033284341973,0.1047289101738077,0.11738094350698865,0.10228732779479865,0.10341080056272763,0.10841485807978421,0.10717700138784807,0.1404616317670654,0.109871338147411,0.10681141524084248
min,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,91.0,,,,,0.03327374897509153,0.0366108147522697,0.076,0.08169552852639708,0.07793151035673385,0.07285913511324338,0.08010924363406194,0.07987983164369755,0.05090466269136298,0.057274736793267826,0.06992760352645819,0.05159307584867993,0.052421108597312555
50%,183.0,,,,,0.1099892066401357,0.120326884259224,0.1547407407407407,0.1660754639094738,0.16534975057834417,0.1649111516321764,0.16720365116499014,0.1643975554698413,0.13752305932513353,0.15122765090227797,0.17740559518453058,0.1428652183660446,0.13524509232876344
75%,289.25,,,,,0.1875056413625423,0.21184914075225716,0.21914305610604656,0.23501963903356166,0.23648951738944307,0.2393646763817907,0.23843231886963692,0.23784478897955094,0.21903340119454506,0.2290871342175169,0.28048860551001686,0.2205947183005509,0.21635723225711906
max,399.0,,,,,0.447214775142278,0.6541138080619356,0.6223456790123457,0.5999924646771604,0.7703138554588769,0.8031822672295884,0.7980373816621219,0.933671781748092,0.6673288378080401,0.7872545988707584,0.7934080848207681,0.8843692413460056,0.7396554158669479
