"accepted_species","I1.1/1"
"t34","1"
"t89","0"
"t90","0"
"t85","0"
"t52","1"
"t81","1"
"t82","0"
"t46","1"
"t47","0"
"t41","1"
"t42","1"
"t33","1"
"t54","1"
"t9","0"
"t36","1"
"t37","1"
"t20","1"
"t83","1"
"t84","1"
"t80","0"
"t77","0"
"t43","1"
"t60","1"
"t61","1"
"t49","1"
"t94","0"
"t99","0"
"t100","0"
"t1","1"
"t45","1"
"t50","1"
"t75","1"
"t76","0"
"t48","1"
"t65","1"
"t66","0"
"t26","1"
"t24","1"
"t16","0"
"t12","1"
"t67","1"
"t68","1"
"t87","1"
"t88","1"
"t22","1"
"t91","1"
"t92","1"
"t5","1"
"t53","1"
"t29","0"
"t30","0"
"t64","0"
"t14","0"
"t15","0"
"t3","0"
"t4","0"
"t38","1"
"t86","1"
"t18","0"
"t31","1"
"t59","1"
"t62","1"
"t63","1"
"t73","1"
"t74","1"
"t17","1"
"t2","0"
"t25","0"
"t93","0"
"t97","0"
"t98","0"
"t39","0"
"t51","0"
"t78","0"
"t79","0"
"t95","0"
"t96","0"
"t40","0"
"t6","1"
"t7","0"
"t23","0"
"t13","0"
"t55","0"
"t56","0"
"t32","0"
"t19","0"
"t21","1"
"t71","0"
"t72","0"
"t35","1"
"t57","0"
"t58","0"
"t27","0"
"t28","0"
"t8","1"
"t10","1"
"t11","1"
"t44","0"
"t69","1"
"t70","0"
