"accepted_species","trait_EB_scaled"
"t97",-1.41973171414912
"t98",-1.23286051912664
"t43",0.602376576217707
"t44",NA
"t1",-0.719323899654417
"t77",0.431621941728376
"t78",0.426935487600343
"t50",0.115162408054746
"t51",-0.0540205639487996
"t45",NA
"t48",-0.96700284777574
"t49",-1.29643182160682
"t88",-1.13838435502866
"t89",-0.409536591890735
"t99",-0.806805340037497
"t100",-0.89796839014311
"t81",-1.61290034081997
"t55",-1.22633960101904
"t64",-0.0985831006506985
"t65",NA
"t56",0.413722284571452
"t26",-0.0522897683537839
"t27",0.250477461914305
"t12",0.262955459596301
"t13",-1.18459953185949
"t24",0.328265996291351
"t25",0.850379862404816
"t90",-1.4627061237794
"t91",-1.18856765156702
"t22",-0.611375126668702
"t61",-0.263995308226185
"t79",-1.47992756578298
"t80",-0.670897163344219
"t3",-0.860203959544052
"t4",-1.65742644526269
"t68",0.450569421018324
"t69",NA
"t42",1.08808729716654
"t15",0.157123395247887
"t34",-0.530871466065211
"t35",-0.676815144818743
"t82",0.278203161811043
"t83",0.26945594168928
"t2",NA
"t18",0.421863826346995
"t20",-0.414534420887394
"t21",-0.16551356217045
"t32",-1.47267753005443
"t33",NA
"t16",0.74052880006497
"t66",-0.115509752030967
"t67",0.814978589447876
"t14",0.830258616073517
"t75",0.215987876659062
"t76",-0.460717356306573
"t73",-0.312585857717986
"t74",0.15427977779904
"t29",-1.27608358738997
"t95",-0.997255036295146
"t96",-1.00220332769871
"t94",-0.9725299784304
"t54",-0.773200698640078
"t30",-1.20052617776026
"t31",-1.39228367010801
"t62",-1.73858869746878
"t63",-0.975993207527806
"t19",NA
"t84",-0.074807331743278
"t85",-0.31168463961923
"t23",-0.97231463705339
"t57",-0.280313357241257
"t58",-0.235035131560532
"t36",-0.751517722214683
"t11",-0.898867410271462
"t86",NA
"t87",2.20814775603125
"t7",2.00578477071255
"t52",1.71273796182353
"t53",2.11160447155776
"t46",NA
"t47",1.93955123231757
"t5",0.564221100907756
"t40",0.842491783995944
"t41",1.76666721177422
"t8",0.0323315985247192
"t9",0.590550966892665
"t37",0.131950571636782
"t38",0.116125337760476
"t10",0.977897406070846
"t28",1.35062514940266
"t70",1.14361470299465
"t92",0.92663005376057
"t93",0.699601630019437
"t71",1.44476143568482
"t72",1.8742425575519
"t17",1.15669521704847
"t6",1.34014872189656
"t59",0.254753875836434
"t60",NA
"t39",0.552640937467523
