accepted_species,estimate
t89,0.4387099
t98,0.4387099
t4,0.21847935
t48,-1.0970422
t13,-1.0970422
t78,-0.2173492
t65,-0.6804973
t69,0.30892256
t24,0.04731101
t58,0.8412473
