"accepted_species","I1.1/1"
"t15","0"
"t34","0"
"t35","0"
"t92",NA
"t95","0"
"t96",NA
"t38","1"
"t24","0"
"t80","0"
"t81","0"
"t12","1"
"t19","0"
"t20","0"
"t55",NA
"t56",NA
"t14","0"
"t78","0"
"t79","0"
"t23",NA
"t86","0"
"t87","0"
"t18","0"
"t48",NA
"t60","0"
"t61","0"
"t33",NA
"t43","0"
"t46",NA
"t47",NA
"t74","0"
"t75","1"
"t17",NA
"t3","1"
"t2","0"
"t82","0"
"t83","0"
"t84","1"
"t85","0"
"t70","1"
"t71","0"
"t11","0"
"t28","0"
"t90","0"
"t91","0"
"t30","0"
"t40","0"
"t97","1"
"t98","0"
"t22","0"
"t7","1"
"t72","0"
"t73","0"
"t26","1"
"t4","0"
"t5","0"
"t10","0"
"t9","0"
"t21","0"
"t41","0"
"t42","0"
"t68","0"
"t69","0"
"t49","1"
"t76","0"
"t77","1"
"t88","0"
"t89","0"
"t99","0"
"t100","1"
"t62","0"
"t63","1"
"t27","1"
"t25","0"
"t57","0"
"t58","1"
"t6","0"
"t44","0"
"t45","0"
"t31","0"
"t32","0"
"t93","0"
"t94","0"
"t16","1"
"t50","0"
"t51","1"
"t39","0"
"t53","0"
"t54","0"
"t1","0"
"t13","0"
"t29","1"
"t36","1"
"t37","0"
"t8","0"
"t52","0"
"t64","0"
"t65","0"
"t66","0"
"t67","0"
"t59","0"
