"accepted_species","traits"
"sp3",0
"sp5",0
"sp12",0
"sp16",1
"sp17",0
"sp20",1
"sp21",0
"sp22",0
"sp23",1
"sp24",NA
"sp25",1
"sp26",NA
"sp27",0
"sp28",0
"sp30",NA
"sp33",0
"sp34",1
"sp36",0
"sp37",0
"sp38",0
"sp39",0
"sp40",1
"sp42",1
"sp43",0
"sp44",NA
"sp46",1
"sp47",NA
"sp49",NA
"sp50",1
"sp51",0
"sp52",1
"sp53",NA
"sp54",0
"sp58",1
"sp60",0
"sp61",0
"sp62",0
"sp64",0
"sp66",0
"sp67",0
"sp68",0
"sp70",0
"sp71",0
"sp72",0
"sp73",0
"sp75",0
"sp76",0
"sp77",0
"sp78",0
"sp79",0
"sp80",0
"sp81",0
"sp82",0
"sp83",0
"sp84",0
"sp85",0
"sp86",0
"sp89",0
"sp91",0
"sp92",0
"sp93",0
"sp95",0
"sp96",0
"sp97",0
"sp98",0
"sp99",0
"sp100",0
"sp101",NA
"sp102",0
"sp103",1
"sp104",1
"sp105",1
"sp106",NA
"sp107",1
"sp108",1
"sp109",1
"sp110",0
"sp111",0
"sp112",1
"sp113",0
"sp114",0
"sp115",1
"sp116",0
"sp117",0
"sp118",1
"sp119",0
"sp120",1
"sp121",0
"sp122",0
"sp123",0
"sp124",NA
"sp125",0
"sp126",0
"sp127",0
"sp128",1
"sp129",1
"sp130",1
"sp131",1
"sp132",1
"sp133",1
