"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126"
"t2",0.00175700404981046,0.0123260411726273,-0.059602372208957,-0.0239837968155816,-0.0231594061031318,0.0292939752702399,-0.0308388743825759,0.000169624746002504,0.0623286006049686,0.0851014552956436,-0.000612948250797155,0.0195446804753638,-0.00630433730133239,0.0307372166340294,0.00212194612172619,-0.259266157075829,0.0006300032118741,0.000104990709367692,-0.0918750301571983,0.00316346275582918,0.0101084216233761,0.0256380947311637,0.520920178468949,-0.0806803854452349,-0.0116714323592008,-0.00788727267563342,0.0288834592560234,0.0997982023894036,0.0792795721473499,0.0185376522365534,-0.0526765516249274,0.0027647981093988,-2.11400490246856e-05,0.373544762946582,0.658919527521997,-0.00345873907007045,-0.00184072716309336,0.00131017792075779,0.013340475158778,-0.00688098639425108,-5.25814661270415e-05,-0.00158307117561969,0.00333306321074643,0.00259565459683745,-2.18138083640536e-06,0.00248240156164103,-0.0036102661746155,7.05266094607457e-16,3.80690168235697e-05,0.000503517323957806,5.31200111496846e-05,-0.0193336735740129,-8.58961633986579e-06,1.89316242999636e-05,-0.00807461683449124,0.0894147657131738,6.02163145710606e-06,0.00464206917655346,0.0917362574607276,-1.23695823098874e-07,-2.35850695533429e-16,-0.000373656507718297,0.000825165414405847,0.00141724769081954,-1.24507074250356e-15,-0.00284260013992293,0.00530700207785504,-5.80634694641069e-05,-0.0800882960477894,1.29734298550353e-14,-0.00311519989392747,0.0268673314423529,-0.00935853064832711,-2.36133641804551e-06,-0.000955705783011004,-2.71999122643202e-15,-0.0113954496371945,-0.000652304042354552,4.99970816428106e-06,-1.60432312887527e-07,-8.43140322336045e-08,-6.94515970458726e-07,5.21305073769312e-07,3.85480967180327e-05,-0.000933657836636606,1.24934516037948e-15,-4.09166537682589e-16,-1.79837597524661e-05,1.0950203918534e-05,9.81349099544854e-17,-6.35512635384715e-06,-1.8486552678449e-05,0.00032517745257149,0.00548127348617388,4.98672554198465e-06,-9.94542089118655e-18,-5.46879346365967e-05,1.98043487622106e-06,3.58299018697415e-17,-1.49175231173099e-16,-2.73925542645992e-16,-2.95744452698112e-16,3.31738908192253e-07,-5.14957753237095e-17,1.5445284023898e-16,1.10311854680494e-16,7.04776381628929e-17,4.95503237990863e-16,3.10141840933942e-06,-2.25978770291018e-16,8.30927478555675e-16,-2.52867136225265e-16,-6.87293964235862e-07,4.89737930604196e-09,-4.22780907368513e-07,-6.79339551890104e-16,5.42474073510106e-16,5.34830612411355e-16,-7.98703049372141e-16,-3.31375062062405e-15,7.62388311338183e-09,-4.37903727539505e-15,-1.28006039036193e-15,-2.65404421188413e-15,-1.33504463080415e-14,1.99028838047386e-14
"t4",-0.0297555053128216,0.0134202379965001,-0.0374509809461995,-0.0116219942443941,-0.0272936323631953,0.016453809272274,-0.0312909896157169,0.000105074469160211,0.032136761968059,0.0648630436258681,-0.000502518752323264,0.00988164663688022,-0.00884440710581169,0.0177786536694937,0.00181276444556588,-0.238701687866192,0.000986754000337893,-0.000737263494151928,-0.062991804400353,0.0013949427871253,0.00445427490598035,0.0037934400275317,0.0830447781230535,-0.0144142666725516,-0.0025356218912224,0.0022223194828091,0.00559956707640662,0.0185375326357007,-0.0606023926750477,-0.0170911284621157,0.000182295802199924,-0.000382387376826753,9.1551033651302e-06,-0.362586089740158,0.0506336540898319,0.012470917900839,-0.000802720102660516,0.000485395310367622,-0.0264550794695696,0.0136812806477521,-0.000203398945991617,0.00332542508571262,-0.00720677765577484,-0.00569197543031997,-5.64097638500145e-07,-0.00601438283578665,-0.000767577066718869,1.32437114691371e-15,5.05311205233601e-06,5.42474946372278e-05,-0.000153579611600759,0.00279456233720974,2.74419713478158e-05,-5.94827297539194e-05,0.00546121108044,-0.1173516844764,-2.13888023334981e-05,-0.0332082619680989,-0.651840628436119,-1.56847092708977e-05,1.37077017230868e-15,0.00216698415091073,-0.0046980429770485,-0.00753528911767289,-9.84848974979123e-15,-0.0149081614512743,-0.00864588238035731,-1.92914025763745e-05,-0.443176082517423,6.38021994683379e-14,-0.0184357733470166,0.161837127567535,-0.0459100797220046,-3.76841431103412e-05,-0.0158314177814422,-2.20912078759398e-14,-0.0940197639148384,-0.00262336661081505,0.00220101496026973,0.000178097307883581,8.47855944836263e-05,0.000989838902831828,-0.00176527669422817,-3.2040347611149e-06,-3.18914290544484e-05,-5.77979153026248e-15,-4.49469958533892e-16,-0.00433063655122087,8.42548702208485e-06,3.31174603225178e-15,-0.000631531806035178,-0.00174135372186543,0.000344340661717029,0.315874322786009,0.00026251055671294,-2.06865431919067e-14,-0.00266358918373254,-1.03367891829812e-06,7.76055503465121e-15,-4.054595024231e-15,3.87505182908385e-15,8.02957599234267e-16,8.82876934391468e-08,4.31644116086512e-16,8.31353635847266e-16,-8.32529680814781e-16,-2.80020636164445e-15,1.7844459434147e-15,1.30584347106767e-06,1.18469816454992e-15,-9.30732895827166e-16,2.82766354886786e-16,-1.72633445335947e-05,1.14166212802876e-07,-9.51651932215378e-06,2.13661238013493e-16,-7.40912907855188e-16,5.75760615374867e-15,-1.89801990324001e-15,2.06889600046297e-15,1.4320527867881e-07,-3.16356894278589e-15,-2.58831851114939e-15,-8.28873950679969e-16,-1.4167972384595e-14,1.94300899565359e-14
"t35",-0.0913947247304627,-0.0968387056431324,0.0168944963437466,0.00128418850186401,-0.265162083171635,-0.0442147282328628,0.061519656566646,0.00302047814721974,-0.0173884733746434,-0.0196091611331166,0.000149518895999764,-0.00271426560414099,0.0041583401495855,-0.00448693804360189,-0.000501510371956414,0.0715176157455227,-0.000539714975214044,0.00117522807462266,-0.120301642423727,-0.00047693281797788,-1.73371667586114e-06,4.66804473557112e-05,0.000792947628972552,-7.13778972314279e-05,1.21998627221818e-05,-0.000188469524647363,3.71764568903282e-05,0.000980469482004133,-0.047953712194984,0.280305927858978,1.60790015207267e-05,-5.71051583667363e-06,-1.53346371366452e-08,0.00271640898002667,-0.000502296414934962,-0.000201366901210844,6.00341624599795e-05,-8.29050736310228e-05,-0.00175877184405689,0.0801765993598229,-0.00072292711225572,0.0509334268138467,0.00010234465791202,0.00484784526171796,-5.4241869927748e-09,0.00110660769479249,-2.24293931794682e-06,4.86592974908047e-15,-1.82943092203227e-09,-5.42349170587618e-08,0.110588940584052,2.448556825171e-05,-0.000160315755348658,0.878705965337354,1.24223125199981e-05,1.6132218814636e-05,1.13854583359038e-08,0.000746537008095789,0.000908100084972815,2.32482378606223e-08,-1.40006614736919e-15,0.000454866035857135,-3.48051827825223e-05,-0.000123739061487099,6.77736788809521e-16,9.38859307812763e-05,-0.00597869212487122,-0.0134301739469495,0.000135689930898412,-5.36564347543741e-15,7.38887875572801e-06,-6.6163267696831e-05,1.98278522976266e-05,-3.64856637431228e-06,-6.61695722312674e-05,-3.29351276726003e-15,3.70908220659431e-05,4.8000708281732e-07,2.18403995307585e-05,3.69454668328232e-05,1.76554020334978e-05,1.1841242279961e-05,-2.15177496856335e-05,-1.38351763347956e-09,-1.69877872365626e-08,1.64943344711784e-15,1.12932361191912e-15,-0.0033535920242145,1.73731928071572e-08,2.78115614464769e-15,-1.62685284290401e-05,-0.056672596392775,-1.41940649566157e-07,0.00117109374688966,-7.38275666503051e-06,2.55392992447699e-15,-2.18688717081446e-06,-8.68805201727898e-09,-1.51296805747975e-15,1.60801337202453e-15,8.47328807678269e-16,-1.10419777264447e-15,-4.25065448538272e-10,-6.62737798024025e-16,-3.00098324815102e-16,1.60773208601014e-16,-8.12225540294541e-16,-3.38026305433836e-16,-1.68120322919981e-09,-7.65923095167114e-16,9.44908926570297e-16,1.78575472912194e-16,1.56272316515468e-05,6.15471563771551e-07,-1.7763873756661e-06,-1.71927342895213e-15,4.8139823818393e-16,4.4477539887365e-15,-6.65434109403005e-16,9.50029223500636e-16,1.22364524646962e-08,2.40902133884992e-15,-1.0923390068126e-15,-2.34801035268496e-15,-1.37341124825856e-14,1.99865694026801e-14
"t57",-0.0917154391284064,-0.0977028684272823,0.0170846152337032,0.00130866975661604,-0.273284393548485,-0.0456484841004014,0.0636582844084842,0.00313070103574069,-0.018027653779735,-0.0206619084190016,0.00015766559665367,-0.00287642132592173,0.00441788473554288,-0.00477215963853391,-0.000548631127709115,0.0785286763428379,-0.000600167149285636,0.00131544448271546,-0.135324409388896,-0.000552962357054543,-2.01017594967935e-06,5.61277377550978e-05,0.000957127142771109,-8.68618266083544e-05,1.53363027779319e-05,-0.000245650261677089,5.28628470452125e-05,0.00142853165327745,-0.0714263043066732,0.434175806650839,2.55969458747216e-05,-9.43246704096652e-06,-2.62940555351231e-08,0.00478719714032323,-0.000899259146077299,-0.000380245284680134,0.000143075590636708,-0.000206297309704241,-0.00451430709957554,0.206948132538473,-0.00186666472863697,0.148759355748574,0.000324006460349079,0.0160469728626669,-2.53889008752627e-08,0.00606084674747857,-1.68227301359374e-05,-4.87398821703312e-15,7.73300606796305e-08,6.81861306901715e-07,-0.337871806111664,-4.17157234095383e-05,6.47489177089506e-05,-0.31294035971175,-2.84795153647304e-06,-7.8262054192986e-07,2.47621822596753e-10,0.000284156342881019,0.000357291266766591,1.10503132476487e-08,-1.18151097783256e-15,0.000256836512224256,-1.98472662916737e-05,-7.26713555463099e-05,-3.82816158100261e-16,6.23338650083597e-05,-0.00400751926368133,-0.00929698176761492,9.90299388501058e-05,-1.99949531453836e-15,5.57447294353486e-06,-5.02093284884108e-05,1.53776597812401e-05,-2.85200736503913e-06,-5.18020811625609e-05,-2.8944779136868e-15,3.00965523502895e-05,4.47852390473828e-07,2.10668950862371e-05,4.02617653911115e-05,1.96773286482765e-05,1.44395171839851e-05,-2.75247663861999e-05,-1.77084369565962e-09,-2.26811604286131e-08,-3.79431856997711e-15,8.56123078841302e-15,-0.00651872664568456,6.31470726272993e-08,1.80233148670792e-14,-0.000121795686925089,-0.629769989656012,-9.21965052528233e-06,-0.00169450193064002,7.32183352491543e-06,7.69237011316962e-14,1.56792549932459e-06,6.18166034148978e-09,8.76871366125877e-15,1.95837724179583e-15,-3.61632269998406e-16,6.34902903407749e-15,6.07454983613697e-11,1.3621433599487e-15,6.8691582318251e-15,-1.62532524695701e-15,-1.43382171915849e-14,-2.1045481532736e-15,-1.31095967168851e-10,4.28643446523809e-17,-4.56426499792797e-15,1.68401926627237e-15,3.49832009161256e-06,1.67278624036368e-07,-5.19805643420438e-07,2.60172347285492e-15,2.51662542720677e-15,-6.04825932777492e-15,5.22130215918464e-15,8.83010193438769e-15,4.73186636018289e-09,-8.99934803196475e-15,-8.27486806972135e-16,1.35699376466219e-16,-8.93653055755209e-15,1.91207260711995e-14
"t58",-0.0915125050746455,-0.0971589851283032,0.0169652325583203,0.00129341356364705,-0.268278495759076,-0.044766339541393,0.0623453491749387,0.00306314335182799,-0.0176359861339197,-0.0200268257240369,0.000152754569488169,-0.00277913321008833,0.00426253962185695,-0.0046016218041188,-0.000521191489013166,0.074459943320247,-0.00056548880209457,0.00123548536644044,-0.126795813231459,-0.000510938838820023,-1.85737504946253e-06,5.10654888070369e-05,0.000869436462127031,-7.86472150606701e-05,1.3715410905118e-05,-0.000216916433443904,4.54577304970921e-05,0.00122042665993074,-0.0606791550834794,0.365422620456355,2.14130247126168e-05,-7.83054052781782e-06,-2.16722868972927e-08,0.00392633078408733,-0.000735549392154018,-0.000308361486982541,0.000112714616262005,-0.000161841119965345,-0.00353148620113982,0.161812701994028,-0.0014594980096332,0.115171622575415,0.000249476945443123,0.0123217001816569,-1.91777969749006e-08,0.00455412829501554,-1.25416858611941e-05,-1.63280674759133e-15,5.64143544704667e-08,4.94126491343142e-07,-0.238899963721375,-2.89317552835861e-05,4.21889567040813e-05,-0.202865314480541,-1.81692669804157e-06,-4.83901522425195e-07,1.50638789955522e-10,0.000147130445205764,0.000183114116961945,5.23229376914806e-09,3.50761265022287e-15,0.000107505277990306,-8.22972694202462e-06,-2.92384786324208e-05,-9.4232790110216e-17,2.12151605036172e-05,-0.00134142096600145,-0.00292715701038839,2.76451020505726e-05,6.41490922477528e-15,1.42045012374776e-06,-1.2570604053244e-05,3.58968936583419e-06,-6.47884749690345e-07,-1.17044916851166e-05,7.16629863929135e-15,5.90923878022141e-06,3.06544898616781e-08,7.55241971435133e-07,-3.48400599674668e-06,-2.14829808080699e-06,-2.87198331195474e-06,6.75900077362996e-06,4.35919558788471e-10,6.49848790174702e-09,5.82822554959265e-15,-1.18469316130527e-14,0.0039198361540277,-5.99261629714848e-08,-2.38059385171933e-14,0.000141543023298346,0.77370897362077,1.23816379253795e-05,0.00415837701128122,-2.16847716692148e-05,-8.90910368960841e-14,-5.61886327213439e-06,-2.22594088921909e-08,-9.34974546078461e-15,-2.59472907005752e-15,-7.24346506282455e-16,-6.74954710529961e-15,-7.71775512193755e-10,-2.57317829470925e-15,-5.71376596322202e-15,2.18807845570635e-15,1.64931198710771e-14,3.15832930172215e-15,-2.5869316555748e-09,-5.04630806952484e-16,5.7239086618693e-15,-2.07344680028643e-15,2.13404964669504e-05,8.07179571419925e-07,-2.28891844515695e-06,-3.55251084258606e-15,-1.62414098133017e-15,1.46833686359194e-15,-6.1318857684164e-15,-1.81001496498878e-14,1.45632661354171e-08,-1.99373040022103e-15,-2.58226058692888e-15,-4.80546272514722e-15,-1.72752187299373e-14,2.05654675453563e-14
"t30",-0.0911996384983714,-0.0963112960468574,0.0167782993474721,0.00126915521033864,-0.260139973763479,-0.0433272863510045,0.0601941135424527,0.00295209198026996,-0.0169918416568672,-0.0189495238970433,0.000144411977394393,-0.0026123144772331,0.00399491471601358,-0.0043072296884662,-0.00047132864574991,0.067017269869405,-0.00050062939714917,0.0010842333121562,-0.110525134758957,-0.000426615370128544,-1.55074786771959e-06,4.03040293154645e-05,0.000681907265646283,-6.08604432729442e-05,1.0033296963233e-05,-0.000148246127394848,2.56753953426407e-05,0.000648315320439933,-0.0303821028339888,0.163155678003457,8.74870279594952e-06,-2.80058365106749e-06,-6.63881153775839e-09,0.00105594510378542,-0.000182096442928877,-5.42365929393368e-05,-1.36274511265506e-05,2.79193678315291e-05,0.000737628178254041,-0.0348500623125921,0.000314951298555117,-0.0407305882642711,-0.000109385671804696,-0.00595776705561547,1.51590232495458e-08,-0.00412512396979155,1.3764203407355e-05,8.57768497103936e-15,-1.01024928082428e-07,-1.02458844697296e-06,0.874198944760393,0.000185034609776035,0.000119384907857196,-0.296121474822091,4.74901736526918e-06,1.47338812092916e-05,1.17667280044794e-08,0.000957074931654315,0.00116599672749009,2.99949287891246e-08,4.67860374277474e-16,0.000585510042563709,-4.47866092212031e-05,-0.000159043841267102,5.87757481481255e-16,0.000119868649307273,-0.00762839718033393,-0.0170971265920401,0.000172040686653489,-1.28732383823065e-15,9.34297179476138e-06,-8.36201202359613e-05,2.50131226247165e-05,-4.59960764691851e-06,-8.34064834365849e-05,1.28581794381641e-15,4.66063332776024e-05,5.95551068296318e-07,2.70148599373859e-05,4.51884430866045e-05,2.15498606772873e-05,1.43330715506634e-05,-2.592889649252e-05,-1.66703682323385e-09,-2.03867663162629e-08,2.67100819026755e-17,8.82473606287442e-16,-0.00386510817894443,1.79793269275829e-08,2.38974662883944e-15,-1.26248840967598e-05,-0.030254545443379,4.33557160150723e-07,0.00159725096398137,-9.8340933657758e-06,2.82075353653183e-15,-2.86991058937143e-06,-1.13981239733379e-08,5.07860424689708e-16,9.57429829641802e-17,2.54815095984929e-16,2.30229350566914e-16,-5.39106618052272e-10,-1.02940887198172e-16,4.39082404523896e-16,-5.413502057455e-16,-6.7321514699857e-16,4.99401098350019e-16,-2.09942206305587e-09,-3.31899871393396e-16,9.62356545104432e-16,-1.07517652168444e-16,1.92812906227686e-05,7.5599858251792e-07,-2.17751206546975e-06,-7.34907462361273e-16,8.89625605779585e-16,9.21912389145795e-16,-7.17454307671173e-16,-6.94347562342387e-15,1.48459010561177e-08,-5.1987066978293e-15,-1.65804628240528e-15,-2.47940281514644e-15,-1.37013391624362e-14,1.96723735541647e-14
"t62",-0.0920026374969178,-0.0984972316171746,0.017261355330063,0.00133230316293892,-0.281576475791695,-0.0471249901877853,0.0658857501115212,0.0032464686480369,-0.0186998577627434,-0.0218641364964919,0.000167005503690628,-0.00306717636215116,0.00472724100340683,-0.00511405211601424,-0.000614358875204787,0.0885127761516407,-0.000692664524350575,0.00153832230662629,-0.159914621324097,-0.000703311942053379,-2.55702413475369e-06,8.03154134621263e-05,0.00139032716685657,-0.000130479190832209,2.72030623433981e-05,-0.000578955800864142,-0.000653401362184405,-0.00495767530172625,0.138937280910885,-0.417221130632576,-1.65010597077458e-05,3.69092704858427e-06,6.12239945060562e-09,-0.000723423704284926,0.00010154717577004,5.88678486874018e-06,2.37124471490184e-05,-3.73794860761442e-05,-0.000860571896096041,0.0397772173552029,-0.000358977785057061,0.0326265487095369,7.49365005456287e-05,0.0037960696460868,-6.58025277292867e-09,0.00159776725374702,-4.50814274056274e-06,-1.53485977000071e-15,2.05993373607738e-08,1.78452749156761e-07,-0.0751852428259274,-6.17352205916017e-06,7.47139329565983e-06,-0.0137024445265708,7.07348985039562e-07,2.40699181891166e-06,2.09669240595517e-09,0.000288121682683854,0.000359022212009966,1.08636846098464e-08,-2.26736843346544e-17,0.000275074220348224,-2.15254797872306e-05,-8.26564072714454e-05,-4.96203205037741e-15,0.000143061243171954,-0.0110235648867962,-0.389093124487085,-7.57444283183521e-05,-2.1655869448102e-14,-1.29290135281212e-06,9.0194430149744e-06,-5.45355478945124e-07,-8.39396206522038e-09,-5.05075515639893e-07,7.11701927442299e-15,3.86496427409993e-06,1.26514983378849e-07,6.16570718234637e-06,1.21008870087065e-05,5.88344545346807e-06,4.15641596527371e-06,-7.70197690213102e-06,-4.95413346892412e-10,-6.16764468102125e-09,-0.707106781186547,-1.60070851067166e-14,-0.00127480790459163,6.14298379247511e-09,1.70933822573885e-16,-4.14816777128277e-06,-0.00886695793411529,1.8961691979323e-07,0.000619241111913997,-3.84715260507404e-06,6.36274919378967e-15,-1.13263688574148e-06,-4.4993355354479e-09,1.366283438411e-15,-6.13934733645069e-15,-4.41183111668783e-15,-3.01082903572544e-16,-2.2085592063446e-10,1.32837582826608e-16,-9.39003766605919e-16,2.47269807277383e-16,4.02742515768686e-16,1.00739247381131e-15,-8.86597924691555e-10,-2.3581208104489e-15,1.04664440440596e-15,1.44274107231761e-15,8.40305107866378e-06,3.33952435030482e-07,-9.68156609436836e-07,1.70509962458498e-15,5.10050060925588e-16,-4.79753925945475e-15,3.35418090969724e-16,-3.35708813589001e-16,6.83735199968557e-09,-4.34390458624212e-15,-1.29011322501218e-15,-6.94302957353958e-16,-1.34974396380911e-14,2.09736013814167e-14
"t63",-0.0920026374969178,-0.0984972316171748,0.0172613553300629,0.0013323031629381,-0.281576475791695,-0.047124990187785,0.0658857501115212,0.00324646864803705,-0.0186998577627434,-0.021864136496492,0.000167005503690406,-0.00306717636215081,0.004727241003407,-0.00511405211601472,-0.000614358875204838,0.0885127761516408,-0.000692664524350603,0.00153832230662617,-0.159914621324097,-0.000703311942053325,-2.55702413416871e-06,8.03154134619378e-05,0.00139032716685707,-0.000130479190831234,2.72030623439225e-05,-0.000578955800863265,-0.000653401362184738,-0.00495767530172738,0.138937280910886,-0.41722113063258,-1.65010597076518e-05,3.69092704995439e-06,6.12240018910665e-09,-0.000723423704283785,0.000101547175769916,5.88678486868434e-06,2.37124471484035e-05,-3.73794860766234e-05,-0.000860571896095735,0.0397772173552034,-0.000358977785055829,0.0326265487095366,7.49365005458406e-05,0.00379606964608761,-6.58025186378234e-09,0.00159776725374473,-4.50814273972261e-06,-1.01342979578442e-15,2.05993373484774e-08,1.78452748588676e-07,-0.0751852428259277,-6.17352205869927e-06,7.47139329229394e-06,-0.0137024445265729,7.07348985536506e-07,2.406991818334e-06,2.09669435131901e-09,0.000288121682686499,0.000359022212005435,1.08636826309041e-08,3.87290310253817e-15,0.000275074220353524,-2.15254797880303e-05,-8.2656407274537e-05,-1.77978087023765e-15,0.000143061243179234,-0.0110235648868012,-0.389093124487078,-7.57444283200036e-05,-2.17727493574268e-14,-1.29290136723569e-06,9.01944300506219e-06,-5.45355470809705e-07,-8.39395961920078e-09,-5.05075522688075e-07,9.97338758185785e-16,3.86496426809345e-06,1.26514985017526e-07,6.16570713553647e-06,1.21008869858179e-05,5.88344551817701e-06,4.15641612235379e-06,-7.70197666269642e-06,-4.95223226478154e-10,-6.16588262442226e-09,0.707106781186548,1.2373994328856e-14,-0.00127480790457326,6.14297412208100e-09,2.30228667000066e-15,-4.14816780930395e-06,-0.00886695793412529,1.89616912629062e-07,0.000619241111933708,-3.84715260112788e-06,-3.76070962735764e-15,-1.13263688413507e-06,-4.49932481040817e-09,-2.50748928979374e-15,3.82265701469516e-15,5.36328121366023e-15,-8.68846617066201e-16,-2.20859932340033e-10,-1.03647124442836e-16,2.97043763986525e-15,1.10852505849563e-15,-3.84826312230637e-16,1.74820357930859e-15,-8.86591222170878e-10,4.51779391971053e-16,1.55549115906318e-15,-9.54091473100023e-16,8.40305107725326e-06,3.33952440896287e-07,-9.6815661801516e-07,-4.5297810251762e-15,1.56964046379595e-17,4.69768445253699e-15,-1.96623067464555e-15,-3.71318797988745e-15,6.83735494671047e-09,-3.88775328219269e-15,-7.92780919585954e-16,-3.97751019162598e-15,-1.36697063573238e-14,2.01746010871287e-14
"t52",-0.0918968979921743,-0.0982111812047033,0.0171983123445501,0.00132413539968932,-0.278840157614136,-0.0466412097870623,0.0651626242322892,0.00320914104165339,-0.0184833429958152,-0.0215016363098555,0.000164197980905467,-0.00301098455654384,0.00463704096010489,-0.00501480347881446,-0.000597342178147488,0.0859666841738176,-0.000670258785505357,0.00148575418433405,-0.154230835650033,-0.000672606863215277,-2.44536290076413e-06,7.60675078553711e-05,0.00131547224729568,-0.000123196252668361,2.54778504219497e-05,-0.00053762013302383,-0.000595490908272798,-0.00449664727176087,0.125489794166637,-0.374175882853287,-1.47290670060513e-05,3.2747479252364e-06,5.40078620266732e-09,-0.000635594202674533,8.90191347427318e-05,5.12356563410357e-06,2.01188937342666e-05,-3.15927895433963e-05,-0.000725438854988052,0.0335156172746319,-0.000302459626561408,0.027234832263642,6.22217095665637e-05,0.00314347420166237,-5.35993334614201e-09,0.00129438570064534,-3.62194168921638e-06,-3.19559170307757e-16,1.61583092093836e-08,1.38907070183851e-07,-0.0568080870736016,-4.54903627979109e-06,5.01485032310941e-06,-0.00911828746005728,4.57688093967532e-07,1.46618593860511e-06,1.23396757086713e-09,9.65399462159067e-05,0.000113217496905807,1.55592381107375e-09,-4.66516387835299e-15,-6.00718667739678e-05,5.43155814221254e-06,3.04866033604945e-05,7.16536328913293e-15,-0.000192005916510095,0.016382416218215,0.834307459980242,0.000348557455122543,4.68157753320927e-14,1.29133707591159e-05,-0.000110236768381477,2.85355411757209e-05,-5.02732907740116e-06,-9.04525791020885e-05,-9.88534272914973e-15,4.35072398050525e-05,4.22573383404684e-07,1.85614359207702e-05,2.88387948464844e-05,1.36325967582351e-05,8.82914953976494e-06,-1.5810716914331e-05,-1.01639715619515e-09,-1.2338580646761e-08,-5.80467397596593e-15,3.33164271634396e-15,-0.00225981386402925,1.02130739481503e-08,-7.01460011926725e-16,-6.72955723981877e-06,-0.0142949311213975,3.02762278937173e-07,0.000938281621312627,-5.75871338568494e-06,-1.04106028632498e-16,-1.67751378316626e-06,-6.66217316999896e-09,5.02166020234603e-16,2.12172689496229e-15,-2.45897406977916e-16,-2.97960674321912e-16,-3.14476174019073e-10,4.68685705840529e-16,-2.925890878218e-15,-1.51689974271038e-15,1.75467435425982e-16,-1.36325419780528e-15,-1.22720049829072e-09,8.82501944769165e-17,4.00201396925929e-16,-6.91191041672966e-16,1.13223137645081e-05,4.45097874783721e-07,-1.2838031329198e-06,-5.61073250244128e-16,3.89661557607175e-16,1.53984609146541e-15,-1.84048761756127e-15,-6.41067576402515e-15,8.8312411529175e-09,-7.09115523607733e-15,-1.26850712854219e-15,-3.63885982347318e-15,-1.35130507621564e-14,1.76204190116643e-14
"t18",-0.0894449831275752,-0.0915535841527109,0.0157287346809652,0.00113275608984029,-0.214254511928877,-0.0352098924756718,0.0480514962882767,0.00232494855417703,-0.0133538590431421,-0.0128297232795937,9.70055711670034e-05,-0.00166233346594761,0.00246911298023416,-0.00262796437723261,-0.000182205572424454,0.0237475100861093,-0.000119778355742803,0.000190942861929446,-0.0139799192204649,9.16105988435833e-05,3.33792723263156e-07,-3.00687013832028e-05,-0.0005546635364598,5.86611738950323e-05,-1.72812003885163e-05,0.000465542105546584,0.000614909334966708,0.00431352646761755,-0.10294789724208,0.12366948380637,-4.29438072340903e-06,5.75957448743075e-06,2.53254271809981e-08,-0.00568331637680534,0.00117528168237733,0.000638309121722737,-0.000430727823771208,0.000666335507782486,0.0152772515403784,-0.70605354224202,0.006371911943571,-0.594963807448182,-0.00141407532398382,-0.0731814445271941,1.51449007980693e-07,-0.0396285938230186,0.000127426032298458,-4.19460899920631e-15,-1.02809955746425e-06,-1.24572514674698e-05,-0.194352651897925,0.000484459737028653,0.00020605590922961,-0.0252659450886809,2.68436999169799e-05,5.94861945192307e-05,4.54636908630971e-08,0.0031903523096451,0.0038674077566929,9.62991288988399e-08,3.78019436218866e-17,0.00181071772684673,-0.000138162262659478,-0.000486850413597831,-6.53779459758668e-16,0.000347942275608027,-0.0218776344624737,-0.00766126108600289,0.000520089437659214,-9.7132075578964e-16,2.77249314299657e-05,-0.000247537519577171,7.34567426828293e-05,-1.34728280186355e-05,-0.000244188897478645,-9.98925504134997e-16,0.000135018377473178,1.67043588803884e-06,7.52821582449684e-05,0.000123302958309284,5.85977848096357e-05,3.8473139622845e-05,-6.91583543638772e-05,-4.44601315459501e-09,-5.40810568255682e-08,4.56499917085956e-17,9.5833631514148e-16,-0.00981667403064231,4.15276003335368e-08,7.32870703410126e-16,-2.07085659445686e-05,-0.0134863060693575,2.13493055161412e-06,0.00436175945091857,-2.64206090811291e-05,3.00787758756469e-15,-7.6224924842455e-06,-3.02660403353712e-08,-1.96236995132801e-16,-1.88473233388325e-16,-6.11465251053831e-16,-4.81862969106593e-16,-1.38596562412097e-09,5.75202773632898e-16,-6.44160028757996e-16,5.33611544976544e-16,5.83630742199998e-17,1.03605332499195e-15,-5.29051986330267e-09,-3.71918924415324e-16,1.03169127743116e-15,-2.1676030908404e-16,4.76764198082856e-05,1.85457688039259e-06,-5.3214833774199e-06,-3.86469170980339e-16,6.87255675396893e-16,1.55035664017617e-15,-9.2521896000836e-16,-2.95916929001145e-15,3.55378777051755e-08,-4.29867901723763e-15,-1.17203341859922e-15,-2.67084693118186e-15,-1.34477528799234e-14,2.02806470576861e-14
