,0,1,2,3,4,5,6,7,8,9,10,11
t2,8.772327,5.754122,3.137757,5.1129785,2.4249108,6.5090857,4.3040237,6.442014,8.280779,2.4848826,4.4192495,0.7715986
t4,8.762181,5.625825,3.0663552,5.118265,2.348791,6.4973917,4.2503467,6.4704785,8.410975,2.484317,4.533385,0.8786983
t35,8.1033945,8.131727,2.926214,4.2347364,1.5051628,6.399132,2.181898,7.064309,7.909103,1.7925411,4.2446804,0.97027737
t57,7.95451,8.075572,2.811494,4.1235127,1.4374957,6.377575,2.1733186,7.117245,7.8401804,1.7888619,4.313634,0.8981168
t58,7.98066,7.9780536,2.764339,4.1365976,1.4681097,6.3393803,2.1687608,7.1270146,7.8553743,1.8795807,4.2485547,0.9646002
t30,8.018726,8.161852,2.8999863,4.114335,1.4297374,6.309987,2.043625,7.103328,7.8712554,1.69784,4.2952056,0.9163964
t62,8.047281,8.13624,2.9124265,4.11546,1.4661093,6.3070045,2.0442243,7.0497065,7.8963494,1.6760303,4.280687,0.9344047
t63,8.081539,7.9963493,2.8314915,4.2047935,1.5095702,6.2234573,2.0605726,7.116987,7.967492,1.6549997,4.258017,0.9546301
t52,7.983453,8.080802,2.8587747,4.1445107,1.5230602,6.321056,2.110053,7.026411,7.952514,1.7383974,4.1830187,1.0281827
t18,8.061623,7.870348,2.7609043,4.210384,1.5813789,6.277789,2.1862826,7.054291,7.9521313,1.8192604,4.1903777,1.0264251
t22,8.101147,7.729293,2.7255616,4.2657323,1.5588843,6.308786,2.3157246,7.1173954,7.9354115,1.9037085,4.207253,1.007805
t50,8.0698,7.5716667,2.6565998,4.2642655,1.5901054,6.3422194,2.3431811,7.120301,7.8801327,1.9705544,4.246265,0.96811604
t51,8.072969,7.724949,2.762695,4.1857815,1.6664385,6.338872,2.3421109,6.9855766,7.84277,1.8113991,4.2863803,0.932043
t19,8.012647,6.72987,2.2441561,4.389676,1.6551546,6.479987,2.436945,7.151834,7.832721,2.3287213,4.2714186,0.9728047
t45,7.8428326,6.332056,1.8303144,4.3645573,1.6411836,6.5687222,2.2002084,7.098925,7.6524663,2.5030966,4.376607,0.8870258
t83,7.842859,6.2171545,1.7733656,4.3049026,1.5915471,6.614886,2.0522006,7.253064,7.7853227,2.5853949,4.220068,1.0471278
t105,7.8343153,6.1832924,1.7170756,4.2969384,1.5755042,6.599632,2.1470404,7.1824994,7.669932,2.6078708,4.3417125,0.92636704
t110,7.8672523,6.310335,1.8426529,4.2750244,1.6119062,6.5896134,2.1165898,7.220543,7.7037263,2.5539014,4.298005,0.96619856
t111,7.8075037,6.279847,1.8090264,4.347059,1.6407915,6.649978,2.1087635,7.1949544,7.724348,2.5930784,4.2803245,0.98539597
t115,7.7513666,6.1455617,1.6965746,4.3876705,1.641828,6.7187853,2.1064978,7.201397,7.7726803,2.6739676,4.2282047,1.0466646
t116,7.7089953,6.172521,1.6948143,4.413319,1.6688414,6.745562,2.143355,7.122676,7.721746,2.7269795,4.255602,1.0199203
t36,7.8479953,6.3281674,1.8078393,4.3356824,1.6139828,6.5433683,2.2253172,7.0769095,7.608008,2.5036032,4.4371705,0.82355016
t31,7.205456,8.91049,1.1395459,3.0792577,0.34754857,5.445893,1.6867645,10.245519,6.705989,1.5423001,4.4727716,-0.32833204
t32,7.2590575,8.85916,1.0652498,3.0447094,0.40433055,5.4299192,1.724199,10.282329,6.7619424,1.5760736,4.551746,-0.33860797
t75,7.1527767,8.994447,1.159127,3.0677447,0.23595512,5.3517413,1.5945088,10.396569,6.6390877,1.510499,4.4010158,-0.42675626
t76,7.083963,8.956708,1.0444359,3.136026,0.27718413,5.3348346,1.5872699,10.402976,6.598569,1.5168394,4.499246,-0.37839323
t118,7.119941,9.02664,1.1426162,3.0918362,0.20733568,5.32118,1.5743473,10.4243965,6.6058903,1.5063183,4.424532,-0.42887706
t119,7.0865827,9.057431,1.1615357,3.087668,0.1730211,5.3316493,1.549541,10.44112,6.563561,1.5382751,4.3854575,-0.43360072
t53,7.2638817,8.897603,1.1318784,3.0259347,0.3294743,5.3094206,1.6539048,10.37956,6.7515435,1.4392635,4.4505067,-0.36556232
t92,7.2247434,9.011679,1.1885759,2.912779,0.29982805,5.4988036,1.7992034,10.306793,6.7096276,1.6972941,4.3437185,-0.17196581
t93,7.257458,8.989062,1.1643778,2.9438672,0.32395998,5.524118,1.7643918,10.278602,6.744364,1.6985967,4.339947,-0.19954306
t77,7.1900067,8.953419,1.138134,2.9320629,0.36067733,5.5484953,1.766362,10.259769,6.67154,1.7696398,4.310552,-0.12090775
t78,7.2024302,8.963965,1.1524389,2.9111793,0.35683393,5.5684786,1.8005435,10.24768,6.6856303,1.7751917,4.294523,-0.10360247
t12,8.074126,7.1435018,2.4465418,4.3355703,1.6158074,6.3683605,2.4514346,7.199746,7.854935,2.1562634,4.251413,0.95841324
t68,2.886855,2.221813,2.5828571,2.7217982,6.893313,3.9732356,7.3040495,7.1782837,10.306761,3.7284977,-4.2057514,-1.3803327
t112,2.8602338,2.2848544,2.6322145,2.751288,6.9197807,3.9375305,7.3019004,7.130527,10.246863,3.6800308,-4.204185,-1.4442133
t122,2.8697076,2.3108761,2.6846712,2.7575703,6.9540358,3.9331605,7.312145,7.110113,10.217336,3.672044,-4.2026925,-1.4708604
t123,2.955228,2.3587863,2.7112184,2.742467,7.0215945,3.960873,7.386918,7.1427555,10.165489,3.623427,-4.1299024,-1.5236844
t59,2.931458,2.2997909,2.706386,2.6676946,6.980346,4.0180993,7.354821,7.063973,10.226948,3.7328448,-4.181939,-1.4530953
t71,2.6636798,2.9387157,3.4346225,2.944378,6.9668546,3.6593153,7.1384077,6.6974998,9.784207,3.5390532,-4.2812986,-1.9972051
t117,2.7275405,2.8719373,3.424425,2.8269997,6.962079,3.7465074,7.088761,6.660591,9.857825,3.4956944,-4.310581,-1.8699903
t120,2.6161315,2.8659182,3.4558668,2.7935512,7.0611587,3.8117652,7.1228213,6.603179,9.769061,3.5026226,-4.2584953,-1.940169
t121,2.7165473,2.956651,3.5279968,2.7995508,7.0423117,3.7727985,7.122691,6.557404,9.7906065,3.5417697,-4.3004146,-1.9511483
t73,2.6101897,2.867387,3.4877415,2.775901,7.08042,3.8213131,7.094715,6.5636983,9.7365055,3.4732609,-4.271827,-1.9506136
t54,2.5967996,2.7524223,3.3271859,2.8629472,7.0196395,3.77682,7.1377945,6.719261,9.846832,3.5114164,-4.2249513,-1.8766128
t55,2.5981872,2.7176566,3.368474,2.7521856,7.0877385,3.8891063,7.1306415,6.680811,9.791407,3.5116444,-4.234661,-1.8815627
t64,2.6477742,2.5574374,3.2319512,2.9252658,6.776174,3.7273521,7.013434,6.9600987,9.800704,3.414062,-4.259093,-1.8516626
t94,2.5885086,2.6175644,3.2743344,2.9124947,6.827334,3.7361414,7.0385466,6.88818,9.776491,3.376963,-4.239121,-1.8816334
t95,2.4900432,2.5711708,3.2766893,2.9579659,6.9347434,3.78125,7.021635,6.855286,9.768352,3.3522813,-4.166525,-1.849554
t72,2.5656745,2.558414,3.2265937,2.9024694,6.9367604,3.7508166,7.0468607,6.898464,9.721288,3.44542,-4.276803,-1.9362488
t89,3.0629091,1.7759389,2.7146811,2.2397683,6.7869267,4.474974,7.154875,7.097192,10.679821,4.232773,-4.332201,-0.9169907
t126,3.2446127,1.7568063,2.8390777,2.2203062,6.6866264,4.47741,7.0892,7.232793,10.657319,4.231231,-4.150471,-0.9254891
t127,3.1332595,1.8522218,2.8271055,2.259677,6.68201,4.4507184,7.0464573,7.213381,10.590571,4.2062454,-4.1857142,-1.0150481
t69,3.1612794,1.8464425,2.9571564,2.3507602,6.7133284,4.3295827,7.102603,7.2444873,10.54981,4.078868,-4.1285396,-1.0267125
t70,3.178176,1.8002548,2.9181762,2.314455,6.760421,4.3758435,7.136084,7.1835856,10.574475,4.1267858,-4.196695,-0.974872
t38,3.271104,1.7246885,2.8748484,2.1903298,6.687481,4.505832,7.086046,7.2318897,10.690869,4.254398,-4.130712,-0.8955957
t26,3.2166255,1.7193593,2.8840606,2.26398,6.6918206,4.4316187,7.118551,7.2417645,10.694682,4.186731,-4.1785984,-0.88423604
t9,8.764819,5.8850017,2.8679376,5.0926223,2.2697778,6.6112075,4.0542445,6.548317,8.228219,2.3263686,4.3794127,0.7833139
t10,8.690941,5.8902454,2.9080772,5.018377,2.2125175,6.54572,3.9924722,6.600433,8.273168,2.3510096,4.435658,0.8405304
t5,8.732705,5.742417,3.015425,5.0680585,2.2936122,6.5206327,4.14588,6.531668,8.309323,2.4469812,4.448545,0.829179
t6,8.723847,5.618383,2.947538,5.0929565,2.2068756,6.554235,4.1130977,6.594749,8.420641,2.479455,4.5275054,0.90532625
