,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t2,15.686296,3.6916065,5.855757,5.1681514,3.282517,7.6658897,5.103892,7.365613,5.4811773,4.655744,3.6245873,4.5096126,5.856379,3.555325,2.7722647,6.208075
t16,16.113081,3.762438,5.8679686,5.0868917,3.1951149,7.6643443,5.039071,7.330258,5.5241094,4.5612187,3.6938615,4.4764204,5.9788003,3.3518186,2.584869,6.33492
t27,16.191887,3.757776,5.8681,5.094407,3.1909928,7.668632,5.009332,7.3537397,5.53109,4.507713,3.7535877,4.446136,5.999916,3.302839,2.5292819,6.381455
t28,16.063696,3.8215914,5.8729324,5.142852,3.1789289,7.7037396,5.0819073,7.3562417,5.5703464,4.521358,3.7494996,4.4284697,6.001525,3.3199668,2.5279922,6.2880106
t10,16.284378,3.741698,5.911088,5.089817,3.1990976,7.6559553,4.9764514,7.4246154,5.5292287,4.422962,3.880258,4.35965,5.994551,3.2582328,2.4793978,6.4784193
t11,16.59825,3.741785,5.9933124,5.035009,3.2043657,7.613253,4.8807034,7.5101085,5.514965,4.258423,4.1043606,4.2219934,6.021967,3.124404,2.3485594,6.693768
t130,17.019087,3.81793,6.301719,4.8919864,3.1653736,7.5296063,4.7291083,7.603772,5.4907074,4.0869756,4.5115724,3.900234,5.99137,2.9108362,2.2045467,6.8196397
t131,17.009485,3.815588,6.313928,4.879247,3.1710947,7.51415,4.7206407,7.6144595,5.47666,4.090584,4.5029297,3.892571,5.977223,2.9139674,2.2043796,6.8059807
t92,16.961004,3.851038,6.270193,4.87411,3.1305888,7.514507,4.7316284,7.602139,5.449241,4.1342044,4.457544,3.9381874,5.952126,2.9285774,2.1999495,6.792457
t53,16.698719,3.7908876,6.1680746,4.9466424,3.175115,7.5495296,4.8366566,7.5503273,5.472005,4.231807,4.229648,4.0885086,5.950865,3.0518353,2.316125,6.642298
t20,16.119598,3.7561202,5.9710345,5.054895,3.2029238,7.6147356,5.0164404,7.39524,5.490236,4.5194187,3.795017,4.3800483,5.9116096,3.3379261,2.578932,6.349924
t12,15.795432,3.683159,5.849144,5.1806707,3.277749,7.674183,5.0734415,7.40739,5.499637,4.5670266,3.722604,4.455469,5.8883057,3.5008862,2.7057793,6.3032565
