"accepted_species","I1.1/1"
"t24","1"
"t4","1"
"t59","0"
"t60","1"
"t67","1"
"t63","0"
"t37","0"
"t33","0"
"t86","1"
"t87","0"
"t30","1"
"t95","0"
"t96",NA
"t31","0"
"t32","0"
"t28","0"
"t13","1"
"t9","0"
"t99","0"
"t100","0"
"t88",NA
"t69","1"
"t68","1"
"t80","1"
"t81","1"
"t74","0"
"t75","0"
"t46","1"
"t29","1"
"t42","1"
"t21","0"
"t22","1"
"t27","0"
"t52","0"
"t55","1"
"t56","0"
"t26","0"
"t84","1"
"t85","0"
"t57","0"
"t8","0"
"t53",NA
"t89","0"
"t90","0"
"t54","0"
"t49","0"
"t1","0"
"t61",NA
"t72","1"
"t73","1"
"t64","1"
"t58","1"
"t5","0"
"t6","0"
"t70","0"
"t71","1"
"t47","0"
"t48","0"
"t25","1"
"t97","0"
"t98",NA
"t62","1"
"t65","1"
"t66","1"
"t3","1"
"t82","1"
"t83","1"
"t40","1"
"t15","1"
"t14","0"
"t20","1"
"t7",NA
"t36","0"
"t93","1"
"t94","1"
"t91","0"
"t92","0"
"t12",NA
"t18","0"
"t19","0"
"t2","0"
"t78","0"
"t79","0"
"t76","0"
"t17","0"
"t11","1"
"t45","1"
"t50","1"
"t51","0"
"t38","0"
"t39","1"
"t23",NA
"t43","0"
"t44","0"
"t10","1"
"t16","1"
"t34","1"
"t35",NA
"t41","1"
"t77",NA
