"accepted_species","I1.1/1"
"t91","0"
"t92","1"
"t48","1"
"t9","1"
"t11","1"
"t12","1"
"t79","1"
"t6","1"
"t58","1"
"t59","1"
"t10","1"
"t22","1"
"t23","1"
"t18","1"
"t41","1"
"t77","1"
"t78","1"
"t70","1"
"t35","1"
"t36","1"
"t89","1"
"t90","1"
"t31","1"
"t32","0"
"t8","0"
"t29",NA
"t30",NA
"t87","0"
"t88","0"
"t66","0"
"t55",NA
"t56","0"
"t16","0"
"t17","0"
"t97","0"
"t98","0"
"t14","0"
"t37","0"
"t38","1"
"t3","0"
"t7","1"
"t40","1"
"t62",NA
"t63",NA
"t4","1"
"t5","1"
"t26","1"
"t27","1"
"t13","1"
"t67","1"
"t68","1"
"t52","1"
"t80",NA
"t83","0"
"t84",NA
"t49",NA
"t85","1"
"t86","1"
"t57","1"
"t69","1"
"t93","1"
"t94","1"
"t20","1"
"t53","1"
"t54","0"
"t28","1"
"t42","1"
"t99","1"
"t100","1"
"t95","1"
"t96","1"
"t60","1"
"t61","0"
"t64","0"
"t65","0"
"t24","1"
"t2","0"
"t44",NA
"t39","1"
"t21","1"
"t45","1"
"t46",NA
"t19","1"
"t1","1"
"t47","1"
"t50","1"
"t51","1"
"t71","1"
"t75","1"
"t76","1"
"t72","1"
"t25","1"
"t73","1"
"t74","1"
"t15","1"
"t33","1"
"t34","1"
"t81","1"
"t82","1"
"t43","1"
