accepted_species,estimate
t40,-0.8298944
t77,-0.38986322
t22,-0.5234077
t68,-0.42471513
t90,-0.10595863
t70,0.4503344
t16,-1.3197805
t25,-0.3992643
t20,-1.3605653
t1,-0.30578256
