,0,1
t3,0,1
t123,0,1
t36,0,1
t6,0,1
t5,0,1
t66,0,1
t105,0,1
t52,0,1
t37,0,1
t106,0,1
t11,0,1
t18,0,1
t101,0,1
t71,0,1
