,lambda,kappa,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,100.0,100.0,300,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
unique,,,5,,,,,,,,,,,,,
top,,,HISSE,,,,,,,,,,,,,
freq,,,100,,,,,,,,,,,,,
mean,0.5391406199126504,0.47094651980791236,,0.17251602319536366,0.18441994469655165,0.19203667483112347,0.20062399671498124,0.20257678271892549,0.21647146628523803,0.20253885062002788,0.20415218837639934,0.1884568961497605,0.19803777183399573,0.2570824526971199,0.19532898833482792,0.19323859091113615
std,0.2862861186305082,0.28647906913083565,,0.09120411268972986,0.10040061595787367,0.09967502764019857,0.08605181180140353,0.0871509627737756,0.10422396245110785,0.08758798059181544,0.08659148826922494,0.09945655284053954,0.1017693633568081,0.14428581086636694,0.10057278456394796,0.09740530244399376
min,0.0242157834582031,0.007343360921368,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.27390489232493526,0.21118869894416975,,0.1065756518821198,0.12195651430878314,0.13310802469135802,0.16246209519266072,0.1618991135711449,0.16458913874038747,0.16026425097622915,0.16185487866781234,0.1138143058409938,0.13116329218627104,0.15658766848629585,0.13376821799118208,0.12098215263794698
50%,0.572185829980299,0.47680770047009,,0.18602168443941464,0.19987701888254272,0.2048148148148148,0.2238905307240715,0.2219487533041511,0.22956651565495922,0.22245480163128842,0.22521131475758926,0.20452672882758988,0.21671835482743895,0.2697405655639856,0.21247256957199828,0.21409524766113375
75%,0.8008687342517076,0.6757558466051705,,0.23836805496996857,0.2415459265455019,0.2591710082252559,0.2553678136991503,0.25810128583956077,0.2831318386988794,0.2574420809783006,0.2594884298342102,0.25645538769292925,0.26264828345499436,0.36123560474507965,0.2639265164410233,0.26058152203909585
max,0.980084053007886,0.973335451446474,,0.37650814128656573,0.5571560350067737,0.490349077925862,0.4033754480221157,0.43568234485719826,0.4715620403954256,0.3992518111972169,0.3928357508582382,0.4407058183042965,0.485645700352079,0.6185615650659344,0.532572651941585,0.4490044238545406
