"accepted_species","I1.1/1"
"t5","0"
"t6","1"
"t17","0"
"t18",NA
"t62","0"
"t66","1"
"t67",NA
"t95","0"
"t96","0"
"t90","1"
"t22","1"
"t38","1"
"t51","1"
"t81",NA
"t82","1"
"t28","0"
"t72",NA
"t47","0"
"t20","0"
"t21","0"
"t3","0"
"t64","1"
"t53","1"
"t54","0"
"t39",NA
"t40","1"
"t41","0"
"t42",NA
"t2","1"
"t1","1"
"t14","1"
"t15","1"
"t13","1"
"t35","0"
"t75","0"
"t91","0"
"t92","0"
"t60","0"
"t29","0"
"t24","1"
"t76","1"
"t83",NA
"t84",NA
"t25","0"
"t26","1"
"t34","0"
"t57","0"
"t58","0"
"t88","0"
"t89","1"
"t37","0"
"t7","0"
"t55","0"
"t56","0"
"t73","0"
"t74","1"
"t27","0"
"t9","0"
"t4","0"
"t49","0"
"t50","0"
"t44","1"
"t45","1"
"t36","0"
"t32","1"
"t33","0"
"t8","1"
"t99","1"
"t100","1"
"t85","1"
"t43","1"
"t48","1"
"t61","0"
"t70","1"
"t71","1"
"t65","1"
"t46",NA
"t68","1"
"t69","1"
"t59","1"
"t52","1"
"t77","1"
"t78","0"
"t19","1"
"t12","1"
"t11","1"
"t79","1"
"t80","1"
"t86","1"
"t87","1"
"t63",NA
"t23","1"
"t10","1"
"t16","1"
"t93","0"
"t94","1"
"t30","1"
"t31","1"
"t97","1"
"t98","1"
