"accepted_species","I1.1/1"
"t2","1"
"t75","1"
"t76","1"
"t3","1"
"t48","1"
"t55","1"
"t56",NA
"t49","1"
"t46","1"
"t29","1"
"t19","1"
"t82","0"
"t89","0"
"t90","0"
"t70","0"
"t71","0"
"t80","0"
"t81","0"
"t6","0"
"t23","1"
"t60","1"
"t61","1"
"t47","1"
"t15","1"
"t50","1"
"t51","1"
"t79",NA
"t99","1"
"t100","0"
"t18","1"
"t8","1"
"t9","1"
"t4","1"
"t5",NA
"t40","1"
"t41","1"
"t87",NA
"t88",NA
"t65","1"
"t66",NA
"t42","1"
"t34","1"
"t35","1"
"t95","1"
"t96","1"
"t62","1"
"t24","1"
"t38","1"
"t39",NA
"t53","1"
"t54","0"
"t27","1"
"t57","1"
"t58","1"
"t32","1"
"t33",NA
"t52","0"
"t77","1"
"t78","1"
"t36","1"
"t37","1"
"t83","1"
"t84","1"
"t21","1"
"t7","1"
"t11","1"
"t25",NA
"t26","1"
"t97","0"
"t98","0"
"t72","0"
"t30","1"
"t28","1"
"t22","1"
"t14","1"
"t43","1"
"t31","0"
"t10","1"
"t16","1"
"t17","1"
"t12","1"
"t13","1"
"t73","1"
"t74","1"
"t20","1"
"t1","1"
"t85","1"
"t86","0"
"t59","0"
"t63","0"
"t64","1"
"t67","1"
"t68","1"
"t69","1"
"t91","1"
"t92",NA
"t45","1"
"t44","1"
"t93","1"
"t94","1"
