"","t29","t112","t113","t41","t98","t99","t65","t129","t130","t71","t123","t124","t86","t103","t104","t36","t120","t133","t134","t131","t132","t100","t27","t6","t20","t21","t108","t109","t5","t14","t66","t83","t110","t111","t93","t94","t87","t88","t74","t116","t117","t70","t57","t7","t18","t37","t38","t13","t26","t84","t85","t55","t47","t52","t53","t48","t42","t43","t135","t136","t46","t16","t17","t28","t91","t92","t39","t101","t102","t61","t62","t35","t63","t64","t58","t72","t73","t79","t80","t30","t114","t115","t49","t59","t125","t126","t81","t82","t22","t31","t32","t9","t119","t127","t128","t118","t11","t19","t33","t34","t40","t89","t90","t60","t67","t68","t69","t44","t45","t24","t25","t10","t95","t96","t97","t54","t121","t122","t75","t23","t4","t8","t76","t77","t50","t51","t105","t137","t138","t78","t106","t107","t56","t15","t12","t1","t2","t3"
"t29",0,2.4350706065,2.4350706065,1.63157182018,4.8695948893,4.8695948893,4.8695948893,6.54642254069,6.54642254069,6.54642254065,6.54642254065,6.54642254065,6.54642254065,6.54642254012,6.40042184247,6.46129873532,6.54642254032,6.54642254038,6.54642254038,6.54642254027,6.54642254027,6.54642254032,6.54642254015,4.05784911595,6.54642254025,6.22358486625,6.54642253965,6.54642253965,4.92198726655,4.77335134234,6.37765703775,6.54642254025,6.54642254031,6.54642254031,6.54642254035,6.54642254035,6.54642254035,6.54642254035,6.5464225403,6.5464225404,6.5464225404,6.27243134294,6.54642254025,4.85890356905,7.3678991832,7.0392830397,6.7421522193,7.15224793948,8.89719763818,8.89719763772,8.89719763772,8.89719763772,8.89719763782,8.366218957012,8.189242252942,8.897197637802,8.89719763782,8.89719763782,8.89719763773,8.89719763773,8.89719763778,7.62024407918,8.35347077258,8.09364543698,8.89719763718,8.78379750558,8.89719763762,8.89719763762,8.89719763762,8.89719763758,8.89719763758,8.22587192678,8.89719763743,8.89719763743,8.69708412058,8.89719763769,8.89719763769,8.89719763769,8.89719763769,8.60695023106,8.89719763756,8.84703803496,8.89719763756,8.89719763766,8.89719763763,8.89719763763,8.89719763766,8.89719763766,8.89719763808,7.75512087347,8.19587256568,8.89719763688,8.897197637283,8.897197637303,8.883299054173,8.89719763728,8.8971976377,8.8971976375,7.76481065246,8.8971976374,8.89719763763,8.89719763753,8.89719763753,8.45770114957,8.89719763743,8.89719763747,8.89719763747,8.89719763743,8.89719763743,8.89719763773,7.90253871573,7.0649820731,8.8971976378,8.897197637852,8.897197637852,8.8971976375,8.8971976375,8.8971976375,8.8971976375,8.8971976379,5.60492380919,6.4734407647,8.89719763794,8.89719763794,8.55245982971,8.89719763801,8.7925568988,8.89719763807,8.89719763807,8.89719763801,8.89719763771,8.89719763771,8.89719763761,8.89719763798,8.8971976377,5.772020483,5.9056721848,6.5110537232
"t112",2.4350706065,0,0.4033979988,0.90444372188,5.0377151758,5.0377151758,5.0377151758,6.71454282719,6.71454282719,6.71454282715,6.71454282715,6.71454282715,6.71454282715,6.71454282662,6.56854212897,6.62941902182,6.71454282682,6.71454282688,6.71454282688,6.71454282677,6.71454282677,6.71454282682,6.71454282665,4.22596940245,6.71454282675,6.39170515275,6.71454282615,6.71454282615,5.09010755305,4.94147162884,6.54577732425,6.71454282675,6.71454282681,6.71454282681,6.71454282685,6.71454282685,6.71454282685,6.71454282685,6.7145428268,6.7145428269,6.7145428269,6.44055162944,6.71454282675,5.02702385555,7.5360194697,7.2074033262,6.9102725058,7.32036822598,9.06531792468,9.06531792422,9.06531792422,9.06531792422,9.06531792432,8.534339243512,8.357362539442,9.065317924302,9.06531792432,9.06531792432,9.06531792423,9.06531792423,9.06531792428,7.78836436568,8.52159105908,8.26176572348,9.06531792368,8.95191779208,9.06531792412,9.06531792412,9.06531792412,9.06531792408,9.06531792408,8.39399221328,9.06531792393,9.06531792393,8.86520440708,9.06531792419,9.06531792419,9.06531792419,9.06531792419,8.77507051756,9.06531792406,9.01515832146,9.06531792406,9.06531792416,9.06531792413,9.06531792413,9.06531792416,9.06531792416,9.06531792458,7.92324115997,8.36399285218,9.06531792338,9.065317923783,9.065317923803,9.051419340673,9.06531792378,9.0653179242,9.065317924,7.93293093896,9.0653179239,9.06531792413,9.06531792403,9.06531792403,8.62582143607,9.06531792393,9.06531792397,9.06531792397,9.06531792393,9.06531792393,9.06531792423,8.07065900223,7.2331023596,9.0653179243,9.065317924352,9.065317924352,9.065317924,9.065317924,9.065317924,9.065317924,9.0653179244,5.77304409569,6.6415610512,9.06531792444,9.06531792444,8.72058011621,9.06531792451,8.9606771853,9.06531792457,9.06531792457,9.06531792451,9.06531792421,9.06531792421,9.06531792411,9.06531792448,9.0653179242,5.9401407695,6.0737924713,6.6791740097
"t113",2.4350706065,0.4033979988,0,0.90444372188,5.0377151758,5.0377151758,5.0377151758,6.71454282719,6.71454282719,6.71454282715,6.71454282715,6.71454282715,6.71454282715,6.71454282662,6.56854212897,6.62941902182,6.71454282682,6.71454282688,6.71454282688,6.71454282677,6.71454282677,6.71454282682,6.71454282665,4.22596940245,6.71454282675,6.39170515275,6.71454282615,6.71454282615,5.09010755305,4.94147162884,6.54577732425,6.71454282675,6.71454282681,6.71454282681,6.71454282685,6.71454282685,6.71454282685,6.71454282685,6.7145428268,6.7145428269,6.7145428269,6.44055162944,6.71454282675,5.02702385555,7.5360194697,7.2074033262,6.9102725058,7.32036822598,9.06531792468,9.06531792422,9.06531792422,9.06531792422,9.06531792432,8.534339243512,8.357362539442,9.065317924302,9.06531792432,9.06531792432,9.06531792423,9.06531792423,9.06531792428,7.78836436568,8.52159105908,8.26176572348,9.06531792368,8.95191779208,9.06531792412,9.06531792412,9.06531792412,9.06531792408,9.06531792408,8.39399221328,9.06531792393,9.06531792393,8.86520440708,9.06531792419,9.06531792419,9.06531792419,9.06531792419,8.77507051756,9.06531792406,9.01515832146,9.06531792406,9.06531792416,9.06531792413,9.06531792413,9.06531792416,9.06531792416,9.06531792458,7.92324115997,8.36399285218,9.06531792338,9.065317923783,9.065317923803,9.051419340673,9.06531792378,9.0653179242,9.065317924,7.93293093896,9.0653179239,9.06531792413,9.06531792403,9.06531792403,8.62582143607,9.06531792393,9.06531792397,9.06531792397,9.06531792393,9.06531792393,9.06531792423,8.07065900223,7.2331023596,9.0653179243,9.065317924352,9.065317924352,9.065317924,9.065317924,9.065317924,9.065317924,9.0653179244,5.77304409569,6.6415610512,9.06531792444,9.06531792444,8.72058011621,9.06531792451,8.9606771853,9.06531792457,9.06531792457,9.06531792451,9.06531792421,9.06531792421,9.06531792411,9.06531792448,9.0653179242,5.9401407695,6.0737924713,6.6791740097
"t41",1.63157182018,0.90444372188,0.90444372188,0,4.23421638948,4.23421638948,4.23421638948,5.91104404087,5.91104404087,5.91104404083,5.91104404083,5.91104404083,5.91104404083,5.9110440403,5.76504334265,5.8259202355,5.9110440405,5.91104404056,5.91104404056,5.91104404045,5.91104404045,5.9110440405,5.91104404033,3.42247061613,5.91104404043,5.58820636643,5.91104403983,5.91104403983,4.28660876673,4.13797284252,5.74227853793,5.91104404043,5.91104404049,5.91104404049,5.91104404053,5.91104404053,5.91104404053,5.91104404053,5.91104404048,5.91104404058,5.91104404058,5.63705284312,5.91104404043,4.22352506923,6.73252068338,6.40390453988,6.10677371948,6.51686943966,8.26181913836,8.2618191379,8.2618191379,8.2618191379,8.261819138,7.730840457192,7.553863753122,8.261819137982,8.261819138,8.261819138,8.26181913791,8.26181913791,8.26181913796,6.98486557936,7.71809227276,7.45826693716,8.26181913736,8.14841900576,8.2618191378,8.2618191378,8.2618191378,8.26181913776,8.26181913776,7.59049342696,8.26181913761,8.26181913761,8.06170562076,8.26181913787,8.26181913787,8.26181913787,8.26181913787,7.97157173124,8.26181913774,8.21165953514,8.26181913774,8.26181913784,8.26181913781,8.26181913781,8.26181913784,8.26181913784,8.26181913826,7.11974237365,7.56049406586,8.26181913706,8.261819137463,8.261819137483,8.247920554353,8.26181913746,8.26181913788,8.26181913768,7.12943215264,8.26181913758,8.26181913781,8.26181913771,8.26181913771,7.82232264975,8.26181913761,8.26181913765,8.26181913765,8.26181913761,8.26181913761,8.26181913791,7.26716021591,6.42960357328,8.26181913798,8.261819138032,8.261819138032,8.26181913768,8.26181913768,8.26181913768,8.26181913768,8.26181913808,4.96954530937,5.83806226488,8.26181913812,8.26181913812,7.91708132989,8.26181913819,8.15717839898,8.26181913825,8.26181913825,8.26181913819,8.26181913789,8.26181913789,8.26181913779,8.26181913816,8.26181913788,5.13664198318,5.27029368498,5.87567522338
"t98",4.8695948893,5.0377151758,5.0377151758,4.23421638948,0,0.4681418596,0.9467878586,6.71454282799,6.71454282799,6.71454282795,6.71454282795,6.71454282795,6.71454282795,6.71454282742,6.56854212977,6.62941902262,6.71454282762,6.71454282768,6.71454282768,6.71454282757,6.71454282757,6.71454282762,6.71454282745,4.22596940325,6.71454282755,6.39170515355,6.71454282695,6.71454282695,5.09010755385,4.94147162964,6.54577732505,6.71454282755,6.71454282761,6.71454282761,6.71454282765,6.71454282765,6.71454282765,6.71454282765,6.7145428276,6.7145428277,6.7145428277,6.44055163024,6.71454282755,5.02702385635,7.5360194705,7.207403327,6.9102725066,7.32036822678,9.06531792548,9.06531792502,9.06531792502,9.06531792502,9.06531792512,8.534339244312,8.357362540242,9.065317925102,9.06531792512,9.06531792512,9.06531792503,9.06531792503,9.06531792508,7.78836436648,8.52159105988,8.26176572428,9.06531792448,8.95191779288,9.06531792492,9.06531792492,9.06531792492,9.06531792488,9.06531792488,8.39399221408,9.06531792473,9.06531792473,8.86520440788,9.06531792499,9.06531792499,9.06531792499,9.06531792499,8.77507051836,9.06531792486,9.01515832226,9.06531792486,9.06531792496,9.06531792493,9.06531792493,9.06531792496,9.06531792496,9.06531792538,7.92324116077,8.36399285298,9.06531792418,9.065317924583,9.065317924603,9.051419341473,9.06531792458,9.065317925,9.0653179248,7.93293093976,9.0653179247,9.06531792493,9.06531792483,9.06531792483,8.62582143687,9.06531792473,9.06531792477,9.06531792477,9.06531792473,9.06531792473,9.06531792503,8.07065900303,7.2331023604,9.0653179251,9.065317925152,9.065317925152,9.0653179248,9.0653179248,9.0653179248,9.0653179248,9.0653179252,5.77304409649,6.641561052,9.06531792524,9.06531792524,8.72058011701,9.06531792531,8.9606771861,9.06531792537,9.06531792537,9.06531792531,9.06531792501,9.06531792501,9.06531792491,9.06531792528,9.065317925,5.9401407703,6.0737924721,6.6791740105
"t99",4.8695948893,5.0377151758,5.0377151758,4.23421638948,0.4681418596,0,0.9467878586,6.71454282799,6.71454282799,6.71454282795,6.71454282795,6.71454282795,6.71454282795,6.71454282742,6.56854212977,6.62941902262,6.71454282762,6.71454282768,6.71454282768,6.71454282757,6.71454282757,6.71454282762,6.71454282745,4.22596940325,6.71454282755,6.39170515355,6.71454282695,6.71454282695,5.09010755385,4.94147162964,6.54577732505,6.71454282755,6.71454282761,6.71454282761,6.71454282765,6.71454282765,6.71454282765,6.71454282765,6.7145428276,6.7145428277,6.7145428277,6.44055163024,6.71454282755,5.02702385635,7.5360194705,7.207403327,6.9102725066,7.32036822678,9.06531792548,9.06531792502,9.06531792502,9.06531792502,9.06531792512,8.534339244312,8.357362540242,9.065317925102,9.06531792512,9.06531792512,9.06531792503,9.06531792503,9.06531792508,7.78836436648,8.52159105988,8.26176572428,9.06531792448,8.95191779288,9.06531792492,9.06531792492,9.06531792492,9.06531792488,9.06531792488,8.39399221408,9.06531792473,9.06531792473,8.86520440788,9.06531792499,9.06531792499,9.06531792499,9.06531792499,8.77507051836,9.06531792486,9.01515832226,9.06531792486,9.06531792496,9.06531792493,9.06531792493,9.06531792496,9.06531792496,9.06531792538,7.92324116077,8.36399285298,9.06531792418,9.065317924583,9.065317924603,9.051419341473,9.06531792458,9.065317925,9.0653179248,7.93293093976,9.0653179247,9.06531792493,9.06531792483,9.06531792483,8.62582143687,9.06531792473,9.06531792477,9.06531792477,9.06531792473,9.06531792473,9.06531792503,8.07065900303,7.2331023604,9.0653179251,9.065317925152,9.065317925152,9.0653179248,9.0653179248,9.0653179248,9.0653179248,9.0653179252,5.77304409649,6.641561052,9.06531792524,9.06531792524,8.72058011701,9.06531792531,8.9606771861,9.06531792537,9.06531792537,9.06531792531,9.06531792501,9.06531792501,9.06531792491,9.06531792528,9.065317925,5.9401407703,6.0737924721,6.6791740105
"t65",4.8695948893,5.0377151758,5.0377151758,4.23421638948,0.9467878586,0.9467878586,0,6.71454282799,6.71454282799,6.71454282795,6.71454282795,6.71454282795,6.71454282795,6.71454282742,6.56854212977,6.62941902262,6.71454282762,6.71454282768,6.71454282768,6.71454282757,6.71454282757,6.71454282762,6.71454282745,4.22596940325,6.71454282755,6.39170515355,6.71454282695,6.71454282695,5.09010755385,4.94147162964,6.54577732505,6.71454282755,6.71454282761,6.71454282761,6.71454282765,6.71454282765,6.71454282765,6.71454282765,6.7145428276,6.7145428277,6.7145428277,6.44055163024,6.71454282755,5.02702385635,7.5360194705,7.207403327,6.9102725066,7.32036822678,9.06531792548,9.06531792502,9.06531792502,9.06531792502,9.06531792512,8.534339244312,8.357362540242,9.065317925102,9.06531792512,9.06531792512,9.06531792503,9.06531792503,9.06531792508,7.78836436648,8.52159105988,8.26176572428,9.06531792448,8.95191779288,9.06531792492,9.06531792492,9.06531792492,9.06531792488,9.06531792488,8.39399221408,9.06531792473,9.06531792473,8.86520440788,9.06531792499,9.06531792499,9.06531792499,9.06531792499,8.77507051836,9.06531792486,9.01515832226,9.06531792486,9.06531792496,9.06531792493,9.06531792493,9.06531792496,9.06531792496,9.06531792538,7.92324116077,8.36399285298,9.06531792418,9.065317924583,9.065317924603,9.051419341473,9.06531792458,9.065317925,9.0653179248,7.93293093976,9.0653179247,9.06531792493,9.06531792483,9.06531792483,8.62582143687,9.06531792473,9.06531792477,9.06531792477,9.06531792473,9.06531792473,9.06531792503,8.07065900303,7.2331023604,9.0653179251,9.065317925152,9.065317925152,9.0653179248,9.0653179248,9.0653179248,9.0653179248,9.0653179252,5.77304409649,6.641561052,9.06531792524,9.06531792524,8.72058011701,9.06531792531,8.9606771861,9.06531792537,9.06531792537,9.06531792531,9.06531792501,9.06531792501,9.06531792491,9.06531792528,9.065317925,5.9401407703,6.0737924721,6.6791740105
"t129",6.54642254069,6.71454282719,6.71454282719,5.91104404087,6.71454282799,6.71454282799,6.71454282799,0,0.15071452288,0.98091747104,0.98091747104,0.98091747104,0.98091747104,3.91848581051,3.77248511286,3.83336200571,3.91848581071,3.91848581077,3.91848581077,3.91848581066,3.91848581066,3.91848581071,3.91848581054,3.17168229254,6.63552172624,6.31268405224,6.63552172564,6.63552172564,5.01108645254,4.86245052833,6.46675622374,6.63552172624,6.6355217263,6.6355217263,6.63552172634,6.63552172634,6.63552172634,6.63552172634,6.63552172629,6.63552172639,6.63552172639,6.36153052893,6.63552172624,4.94800275504,7.53601947049,7.20740332699,6.91027250659,7.32036822677,9.06531792547,9.06531792501,9.06531792501,9.06531792501,9.06531792511,8.534339244302,8.357362540232,9.065317925092,9.06531792511,9.06531792511,9.06531792502,9.06531792502,9.06531792507,7.78836436647,8.52159105987,8.26176572427,9.06531792447,8.95191779287,9.06531792491,9.06531792491,9.06531792491,9.06531792487,9.06531792487,8.39399221407,9.06531792472,9.06531792472,8.86520440787,9.06531792498,9.06531792498,9.06531792498,9.06531792498,8.77507051835,9.06531792485,9.01515832225,9.06531792485,9.06531792495,9.06531792492,9.06531792492,9.06531792495,9.06531792495,9.06531792537,7.92324116076,8.36399285297,9.06531792417,9.065317924573,9.065317924593,9.051419341463,9.06531792457,9.06531792499,9.06531792479,7.93293093975,9.06531792469,9.06531792492,9.06531792482,9.06531792482,8.62582143686,9.06531792472,9.06531792476,9.06531792476,9.06531792472,9.06531792472,9.06531792502,8.07065900302,7.23310236039,9.06531792509,9.065317925142,9.065317925142,9.06531792479,9.06531792479,9.06531792479,9.06531792479,9.06531792519,5.77304409648,6.64156105199,9.06531792523,9.06531792523,8.720580117,9.0653179253,8.96067718609,9.06531792536,9.06531792536,9.0653179253,9.065317925,9.065317925,9.0653179249,9.06531792527,9.06531792499,5.94014077029,6.07379247209,6.67917401049
"t130",6.54642254069,6.71454282719,6.71454282719,5.91104404087,6.71454282799,6.71454282799,6.71454282799,0.15071452288,0,0.98091747104,0.98091747104,0.98091747104,0.98091747104,3.91848581051,3.77248511286,3.83336200571,3.91848581071,3.91848581077,3.91848581077,3.91848581066,3.91848581066,3.91848581071,3.91848581054,3.17168229254,6.63552172624,6.31268405224,6.63552172564,6.63552172564,5.01108645254,4.86245052833,6.46675622374,6.63552172624,6.6355217263,6.6355217263,6.63552172634,6.63552172634,6.63552172634,6.63552172634,6.63552172629,6.63552172639,6.63552172639,6.36153052893,6.63552172624,4.94800275504,7.53601947049,7.20740332699,6.91027250659,7.32036822677,9.06531792547,9.06531792501,9.06531792501,9.06531792501,9.06531792511,8.534339244302,8.357362540232,9.065317925092,9.06531792511,9.06531792511,9.06531792502,9.06531792502,9.06531792507,7.78836436647,8.52159105987,8.26176572427,9.06531792447,8.95191779287,9.06531792491,9.06531792491,9.06531792491,9.06531792487,9.06531792487,8.39399221407,9.06531792472,9.06531792472,8.86520440787,9.06531792498,9.06531792498,9.06531792498,9.06531792498,8.77507051835,9.06531792485,9.01515832225,9.06531792485,9.06531792495,9.06531792492,9.06531792492,9.06531792495,9.06531792495,9.06531792537,7.92324116076,8.36399285297,9.06531792417,9.065317924573,9.065317924593,9.051419341463,9.06531792457,9.06531792499,9.06531792479,7.93293093975,9.06531792469,9.06531792492,9.06531792482,9.06531792482,8.62582143686,9.06531792472,9.06531792476,9.06531792476,9.06531792472,9.06531792472,9.06531792502,8.07065900302,7.23310236039,9.06531792509,9.065317925142,9.065317925142,9.06531792479,9.06531792479,9.06531792479,9.06531792479,9.06531792519,5.77304409648,6.64156105199,9.06531792523,9.06531792523,8.720580117,9.0653179253,8.96067718609,9.06531792536,9.06531792536,9.0653179253,9.065317925,9.065317925,9.0653179249,9.06531792527,9.06531792499,5.94014077029,6.07379247209,6.67917401049
"t71",6.54642254065,6.71454282715,6.71454282715,5.91104404083,6.71454282795,6.71454282795,6.71454282795,0.98091747104,0.98091747104,0,0.7671495712,0.7671495712,0.7671495712,3.91848581047,3.77248511282,3.83336200567,3.91848581067,3.91848581073,3.91848581073,3.91848581062,3.91848581062,3.91848581067,3.9184858105,3.1716822925,6.6355217262,6.3126840522,6.6355217256,6.6355217256,5.0110864525,4.86245052829,6.4667562237,6.6355217262,6.63552172626,6.63552172626,6.6355217263,6.6355217263,6.6355217263,6.6355217263,6.63552172625,6.63552172635,6.63552172635,6.36153052889,6.6355217262,4.948002755,7.53601947045,7.20740332695,6.91027250655,7.32036822673,9.06531792543,9.06531792497,9.06531792497,9.06531792497,9.06531792507,8.534339244262,8.357362540192,9.065317925052,9.06531792507,9.06531792507,9.06531792498,9.06531792498,9.06531792503,7.78836436643,8.52159105983,8.26176572423,9.06531792443,8.95191779283,9.06531792487,9.06531792487,9.06531792487,9.06531792483,9.06531792483,8.39399221403,9.06531792468,9.06531792468,8.86520440783,9.06531792494,9.06531792494,9.06531792494,9.06531792494,8.77507051831,9.06531792481,9.01515832221,9.06531792481,9.06531792491,9.06531792488,9.06531792488,9.06531792491,9.06531792491,9.06531792533,7.92324116072,8.36399285293,9.06531792413,9.065317924533,9.065317924553,9.051419341423,9.06531792453,9.06531792495,9.06531792475,7.93293093971,9.06531792465,9.06531792488,9.06531792478,9.06531792478,8.62582143682,9.06531792468,9.06531792472,9.06531792472,9.06531792468,9.06531792468,9.06531792498,8.07065900298,7.23310236035,9.06531792505,9.065317925102,9.065317925102,9.06531792475,9.06531792475,9.06531792475,9.06531792475,9.06531792515,5.77304409644,6.64156105195,9.06531792519,9.06531792519,8.72058011696,9.06531792526,8.96067718605,9.06531792532,9.06531792532,9.06531792526,9.06531792496,9.06531792496,9.06531792486,9.06531792523,9.06531792495,5.94014077025,6.07379247205,6.67917401045
