,lambda,kappa,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,100.0,100.0,300,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
unique,,,5,,,,,,,,,,,,,
top,,,HISSE,,,,,,,,,,,,,
freq,,,100,,,,,,,,,,,,,
mean,0.5391406199126504,0.47094651980791236,,0.18465207434499542,0.1984524051373021,0.1908717442500479,0.20639326066443034,0.20581520639265527,0.24022805741830391,0.20267928840233693,0.20321845859144505,0.202929565198887,0.20637445318018502,0.26138643994500493,0.20312625351998523,0.1960642627295025
std,0.2862861186305082,0.28647906913083565,,0.09836691616846506,0.11546084183915921,0.10902897249510857,0.11581023293314625,0.11132985700244828,0.15261066673624335,0.10238270232626741,0.10548425211595693,0.12150508872172676,0.12402920373094427,0.16491150957952616,0.11864219011502002,0.11189990502033156
min,0.0242157834582031,0.007343360921368,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.27390489232493526,0.21118869894416975,,0.11012652408830738,0.112486216111437,0.118972093798589,0.14556492088837897,0.14968566699427316,0.139428715880773,0.14280926283463738,0.13627299218534547,0.1034877971504266,0.10668883059467306,0.13128413852930945,0.10956934314813808,0.10524347368909029
50%,0.572185829980299,0.47680770047009,,0.197747292124697,0.2146305825128672,0.2,0.2187217861030848,0.2226455501106657,0.24274466181166393,0.2226035098333755,0.21783883593080466,0.22154190510686247,0.21947314978059124,0.25869278412682883,0.21760557140494774,0.21158930022091121
75%,0.8008687342517076,0.6757558466051705,,0.24961203430544687,0.25465513911829285,0.25,0.25745195180283087,0.25867615133949473,0.29668995743956644,0.2590363248888473,0.25938617596198793,0.2615256854359522,0.2634187205684303,0.36943781782430607,0.2680438424012685,0.2632340946774865
max,0.980084053007886,0.973335451446474,,0.47058692074445824,0.6160182020955981,0.7,0.8418399119768856,0.8580218796067026,0.990733065655904,0.5301831992948832,0.622068657121895,0.674033227933988,0.80545826785843,0.8207077367178446,0.5848175791669286,0.58894378417281
