"","t19","t34","t106","t107","t72","t29","t32","t52","t67","t68","t18","t98","t99","t27","t83","t108","t109","t85","t80","t124","t125","t97","t120","t121","t31","t36","t37","t47","t48","t4","t16","t63","t64","t94","t95","t5","t110","t111","t73","t74","t84","t112","t113","t69","t38","t114","t115","t49","t50","t54","t55","t43","t44","t41","t81","t82","t79","t96","t100","t101","t3","t7","t20","t21","t59","t60","t56","t17","t116","t117","t88","t28","t12","t2","t30","t62","t77","t78","t75","t42","t9","t13","t45","t46","t26","t58","t61","t118","t119","t92","t93","t24","t104","t105","t22","t23","t14","t39","t40","t70","t71","t57","t53","t122","t123","t91","t76","t51","t86","t87","t102","t103","t35","t33","t11","t8","t6","t10","t25","t65","t66","t15","t89","t90","t1"
"t19",0,2.5060042781,2.50600427816,2.50600427816,2.5060042782,2.5060042781,2.5060042782,2.5060042782,2.5060042782,2.5060042782,2.81079337426,4.01129462308,4.01129462308,4.0112946224,4.01129462278,4.01129462278,4.01129462278,4.01129462285,4.0112946228,5.399981790752,5.399981790752,5.39998179075,5.39998179075,5.39998179075,5.72226116357,5.04697752728,5.72226116357,5.72226116365,5.72226116365,3.62184081255,4.4715097032,5.72226116328,5.72226116328,5.72226116334,5.72226116334,5.7222611633,6.26062917961,6.26062917961,6.26062918,6.26062918,6.2606291802,6.26062918016,6.26062918016,6.2606291802,5.565930242827,6.26062918009,6.26062918009,6.2606291801,6.2606291801,6.2606291802,5.909613191,6.2606291801,6.2606291801,6.2606291802,6.2606291802,6.2497770952,6.2606291802,6.26062918016,6.26062918016,6.26062918016,4.07630282634,5.21066224464,6.19021109864,6.03983067364,5.9961204386,6.2606291797,5.77449695252,6.26062918034,6.26062918,6.26062918,6.26062918004,6.26062918024,5.11679366294,4.77411582126,6.2606291796,6.2606291797,6.26062917962,6.26062917962,6.2606291796,5.73558690267,6.2606291805,5.6234233567,6.26062918,6.26062918,5.630665266,6.26062918,6.260629180001,6.260629180001,6.260629180001,6.2606291799,6.2606291799,5.25580690735,6.26062918026,6.26062918026,6.1533000869,6.2606291799,5.2633286142,6.2606291802,6.2606291802,6.2606291802,6.2606291802,6.2606291801,7.08252276908,7.08252276917,7.08252276917,7.08252276908,7.08252276908,7.08252276907,7.08252276919,7.08252276919,7.08252276918,7.08252276918,7.08252276913,7.0825227691,7.082522769,6.5488191445,6.2970873633,7.0825227688,7.0825227695,7.0825227692,6.8966359707,7.0825227688,7.082522769,7.082522769,4.452655166977
"t34",2.5060042781,0,1.60022208726,1.60022208726,1.6002220873,2.2692420762,2.2692420763,2.2692420763,2.2692420763,2.2692420763,2.81079337436,4.01129462318,4.01129462318,4.0112946225,4.01129462288,4.01129462288,4.01129462288,4.01129462295,4.0112946229,5.399981790852,5.399981790852,5.39998179085,5.39998179085,5.39998179085,5.72226116367,5.04697752738,5.72226116367,5.72226116375,5.72226116375,3.62184081265,4.4715097033,5.72226116338,5.72226116338,5.72226116344,5.72226116344,5.7222611634,6.26062917971,6.26062917971,6.2606291801,6.2606291801,6.2606291803,6.26062918026,6.26062918026,6.2606291803,5.565930242927,6.26062918019,6.26062918019,6.2606291802,6.2606291802,6.2606291803,5.9096131911,6.2606291802,6.2606291802,6.2606291803,6.2606291803,6.2497770953,6.2606291803,6.26062918026,6.26062918026,6.26062918026,4.07630282644,5.21066224474,6.19021109874,6.03983067374,5.9961204387,6.2606291798,5.77449695262,6.26062918044,6.2606291801,6.2606291801,6.26062918014,6.26062918034,5.11679366304,4.77411582136,6.2606291797,6.2606291798,6.26062917972,6.26062917972,6.2606291797,5.73558690277,6.2606291806,5.6234233568,6.2606291801,6.2606291801,5.6306652661,6.2606291801,6.260629180101,6.260629180101,6.260629180101,6.26062918,6.26062918,5.25580690745,6.26062918036,6.26062918036,6.153300087,6.26062918,5.2633286143,6.2606291803,6.2606291803,6.2606291803,6.2606291803,6.2606291802,7.08252276918,7.08252276927,7.08252276927,7.08252276918,7.08252276918,7.08252276917,7.08252276929,7.08252276929,7.08252276928,7.08252276928,7.08252276923,7.0825227692,7.0825227691,6.5488191446,6.2970873634,7.0825227689,7.0825227696,7.0825227693,6.8966359708,7.0825227689,7.0825227691,7.0825227691,4.452655167077
"t106",2.50600427816,1.60022208726,0,0.08594796232,0.70113710776,2.26924207626,2.26924207636,2.26924207636,2.26924207636,2.26924207636,2.81079337442,4.01129462324,4.01129462324,4.01129462256,4.01129462294,4.01129462294,4.01129462294,4.01129462301,4.01129462296,5.399981790912,5.399981790912,5.39998179091,5.39998179091,5.39998179091,5.72226116373,5.04697752744,5.72226116373,5.72226116381,5.72226116381,3.62184081271,4.47150970336,5.72226116344,5.72226116344,5.7222611635,5.7222611635,5.72226116346,6.26062917977,6.26062917977,6.26062918016,6.26062918016,6.26062918036,6.26062918032,6.26062918032,6.26062918036,5.565930242987,6.26062918025,6.26062918025,6.26062918026,6.26062918026,6.26062918036,5.90961319116,6.26062918026,6.26062918026,6.26062918036,6.26062918036,6.24977709536,6.26062918036,6.26062918032,6.26062918032,6.26062918032,4.0763028265,5.2106622448,6.1902110988,6.0398306738,5.99612043876,6.26062917986,5.77449695268,6.2606291805,6.26062918016,6.26062918016,6.2606291802,6.2606291804,5.1167936631,4.77411582142,6.26062917976,6.26062917986,6.26062917978,6.26062917978,6.26062917976,5.73558690283,6.26062918066,5.62342335686,6.26062918016,6.26062918016,5.63066526616,6.26062918016,6.260629180161,6.260629180161,6.260629180161,6.26062918006,6.26062918006,5.25580690751,6.26062918042,6.26062918042,6.15330008706,6.26062918006,5.26332861436,6.26062918036,6.26062918036,6.26062918036,6.26062918036,6.26062918026,7.08252276924,7.08252276933,7.08252276933,7.08252276924,7.08252276924,7.08252276923,7.08252276935,7.08252276935,7.08252276934,7.08252276934,7.08252276929,7.08252276926,7.08252276916,6.54881914466,6.29708736346,7.08252276896,7.08252276966,7.08252276936,6.89663597086,7.08252276896,7.08252276916,7.08252276916,4.452655167137
"t107",2.50600427816,1.60022208726,0.08594796232,0,0.70113710776,2.26924207626,2.26924207636,2.26924207636,2.26924207636,2.26924207636,2.81079337442,4.01129462324,4.01129462324,4.01129462256,4.01129462294,4.01129462294,4.01129462294,4.01129462301,4.01129462296,5.399981790912,5.399981790912,5.39998179091,5.39998179091,5.39998179091,5.72226116373,5.04697752744,5.72226116373,5.72226116381,5.72226116381,3.62184081271,4.47150970336,5.72226116344,5.72226116344,5.7222611635,5.7222611635,5.72226116346,6.26062917977,6.26062917977,6.26062918016,6.26062918016,6.26062918036,6.26062918032,6.26062918032,6.26062918036,5.565930242987,6.26062918025,6.26062918025,6.26062918026,6.26062918026,6.26062918036,5.90961319116,6.26062918026,6.26062918026,6.26062918036,6.26062918036,6.24977709536,6.26062918036,6.26062918032,6.26062918032,6.26062918032,4.0763028265,5.2106622448,6.1902110988,6.0398306738,5.99612043876,6.26062917986,5.77449695268,6.2606291805,6.26062918016,6.26062918016,6.2606291802,6.2606291804,5.1167936631,4.77411582142,6.26062917976,6.26062917986,6.26062917978,6.26062917978,6.26062917976,5.73558690283,6.26062918066,5.62342335686,6.26062918016,6.26062918016,5.63066526616,6.26062918016,6.260629180161,6.260629180161,6.260629180161,6.26062918006,6.26062918006,5.25580690751,6.26062918042,6.26062918042,6.15330008706,6.26062918006,5.26332861436,6.26062918036,6.26062918036,6.26062918036,6.26062918036,6.26062918026,7.08252276924,7.08252276933,7.08252276933,7.08252276924,7.08252276924,7.08252276923,7.08252276935,7.08252276935,7.08252276934,7.08252276934,7.08252276929,7.08252276926,7.08252276916,6.54881914466,6.29708736346,7.08252276896,7.08252276966,7.08252276936,6.89663597086,7.08252276896,7.08252276916,7.08252276916,4.452655167137
"t72",2.5060042782,1.6002220873,0.70113710776,0.70113710776,0,2.2692420763,2.2692420764,2.2692420764,2.2692420764,2.2692420764,2.81079337446,4.01129462328,4.01129462328,4.0112946226,4.01129462298,4.01129462298,4.01129462298,4.01129462305,4.011294623,5.399981790952,5.399981790952,5.39998179095,5.39998179095,5.39998179095,5.72226116377,5.04697752748,5.72226116377,5.72226116385,5.72226116385,3.62184081275,4.4715097034,5.72226116348,5.72226116348,5.72226116354,5.72226116354,5.7222611635,6.26062917981,6.26062917981,6.2606291802,6.2606291802,6.2606291804,6.26062918036,6.26062918036,6.2606291804,5.565930243027,6.26062918029,6.26062918029,6.2606291803,6.2606291803,6.2606291804,5.9096131912,6.2606291803,6.2606291803,6.2606291804,6.2606291804,6.2497770954,6.2606291804,6.26062918036,6.26062918036,6.26062918036,4.07630282654,5.21066224484,6.19021109884,6.03983067384,5.9961204388,6.2606291799,5.77449695272,6.26062918054,6.2606291802,6.2606291802,6.26062918024,6.26062918044,5.11679366314,4.77411582146,6.2606291798,6.2606291799,6.26062917982,6.26062917982,6.2606291798,5.73558690287,6.2606291807,5.6234233569,6.2606291802,6.2606291802,5.6306652662,6.2606291802,6.260629180201,6.260629180201,6.260629180201,6.2606291801,6.2606291801,5.25580690755,6.26062918046,6.26062918046,6.1533000871,6.2606291801,5.2633286144,6.2606291804,6.2606291804,6.2606291804,6.2606291804,6.2606291803,7.08252276928,7.08252276937,7.08252276937,7.08252276928,7.08252276928,7.08252276927,7.08252276939,7.08252276939,7.08252276938,7.08252276938,7.08252276933,7.0825227693,7.0825227692,6.5488191447,6.2970873635,7.082522769,7.0825227697,7.0825227694,6.8966359709,7.082522769,7.0825227692,7.0825227692,4.452655167177
"t29",2.5060042781,2.2692420762,2.26924207626,2.26924207626,2.2692420763,0,2.0174204641,2.0174204641,2.0174204641,2.0174204641,2.81079337436,4.01129462318,4.01129462318,4.0112946225,4.01129462288,4.01129462288,4.01129462288,4.01129462295,4.0112946229,5.399981790852,5.399981790852,5.39998179085,5.39998179085,5.39998179085,5.72226116367,5.04697752738,5.72226116367,5.72226116375,5.72226116375,3.62184081265,4.4715097033,5.72226116338,5.72226116338,5.72226116344,5.72226116344,5.7222611634,6.26062917971,6.26062917971,6.2606291801,6.2606291801,6.2606291803,6.26062918026,6.26062918026,6.2606291803,5.565930242927,6.26062918019,6.26062918019,6.2606291802,6.2606291802,6.2606291803,5.9096131911,6.2606291802,6.2606291802,6.2606291803,6.2606291803,6.2497770953,6.2606291803,6.26062918026,6.26062918026,6.26062918026,4.07630282644,5.21066224474,6.19021109874,6.03983067374,5.9961204387,6.2606291798,5.77449695262,6.26062918044,6.2606291801,6.2606291801,6.26062918014,6.26062918034,5.11679366304,4.77411582136,6.2606291797,6.2606291798,6.26062917972,6.26062917972,6.2606291797,5.73558690277,6.2606291806,5.6234233568,6.2606291801,6.2606291801,5.6306652661,6.2606291801,6.260629180101,6.260629180101,6.260629180101,6.26062918,6.26062918,5.25580690745,6.26062918036,6.26062918036,6.153300087,6.26062918,5.2633286143,6.2606291803,6.2606291803,6.2606291803,6.2606291803,6.2606291802,7.08252276918,7.08252276927,7.08252276927,7.08252276918,7.08252276918,7.08252276917,7.08252276929,7.08252276929,7.08252276928,7.08252276928,7.08252276923,7.0825227692,7.0825227691,6.5488191446,6.2970873634,7.0825227689,7.0825227696,7.0825227693,6.8966359708,7.0825227689,7.0825227691,7.0825227691,4.452655167077
"t32",2.5060042782,2.2692420763,2.26924207636,2.26924207636,2.2692420764,2.0174204641,0,1.6517034748,1.6517034748,1.6517034748,2.81079337446,4.01129462328,4.01129462328,4.0112946226,4.01129462298,4.01129462298,4.01129462298,4.01129462305,4.011294623,5.399981790952,5.399981790952,5.39998179095,5.39998179095,5.39998179095,5.72226116377,5.04697752748,5.72226116377,5.72226116385,5.72226116385,3.62184081275,4.4715097034,5.72226116348,5.72226116348,5.72226116354,5.72226116354,5.7222611635,6.26062917981,6.26062917981,6.2606291802,6.2606291802,6.2606291804,6.26062918036,6.26062918036,6.2606291804,5.565930243027,6.26062918029,6.26062918029,6.2606291803,6.2606291803,6.2606291804,5.9096131912,6.2606291803,6.2606291803,6.2606291804,6.2606291804,6.2497770954,6.2606291804,6.26062918036,6.26062918036,6.26062918036,4.07630282654,5.21066224484,6.19021109884,6.03983067384,5.9961204388,6.2606291799,5.77449695272,6.26062918054,6.2606291802,6.2606291802,6.26062918024,6.26062918044,5.11679366314,4.77411582146,6.2606291798,6.2606291799,6.26062917982,6.26062917982,6.2606291798,5.73558690287,6.2606291807,5.6234233569,6.2606291802,6.2606291802,5.6306652662,6.2606291802,6.260629180201,6.260629180201,6.260629180201,6.2606291801,6.2606291801,5.25580690755,6.26062918046,6.26062918046,6.1533000871,6.2606291801,5.2633286144,6.2606291804,6.2606291804,6.2606291804,6.2606291804,6.2606291803,7.08252276928,7.08252276937,7.08252276937,7.08252276928,7.08252276928,7.08252276927,7.08252276939,7.08252276939,7.08252276938,7.08252276938,7.08252276933,7.0825227693,7.0825227692,6.5488191447,6.2970873635,7.082522769,7.0825227697,7.0825227694,6.8966359709,7.082522769,7.0825227692,7.0825227692,4.452655167177
"t52",2.5060042782,2.2692420763,2.26924207636,2.26924207636,2.2692420764,2.0174204641,1.6517034748,0,1.1347567534,1.1347567534,2.81079337446,4.01129462328,4.01129462328,4.0112946226,4.01129462298,4.01129462298,4.01129462298,4.01129462305,4.011294623,5.399981790952,5.399981790952,5.39998179095,5.39998179095,5.39998179095,5.72226116377,5.04697752748,5.72226116377,5.72226116385,5.72226116385,3.62184081275,4.4715097034,5.72226116348,5.72226116348,5.72226116354,5.72226116354,5.7222611635,6.26062917981,6.26062917981,6.2606291802,6.2606291802,6.2606291804,6.26062918036,6.26062918036,6.2606291804,5.565930243027,6.26062918029,6.26062918029,6.2606291803,6.2606291803,6.2606291804,5.9096131912,6.2606291803,6.2606291803,6.2606291804,6.2606291804,6.2497770954,6.2606291804,6.26062918036,6.26062918036,6.26062918036,4.07630282654,5.21066224484,6.19021109884,6.03983067384,5.9961204388,6.2606291799,5.77449695272,6.26062918054,6.2606291802,6.2606291802,6.26062918024,6.26062918044,5.11679366314,4.77411582146,6.2606291798,6.2606291799,6.26062917982,6.26062917982,6.2606291798,5.73558690287,6.2606291807,5.6234233569,6.2606291802,6.2606291802,5.6306652662,6.2606291802,6.260629180201,6.260629180201,6.260629180201,6.2606291801,6.2606291801,5.25580690755,6.26062918046,6.26062918046,6.1533000871,6.2606291801,5.2633286144,6.2606291804,6.2606291804,6.2606291804,6.2606291804,6.2606291803,7.08252276928,7.08252276937,7.08252276937,7.08252276928,7.08252276928,7.08252276927,7.08252276939,7.08252276939,7.08252276938,7.08252276938,7.08252276933,7.0825227693,7.0825227692,6.5488191447,6.2970873635,7.082522769,7.0825227697,7.0825227694,6.8966359709,7.082522769,7.0825227692,7.0825227692,4.452655167177
"t67",2.5060042782,2.2692420763,2.26924207636,2.26924207636,2.2692420764,2.0174204641,1.6517034748,1.1347567534,0,0.724405518,2.81079337446,4.01129462328,4.01129462328,4.0112946226,4.01129462298,4.01129462298,4.01129462298,4.01129462305,4.011294623,5.399981790952,5.399981790952,5.39998179095,5.39998179095,5.39998179095,5.72226116377,5.04697752748,5.72226116377,5.72226116385,5.72226116385,3.62184081275,4.4715097034,5.72226116348,5.72226116348,5.72226116354,5.72226116354,5.7222611635,6.26062917981,6.26062917981,6.2606291802,6.2606291802,6.2606291804,6.26062918036,6.26062918036,6.2606291804,5.565930243027,6.26062918029,6.26062918029,6.2606291803,6.2606291803,6.2606291804,5.9096131912,6.2606291803,6.2606291803,6.2606291804,6.2606291804,6.2497770954,6.2606291804,6.26062918036,6.26062918036,6.26062918036,4.07630282654,5.21066224484,6.19021109884,6.03983067384,5.9961204388,6.2606291799,5.77449695272,6.26062918054,6.2606291802,6.2606291802,6.26062918024,6.26062918044,5.11679366314,4.77411582146,6.2606291798,6.2606291799,6.26062917982,6.26062917982,6.2606291798,5.73558690287,6.2606291807,5.6234233569,6.2606291802,6.2606291802,5.6306652662,6.2606291802,6.260629180201,6.260629180201,6.260629180201,6.2606291801,6.2606291801,5.25580690755,6.26062918046,6.26062918046,6.1533000871,6.2606291801,5.2633286144,6.2606291804,6.2606291804,6.2606291804,6.2606291804,6.2606291803,7.08252276928,7.08252276937,7.08252276937,7.08252276928,7.08252276928,7.08252276927,7.08252276939,7.08252276939,7.08252276938,7.08252276938,7.08252276933,7.0825227693,7.0825227692,6.5488191447,6.2970873635,7.082522769,7.0825227697,7.0825227694,6.8966359709,7.082522769,7.0825227692,7.0825227692,4.452655167177
"t68",2.5060042782,2.2692420763,2.26924207636,2.26924207636,2.2692420764,2.0174204641,1.6517034748,1.1347567534,0.724405518,0,2.81079337446,4.01129462328,4.01129462328,4.0112946226,4.01129462298,4.01129462298,4.01129462298,4.01129462305,4.011294623,5.399981790952,5.399981790952,5.39998179095,5.39998179095,5.39998179095,5.72226116377,5.04697752748,5.72226116377,5.72226116385,5.72226116385,3.62184081275,4.4715097034,5.72226116348,5.72226116348,5.72226116354,5.72226116354,5.7222611635,6.26062917981,6.26062917981,6.2606291802,6.2606291802,6.2606291804,6.26062918036,6.26062918036,6.2606291804,5.565930243027,6.26062918029,6.26062918029,6.2606291803,6.2606291803,6.2606291804,5.9096131912,6.2606291803,6.2606291803,6.2606291804,6.2606291804,6.2497770954,6.2606291804,6.26062918036,6.26062918036,6.26062918036,4.07630282654,5.21066224484,6.19021109884,6.03983067384,5.9961204388,6.2606291799,5.77449695272,6.26062918054,6.2606291802,6.2606291802,6.26062918024,6.26062918044,5.11679366314,4.77411582146,6.2606291798,6.2606291799,6.26062917982,6.26062917982,6.2606291798,5.73558690287,6.2606291807,5.6234233569,6.2606291802,6.2606291802,5.6306652662,6.2606291802,6.260629180201,6.260629180201,6.260629180201,6.2606291801,6.2606291801,5.25580690755,6.26062918046,6.26062918046,6.1533000871,6.2606291801,5.2633286144,6.2606291804,6.2606291804,6.2606291804,6.2606291804,6.2606291803,7.08252276928,7.08252276937,7.08252276937,7.08252276928,7.08252276928,7.08252276927,7.08252276939,7.08252276939,7.08252276938,7.08252276938,7.08252276933,7.0825227693,7.0825227692,6.5488191447,6.2970873635,7.082522769,7.0825227697,7.0825227694,6.8966359709,7.082522769,7.0825227692,7.0825227692,4.452655167177
