,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t2,8.843019,11.066606,3.3322294,6.7506666,5.3412495,4.9623537,6.9647136,7.3306456,4.374807,3.2532506,5.967344,6.9710107,4.1679716,9.315753,7.0187073
t21,9.692142,10.4593525,2.267752,7.477198,5.4470477,5.3751945,7.4543853,7.5975413,4.5771866,3.0648892,5.4194365,7.2939725,3.8321536,8.624369,6.431819
t28,10.271268,9.975183,1.5881222,7.920812,5.5938454,5.5981774,7.7674313,7.659116,4.680931,3.0356462,4.9739294,7.406619,3.5867527,8.19582,6.0357637
t107,10.243438,9.991332,1.6146598,7.922678,5.5782266,5.588832,7.7844625,7.681568,4.710189,3.0343542,4.997137,7.4049993,3.5756226,8.190149,6.046891
t108,10.215423,10.035116,1.6814593,7.8671536,5.593236,5.565278,7.728336,7.652567,4.67002,3.043285,5.0351653,7.3854446,3.639989,8.243948,6.1244597
t109,10.259797,9.96695,1.7174635,7.8975787,5.485041,5.6508417,7.811628,7.7538934,4.7393847,2.9655838,5.01804,7.465152,3.5831926,8.210534,6.1213202
t64,10.184923,10.041199,1.6564488,7.968894,5.4995985,5.6031895,7.859369,7.758741,4.7859874,2.9911406,5.0609713,7.44668,3.4987981,8.141749,6.0462008
t65,10.034279,10.172827,1.8716772,7.77611,5.4950495,5.5273633,7.689482,7.692814,4.6959596,3.0164714,5.1617255,7.3910823,3.643453,8.332844,6.1898417
t55,9.964186,10.238658,1.9330184,7.7029514,5.503088,5.5047092,7.610067,7.6427865,4.629687,3.0297542,5.2196937,7.3755965,3.7197485,8.4065075,6.2613873
t56,10.3150215,9.920194,1.6936985,7.8237486,5.5478683,5.654961,7.7353244,7.6387997,4.6798263,3.015366,4.9746447,7.4159,3.6591108,8.290198,6.125579
t47,10.331065,9.900423,1.560005,7.961232,5.555459,5.669885,7.768701,7.6829185,4.6891503,2.9829144,4.9257298,7.4685173,3.588153,8.159921,6.008967
t15,9.124858,10.836155,2.9654183,6.9695916,5.351393,5.0921216,7.0782123,7.4381027,4.422159,3.165692,5.7772517,7.065253,4.1231537,9.084466,6.789706
t16,9.198268,10.876485,2.932001,7.044513,5.3738694,5.1230035,7.122095,7.494896,4.4246616,3.1715682,5.798682,7.143041,4.066726,9.059381,6.753437
t127,10.249741,9.996197,1.8771534,7.9951396,5.3898325,5.733182,7.7665973,7.814001,4.7344275,2.8444576,5.0880346,7.5872173,3.6207616,8.126514,6.2491493
t128,10.214556,10.042063,1.7556397,7.9150667,5.459824,5.6849275,7.7207956,7.7295985,4.6696196,2.8989568,5.0824385,7.535244,3.6504161,8.203692,6.202415
t18,9.165431,10.785474,2.8175335,7.027331,5.3659935,5.1345515,7.1184855,7.4314528,4.4606543,3.1034167,5.6962156,7.1040134,4.1069455,9.026264,6.7495413
t5,9.100027,10.714897,3.153727,6.790829,5.2220325,4.995851,6.980821,7.3689914,4.3808436,3.316229,5.757988,6.816935,4.219534,9.103914,6.817568
t4,8.66491,11.44681,3.4540417,6.730842,5.381097,4.942646,6.863934,7.382843,4.3583417,3.1582766,6.1962533,7.169683,4.2108994,9.5034,7.088727
t145,7.425441,13.162362,4.6800222,6.464949,5.169718,4.621408,6.19082,7.247129,4.233249,2.730399,7.009429,7.880737,4.334211,10.547362,7.5075283
t146,7.522624,13.0929365,4.5784154,6.5275,5.1659503,4.6066437,6.2817073,7.1972575,4.299287,2.8026252,6.8765674,7.8479114,4.364066,10.502424,7.445285
t151,7.4989004,13.095419,4.6063504,6.4947767,5.1897554,4.630472,6.279513,7.239225,4.254964,2.7649066,6.9140244,7.848,4.3615093,10.502718,7.4816184
t152,7.5354733,13.060996,4.569097,6.5572443,5.1929317,4.600549,6.325345,7.2451916,4.254997,2.718299,6.8572254,7.9006886,4.361694,10.454114,7.54016
t111,7.4053955,13.297119,4.709262,6.4425364,5.0488677,4.4881907,6.107899,7.17803,4.335622,2.8022592,6.987926,7.90665,4.3560863,10.608961,7.5106735
t112,7.5048323,13.253138,4.5974402,6.5971513,4.992206,4.4383364,6.107861,7.088269,4.399118,2.8773072,6.806485,7.998022,4.372476,10.627795,7.464969
t104,7.3994894,13.285735,4.7069583,6.5150747,5.113343,4.557565,6.1786623,7.173944,4.2769756,2.767684,6.91928,7.9740043,4.3918443,10.630797,7.510112
