"accepted_species","I1.1/1"
"t14","1"
"t2","1"
"t10","1"
"t9","1"
"t12","1"
"t25","1"
"t26","1"
"t30","1"
"t75","1"
"t76","1"
"t77","1"
"t78","1"
"t36","1"
"t48","1"
"t49","1"
"t81","1"
"t82","1"
"t4","1"
"t44","0"
"t67","0"
"t68","0"
"t40","0"
"t35","1"
"t69","1"
"t70","1"
"t42","1"
"t43","0"
"t22","1"
"t57","1"
"t58","1"
"t39","1"
"t72","1"
"t79","1"
"t80","1"
"t56","1"
"t97","0"
"t98","1"
"t47","1"
"t18","1"
"t19","1"
"t3","1"
"t31","1"
"t32","1"
"t15","1"
"t60","1"
"t61","1"
"t50","1"
"t7","1"
"t5","1"
"t6","1"
"t13","1"
"t83","1"
"t93","1"
"t94","1"
"t66","1"
"t11","1"
"t1","1"
"t38","1"
"t95","1"
"t96","1"
"t84","1"
"t45","1"
"t46","1"
"t91","1"
"t92","1"
"t33","1"
"t41","0"
"t51","0"
"t52","0"
"t71","0"
"t87","0"
"t88","1"
"t27","0"
"t8","0"
"t62","0"
"t63","0"
"t53","0"
"t54","0"
"t55","0"
"t37","0"
"t20","1"
"t21","0"
"t59","0"
"t85","0"
"t86","0"
"t64","0"
"t65","0"
"t23","0"
"t24","0"
"t34","0"
"t73","1"
"t74","1"
"t17","1"
"t28","0"
"t29","1"
"t16","0"
"t89","1"
"t90","1"
"t99","0"
"t100","0"
