"","Pseudohamelia_hirsuta","Hindsia_republicana","Galium_penicillatum","Galium_graecum","Galium_normanii","Galium_tortumense","Galium_fuscum","Galium_tianschanicum","Galium_lanceolatum","Galium_catalinense","Galium_tricornutum","Argostemma_tortilobum","Coprosma_propinqua","Kadua_axillaris","Neanotis_rhombicarpa","Spermacoce_dibrachiata","Spermacoce_breviflora","Galianthe_aurelii","Bouvardia_loeseneriana","Manettia_evenia","Stenaria_butterwickiae","Knoxia_wightiana","Chamaepentas_pseudomagnifica","Psychotria_samarensis","Psychotria_anemothyrsa","Psychotria_bifaria","Psychotria_pedunculosa","Psychotria_volii","Psychotria_cephalidantha","Psychotria_morley-smithiae","Myrmecodia_aureospina","Rudgea_coriacea","Palicourea_cyanantha","Palicourea_palaciosii","Palicourea_iodotricha","Coussarea_pilosiflora","Lasianthus_bifloroideus","Lasianthus_parviflorus","Urophyllum_porphyraceum","Ophiorrhiza_arunachalensis","Acranthera_collina","Acranthera_grandiflora","Tarenna_multinervia","Coptosperma_rhodesiacum","Rutidea_hispida","Rutidea_parviflora","Pavetta_laxa","Atractocarpus_merikin","Coddia_rudis","Villaria_purpurea","Belonophora_coffeoides","Vangueria_dryadum","Pyrostria_phyllanthoidea","Psydrax_maingayi","Sabicea_subinvolucrata","Mussaenda_reinwardtiana","Mussaenda_kwangtungensis","Hymenodictyon_leandrii","Hymenodictyon_flaccidum","Ladenbergia_klugii","Ladenbergia_hexandra","Rondeletia_formonia","Solenandra_pervestita","Bikkia_palauensis","Coutarea_diervilloides","Hoffmannia_sessilifolia","Hillia_ulei","Macrocnemum_roseum","Monolluma_quadrangula","Ibatia_pucara","Leichhardtia_longiloba","Metastelma_readii","Oxypetalum_marambaiense","Funastrum_hirtellum","Matelea_acuminata","Gonolobus_dussii","Jobinia_lindbergii","Vincetoxicum_lii","Asclepias_fimbriata","Gomphocarpus_integer","Ceropegia_kerrii","Ceropegia_occidentalis","Hoya_scortechinii","Hoya_commutata","Dischidia_longifolia","Saba_senegalensis","Plumeria_filifolia","Alyxia_magnifolia","Chilocarpus_sarawakensis","Alstonia_mairei","Gentianella_ernestii","Swertia_oculata","Lomatogonium_perenne","Halenia_herzogii","Gentiana_oreocharis","Macrocarpaea_kayakifolia","Mitreola_petiolata","Spigelia_flava","Spigelia_mexicana","Strychnos_araguaensis"
"Pseudohamelia_hirsuta",0,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Hindsia_republicana",99.499018,0,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_penicillatum",99.499018,99.499018,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,39.726542,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,93.144056,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_graecum",99.499018,99.499018,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,39.726542,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,93.144056,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_normanii",99.499018,99.499018,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,39.726542,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,93.144056,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_tortumense",99.499018,99.499018,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,39.726542,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,93.144056,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_fuscum",99.499018,99.499018,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,39.726542,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,93.144056,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_tianschanicum",99.499018,99.499018,12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,39.726542,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,93.144056,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_lanceolatum",99.499018,99.499018,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,39.726542,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,93.144056,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_catalinense",99.499018,99.499018,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,39.726542,41.741678,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,67.782866,67.782866,70.409422,70.409422,93.144056,93.144056,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
