"accepted_species","traits"
"sp15",0
"sp21",0
"sp24",0
"sp25",NA
"sp27",0
"sp30",0
"sp34",0
"sp35",0
"sp38",0
"sp39",1
"sp42",0
"sp44",0
"sp48",0
"sp49",0
"sp50",0
"sp51",0
"sp52",1
"sp54",1
"sp57",0
"sp58",0
"sp59",0
"sp60",0
"sp61",1
"sp63",1
"sp64",1
"sp66",1
"sp68",0
"sp69",1
"sp70",0
"sp73",0
"sp74",0
"sp75",0
"sp76",0
"sp77",0
"sp78",0
"sp79",1
"sp80",1
"sp81",0
"sp82",0
"sp83",0
"sp84",0
"sp85",1
"sp86",1
"sp87",0
"sp88",0
"sp89",0
"sp90",NA
"sp91",NA
"sp92",0
"sp93",0
"sp94",NA
"sp95",0
"sp96",0
"sp97",0
"sp98",NA
"sp99",0
"sp100",0
"sp101",0
"sp102",0
"sp103",0
"sp104",1
"sp105",0
"sp106",0
"sp107",0
"sp108",0
"sp109",0
"sp110",0
"sp111",0
"sp112",0
"sp113",0
"sp114",0
"sp115",NA
"sp116",0
"sp117",NA
"sp118",0
"sp119",0
"sp120",0
"sp121",0
"sp122",1
"sp123",NA
"sp124",NA
"sp125",0
"sp126",0
"sp127",0
"sp128",0
"sp129",0
"sp130",0
"sp131",0
"sp132",0
"sp133",1
"sp134",1
"sp135",NA
"sp136",0
"sp137",0
"sp138",0
"sp139",0
"sp141",0
"sp142",0
"sp143",0
"sp144",0
