"accepted_species","sorted"
"t15",1.10181827636724
"t99",1.68501249362655
"t100",1.85465849207394
"t52",1.78163824172258
"t55",0.429132735452473
"t56",0.599361279140686
"t91",0.428090695794541
"t92",0.0770975997492053
"t12",0.764597976776811
"t57",0.371884467107958
"t58",0.909130232636293
"t5",-0.283476787081782
"t2",0.564440340598336
"t93",-1.36597650344234
"t94",-0.713124983144141
"t76",-1.16127592006734
"t61",-0.463425471557555
"t64",0.0670461136867342
"t97",0.117057627229163
"t98",0.687573419766013
"t38",-1.0773567307155
"t72",0.269704195957821
"t73",-0.187037625079647
"t70",0.572065902448399
"t71",-0.584095205040615
"t74",-0.761785715207586
"t75",-1.20543833436204
"t9",-1.66794217098081
"t28",-1.69395131325814
"t29",-0.130176871503055
"t50",-1.63227841291948
"t51",-0.812025159487893
"t24",-0.817824101502987
"t3",-0.513268368549663
"t16",-0.555280271673989
"t53",-0.258479040766874
"t54",0.678257847644776
"t42",1.35523531531784
"t10",-1.01471894454285
"t39",-0.0776656110514005
"t40",-0.186990478252845
"t26",0.829839509185509
"t27",2.06103763742492
"t17",0.176818921762383
"t18",0.273004771556266
"t85",2.6846806873609
"t86",1.85720414550024
"t13",-1.16698804959951
"t14",1.00167397463419
"t48",NA
"t62",NA
"t63",NA
"t22",NA
"t77",-0.162338550688887
"t78",NA
"t11",NA
"t79",NA
"t80",-0.109254161936403
"t67",-1.1335276136733
"t33",NA
"t23",NA
"t19",-2.12591048408529
"t8",NA
"t1",0.114330215242179
"t20",-0.336841799470558
"t21",-0.760441267197685
"t34",-0.0937555503994186
"t35",-0.597220409964012
"t45",-0.414127231385457
"t83",-0.297719238917925
"t84",-0.0151779669793813
"t7",0.444831107911137
"t31",1.02406284945698
"t32",1.15078040416623
"t25",0.220633581565404
"t89",0.0171353133973614
"t90",0.2336678624169
"t30",0.983781903443777
"t81",-2.06461659004832
"t82",-2.10823031557181
"t41",-0.711154609797886
"t49",0.00421907529046258
"t95",-0.0957902897424747
"t96",0.309540528853153
"t36",1.43209341526047
"t37",-0.0541643211223803
"t4",1.21398851013205
"t6",1.10560143543976
"t46",1.06752027742422
"t47",1.35652185709685
"t43",0.597587086632018
"t44",0.58980818917067
"t68",-1.11563699828231
"t69",0.033574794454338
"t59",0.541079669574256
"t60",0.759172660844387
"t65",0.200476475112427
"t66",-0.227294580844905
"t87",-1.40664683328842
"t88",-0.742826183528982
