"accepted_species","Medicinal"
"Leichhardtia_papuana",0
"Spermacoce_cataractarum",0
"Symphyllophyton_sucreanum",0
"Gentianella_radicata",0
"Galianthe_angustifolia",0
"Hypobathrum_purpuricarpum",0
"Gentianella_coccinea",0
"Voyria_parasitica",0
"Gyrandra_tenuifolia",0
"Ridsdalea_pseudoternifolia",0
"Thliphthisa_pseudochlorantha",0
"Ceropegia_gemmea",0
"Ruehssia_cundurango",1
"Blepharodon_pictum",NA
"Tarenna_pavettoides",1
"Psychotria_roseata",0
"Otomeria_cameronica",1
"Leichhardtia_koniamboensis",0
"Martensianthus_micranthus",0
"Bouvardia_erecta",1
"Atractocarpus_colnettianus",0
"Didymosalpinx_norae",0
"Guettarda_andamanica",0
"Agathisanthemum_bojeri",1
"Peponidium_latiflorum",0
"Schradera_cubensis",0
"Tachiadenus_gracilis",0
"Asclepias_rubra",NA
"Uncaria_barbata",0
"Deppea_serboi",NA
"Bikkia_commerconiana",0
"Duroia_macrophylla",0
"Cyclophyllum_calyculatum",0
"Cynanchum_sinoracemosum",0
"Cynanchum_goertsianum",0
"Gardenia_gjellerupii",0
"Bertiera_bracteolata",0
"Psychotria_axilliflora",0
"Galium_album",1
"Psychotria_phyllocalymma",0
"Psychotria_storckii",0
"Psychotria_baviensis",NA
"Galium_chekiangense",0
"Galium_saipalense",0
"Psychotria_tenuicaulis",0
"Psychotria_brevipedunculata",0
"Psychotria_pacorensis",0
"Psychotria_balakrishnii",NA
"Ixora_brandisiana",0
"Ixora_macgregorii",0
"Huernia_anagaynensis",NA
"Ixora_brachypoda",1
"Alyxia_laurina",0
"Greeniopsis_euphlebia",0
"Hedyotis_protrusa",0
"Hoya_mirabilis",0
"Miraglossum_davyi",0
"Psychotria_deflexiflora",0
"Faramea_corymbosa",0
"Coffea_anthonyi",0
"Aspidosperma_steinbachii",0
"Hydnophytum_minirubrum",0
"Palicourea_eburnea",0
"Dolicholobium_leptocarpum",0
"Coussarea_spicata",0
"Palicourea_azulina",0
"Palicourea_herrerae",0
"Palicourea_zarucchii",NA
"Paederia_calycina",0
"Fagraea_plumeriiflora",0
"Ixodonerium_annamense",0
"Schizoglossum_peglerae",0
"Canthium_arboreum",0
"Matelea_edwardsensis",0
"Spermacoce_decurrens",0
"Spermacoce_aequabilis",0
"Pachycarpus_decorus",0
"Gonolobus_cearensis",0
"Dischidia_nicobarica",0
"Timonius_cuneatus",NA
"Psydrax_moggii",0
"Lasianthus_helferi",0
"Prestonia_ipomaeifolia",0
"Pavetta_gerstneri",0
"Gonioma_malagasy",0
"Philibertia_gilliesii",1
"Carapichea_guianensis",0
"Halenia_venezuelensis",0
"Calyptranthera_grandiflora",0
"Dendrosipanea_revoluta",NA
"Oldenlandia_geophila",0
"Posoqueria_acutifolia",0
"Ophiorrhiza_jojui",0
"Raphionacme_moyalica",0
"Argostemma_gaharuense",0
"Gentiana_manshurica",NA
"Argostemma_urticifolium",0
"Faramea_lehmannii",0
"Machaonia_haitiensis",0
"Faramea_monantha",0
