,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t45,-6.723778,-6.284746,45.273186,39.554794,35.742992,-9.983437,-2.8263874,-2.4848819,25.814114,14.353552,-1.0664405,-6.948723,-9.950571,12.939176,3.9232264
t70,-6.8216643,-6.2345066,45.214165,39.813866,35.640293,-9.962286,-2.8956213,-2.5611908,25.589512,14.665398,-0.96116966,-6.8383827,-10.094491,13.24403,3.5724974
t104,-6.9152575,-6.157884,45.615387,39.392967,35.668907,-9.970563,-2.867021,-2.6425292,25.606499,15.013455,-1.0331849,-6.851098,-10.094873,13.227152,3.452704
t105,-6.9064803,-6.154901,45.61724,39.32519,35.614025,-9.964381,-2.8594692,-2.6342678,25.578655,14.982463,-1.0380223,-6.827366,-10.107416,13.158627,3.4860873
t2,-3.6349854,-7.4787455,32.875664,37.83004,31.613602,-8.519229,-2.8909974,2.8515072,28.09988,-0.21012567,0.67452264,-6.1339927,-8.0669985,14.421501,6.667237
t43,-2.0067787,-8.390228,25.23758,33.80252,28.896488,-6.7107806,-2.2093327,13.512988,23.50268,-2.6147668,10.135157,-4.86135,-4.441091,16.797558,13.6755705
t44,-1.825687,-7.8925667,22.945951,31.335749,27.005266,-6.1331687,-2.0778081,13.172391,21.471563,-2.5163329,10.12785,-4.351676,-3.9515035,15.937012,13.120665
t29,-1.4528414,-7.280523,19.86108,27.929766,24.376705,-5.3812156,-1.8470427,12.96554,19.418358,-2.4919093,9.807812,-3.851757,-3.2365701,14.652962,12.496155
t120,-1.8158236,-8.31074,25.911703,28.888603,28.056433,-5.281734,-1.4669833,14.250295,22.729282,-2.9369173,11.428223,-4.569682,-2.7233934,17.391003,18.136187
t121,-1.8223174,-8.311114,26.030005,28.8687,28.08824,-5.2783213,-1.4602045,14.262929,22.774662,-2.9221156,11.462158,-4.5599923,-2.7065032,17.429283,18.209963
t132,-1.8057165,-8.32333,25.73523,28.864279,28.099012,-5.295329,-1.443211,13.883243,22.85075,-2.857494,11.309494,-4.6229568,-2.6662328,17.730911,18.393322
t133,-1.809699,-8.329127,25.723455,28.836643,28.125076,-5.2910085,-1.4370176,13.875593,22.860607,-2.8514977,11.345971,-4.612142,-2.6572645,17.730373,18.445919
t111,-1.8178171,-8.3336315,25.851942,28.881084,28.151598,-5.296083,-1.4279695,13.933406,22.974854,-2.8439956,11.305458,-4.5951877,-2.6783292,17.64466,18.364649
t109,-1.8870734,-8.245907,25.731718,29.29365,28.233866,-5.3717647,-1.540399,13.373353,23.043602,-2.7269933,11.335291,-4.5625486,-2.974689,17.107819,17.39108
t110,-1.8666162,-8.243974,25.825546,29.417553,28.19058,-5.3604894,-1.5440402,13.476146,23.011444,-2.753711,11.209039,-4.5811305,-2.9893126,17.078753,17.383959
t53,-1.8378336,-8.352283,25.484926,29.538927,28.349545,-5.5236416,-1.5522883,13.739458,23.621704,-2.796196,11.312866,-4.596645,-3.0344863,16.83231,17.323416
t54,-1.3642447,-7.3621254,21.154257,24.887608,24.11964,-4.473545,-1.2384609,13.373601,19.718494,-2.7924483,11.045384,-3.7762432,-2.117039,14.909636,16.13251
t55,-1.8174623,-8.331989,25.407183,30.568668,28.098974,-5.7211637,-1.699178,13.870597,23.394089,-2.8821697,11.461633,-4.63388,-3.3523881,16.918993,16.471903
t56,-1.803223,-8.391867,25.433397,30.143621,28.166756,-5.64841,-1.6314013,13.684234,23.87854,-2.8320014,11.150028,-4.6714644,-3.200129,17.126339,16.889023
t9,-0.9185292,-6.5009613,15.901866,22.648947,20.491144,-4.154862,-1.2984872,12.781046,16.543886,-2.6095893,10.696679,-3.0973947,-2.0182936,12.6114855,12.671673
t68,-1.6696568,-8.529155,24.07207,32.17074,28.670097,-6.201703,-1.6137596,13.869244,24.406002,-2.8100348,12.72477,-4.7350507,-3.7882907,14.868793,14.9081955
t69,-1.5416403,-8.352825,23.06239,31.025646,27.793,-5.968877,-1.5188326,13.896233,23.724384,-2.8243868,12.442204,-4.5656743,-3.5347574,14.593281,14.876007
t71,-1.6262114,-8.687033,23.946983,31.801369,28.680458,-6.276275,-1.5012478,14.07829,24.578205,-2.9054687,13.513966,-4.725193,-3.6277637,14.722418,15.748983
t72,-1.586511,-8.74757,24.151644,31.938782,28.708012,-6.282993,-1.4365381,14.271844,24.885695,-2.9515758,13.657093,-4.761361,-3.604651,14.49512,15.906455
t40,-1.0013644,-7.5586443,18.383978,24.929983,23.34938,-4.8612995,-0.9788017,14.043253,20.303726,-3.0054147,13.887878,-3.5342357,-2.1963623,11.637058,15.268469
t51,-1.4645685,-8.780269,23.399027,31.174894,28.141594,-6.2344146,-1.3038828,15.098572,24.496197,-3.1810713,14.899462,-4.5505233,-3.3828564,13.353336,16.691948
t79,-1.5301255,-8.852759,23.488153,30.504332,28.348774,-6.1584873,-1.1860207,14.976708,24.977419,-3.1816232,15.699747,-4.428489,-3.193159,12.766856,16.979567
t91,-1.5196348,-8.895469,23.436165,30.581005,28.486404,-6.21385,-1.1767379,14.947824,25.145477,-3.2071674,15.8211155,-4.4460974,-3.2319896,12.595369,17.07171
t119,-1.501751,-8.87131,23.450525,30.299067,28.297667,-6.1995893,-1.1667851,15.006253,25.228674,-3.1981516,15.769576,-4.4255857,-3.1698613,12.665039,17.182707
t138,-1.5106655,-8.898977,23.441315,30.319681,28.394295,-6.206265,-1.1529541,15.031711,25.248482,-3.206115,15.893563,-4.422118,-3.148629,12.660777,17.281542
t139,-1.5087601,-8.893275,23.432499,30.321432,28.407146,-6.2035723,-1.1579407,15.041659,25.254107,-3.2077413,15.889011,-4.4183497,-3.1546676,12.630427,17.248438
t85,-1.4981354,-8.896075,23.414661,30.42412,28.390106,-6.1881742,-1.1733937,14.998263,25.390549,-3.1976175,15.711796,-4.4303617,-3.2140586,12.76104,17.097996
t101,-1.5613012,-8.866373,23.40637,30.236732,28.227001,-6.146691,-1.2469611,14.775607,25.170181,-3.2429707,15.130771,-4.402618,-3.317249,13.383481,17.20907
t152,-1.5948944,-8.887986,23.633017,30.261694,28.412449,-6.0866647,-1.1844244,14.728927,25.173424,-3.2196443,15.469662,-4.3662143,-3.2485955,13.2678385,17.398083
t153,-1.5946734,-8.887507,23.629038,30.2595,28.41053,-6.086417,-1.1839734,14.729823,25.170439,-3.220247,15.470203,-4.365747,-3.2478802,13.265222,17.396715
t17,-1.7746661,-8.671227,24.257328,31.329119,28.468254,-6.3187027,-1.5368723,13.801088,24.653141,-2.8839023,13.432312,-4.654653,-3.6785786,15.245015,15.779167
t67,-1.865631,-7.955419,18.380472,35.11422,27.663322,-6.0266013,-2.7688491,12.153139,17.899458,-2.2478607,16.014917,-4.4534254,-3.2415867,21.121944,12.994717
t77,-1.8792588,-7.9690337,18.30358,35.011612,27.603832,-5.9961534,-2.7817757,12.222869,17.99755,-2.303693,15.88233,-4.4471927,-3.2727296,21.149927,12.90324
