"accepted_species","Medicinal"
"Spigelia_macrophylla",0
"Pseudodiplospora_andamanica",0
"Cynanchum_junciforme",0
"Ceropegia_filiformis",0
"Randia_altiscandens",0
"Psychotria_calliantha",0
"Psychotria_simianensis",0
"Lacmellea_foxii",0
"Orphium_frutescens",0
"Chassalia_pauciflora",0
"Canthium_bipinnatum",0
"Stenotis_peninsularis",0
"Ceropegia_neofurcata",0
"Desmidorchis_aucheriana",1
"Galium_ionicum",0
"Palicourea_botryocephala",0
"Stephanotis_macrantha",1
"Palicourea_vallis",0
"Dischidia_rostrata",0
"Cynanchica_tenuifolia",0
"Sebaea_exacoides",0
"Minaria_monocoronata",0
"Paederia_brasiliensis",1
"Oldenlandia_herbacea",1
"Tainus_pitreanus",0
"Asclepias_zanthodacryon",0
"Psychotria_lindleyana",0
"Palicourea_wurdackii",0
"Psydrax_micans",0
"Gentianopsis_holopetala",0
"Lisianthius_quichensis",0
"Mycetia_parishii",0
"Didymosalpinx_callianthus",0
"Rubia_austrozhejiangensis",0
"Blepharodon_angustifolium",0
"Asclepias_californica",1
"Schradera_francoae",0
"Strychnos_pungens",1
"Urophyllum_schmidtii",0
"Rauvolfia_nitida",0
"Duroia_genipoides",1
"Pachypodium_enigmaticum",0
"Manothrix_valida",0
"Gardenia_invaginata",0
"Rondeletia_lomensis",0
"Rondeletia_umbellulata",0
"Ceropegia_hermannii",0
"Spigelia_anthelmia",1
"Swertia_mussotii",1
"Galium_bredasdorpense",0
"Psychotria_bisulcata",1
"Psychotria_tchoutoi",0
"Psychotria_salentana",0
"Galium_junghuhnianum",0
"Psychotria_paulae",0
"Galium_rupifragum",0
"Asperula_setosa",1
"Huernia_engleri",0
"Canscora_macrocalyx",0
"Hedyotis_membranacea",0
"Hoya_hamiltoniorum",0
"Hoya_calycina",0
"Mussaenda_emeiensis",0
"Lacmellea_oblongata",0
"Tabernaemontana_chamelensis",0
"Mussaenda_caudatiloba",0
"Tabernaemontana_sessilifolia",0
"Palicourea_sanchezii",0
"Aspidosperma_oblongum",1
"Aspidosperma_parvifolium",1
"Logania_crassifolia",0
"Tortuella_abietifolia",0
"Kopsia_sumatrana",0
"Baissea_erythrosticta",0
"Matelea_liesneri",0
"Canthium_horridulum",0
"Matelea_trichopedicellata",0
"Canthium_cavaleriei",0
"Pentopetia_calycina",0
"Spermacoce_tectanthera",0
"Malanea_setulosa",0
"Timonius_densiflorus",0
"Exostema_acuminatum",0
"Crucianella_gilanica",0
"Lasianthus_setulosus",0
"Keetia_namoyae",0
"Amaracarpus_grandiflorus",0
"Rudgea_mazanensis",0
"Prismatomeris_griffithii",0
"Stenostomum_granulatum",0
"Gentianella_vargasii",0
"Gentianella_zaratei",0
"Macroscepis_macrocorolla",0
"Stathmostelma_stipitatum",0
"Oldenlandia_tonkinensis",0
"Oldenlandia_ruelliformis",0
"Ophiorrhiza_parviflora",0
"Chassalia_betamponensis",0
"Gentiana_olivieri",1
"Gentiana_chinensis",0
