"accepted_species","traits"
"t16",0
"t18",0
"t20",1
"t22",1
"t23",0
"t26",1
"t28",0
"t33",0
"t34",1
"t37",1
"t38",1
"t39",1
"t40",0
"t41",1
"t44",1
"t46",0
"t47",1
"t48",1
"t49",0
"t51",1
"t52",0
"t56",0
"t57",0
"t59",0
"t61",0
"t63",0
"t64",0
"t66",0
"t68",1
"t70",0
"t71",0
"t74",1
"t75",0
"t76",1
"t77",1
"t78",1
"t79",1
"t81",1
"t82",0
"t83",1
"t84",1
"t85",0
"t86",0
"t87",0
"t90",0
"t91",1
"t92",0
"t93",0
"t94",0
"t95",0
"t96",0
"t97",0
"t98",0
"t99",0
"t100",1
"t103",0
"t104",1
"t105",0
"t106",0
"t107",1
"t109",0
"t110",1
"t111",0
"t113",1
"t114",0
"t115",1
"t116",0
"t117",1
"t118",1
"t119",1
"t120",1
"t121",0
"t122",1
"t123",1
"t124",1
"t126",1
"t127",0
"t128",0
"t129",0
"t131",0
"t133",1
"t134",1
"t135",0
"t136",0
"t137",0
"t138",1
"t139",1
"t140",1
"t141",1
"t142",0
"t143",1
"t144",1
"t145",1
"t146",1
"t147",1
"t148",1
"t149",1
"t150",1
"t151",1
"t152",1
