"accepted_species","sorted"
"t76",-0.813464903682638
"t99",-0.230351814066526
"t100",-0.350610173228734
"t47",NA
"t58",-0.888237349937417
"t59",0.0720532098301619
"t34",-0.700188441678182
"t1",-1.4065131451006
"t32",NA
"t33",1.24674206615703
"t37",0.331362605552286
"t38",-0.653561986763487
"t17",-0.0752970165928415
"t11",NA
"t2",0.77962434398419
"t8",NA
"t9",NA
"t30",1.31295554627971
"t31",0.361577580982664
"t22",0.764339767881538
"t23",-0.386960110927962
"t5",-2.08936626769873
"t4",-1.16713934844205
"t54",0.246105126163175
"t55",0.51131018696307
"t3",1.73070777540673
"t28",1.09645102029984
"t29",1.34965737292195
"t20",0.50484884521129
"t21",0.499797398659629
"t18",0.649207787665217
"t35",0.315438972278528
"t82",NA
"t83",0.652264446691391
"t72",0.657735146043658
"t93",0.0359722089845085
"t94",-0.0911887768266483
"t13",0.307388941428971
"t14",1.38182235549282
"t45",1.64340891686152
"t57",1.33562986146876
"t77",1.46066076972088
"t78",2.05040651366844
"t41",-2.18553626698497
"t79",-0.822119906671083
"t95",-0.589078553623671
"t96",-0.666177778543926
"t90",-0.421225264130629
"t73",NA
"t51",0.607883916746714
"t42",-0.497728506418651
"t91",1.27902828799577
"t92",1.08137050467795
"t15",NA
"t68",0.393753860327442
"t69",-0.595197981028106
"t80",NA
"t81",0.777376138440784
"t7",2.30405388409177
"t24",-1.85779216539933
"t25",-2.47300279536401
"t16",-0.880522555589836
"t70",-0.90801517505535
"t71",-0.186698579199887
"t19",1.00092183772795
"t60",-0.56973786560731
"t61",-1.30889359288484
"t50",-1.02759413802508
"t39",0.77706133919716
"t40",0.951245015064104
"t36",-0.664191503480174
"t62",0.554031531347454
"t63",0.770341415953683
"t56",0.148722483460878
"t84",-0.0165178291522631
"t85",NA
"t64",-0.671719636337201
"t65",-0.237571988203712
"t48",0.995460437923462
"t49",0.611707613950827
"t86",0.204986285671822
"t87",-0.0719689942120111
"t52",1.09007934534741
"t53",0.762416043163798
"t46",0.458201938630423
"t6",-0.505351165183444
"t74",-0.454588281377572
"t75",0.43741070372258
"t26",-1.01827095944852
"t27",1.29053511026173
"t12",-1.08981843733373
"t88",-0.587403105103548
"t89",-0.956596106934906
"t97",-1.80395774040831
"t98",-1.71268240254
"t43",-0.53207634232481
"t44",-0.847766886048461
"t66",-1.32279838817921
"t67",-1.08863352028184
"t10",-1.73543004962264
