"accepted_species","trait_EB_scaled"
"t4",-1.45649733269448
"t28",-1.09185192773682
"t75",-0.435824121468934
"t76",-0.273923431644798
"t3",-0.84104755420008
"t38",-0.727988382278929
"t63",-0.962678470314583
"t79",-1.190030909541
"t80",-1.29203911717581
"t47",0.0255390012401206
"t48",-0.335183130553182
"t29",0.545719550290602
"t68",NA
"t69",NA
"t58",NA
"t54",NA
"t55",NA
"t93",-1.22378784260582
"t94",NA
"t39",-0.740690878340075
"t99",NA
"t100",NA
"t97",NA
"t98",-1.13952224917793
"t70",NA
"t7",-0.413786357061879
"t95",-0.153995288489079
"t96",-0.225632423728805
"t45",0.363662827497363
"t46",-0.300748187855259
"t36",1.33740375688509
"t37",0.649716252725267
"t22",0.447414745092618
"t33",0.781568896134139
"t59",0.944000284560515
"t60",1.16639067697522
"t14",-0.462807151946355
"t15",0.888046924526137
"t5",-0.0136704458648879
"t6",-0.674691950083191
"t41",0.843464044846751
"t42",-0.295107457482121
"t8",-0.94714660355194
"t9",-1.5767402132111
"t73",0.170173765355328
"t74",-0.011245411126679
"t40",-0.935744982287087
"t27",-0.347885327842523
"t10",0.317528123755732
"t11",1.54852222335725
"t2",-0.334227317467734
"t87",0.138816776494876
"t88",-0.0499744069947829
"t67",0.172435202950969
"t51",-0.819569143283921
"t83",-0.141582931256857
"t84",0.0692320082105734
"t56",-0.775448585460295
"t57",-0.269206236970401
"t66",-0.0560890338769264
"t77",-0.0408700845422221
"t78",-0.135344377722199
"t1",1.12421377015617
"t91",0.380650172413153
"t92",0.291753875926663
"t49",-0.293209658946397
"t50",-0.513980640569559
"t89",-0.361895453229778
"t90",-0.0660893183340724
"t17",0.933137880575273
"t23",1.76535367222944
"t85",1.09088214991208
"t86",1.49190864369528
"t64",1.70417014834478
"t65",1.43159393630409
"t16",0.444793020974274
"t24",0.547877368294403
"t25",0.370837806574592
"t61",-0.724571134900505
"t62",-0.893084608706972
"t71",-0.91566051119451
"t72",-1.23820766914004
"t32",-0.768305180204003
"t18",-0.736989782722679
"t19",-0.630992922641914
"t81",0.480942767951809
"t82",0.0272923265086138
"t52",0.575482055184016
"t53",0.371332922342819
"t20",0.0560814909903774
"t21",0.541377628968415
"t30",1.62206656520776
"t31",1.73504594514443
"t34",1.76330297184422
"t35",1.83807212697713
"t43",2.0954614829699
"t44",2.41954466897781
"t26",3.00750704842508
"t12",1.27102600324752
"t13",0.280016665196218
