"","Galium_ciliare","Galium_spurium","Galium_tenuissimum","Galium_concinnum","Galium_eriocarpum","Galium_sterneri","Galium_nuttallii","Galium_porrigens","Galium_bolanderi","Galium_palustre","Galium_tinctorium","Galium_trifidum","Galium_bifolium","Galium_album","Galium_lucidum","Galium_mollugo","Galium_sylvaticum","Galium_aparine","Galium_murale","Cruciata_glabra","Sherardia_arvensis","Asperula_glomerata","Asperula_molluginoides","Crucianella_gilanica","Coprosma_propinqua","Coprosma_repens","Coprosma_lucida","Coprosma_foetidissima","Spermacoce_breviflora","Psychotria_marginata","Psychotria_penangensis","Psychotria_limonensis","Psychotria_chagrensis","Psychotria_brachypoda","Psychotria_papantlensis","Psychotria_suterella","Psychotria_flava","Psychotria_tenuifolia","Psychotria_horizontalis","Rudgea_jasminoides","Palicourea_faxlucens","Palicourea_guianensis","Faramea_occidentalis","Coussarea_suaveolens","Randia_pterocarpa","Randia_thurberi","Gardenia_ovularis","Genipa_americana","Alibertia_edulis","Coffea_liberica","Coffea_congensis","Ixora_peruviana","Posoqueria_latifolia","Nauclea_officinalis","Nauclea_diderrichii","Guettarda_elliptica","Guettarda_tikalana","Guettarda_aromatica","Guettarda_uruguensis","Arachnothryx_buddleioides","Hintonia_latiflora","Hamelia_axillaris","Hamelia_patens","Macrocnemum_roseum","Thevetia_ahouai","Stephanostegia_capuronii","Asclepias_ovalifolia","Asclepias_subulata","Asclepias_oenotheroides","Asclepias_eriocarpa","Asclepias_cordifolia","Asclepias_amplexicaulis","Asclepias_verticillata","Cynanchum_acutum","Wrightia_tinctoria","Strophanthus_kombe","Nerium_oleander","Tabernaemontana_siphilitica","Tabernaemontana_alba","Vinca_major","Plumeria_alba","Plumeria_rubra","Alyxia_ruscifolia","Alstonia_spectabilis","Alstonia_muelleriana","Exacum_affine","Eustoma_exaltatum","Gentianella_parviflora","Gentianella_amarella","Swertia_pseudochinensis","Swertia_bimaculata","Gentiana_sceptrum","Gentiana_triflora","Gentiana_scabra","Gentiana_pneumonanthe","Centaurium_littorale","Centaurium_erythraea","Centaurium_tenuiflorum","Cicendia_quadrangularis","Blackstonia_perfoliata"
"Galium_ciliare",0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_spurium",12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_tenuissimum",12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_concinnum",12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_eriocarpum",12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_sterneri",12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_nuttallii",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_porrigens",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0,0.669772,11.845654,11.845654,11.845654,11.845654,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_bolanderi",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,0.669772,0,11.845654,11.845654,11.845654,11.845654,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
"Galium_palustre",12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,11.845654,11.845654,0,2.304408,5.27686,11.07152,12.804422,12.804422,12.804422,12.804422,12.804422,12.804422,12.89551,13.736098,13.736098,13.736098,13.736098,41.741678,41.741678,41.741678,41.741678,44.275704,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,49.629472,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,99.499018,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726,135.455726
