,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,,,,,1,1
top,Extinct_BMT,,,,,,,,,,,,,,Extinct_BMT,mcar
freq,100,,,,,,,,,,,,,,100,100
mean,,0.054599648108671614,0.058347812942947594,0.08016601903193984,0.08888372182780752,0.08816413436346636,0.08198831456391048,0.0817482470631635,0.08911826229531351,0.0644498760073674,0.06774591736704055,0.07577657053616121,0.06275464255727933,0.06478541485518381,,
std,,0.05632450225425913,0.06465250750565654,0.07485656171504991,0.0736727538119278,0.0725457573417622,0.06838749512636885,0.07026956131052292,0.07571703897154058,0.06295435714102206,0.062363975636484534,0.074805664386053,0.06512486995971259,0.06300457591766301,,
min,,7.586652841166468e-06,5.313425268755713e-11,0.0,2.8132901759402983e-05,0.00021163978375568582,1.2190094792885318e-05,0.00040584702858619795,0.00032241680779353043,3.955453977759967e-05,3.955453977759967e-05,3.955453977759967e-05,2.8879041745714106e-05,3.955453977759967e-05,,
25%,,0.001669919012097944,6.572511033943146e-05,0.0022045907515234426,0.021154930179383722,0.0302416552811339,0.025446640604794946,0.01459012737391429,0.020567709444058696,0.004213361337867372,0.003166675425768903,0.0077573885567097135,0.0019935362912887993,0.005527594773954562,,
50%,,0.04165056418714029,0.04399151143506341,0.06448405223082204,0.07136750799392447,0.07386742486063166,0.0642070637251782,0.06912204889764294,0.07710299848270916,0.05220209597901643,0.059838889368262656,0.06793637225841678,0.04766534954004697,0.0502676583366381,,
75%,,0.08568646324179667,0.09159450627447702,0.1344690967865781,0.13984090445365294,0.13091731613322422,0.12390692872876825,0.12335257717882356,0.13023318816253343,0.09865668440289935,0.11702192387067988,0.10923706655835355,0.09657512474903689,0.1041051353883268,,
max,,0.1948314939484386,0.23117262614179063,0.2541239316239316,0.2461435783160943,0.30673337971641157,0.26260762416733724,0.2416842430735075,0.273119121498258,0.2639979918255197,0.23108196813574383,0.33074019499773005,0.23081466344663223,0.22791415510516794,,
