,Ev Model,Missing Type,Tree Type,Variable Type,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,200,200,200,200,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
unique,1,2,1,1,,,,,,,,,,,,,
top,MPNS,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,200,100,200,200,,,,,,,,,,,,,
mean,,,,,0.08474757280489316,0.11419347920045148,0.091521428326663,0.08354328256851165,0.08347728493945944,0.09449386413223851,0.08447290124007686,0.08410369438872496,0.08669273440916836,0.08557613110480804,0.11284238782026984,0.08440038203079744,0.08680970988196203
std,,,,,0.06742514359543066,0.09269971511783615,0.07366861473885027,0.06586722507548569,0.0665648972414586,0.073615222990841,0.06559592112419331,0.0653883103430634,0.07122222074099831,0.0676826888898714,0.0862920977380921,0.06599535979037488,0.06818466826777368
min,,,,,0.0003554614089501503,3.039780930338333e-11,0.0,2.9543419578930085e-06,9.842306977010099e-12,3.0042783396599916e-12,3.1266381723096936e-09,1.2675935485072175e-05,1.0649247871280436e-05,1.263894718382209e-05,3.26432641097809e-06,3.4900717180636846e-05,0.0005305974040900001
25%,,,,,0.012680764625754157,0.004541231250479339,0.01182828852037369,0.014340321440531672,0.012389789060887403,0.021859876792701922,0.014258894803424342,0.014545416248908137,0.011966800395312022,0.013159661913980762,0.03385156460253384,0.012001746508942144,0.01529817968471805
50%,,,,,0.09064470494724683,0.09999517451306972,0.09064583333333334,0.09021695154196864,0.09029462572908101,0.09192003397269016,0.09027102583706159,0.09038650498269864,0.0908803051395971,0.09037292911076489,0.09974112010075216,0.09073587900952132,0.09109224594038656
75%,,,,,0.1215256054016923,0.1998781478159915,0.15549816409006179,0.10374704931017988,0.10265635875207006,0.13420347198679075,0.1142227612479559,0.11824092727058687,0.12051999562125239,0.12457793369220692,0.1834822150203933,0.11410174860479075,0.13034847961973695
max,,,,,0.3459593290006203,0.3631482019965952,0.381,0.25689801066986057,0.25493997674599717,0.33340572946644487,0.2550643304241281,0.25520429357759106,0.39206159299144694,0.2776478602025502,0.45236328835585676,0.2665164013609245,0.3044704241744086
