"accepted_species","trait_BM_trend_scaled"
"t2",0
"t3",0
"t6",0
"t32",0
"t33",0
"t28",1
"t29",1
"t24",0
"t103",0
"t104",0
"t43",1
"t44",NA
"t62",1
"t139",1
"t140",NA
"t90",NA
"t81",0
"t129",0
"t130",0
"t133",1
"t134",1
"t70",NA
"t38",0
"t30",0
"t19",0
"t82",0
"t83",0
"t93",1
"t94",0
"t120",1
"t121",1
"t66",0
"t122",0
"t123",0
"t96",0
"t147",1
"t148",1
"t149",1
"t150",1
"t91",0
"t92",1
"t50",1
"t48",0
"t49",0
"t113",NA
"t114",0
"t135",0
"t136",0
"t86",0
"t84",0
"t85",0
"t51",NA
"t45",0
"t65",1
"t124",1
"t125",0
"t18",0
"t69",NA
"t115",0
"t116",0
"t143",0
"t144",0
"t37",0
"t80",0
"t97",0
"t127",0
"t128",NA
"t25",0
"t23",0
"t39",0
"t109",0
"t110",0
"t61",0
"t60",0
"t63",0
"t64",0
"t42",0
"t46",0
"t47",0
"t31",0
"t5",0
"t4",0
"t78",1
"t79",NA
"t52",1
"t22",NA
"t35",1
"t36",NA
"t141",1
"t142",1
"t100",1
"t98",1
"t99",1
"t71",1
"t72",1
"t153",1
"t154",1
"t87",1
"t76",0
"t118",1
"t119",1
"t95",1
"t151",0
"t152",0
"t88",1
"t89",1
"t75",1
"t59",1
"t101",1
"t102",1
"t56",0
"t57",0
"t53",0
"t54",0
"t34",0
"t131",NA
"t132",0
"t77",0
"t21",0
"t40",0
"t41",0
"t107",0
"t108",0
"t55",0
"t111",0
"t112",0
"t145",1
"t146",1
"t117",0
"t8",0
"t12",NA
"t13",0
"t20",1
"t73",1
"t74",1
"t67",NA
"t68",0
"t16",0
"t17",NA
"t14",0
"t15",0
"t9",0
"t11",0
"t27",0
"t137",0
"t138",0
"t126",0
"t26",1
"t105",0
"t106",0
"t58",0
"t10",1
"t7",1
"t1",0
