"","t130","t131","t71","t72","t80","t81","t76","t140","t141","t122","t123","t116","t43","t85","t96","t97","t58","t40","t20","t36","t37","t157","t158","t139","t35","t62","t63","t61","t83","t100","t101","t98","t164","t165","t159","t99","t39","t13","t49","t162","t163","t128","t124","t125","t73","t107","t108","t91","t92","t48","t32","t33","t34","t44","t45","t23","t29","t41","t77","t78","t42","t31","t7","t11","t12","t14","t75","t148","t149","t19","t6","t9","t22","t144","t145","t46","t53","t54","t55","t21","t64","t126","t127","t117","t111","t119","t134","t142","t143","t17","t18","t27","t28","t47","t59","t60","t88","t106","t152","t153","t104","t105","t66","t52","t3","t2","t1","t4","t112","t113","t74","t146","t147","t38","t16","t24","t89","t90","t82","t30","t50","t114","t115","t69","t70","t65","t109","t110","t118","t120","t121","t57","t160","t161","t156","t132","t133","t79","t166","t167","t68","t102","t103","t93","t94","t84","t56","t15","t5","t67","t95","t150","t151","t51","t26","t8","t135","t136","t154","t155","t129","t25","t137","t138","t86","t87","t10"
"t130",0,0.4555176264,2.12083528862,1.35935817472,2.09425002951,1.34430461164,2.8454287008,2.84542870084,2.84542870084,2.76758701644,2.84542870084,2.8454287009,2.81812105389,3.24229700042,3.24229700042,3.24229700042,3.24229700052,3.24229700012,4.16876061419,5.14284980469,4.65870155849,5.56117576073,5.56117576073,5.51376087199,3.95568669397,5.561175760868,4.644454004068,5.56117576064,5.56117576044,5.56117576055,5.56117576055,5.56117576054,5.561175760712,5.561175760712,5.56117576071,5.56117576064,4.0163112292,3.72940508659,7.36961809061,7.369618091043,7.369618091043,7.369618091,7.369618091,7.369618091,6.87006268711,6.85707354543,7.36961809101,7.36961809101,7.36961809101,7.08343762181,5.80041819261,6.10614752431,6.688617547546,6.766678024246,7.369618091446,5.398913083646,7.36961809111,6.02371899255,7.36961809096,7.36961809096,6.89794492586,6.19650472585,8.75155440781,8.53038729231,7.91089336399,8.67003383549,11.16216533549,11.16216533549,11.16216533549,9.00773183939,7.33065207255,7.42962563127,8.9597287644,11.1621653349,11.1621653349,11.1621653354,11.1621653351,10.318892056205,11.162165335305,9.52104815887,11.16216533557,11.16216533536,11.16216533536,11.16216533537,11.16216533537,11.16216533537,11.16216533536,11.1621653353,11.1621653353,9.09746220931,11.16216533581,9.42511948451,9.39641374549,11.16216533521,10.50503684261,9.99365126059,11.16216533541,11.16216533541,11.16216533541,11.16216533541,11.162165335349,11.162165335349,11.162165335549,10.44146151141,6.99098770871,8.11967848151,7.20341213721,8.3771330029,12.7943575056,12.44854467881,12.8406886041,12.8406886042,12.8406886042,12.8406886036,11.0014261012,11.6566939466,12.8406886041,12.7111954164,12.8406886041,11.8098069317,12.0496417356,12.8406886045,12.8406886045,12.8406886044,12.4084132645,12.84068860426,12.43307719746,12.84068860436,12.84068860465,12.84068860461,12.70224907671,12.06146687115,12.84068860474,12.84068860474,12.84068860474,12.84068860475,12.84068860475,12.8406886047,12.84068860467,12.84068860467,12.8406886048,12.84068860475,12.84068860475,12.84068860476,12.84068860476,12.7054625664,11.7058225953,11.0720599964,9.1215122509,11.836840971415,12.8406886043,12.8406886043,12.8406886043,12.809752815,12.0799869983,9.2604420381,12.84068860472,12.84068860472,12.84068860475,12.80496574276,12.84068860472,11.44227449442,12.84068860463,12.84068860463,12.43900779293,12.84068860443,11.00000077483
"t131",0.4555176264,0,2.12083528862,1.35935817472,2.09425002951,1.34430461164,2.8454287008,2.84542870084,2.84542870084,2.76758701644,2.84542870084,2.8454287009,2.81812105389,3.24229700042,3.24229700042,3.24229700042,3.24229700052,3.24229700012,4.16876061419,5.14284980469,4.65870155849,5.56117576073,5.56117576073,5.51376087199,3.95568669397,5.561175760868,4.644454004068,5.56117576064,5.56117576044,5.56117576055,5.56117576055,5.56117576054,5.561175760712,5.561175760712,5.56117576071,5.56117576064,4.0163112292,3.72940508659,7.36961809061,7.369618091043,7.369618091043,7.369618091,7.369618091,7.369618091,6.87006268711,6.85707354543,7.36961809101,7.36961809101,7.36961809101,7.08343762181,5.80041819261,6.10614752431,6.688617547546,6.766678024246,7.369618091446,5.398913083646,7.36961809111,6.02371899255,7.36961809096,7.36961809096,6.89794492586,6.19650472585,8.75155440781,8.53038729231,7.91089336399,8.67003383549,11.16216533549,11.16216533549,11.16216533549,9.00773183939,7.33065207255,7.42962563127,8.9597287644,11.1621653349,11.1621653349,11.1621653354,11.1621653351,10.318892056205,11.162165335305,9.52104815887,11.16216533557,11.16216533536,11.16216533536,11.16216533537,11.16216533537,11.16216533537,11.16216533536,11.1621653353,11.1621653353,9.09746220931,11.16216533581,9.42511948451,9.39641374549,11.16216533521,10.50503684261,9.99365126059,11.16216533541,11.16216533541,11.16216533541,11.16216533541,11.162165335349,11.162165335349,11.162165335549,10.44146151141,6.99098770871,8.11967848151,7.20341213721,8.3771330029,12.7943575056,12.44854467881,12.8406886041,12.8406886042,12.8406886042,12.8406886036,11.0014261012,11.6566939466,12.8406886041,12.7111954164,12.8406886041,11.8098069317,12.0496417356,12.8406886045,12.8406886045,12.8406886044,12.4084132645,12.84068860426,12.43307719746,12.84068860436,12.84068860465,12.84068860461,12.70224907671,12.06146687115,12.84068860474,12.84068860474,12.84068860474,12.84068860475,12.84068860475,12.8406886047,12.84068860467,12.84068860467,12.8406886048,12.84068860475,12.84068860475,12.84068860476,12.84068860476,12.7054625664,11.7058225953,11.0720599964,9.1215122509,11.836840971415,12.8406886043,12.8406886043,12.8406886043,12.809752815,12.0799869983,9.2604420381,12.84068860472,12.84068860472,12.84068860475,12.80496574276,12.84068860472,11.44227449442,12.84068860463,12.84068860463,12.43900779293,12.84068860443,11.00000077483
"t71",2.12083528862,2.12083528862,0,1.2101910797,2.06972021931,1.31977480144,2.84542870082,2.84542870086,2.84542870086,2.76758701646,2.84542870086,2.84542870092,2.81812105391,3.24229700044,3.24229700044,3.24229700044,3.24229700054,3.24229700014,4.16876061421,5.14284980471,4.65870155851,5.56117576075,5.56117576075,5.51376087201,3.95568669399,5.561175760888,4.644454004088,5.56117576066,5.56117576046,5.56117576057,5.56117576057,5.56117576056,5.561175760732,5.561175760732,5.56117576073,5.56117576066,4.01631122922,3.72940508661,7.36961809063,7.369618091063,7.369618091063,7.36961809102,7.36961809102,7.36961809102,6.87006268713,6.85707354545,7.36961809103,7.36961809103,7.36961809103,7.08343762183,5.80041819263,6.10614752433,6.688617547566,6.766678024266,7.369618091466,5.398913083666,7.36961809113,6.02371899257,7.36961809098,7.36961809098,6.89794492588,6.19650472587,8.75155440783,8.53038729233,7.91089336401,8.67003383551,11.16216533551,11.16216533551,11.16216533551,9.00773183941,7.33065207257,7.42962563129,8.95972876442,11.16216533492,11.16216533492,11.16216533542,11.16216533512,10.318892056225,11.162165335325,9.52104815889,11.16216533559,11.16216533538,11.16216533538,11.16216533539,11.16216533539,11.16216533539,11.16216533538,11.16216533532,11.16216533532,9.09746220933,11.16216533583,9.42511948453,9.39641374551,11.16216533523,10.50503684263,9.99365126061,11.16216533543,11.16216533543,11.16216533543,11.16216533543,11.162165335369,11.162165335369,11.162165335569,10.44146151143,6.99098770873,8.11967848153,7.20341213723,8.37713300292,12.79435750562,12.44854467883,12.84068860412,12.84068860422,12.84068860422,12.84068860362,11.00142610122,11.65669394662,12.84068860412,12.71119541642,12.84068860412,11.80980693172,12.04964173562,12.84068860452,12.84068860452,12.84068860442,12.40841326452,12.84068860428,12.43307719748,12.84068860438,12.84068860467,12.84068860463,12.70224907673,12.06146687117,12.84068860476,12.84068860476,12.84068860476,12.84068860477,12.84068860477,12.84068860472,12.84068860469,12.84068860469,12.84068860482,12.84068860477,12.84068860477,12.84068860478,12.84068860478,12.70546256642,11.70582259532,11.07205999642,9.12151225092,11.836840971435,12.84068860432,12.84068860432,12.84068860432,12.80975281502,12.07998699832,9.26044203812,12.84068860474,12.84068860474,12.84068860477,12.80496574278,12.84068860474,11.44227449444,12.84068860465,12.84068860465,12.43900779295,12.84068860445,11.00000077485
"t72",1.35935817472,1.35935817472,1.2101910797,0,1.30824310541,0.55829768754,2.08395158692,2.08395158696,2.08395158696,2.00610990256,2.08395158696,2.08395158702,2.05664394001,2.48081988654,2.48081988654,2.48081988654,2.48081988664,2.48081988624,3.40728350031,4.38137269081,3.89722444461,4.79969864685,4.79969864685,4.75228375811,3.19420958009,4.799698646988,3.882976890188,4.79969864676,4.79969864656,4.79969864667,4.79969864667,4.79969864666,4.799698646832,4.799698646832,4.79969864683,4.79969864676,3.25483411532,2.96792797271,6.60814097673,6.608140977163,6.608140977163,6.60814097712,6.60814097712,6.60814097712,6.10858557323,6.09559643155,6.60814097713,6.60814097713,6.60814097713,6.32196050793,5.03894107873,5.34467041043,5.927140433666,6.005200910366,6.608140977566,4.637435969766,6.60814097723,5.26224187867,6.60814097708,6.60814097708,6.13646781198,5.43502761197,7.99007729393,7.76891017843,7.14941625011,7.90855672161,10.40068822161,10.40068822161,10.40068822161,8.24625472551,6.56917495867,6.66814851739,8.19825165052,10.40068822102,10.40068822102,10.40068822152,10.40068822122,9.557414942325,10.400688221425,8.75957104499,10.40068822169,10.40068822148,10.40068822148,10.40068822149,10.40068822149,10.40068822149,10.40068822148,10.40068822142,10.40068822142,8.33598509543,10.40068822193,8.66364237063,8.63493663161,10.40068822133,9.74355972873,9.23217414671,10.40068822153,10.40068822153,10.40068822153,10.40068822153,10.400688221469,10.400688221469,10.400688221669,9.67998439753,6.22951059483,7.35820136763,6.44193502333,7.61565588902,12.03288039172,11.68706756493,12.07921149022,12.07921149032,12.07921149032,12.07921148972,10.23994898732,10.89521683272,12.07921149022,11.94971830252,12.07921149022,11.04832981782,11.28816462172,12.07921149062,12.07921149062,12.07921149052,11.64693615062,12.07921149038,11.67160008358,12.07921149048,12.07921149077,12.07921149073,11.94077196283,11.29998975727,12.07921149086,12.07921149086,12.07921149086,12.07921149087,12.07921149087,12.07921149082,12.07921149079,12.07921149079,12.07921149092,12.07921149087,12.07921149087,12.07921149088,12.07921149088,11.94398545252,10.94434548142,10.31058288252,8.36003513702,11.075363857535,12.07921149042,12.07921149042,12.07921149042,12.04827570112,11.31850988442,8.49896492422,12.07921149084,12.07921149084,12.07921149087,12.04348862888,12.07921149084,10.68079738054,12.07921149075,12.07921149075,11.67753067905,12.07921149055,10.23852366095
"t80",2.09425002951,2.09425002951,2.06972021931,1.30824310541,0,0.86007388213,2.81884344171,2.81884344175,2.81884344175,2.74100175735,2.81884344175,2.81884344181,2.7915357948,3.21571174133,3.21571174133,3.21571174133,3.21571174143,3.21571174103,4.1421753551,5.1162645456,4.6321162994,5.53459050164,5.53459050164,5.4871756129,3.92910143488,5.534590501778,4.617868744978,5.53459050155,5.53459050135,5.53459050146,5.53459050146,5.53459050145,5.534590501622,5.534590501622,5.53459050162,5.53459050155,3.98972597011,3.7028198275,7.34303283152,7.343032831953,7.343032831953,7.34303283191,7.34303283191,7.34303283191,6.84347742802,6.83048828634,7.34303283192,7.34303283192,7.34303283192,7.05685236272,5.77383293352,6.07956226522,6.662032288456,6.740092765156,7.343032832356,5.372327824556,7.34303283202,5.99713373346,7.34303283187,7.34303283187,6.87135966677,6.16991946676,8.72496914872,8.50380203322,7.8843081049,8.6434485764,11.1355800764,11.1355800764,11.1355800764,8.9811465803,7.30406681346,7.40304037218,8.93314350531,11.13558007581,11.13558007581,11.13558007631,11.13558007601,10.292306797115,11.135580076215,9.49446289978,11.13558007648,11.13558007627,11.13558007627,11.13558007628,11.13558007628,11.13558007628,11.13558007627,11.13558007621,11.13558007621,9.07087695022,11.13558007672,9.39853422542,9.3698284864,11.13558007612,10.47845158352,9.9670660015,11.13558007632,11.13558007632,11.13558007632,11.13558007632,11.135580076259,11.135580076259,11.135580076459,10.41487625232,6.96440244962,8.09309322242,7.17682687812,8.35054774381,12.76777224651,12.42195941972,12.81410334501,12.81410334511,12.81410334511,12.81410334451,10.97484084211,11.63010868751,12.81410334501,12.68461015731,12.81410334501,11.78322167261,12.02305647651,12.81410334541,12.81410334541,12.81410334531,12.38182800541,12.81410334517,12.40649193837,12.81410334527,12.81410334556,12.81410334552,12.67566381762,12.03488161206,12.81410334565,12.81410334565,12.81410334565,12.81410334566,12.81410334566,12.81410334561,12.81410334558,12.81410334558,12.81410334571,12.81410334566,12.81410334566,12.81410334567,12.81410334567,12.67887730731,11.67923733621,11.04547473731,9.09492699181,11.810255712325,12.81410334521,12.81410334521,12.81410334521,12.78316755591,12.05340173921,9.23385677901,12.81410334563,12.81410334563,12.81410334566,12.77838048367,12.81410334563,11.41568923533,12.81410334554,12.81410334554,12.41242253384,12.81410334534,10.97341551574
"t81",1.34430461164,1.34430461164,1.31977480144,0.55829768754,0.86007388213,0,2.06889802384,2.06889802388,2.06889802388,1.99105633948,2.06889802388,2.06889802394,2.04159037693,2.46576632346,2.46576632346,2.46576632346,2.46576632356,2.46576632316,3.39222993723,4.36631912773,3.88217088153,4.78464508377,4.78464508377,4.73723019503,3.17915601701,4.784645083908,3.867923327108,4.78464508368,4.78464508348,4.78464508359,4.78464508359,4.78464508358,4.784645083752,4.784645083752,4.78464508375,4.78464508368,3.23978055224,2.95287440963,6.59308741365,6.593087414083,6.593087414083,6.59308741404,6.59308741404,6.59308741404,6.09353201015,6.08054286847,6.59308741405,6.59308741405,6.59308741405,6.30690694485,5.02388751565,5.32961684735,5.912086870586,5.990147347286,6.593087414486,4.622382406686,6.59308741415,5.24718831559,6.593087414,6.593087414,6.1214142489,5.41997404889,7.97502373085,7.75385661535,7.13436268703,7.89350315853,10.38563465853,10.38563465853,10.38563465853,8.23120116243,6.55412139559,6.65309495431,8.18319808744,10.38563465794,10.38563465794,10.38563465844,10.38563465814,9.542361379245,10.385634658345,8.74451748191,10.38563465861,10.3856346584,10.3856346584,10.38563465841,10.38563465841,10.38563465841,10.3856346584,10.38563465834,10.38563465834,8.32093153235,10.38563465885,8.64858880755,8.61988306853,10.38563465825,9.72850616565,9.21712058363,10.38563465845,10.38563465845,10.38563465845,10.38563465845,10.385634658389,10.385634658389,10.385634658589,9.66493083445,6.21445703175,7.34314780455,6.42688146025,7.60060232594,12.01782682864,11.67201400185,12.06415792714,12.06415792724,12.06415792724,12.06415792664,10.22489542424,10.88016326964,12.06415792714,11.93466473944,12.06415792714,11.03327625474,11.27311105864,12.06415792754,12.06415792754,12.06415792744,11.63188258754,12.0641579273,11.6565465205,12.0641579274,12.06415792769,12.06415792765,11.92571839975,11.28493619419,12.06415792778,12.06415792778,12.06415792778,12.06415792779,12.06415792779,12.06415792774,12.06415792771,12.06415792771,12.06415792784,12.06415792779,12.06415792779,12.0641579278,12.0641579278,11.92893188944,10.92929191834,10.29552931944,8.34498157394,11.060310294455,12.06415792734,12.06415792734,12.06415792734,12.03322213804,11.30345632134,8.48391136114,12.06415792776,12.06415792776,12.06415792779,12.0284350658,12.06415792776,10.66574381746,12.06415792767,12.06415792767,11.66247711597,12.06415792747,10.22347009787
"t76",2.8454287008,2.8454287008,2.84542870082,2.08395158692,2.81884344171,2.06889802384,0,1.74348534104,1.74348534104,1.66564365664,1.74348534104,1.7434853411,2.81812105389,3.24229700042,3.24229700042,3.24229700042,3.24229700052,3.24229700012,4.16876061419,5.14284980469,4.65870155849,5.56117576073,5.56117576073,5.51376087199,3.95568669397,5.561175760868,4.644454004068,5.56117576064,5.56117576044,5.56117576055,5.56117576055,5.56117576054,5.561175760712,5.561175760712,5.56117576071,5.56117576064,4.0163112292,3.72940508659,7.36961809061,7.369618091043,7.369618091043,7.369618091,7.369618091,7.369618091,6.87006268711,6.85707354543,7.36961809101,7.36961809101,7.36961809101,7.08343762181,5.80041819261,6.10614752431,6.688617547546,6.766678024246,7.369618091446,5.398913083646,7.36961809111,6.02371899255,7.36961809096,7.36961809096,6.89794492586,6.19650472585,8.75155440781,8.53038729231,7.91089336399,8.67003383549,11.16216533549,11.16216533549,11.16216533549,9.00773183939,7.33065207255,7.42962563127,8.9597287644,11.1621653349,11.1621653349,11.1621653354,11.1621653351,10.318892056205,11.162165335305,9.52104815887,11.16216533557,11.16216533536,11.16216533536,11.16216533537,11.16216533537,11.16216533537,11.16216533536,11.1621653353,11.1621653353,9.09746220931,11.16216533581,9.42511948451,9.39641374549,11.16216533521,10.50503684261,9.99365126059,11.16216533541,11.16216533541,11.16216533541,11.16216533541,11.162165335349,11.162165335349,11.162165335549,10.44146151141,6.99098770871,8.11967848151,7.20341213721,8.3771330029,12.7943575056,12.44854467881,12.8406886041,12.8406886042,12.8406886042,12.8406886036,11.0014261012,11.6566939466,12.8406886041,12.7111954164,12.8406886041,11.8098069317,12.0496417356,12.8406886045,12.8406886045,12.8406886044,12.4084132645,12.84068860426,12.43307719746,12.84068860436,12.84068860465,12.84068860461,12.70224907671,12.06146687115,12.84068860474,12.84068860474,12.84068860474,12.84068860475,12.84068860475,12.8406886047,12.84068860467,12.84068860467,12.8406886048,12.84068860475,12.84068860475,12.84068860476,12.84068860476,12.7054625664,11.7058225953,11.0720599964,9.1215122509,11.836840971415,12.8406886043,12.8406886043,12.8406886043,12.809752815,12.0799869983,9.2604420381,12.84068860472,12.84068860472,12.84068860475,12.80496574276,12.84068860472,11.44227449442,12.84068860463,12.84068860463,12.43900779293,12.84068860443,11.00000077483
"t140",2.84542870084,2.84542870084,2.84542870086,2.08395158696,2.81884344175,2.06889802388,1.74348534104,0,0.375511292,0.7180172776,0.795858962,0.83995213134,2.81812105393,3.24229700046,3.24229700046,3.24229700046,3.24229700056,3.24229700016,4.16876061423,5.14284980473,4.65870155853,5.56117576077,5.56117576077,5.51376087203,3.95568669401,5.561175760908,4.644454004108,5.56117576068,5.56117576048,5.56117576059,5.56117576059,5.56117576058,5.561175760752,5.561175760752,5.56117576075,5.56117576068,4.01631122924,3.72940508663,7.36961809065,7.369618091083,7.369618091083,7.36961809104,7.36961809104,7.36961809104,6.87006268715,6.85707354547,7.36961809105,7.36961809105,7.36961809105,7.08343762185,5.80041819265,6.10614752435,6.688617547586,6.766678024286,7.369618091486,5.398913083686,7.36961809115,6.02371899259,7.369618091,7.369618091,6.8979449259,6.19650472589,8.75155440785,8.53038729235,7.91089336403,8.67003383553,11.16216533553,11.16216533553,11.16216533553,9.00773183943,7.33065207259,7.42962563131,8.95972876444,11.16216533494,11.16216533494,11.16216533544,11.16216533514,10.318892056245,11.162165335345,9.52104815891,11.16216533561,11.1621653354,11.1621653354,11.16216533541,11.16216533541,11.16216533541,11.1621653354,11.16216533534,11.16216533534,9.09746220935,11.16216533585,9.42511948455,9.39641374553,11.16216533525,10.50503684265,9.99365126063,11.16216533545,11.16216533545,11.16216533545,11.16216533545,11.162165335389,11.162165335389,11.162165335589,10.44146151145,6.99098770875,8.11967848155,7.20341213725,8.37713300294,12.79435750564,12.44854467885,12.84068860414,12.84068860424,12.84068860424,12.84068860364,11.00142610124,11.65669394664,12.84068860414,12.71119541644,12.84068860414,11.80980693174,12.04964173564,12.84068860454,12.84068860454,12.84068860444,12.40841326454,12.8406886043,12.4330771975,12.8406886044,12.84068860469,12.84068860465,12.70224907675,12.06146687119,12.84068860478,12.84068860478,12.84068860478,12.84068860479,12.84068860479,12.84068860474,12.84068860471,12.84068860471,12.84068860484,12.84068860479,12.84068860479,12.8406886048,12.8406886048,12.70546256644,11.70582259534,11.07205999644,9.12151225094,11.836840971455,12.84068860434,12.84068860434,12.84068860434,12.80975281504,12.07998699834,9.26044203814,12.84068860476,12.84068860476,12.84068860479,12.8049657428,12.84068860476,11.44227449446,12.84068860467,12.84068860467,12.43900779297,12.84068860447,11.00000077487
"t141",2.84542870084,2.84542870084,2.84542870086,2.08395158696,2.81884344175,2.06889802388,1.74348534104,0.375511292,0,0.7180172776,0.795858962,0.83995213134,2.81812105393,3.24229700046,3.24229700046,3.24229700046,3.24229700056,3.24229700016,4.16876061423,5.14284980473,4.65870155853,5.56117576077,5.56117576077,5.51376087203,3.95568669401,5.561175760908,4.644454004108,5.56117576068,5.56117576048,5.56117576059,5.56117576059,5.56117576058,5.561175760752,5.561175760752,5.56117576075,5.56117576068,4.01631122924,3.72940508663,7.36961809065,7.369618091083,7.369618091083,7.36961809104,7.36961809104,7.36961809104,6.87006268715,6.85707354547,7.36961809105,7.36961809105,7.36961809105,7.08343762185,5.80041819265,6.10614752435,6.688617547586,6.766678024286,7.369618091486,5.398913083686,7.36961809115,6.02371899259,7.369618091,7.369618091,6.8979449259,6.19650472589,8.75155440785,8.53038729235,7.91089336403,8.67003383553,11.16216533553,11.16216533553,11.16216533553,9.00773183943,7.33065207259,7.42962563131,8.95972876444,11.16216533494,11.16216533494,11.16216533544,11.16216533514,10.318892056245,11.162165335345,9.52104815891,11.16216533561,11.1621653354,11.1621653354,11.16216533541,11.16216533541,11.16216533541,11.1621653354,11.16216533534,11.16216533534,9.09746220935,11.16216533585,9.42511948455,9.39641374553,11.16216533525,10.50503684265,9.99365126063,11.16216533545,11.16216533545,11.16216533545,11.16216533545,11.162165335389,11.162165335389,11.162165335589,10.44146151145,6.99098770875,8.11967848155,7.20341213725,8.37713300294,12.79435750564,12.44854467885,12.84068860414,12.84068860424,12.84068860424,12.84068860364,11.00142610124,11.65669394664,12.84068860414,12.71119541644,12.84068860414,11.80980693174,12.04964173564,12.84068860454,12.84068860454,12.84068860444,12.40841326454,12.8406886043,12.4330771975,12.8406886044,12.84068860469,12.84068860465,12.70224907675,12.06146687119,12.84068860478,12.84068860478,12.84068860478,12.84068860479,12.84068860479,12.84068860474,12.84068860471,12.84068860471,12.84068860484,12.84068860479,12.84068860479,12.8406886048,12.8406886048,12.70546256644,11.70582259534,11.07205999644,9.12151225094,11.836840971455,12.84068860434,12.84068860434,12.84068860434,12.80975281504,12.07998699834,9.26044203814,12.84068860476,12.84068860476,12.84068860479,12.8049657428,12.84068860476,11.44227449446,12.84068860467,12.84068860467,12.43900779297,12.84068860447,11.00000077487
"t122",2.76758701644,2.76758701644,2.76758701646,2.00610990256,2.74100175735,1.99105633948,1.66564365664,0.7180172776,0.7180172776,0,0.4517988282,0.76211044694,2.74027936953,3.16445531606,3.16445531606,3.16445531606,3.16445531616,3.16445531576,4.09091892983,5.06500812033,4.58085987413,5.48333407637,5.48333407637,5.43591918763,3.87784500961,5.483334076508,4.566612319708,5.48333407628,5.48333407608,5.48333407619,5.48333407619,5.48333407618,5.483334076352,5.483334076352,5.48333407635,5.48333407628,3.93846954484,3.65156340223,7.29177640625,7.291776406683,7.291776406683,7.29177640664,7.29177640664,7.29177640664,6.79222100275,6.77923186107,7.29177640665,7.29177640665,7.29177640665,7.00559593745,5.72257650825,6.02830583995,6.610775863186,6.688836339886,7.291776407086,5.321071399286,7.29177640675,5.94587730819,7.2917764066,7.2917764066,6.8201032415,6.11866304149,8.67371272345,8.45254560795,7.83305167963,8.59219215113,11.08432365113,11.08432365113,11.08432365113,8.92989015503,7.25281038819,7.35178394691,8.88188708004,11.08432365054,11.08432365054,11.08432365104,11.08432365074,10.241050371845,11.084323650945,9.44320647451,11.08432365121,11.084323651,11.084323651,11.08432365101,11.08432365101,11.08432365101,11.084323651,11.08432365094,11.08432365094,9.01962052495,11.08432365145,9.34727780015,9.31857206113,11.08432365085,10.42719515825,9.91580957623,11.08432365105,11.08432365105,11.08432365105,11.08432365105,11.084323650989,11.084323650989,11.084323651189,10.36361982705,6.91314602435,8.04183679715,7.12557045285,8.29929131854,12.71651582124,12.37070299445,12.76284691974,12.76284691984,12.76284691984,12.76284691924,10.92358441684,11.57885226224,12.76284691974,12.63335373204,12.76284691974,11.73196524734,11.97180005124,12.76284692014,12.76284692014,12.76284692004,12.33057158014,12.7628469199,12.3552355131,12.76284692,12.76284692029,12.76284692025,12.62440739235,11.98362518679,12.76284692038,12.76284692038,12.76284692038,12.76284692039,12.76284692039,12.76284692034,12.76284692031,12.76284692031,12.76284692044,12.76284692039,12.76284692039,12.7628469204,12.7628469204,12.62762088204,11.62798091094,10.99421831204,9.04367056654,11.758999287055,12.76284691994,12.76284691994,12.76284691994,12.73191113064,12.00214531394,9.18260035374,12.76284692036,12.76284692036,12.76284692039,12.7271240584,12.76284692036,11.36443281006,12.76284692027,12.76284692027,12.36116610857,12.76284692007,10.92215909047
