,Genus,APWD
count,280,280.0
unique,280,
top,Zeltnera,
freq,1,
mean,,0.6718864358596977
std,,0.1678198119245986
min,,0.0
25%,,0.6035306629642497
50%,,0.7198826598647234
75%,,0.7796751750711854
max,,0.9508196721311476
