"","turnover.rates","eps.values","transition.rates"
"1",0.0454716412350535,0.754839687608182,NA
"2",0.57900677062571,0.427484966116026,0.80573821766302
"3",0.985063353087753,0.0259809175040573,0.610743839526549
"4",0.0725823629181832,0.893464535241947,0.476203521247953
"5",0.0454716412350535,0.754839687608182,0.363113871309906
"6",0.57900677062571,0.427484966116026,NA
"7",0.985063353087753,0.0259809175040573,0.992401816416532
"8",0.0725823629181832,0.893464535241947,0.885283918818459
"9",0.0454716412350535,0.754839687608182,0.0572153895627707
"10",0.57900677062571,0.427484966116026,0.668269638437778
"11",0.985063353087753,0.0259809175040573,NA
"12",0.0725823629181832,0.893464535241947,0.993848007638007
"13",0.0454716412350535,0.754839687608182,0.91035636421293
"14",0.57900677062571,0.427484966116026,0.749305813806131
"15",0.985063353087753,0.0259809175040573,0.787226321641356
"16",0.0725823629181832,0.893464535241947,NA
