,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
t1,21.856203,7.181366,-7.2334948,12.22979,46.898663,-6.846763,-4.133075,19.383665,-8.778099,45.819508,-3.1799214,-4.387116,33.19902,-3.6142933,14.355441,-2.4110458,8.175625
t3,20.817097,6.6879444,-6.8994303,11.358275,44.74117,-6.652601,-3.9048288,17.78313,-8.403029,44.490143,-3.0721188,-4.464276,31.545248,-3.501492,12.86913,-2.43018,7.9628935
t4,15.576358,4.5357666,-5.2389436,8.662461,33.55749,-5.083839,-2.8710325,13.409161,-6.3188868,33.62998,-2.2972274,-3.2933547,24.159285,-2.6797125,9.754706,-1.8396819,6.002436
t56,19.066662,1.1501356,-6.5860415,30.898943,34.835506,-6.921679,-4.737405,17.755383,-9.1949625,47.002823,-3.1375296,-4.0283885,37.168457,-1.4098653,18.312117,-1.0648129,8.127954
t65,17.496979,0.40890566,-5.9056077,29.79554,30.606344,-6.251688,-4.351411,15.575772,-8.310284,42.977764,-2.8629577,-3.5685596,33.91351,-1.0955166,17.058601,-0.8307938,7.471059
t66,19.625698,0.88554776,-6.5520225,31.35472,34.93755,-6.8706927,-4.748896,17.50601,-9.171349,47.149498,-3.1350493,-4.026581,36.608395,-1.3835077,18.474901,-1.0721505,8.66051
t30,19.011192,0.8682052,-6.341061,30.480326,33.32107,-6.758931,-4.4934306,16.842857,-8.785135,46.128307,-3.2240682,-3.7389657,36.075752,-1.2359756,18.328909,-0.8928637,7.589904
t19,18.20305,-0.179755,-5.8952456,29.851149,31.297224,-6.2930703,-4.3497667,15.369182,-8.351051,43.305367,-3.0273826,-3.548804,34.584175,-0.99584687,16.743576,-0.94630873,7.1690054
t163,19.35138,-0.21535127,-6.146908,34.976498,30.990011,-6.95681,-4.5449767,17.320362,-8.771397,46.65926,-3.2298152,-3.6158636,37.551514,-0.63855666,19.458012,-0.5193463,7.0451975
t164,19.377825,-0.21552579,-6.146685,35.00769,31.015747,-6.96581,-4.5402427,17.323599,-8.772758,46.65377,-3.2334576,-3.6130357,37.51879,-0.6435897,19.471535,-0.513864,7.072297
t165,19.115845,-0.22455175,-6.1248507,35.213066,30.858208,-6.9111686,-4.6274548,17.27025,-8.74073,46.638725,-3.2383945,-3.634452,37.615307,-0.5579452,19.319342,-0.5265572,7.3863688
t166,19.094582,-0.22564428,-6.122148,35.19526,30.833763,-6.9100556,-4.6265635,17.264181,-8.736769,46.634735,-3.2334545,-3.6358464,37.628166,-0.55769545,19.30505,-0.52659005,7.36248
t39,16.292534,-0.36326617,-5.0809374,32.73063,25.10945,-6.0473933,-4.0459228,14.437574,-7.5908303,40.25915,-2.9422882,-3.088836,32.573242,-0.27045095,17.488083,-0.39215645,5.8940754
t131,19.293625,-0.28886458,-5.957771,34.48687,31.388506,-7.1167006,-4.582418,16.759186,-9.010886,46.552338,-3.5418937,-3.905811,36.891365,-0.6613853,19.27875,-0.9259602,7.089614
t132,19.248692,-0.27950123,-5.972915,34.562614,31.383064,-7.099708,-4.610219,16.75553,-9.011759,46.5793,-3.526429,-3.9046307,36.996864,-0.6642598,19.383533,-0.9202294,7.041011
t122,17.737411,-0.45588118,-6.0711784,37.176548,29.228542,-6.98719,-4.6548615,16.563559,-9.052921,45.220123,-3.132949,-3.8407338,37.217377,-0.571552,20.83073,-0.7498955,6.677655
t135,17.902561,-0.45866314,-6.049505,37.20549,29.31417,-6.9802027,-4.6449294,16.617525,-9.055123,45.162655,-3.1655872,-3.8062012,36.97972,-0.57897013,20.879448,-0.74727064,6.7520485
t136,17.815277,-0.46737915,-6.0594783,37.18456,29.32175,-6.9772706,-4.6508603,16.530989,-9.072303,45.290413,-3.1658208,-3.8441048,37.008194,-0.58001417,20.79188,-0.7583029,6.75167
t82,17.729418,-0.4524923,-5.9481015,36.50929,28.882116,-6.862186,-4.6760573,16.418043,-8.916918,45.019165,-3.1368382,-3.7891824,37.35803,-0.4570086,20.394176,-0.72908086,6.544135
t129,17.807268,-0.4946366,-6.0732226,36.694458,29.239578,-6.875788,-4.6943603,16.487318,-8.999286,44.98787,-3.0995643,-3.7977414,37.385487,-0.54855955,20.221586,-0.77717596,6.6597805
t130,17.66558,-0.4649899,-6.0514655,36.562374,29.132267,-6.90056,-4.6859527,16.474686,-8.992674,45.077835,-3.1309607,-3.8245716,37.40043,-0.5430759,20.189865,-0.7938878,6.597809
t38,16.628757,-0.46713758,-5.3658195,35.49987,26.417843,-6.4432306,-4.491303,15.059981,-8.22109,41.568665,-3.0408084,-3.3082902,34.82494,-0.3566917,19.379885,-0.5775525,6.371375
t145,18.67458,-0.3184283,-5.848823,37.301567,30.029404,-7.104974,-4.841091,15.705428,-8.746068,44.99751,-3.5121381,-3.496088,37.14692,-0.6420433,20.417841,-0.58580595,6.887125
t146,18.679794,-0.32222402,-5.824425,37.401855,30.03653,-7.1216455,-4.840447,15.716622,-8.75211,45.077477,-3.5327287,-3.4967496,37.113235,-0.6412545,20.48794,-0.5995417,6.9169226
t57,16.615585,-0.4592839,-5.189577,35.82968,25.78072,-6.4621544,-4.4164395,14.353735,-7.958088,41.0733,-3.1508198,-3.1549087,34.154682,-0.2962,19.10773,-0.40765634,6.1916876
t55,15.931702,-0.5004054,-4.9819355,36.35721,24.300327,-6.339666,-4.134357,13.94886,-7.7766414,39.531578,-2.87299,-2.9549754,32.58021,-0.43526703,19.175728,-0.12752919,5.228922
t81,16.937958,-0.5361857,-5.2436705,38.54655,25.98803,-6.702872,-4.3251557,14.56514,-8.172762,41.235676,-3.0032382,-3.0340097,33.852463,-0.58799905,20.376934,-0.07847371,5.6106396
t113,18.493465,-0.5636806,-5.672651,40.7545,28.758987,-7.1576743,-4.6529694,15.526095,-8.742702,44.16585,-3.2736232,-3.2132485,36.106102,-0.7307365,21.539278,-0.12477422,6.208667
t114,18.404572,-0.52960104,-5.705919,40.654922,28.622528,-7.124454,-4.677668,15.488596,-8.709397,44.132084,-3.243427,-3.2181299,36.1248,-0.73882854,21.609518,-0.1591847,6.3779726
t152,18.38126,-0.53810984,-5.711192,40.645164,28.717457,-7.1371064,-4.6807637,15.64746,-8.721126,44.243576,-3.2308514,-3.1883972,36.26184,-0.78628343,21.545818,-0.13257872,5.9796495
t155,18.249023,-0.5473003,-5.6693606,40.5131,28.46738,-7.1008425,-4.641441,15.558134,-8.671665,43.970337,-3.204685,-3.1790504,36.028294,-0.7735415,21.472,-0.1300242,5.949418
t156,18.30045,-0.54159063,-5.695126,40.619644,28.613098,-7.138514,-4.6547546,15.671663,-8.707034,44.198215,-3.2288845,-3.1959653,36.179897,-0.78088003,21.543758,-0.1365317,5.962079
t111,18.359695,-0.5320146,-5.7271113,40.676903,28.699986,-7.14121,-4.6649456,15.642563,-8.746674,44.417866,-3.2372556,-3.2210426,36.197346,-0.74042404,21.539146,-0.11143213,6.1387987
t112,18.02965,-0.55598325,-5.6048245,40.230286,27.946695,-7.0355387,-4.568006,15.297095,-8.594173,43.414192,-3.180911,-3.1684492,35.568096,-0.6923682,21.14709,-0.09826475,5.979458
t84,18.527237,-0.45389876,-5.6795864,39.92565,28.998806,-7.149269,-4.600089,15.750131,-8.7331915,44.423576,-3.3151166,-3.2727413,36.0935,-0.7637538,21.791586,-0.2365893,6.4353294
t85,18.549028,-0.4852142,-5.709753,40.175003,29.14415,-7.150074,-4.685514,15.770093,-8.766065,44.48253,-3.2870986,-3.2540576,36.261913,-0.761828,21.776201,-0.24892354,6.590518
t50,19.150349,-0.28278264,-5.7395816,35.644222,30.91745,-6.8095865,-4.739409,16.555063,-8.826338,45.886887,-3.477432,-3.5675085,36.79495,-0.64958423,19.961922,-0.82071495,7.115836
t51,18.958601,-0.21505678,-5.7560134,35.825523,30.369322,-6.8595576,-4.7360044,17.210052,-8.818469,45.30563,-3.40107,-3.6441104,36.988014,-0.44985852,20.368034,-0.7513371,6.672823
t133,18.576069,-0.28852424,-5.669542,35.901325,29.857052,-6.7634478,-4.8017364,17.426838,-8.830777,45.715782,-3.3899677,-3.6231868,37.75052,-0.2503961,19.999172,-0.7695059,6.2684507
t134,18.480228,-0.32869872,-5.641172,35.87618,29.707409,-6.782902,-4.7669716,17.43696,-8.824385,45.617714,-3.3884652,-3.6410682,37.75549,-0.2218364,19.880764,-0.7615597,6.0701284
t148,18.573166,-0.38200635,-5.541786,35.874233,29.590967,-6.77184,-4.7626567,16.758574,-8.83623,45.163994,-3.5144222,-3.5037084,37.68173,-0.29924998,19.884521,-0.83063334,6.2798643
t167,18.53997,-0.37978095,-5.52423,35.78752,29.562466,-6.7721186,-4.768259,16.88961,-8.837151,45.15065,-3.503196,-3.505273,37.71749,-0.28926834,19.881552,-0.82043594,6.198785
