"","t18","t139","t140","t87","t88","t80","t137","t138","t63","t83","t84","t60","t67","t89","t90","t39","t100","t101","t21","t4","t11","t15","t16","t7","t8","t6","t14","t102","t103","t91","t129","t130","t41","t22","t75","t76","t31","t72","t112","t113","t37","t38","t114","t117","t118","t42","t36","t23","t32","t33","t98","t99","t77","t78","t94","t121","t122","t40","t27","t28","t9","t10","t45","t46","t59","t133","t134","t79","t53","t54","t20","t12","t110","t111","t48","t64","t65","t92","t93","t51","t82","t107","t108","t104","t105","t131","t132","t109","t68","t69","t127","t128","t81","t85","t86","t43","t44","t55","t56","t66","t125","t126","t135","t136","t106","t19","t49","t50","t5","t74","t119","t120","t97","t123","t124","t71","t61","t141","t142","t73","t95","t96","t62","t57","t47","t29","t30","t13","t52","t58","t115","t116","t70","t26","t17","t24","t25","t34","t35","t3","t2","t1"
"t18",0,2.83318234016,2.83318234016,3.06088770536,2.97566885706,3.06088770535,3.0608877053,3.0608877053,3.06088770523,3.06088770523,3.06088770523,3.0608877053,3.06088770522,3.06088770522,3.06088770522,3.0608877049,3.0608877054,3.0608877054,1.7784152221,3.85051374536,3.06291627206,3.69686363236,3.75657011756,4.19341440512,3.06788161562,2.605284519,3.50665809464,5.7821089067,5.7821089067,5.7821089067,5.78210890668,5.78210890668,4.8614096242,4.2931237254,5.84796271717,5.84796271717,5.84796271677,5.84796271697,5.84796271687,5.84796271687,5.84796271671,5.84796271671,5.84796271701,5.847962716967,5.847962716967,5.84796271661,5.84796271701,4.24288538301,5.26798823724,5.84796271644,5.84796271624,5.84796271624,5.84796271624,5.55537579184,5.84796271624,5.84796271624,5.84796271624,5.84796271614,5.84796271584,4.68126425774,4.13580758247,5.84796271707,5.84796271647,5.08480000907,5.84796271667,5.84796271674,5.84796271674,5.84796271677,5.84796271667,5.84796271667,4.45606508857,3.60218541559,5.84796271663,5.84796271663,4.99197580743,5.84796271672,5.84796271672,5.84796271673,5.84796271673,5.151364001852,5.847962716552,5.847962716452,5.847962716452,5.847962716452,5.847962716452,5.847962716472,5.847962716472,5.847962716452,5.847962716552,5.847962716552,5.84796271662,5.84796271662,5.55884671975,5.84796271663,5.84796271663,5.84796271673,5.38912869013,5.84796271672,5.13196211469,5.84796271712,5.84796271706,5.84796271706,5.84796271712,5.84796271712,5.84796271712,5.84796271692,5.84796271712,4.96246402559,3.32531553867,5.84796271676,5.84796271676,5.84796271676,5.84796271676,5.84796271676,5.84796271676,5.84796271677,5.84796271667,5.847962716793,5.847962716793,5.84796271677,5.84796271686,5.84796271686,5.52848577946,5.30980581257,5.42617836867,4.65648980301,4.52048678471,3.74215334611,5.28213083417,5.84796271627,5.84796271627,5.84796271627,5.84796271627,5.84796271647,6.42965069417,6.39125112247,5.80799446087,5.87074854564,6.98443054534,3.97650932014,4.20343955227,2.92436287935
"t139",2.83318234016,0,0.05288602892,4.61537741212,4.53015856382,4.61537741211,4.61537741206,4.61537741206,4.61537741199,4.61537741199,4.61537741199,4.61537741206,4.61537741198,4.61537741198,4.61537741198,4.61537741166,4.61537741216,4.61537741216,3.33290492886,5.40500345212,4.61740597882,5.25135333912,5.31105982432,5.74790411188,4.62237132238,4.15977422576,5.0611478014,7.33659861346,7.33659861346,7.33659861346,7.33659861344,7.33659861344,6.41589933096,5.84761343216,7.40245242393,7.40245242393,7.40245242353,7.40245242373,7.40245242363,7.40245242363,7.40245242347,7.40245242347,7.40245242377,7.402452423727,7.402452423727,7.40245242337,7.40245242377,5.79737508977,6.822477944,7.4024524232,7.402452423,7.402452423,7.402452423,7.1098654986,7.402452423,7.402452423,7.402452423,7.4024524229,7.4024524226,6.2357539645,5.69029728923,7.40245242383,7.40245242323,6.63928971583,7.40245242343,7.4024524235,7.4024524235,7.40245242353,7.40245242343,7.40245242343,6.01055479533,5.15667512235,7.40245242339,7.40245242339,6.54646551419,7.40245242348,7.40245242348,7.40245242349,7.40245242349,6.705853708612,7.402452423312,7.402452423212,7.402452423212,7.402452423212,7.402452423212,7.402452423232,7.402452423232,7.402452423212,7.402452423312,7.402452423312,7.40245242338,7.40245242338,7.11333642651,7.40245242339,7.40245242339,7.40245242349,6.94361839689,7.40245242348,6.68645182145,7.40245242388,7.40245242382,7.40245242382,7.40245242388,7.40245242388,7.40245242388,7.40245242368,7.40245242388,6.51695373235,4.87980524543,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242353,7.40245242343,7.402452423553,7.402452423553,7.40245242353,7.40245242362,7.40245242362,7.08297548622,6.86429551933,6.98066807543,6.21097950977,6.07497649147,5.29664305287,6.83662054093,7.40245242303,7.40245242303,7.40245242303,7.40245242303,7.40245242323,7.98414040093,7.94574082923,7.36248416763,7.4252382524,8.5389202521,5.5309990269,5.75792925903,4.47885258611
"t140",2.83318234016,0.05288602892,0,4.61537741212,4.53015856382,4.61537741211,4.61537741206,4.61537741206,4.61537741199,4.61537741199,4.61537741199,4.61537741206,4.61537741198,4.61537741198,4.61537741198,4.61537741166,4.61537741216,4.61537741216,3.33290492886,5.40500345212,4.61740597882,5.25135333912,5.31105982432,5.74790411188,4.62237132238,4.15977422576,5.0611478014,7.33659861346,7.33659861346,7.33659861346,7.33659861344,7.33659861344,6.41589933096,5.84761343216,7.40245242393,7.40245242393,7.40245242353,7.40245242373,7.40245242363,7.40245242363,7.40245242347,7.40245242347,7.40245242377,7.402452423727,7.402452423727,7.40245242337,7.40245242377,5.79737508977,6.822477944,7.4024524232,7.402452423,7.402452423,7.402452423,7.1098654986,7.402452423,7.402452423,7.402452423,7.4024524229,7.4024524226,6.2357539645,5.69029728923,7.40245242383,7.40245242323,6.63928971583,7.40245242343,7.4024524235,7.4024524235,7.40245242353,7.40245242343,7.40245242343,6.01055479533,5.15667512235,7.40245242339,7.40245242339,6.54646551419,7.40245242348,7.40245242348,7.40245242349,7.40245242349,6.705853708612,7.402452423312,7.402452423212,7.402452423212,7.402452423212,7.402452423212,7.402452423232,7.402452423232,7.402452423212,7.402452423312,7.402452423312,7.40245242338,7.40245242338,7.11333642651,7.40245242339,7.40245242339,7.40245242349,6.94361839689,7.40245242348,6.68645182145,7.40245242388,7.40245242382,7.40245242382,7.40245242388,7.40245242388,7.40245242388,7.40245242368,7.40245242388,6.51695373235,4.87980524543,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242353,7.40245242343,7.402452423553,7.402452423553,7.40245242353,7.40245242362,7.40245242362,7.08297548622,6.86429551933,6.98066807543,6.21097950977,6.07497649147,5.29664305287,6.83662054093,7.40245242303,7.40245242303,7.40245242303,7.40245242303,7.40245242323,7.98414040093,7.94574082923,7.36248416763,7.4252382524,8.5389202521,5.5309990269,5.75792925903,4.47885258611
"t87",3.06088770536,4.61537741212,4.61537741212,0,0.7504018747,0.94276590761,2.57854755416,2.57854755416,2.57854755409,2.57854755409,2.57854755409,2.57854755416,2.57854755408,2.57854755408,2.57854755408,2.71313564066,2.71313564116,2.71313564116,2.39839446566,5.40500345212,4.61740597882,5.25135333912,5.31105982432,5.74790411188,4.62237132238,4.15977422576,5.0611478014,7.33659861346,7.33659861346,7.33659861346,7.33659861344,7.33659861344,6.41589933096,5.84761343216,7.40245242393,7.40245242393,7.40245242353,7.40245242373,7.40245242363,7.40245242363,7.40245242347,7.40245242347,7.40245242377,7.402452423727,7.402452423727,7.40245242337,7.40245242377,5.79737508977,6.822477944,7.4024524232,7.402452423,7.402452423,7.402452423,7.1098654986,7.402452423,7.402452423,7.402452423,7.4024524229,7.4024524226,6.2357539645,5.69029728923,7.40245242383,7.40245242323,6.63928971583,7.40245242343,7.4024524235,7.4024524235,7.40245242353,7.40245242343,7.40245242343,6.01055479533,5.15667512235,7.40245242339,7.40245242339,6.54646551419,7.40245242348,7.40245242348,7.40245242349,7.40245242349,6.705853708612,7.402452423312,7.402452423212,7.402452423212,7.402452423212,7.402452423212,7.402452423232,7.402452423232,7.402452423212,7.402452423312,7.402452423312,7.40245242338,7.40245242338,7.11333642651,7.40245242339,7.40245242339,7.40245242349,6.94361839689,7.40245242348,6.68645182145,7.40245242388,7.40245242382,7.40245242382,7.40245242388,7.40245242388,7.40245242388,7.40245242368,7.40245242388,6.51695373235,4.87980524543,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242352,7.40245242353,7.40245242343,7.402452423553,7.402452423553,7.40245242353,7.40245242362,7.40245242362,7.08297548622,6.86429551933,6.98066807543,6.21097950977,6.07497649147,5.29664305287,6.83662054093,7.40245242303,7.40245242303,7.40245242303,7.40245242303,7.40245242323,7.98414040093,7.94574082923,7.36248416763,7.4252382524,8.5389202521,5.5309990269,5.75792925903,4.47885258611
"t88",2.97566885706,4.53015856382,4.53015856382,0.7504018747,0,0.85754705931,2.49332870586,2.49332870586,2.49332870579,2.49332870579,2.49332870579,2.49332870586,2.49332870578,2.49332870578,2.49332870578,2.62791679236,2.62791679286,2.62791679286,2.31317561736,5.31978460382,4.53218713052,5.16613449082,5.22584097602,5.66268526358,4.53715247408,4.07455537746,4.9759289531,7.25137976516,7.25137976516,7.25137976516,7.25137976514,7.25137976514,6.33068048266,5.76239458386,7.31723357563,7.31723357563,7.31723357523,7.31723357543,7.31723357533,7.31723357533,7.31723357517,7.31723357517,7.31723357547,7.317233575427,7.317233575427,7.31723357507,7.31723357547,5.71215624147,6.7372590957,7.3172335749,7.3172335747,7.3172335747,7.3172335747,7.0246466503,7.3172335747,7.3172335747,7.3172335747,7.3172335746,7.3172335743,6.1505351162,5.60507844093,7.31723357553,7.31723357493,6.55407086753,7.31723357513,7.3172335752,7.3172335752,7.31723357523,7.31723357513,7.31723357513,5.92533594703,5.07145627405,7.31723357509,7.31723357509,6.46124666589,7.31723357518,7.31723357518,7.31723357519,7.31723357519,6.620634860312,7.317233575012,7.317233574912,7.317233574912,7.317233574912,7.317233574912,7.317233574932,7.317233574932,7.317233574912,7.317233575012,7.317233575012,7.31723357508,7.31723357508,7.02811757821,7.31723357509,7.31723357509,7.31723357519,6.85839954859,7.31723357518,6.60123297315,7.31723357558,7.31723357552,7.31723357552,7.31723357558,7.31723357558,7.31723357558,7.31723357538,7.31723357558,6.43173488405,4.79458639713,7.31723357522,7.31723357522,7.31723357522,7.31723357522,7.31723357522,7.31723357522,7.31723357523,7.31723357513,7.317233575253,7.317233575253,7.31723357523,7.31723357532,7.31723357532,6.99775663792,6.77907667103,6.89544922713,6.12576066147,5.98975764317,5.21142420457,6.75140169263,7.31723357473,7.31723357473,7.31723357473,7.31723357473,7.31723357493,7.89892155263,7.86052198093,7.27726531933,7.3400194041,8.4537014038,5.4457801786,5.67271041073,4.39363373781
"t80",3.06088770535,4.61537741211,4.61537741211,0.94276590761,0.85754705931,0,2.57854755415,2.57854755415,2.57854755408,2.57854755408,2.57854755408,2.57854755415,2.57854755407,2.57854755407,2.57854755407,2.71313564065,2.71313564115,2.71313564115,2.39839446565,5.40500345211,4.61740597881,5.25135333911,5.31105982431,5.74790411187,4.62237132237,4.15977422575,5.06114780139,7.33659861345,7.33659861345,7.33659861345,7.33659861343,7.33659861343,6.41589933095,5.84761343215,7.40245242392,7.40245242392,7.40245242352,7.40245242372,7.40245242362,7.40245242362,7.40245242346,7.40245242346,7.40245242376,7.402452423717,7.402452423717,7.40245242336,7.40245242376,5.79737508976,6.82247794399,7.40245242319,7.40245242299,7.40245242299,7.40245242299,7.10986549859,7.40245242299,7.40245242299,7.40245242299,7.40245242289,7.40245242259,6.23575396449,5.69029728922,7.40245242382,7.40245242322,6.63928971582,7.40245242342,7.40245242349,7.40245242349,7.40245242352,7.40245242342,7.40245242342,6.01055479532,5.15667512234,7.40245242338,7.40245242338,6.54646551418,7.40245242347,7.40245242347,7.40245242348,7.40245242348,6.705853708602,7.402452423302,7.402452423202,7.402452423202,7.402452423202,7.402452423202,7.402452423222,7.402452423222,7.402452423202,7.402452423302,7.402452423302,7.40245242337,7.40245242337,7.1133364265,7.40245242338,7.40245242338,7.40245242348,6.94361839688,7.40245242347,6.68645182144,7.40245242387,7.40245242381,7.40245242381,7.40245242387,7.40245242387,7.40245242387,7.40245242367,7.40245242387,6.51695373234,4.87980524542,7.40245242351,7.40245242351,7.40245242351,7.40245242351,7.40245242351,7.40245242351,7.40245242352,7.40245242342,7.402452423543,7.402452423543,7.40245242352,7.40245242361,7.40245242361,7.08297548621,6.86429551932,6.98066807542,6.21097950976,6.07497649146,5.29664305286,6.83662054092,7.40245242302,7.40245242302,7.40245242302,7.40245242302,7.40245242322,7.98414040092,7.94574082922,7.36248416762,7.42523825239,8.53892025209,5.53099902689,5.75792925902,4.4788525861
"t137",3.0608877053,4.61537741206,4.61537741206,2.57854755416,2.49332870586,2.57854755415,0,0.0835460089,1.54164677243,1.54164677243,1.54164677243,1.5416467725,1.54164677242,1.54164677242,1.54164677242,2.7131356406,2.7131356411,2.7131356411,2.3983944656,5.40500345206,4.61740597876,5.25135333906,5.31105982426,5.74790411182,4.62237132232,4.1597742257,5.06114780134,7.3365986134,7.3365986134,7.3365986134,7.33659861338,7.33659861338,6.4158993309,5.8476134321,7.40245242387,7.40245242387,7.40245242347,7.40245242367,7.40245242357,7.40245242357,7.40245242341,7.40245242341,7.40245242371,7.402452423667,7.402452423667,7.40245242331,7.40245242371,5.79737508971,6.82247794394,7.40245242314,7.40245242294,7.40245242294,7.40245242294,7.10986549854,7.40245242294,7.40245242294,7.40245242294,7.40245242284,7.40245242254,6.23575396444,5.69029728917,7.40245242377,7.40245242317,6.63928971577,7.40245242337,7.40245242344,7.40245242344,7.40245242347,7.40245242337,7.40245242337,6.01055479527,5.15667512229,7.40245242333,7.40245242333,6.54646551413,7.40245242342,7.40245242342,7.40245242343,7.40245242343,6.705853708552,7.402452423252,7.402452423152,7.402452423152,7.402452423152,7.402452423152,7.402452423172,7.402452423172,7.402452423152,7.402452423252,7.402452423252,7.40245242332,7.40245242332,7.11333642645,7.40245242333,7.40245242333,7.40245242343,6.94361839683,7.40245242342,6.68645182139,7.40245242382,7.40245242376,7.40245242376,7.40245242382,7.40245242382,7.40245242382,7.40245242362,7.40245242382,6.51695373229,4.87980524537,7.40245242346,7.40245242346,7.40245242346,7.40245242346,7.40245242346,7.40245242346,7.40245242347,7.40245242337,7.402452423493,7.402452423493,7.40245242347,7.40245242356,7.40245242356,7.08297548616,6.86429551927,6.98066807537,6.21097950971,6.07497649141,5.29664305281,6.83662054087,7.40245242297,7.40245242297,7.40245242297,7.40245242297,7.40245242317,7.98414040087,7.94574082917,7.36248416757,7.42523825234,8.53892025204,5.53099902684,5.75792925897,4.47885258605
"t138",3.0608877053,4.61537741206,4.61537741206,2.57854755416,2.49332870586,2.57854755415,0.0835460089,0,1.54164677243,1.54164677243,1.54164677243,1.5416467725,1.54164677242,1.54164677242,1.54164677242,2.7131356406,2.7131356411,2.7131356411,2.3983944656,5.40500345206,4.61740597876,5.25135333906,5.31105982426,5.74790411182,4.62237132232,4.1597742257,5.06114780134,7.3365986134,7.3365986134,7.3365986134,7.33659861338,7.33659861338,6.4158993309,5.8476134321,7.40245242387,7.40245242387,7.40245242347,7.40245242367,7.40245242357,7.40245242357,7.40245242341,7.40245242341,7.40245242371,7.402452423667,7.402452423667,7.40245242331,7.40245242371,5.79737508971,6.82247794394,7.40245242314,7.40245242294,7.40245242294,7.40245242294,7.10986549854,7.40245242294,7.40245242294,7.40245242294,7.40245242284,7.40245242254,6.23575396444,5.69029728917,7.40245242377,7.40245242317,6.63928971577,7.40245242337,7.40245242344,7.40245242344,7.40245242347,7.40245242337,7.40245242337,6.01055479527,5.15667512229,7.40245242333,7.40245242333,6.54646551413,7.40245242342,7.40245242342,7.40245242343,7.40245242343,6.705853708552,7.402452423252,7.402452423152,7.402452423152,7.402452423152,7.402452423152,7.402452423172,7.402452423172,7.402452423152,7.402452423252,7.402452423252,7.40245242332,7.40245242332,7.11333642645,7.40245242333,7.40245242333,7.40245242343,6.94361839683,7.40245242342,6.68645182139,7.40245242382,7.40245242376,7.40245242376,7.40245242382,7.40245242382,7.40245242382,7.40245242362,7.40245242382,6.51695373229,4.87980524537,7.40245242346,7.40245242346,7.40245242346,7.40245242346,7.40245242346,7.40245242346,7.40245242347,7.40245242337,7.402452423493,7.402452423493,7.40245242347,7.40245242356,7.40245242356,7.08297548616,6.86429551927,6.98066807537,6.21097950971,6.07497649141,5.29664305281,6.83662054087,7.40245242297,7.40245242297,7.40245242297,7.40245242297,7.40245242317,7.98414040087,7.94574082917,7.36248416757,7.42523825234,8.53892025204,5.53099902684,5.75792925897,4.47885258605
"t63",3.06088770523,4.61537741199,4.61537741199,2.57854755409,2.49332870579,2.57854755408,1.54164677243,1.54164677243,0,1.2589189446,1.2589189446,1.39128332433,1.42095835241,1.42095835241,1.42095835241,2.71313564053,2.71313564103,2.71313564103,2.39839446553,5.40500345199,4.61740597869,5.25135333899,5.31105982419,5.74790411175,4.62237132225,4.15977422563,5.06114780127,7.33659861333,7.33659861333,7.33659861333,7.33659861331,7.33659861331,6.41589933083,5.84761343203,7.4024524238,7.4024524238,7.4024524234,7.4024524236,7.4024524235,7.4024524235,7.40245242334,7.40245242334,7.40245242364,7.402452423597,7.402452423597,7.40245242324,7.40245242364,5.79737508964,6.82247794387,7.40245242307,7.40245242287,7.40245242287,7.40245242287,7.10986549847,7.40245242287,7.40245242287,7.40245242287,7.40245242277,7.40245242247,6.23575396437,5.6902972891,7.4024524237,7.4024524231,6.6392897157,7.4024524233,7.40245242337,7.40245242337,7.4024524234,7.4024524233,7.4024524233,6.0105547952,5.15667512222,7.40245242326,7.40245242326,6.54646551406,7.40245242335,7.40245242335,7.40245242336,7.40245242336,6.705853708482,7.402452423182,7.402452423082,7.402452423082,7.402452423082,7.402452423082,7.402452423102,7.402452423102,7.402452423082,7.402452423182,7.402452423182,7.40245242325,7.40245242325,7.11333642638,7.40245242326,7.40245242326,7.40245242336,6.94361839676,7.40245242335,6.68645182132,7.40245242375,7.40245242369,7.40245242369,7.40245242375,7.40245242375,7.40245242375,7.40245242355,7.40245242375,6.51695373222,4.8798052453,7.40245242339,7.40245242339,7.40245242339,7.40245242339,7.40245242339,7.40245242339,7.4024524234,7.4024524233,7.402452423423,7.402452423423,7.4024524234,7.40245242349,7.40245242349,7.08297548609,6.8642955192,6.9806680753,6.21097950964,6.07497649134,5.29664305274,6.8366205408,7.4024524229,7.4024524229,7.4024524229,7.4024524229,7.4024524231,7.9841404008,7.9457408291,7.3624841675,7.42523825227,8.53892025197,5.53099902677,5.7579292589,4.47885258598
"t83",3.06088770523,4.61537741199,4.61537741199,2.57854755409,2.49332870579,2.57854755408,1.54164677243,1.54164677243,1.2589189446,0,0.8427901284,1.39128332433,1.42095835241,1.42095835241,1.42095835241,2.71313564053,2.71313564103,2.71313564103,2.39839446553,5.40500345199,4.61740597869,5.25135333899,5.31105982419,5.74790411175,4.62237132225,4.15977422563,5.06114780127,7.33659861333,7.33659861333,7.33659861333,7.33659861331,7.33659861331,6.41589933083,5.84761343203,7.4024524238,7.4024524238,7.4024524234,7.4024524236,7.4024524235,7.4024524235,7.40245242334,7.40245242334,7.40245242364,7.402452423597,7.402452423597,7.40245242324,7.40245242364,5.79737508964,6.82247794387,7.40245242307,7.40245242287,7.40245242287,7.40245242287,7.10986549847,7.40245242287,7.40245242287,7.40245242287,7.40245242277,7.40245242247,6.23575396437,5.6902972891,7.4024524237,7.4024524231,6.6392897157,7.4024524233,7.40245242337,7.40245242337,7.4024524234,7.4024524233,7.4024524233,6.0105547952,5.15667512222,7.40245242326,7.40245242326,6.54646551406,7.40245242335,7.40245242335,7.40245242336,7.40245242336,6.705853708482,7.402452423182,7.402452423082,7.402452423082,7.402452423082,7.402452423082,7.402452423102,7.402452423102,7.402452423082,7.402452423182,7.402452423182,7.40245242325,7.40245242325,7.11333642638,7.40245242326,7.40245242326,7.40245242336,6.94361839676,7.40245242335,6.68645182132,7.40245242375,7.40245242369,7.40245242369,7.40245242375,7.40245242375,7.40245242375,7.40245242355,7.40245242375,6.51695373222,4.8798052453,7.40245242339,7.40245242339,7.40245242339,7.40245242339,7.40245242339,7.40245242339,7.4024524234,7.4024524233,7.402452423423,7.402452423423,7.4024524234,7.40245242349,7.40245242349,7.08297548609,6.8642955192,6.9806680753,6.21097950964,6.07497649134,5.29664305274,6.8366205408,7.4024524229,7.4024524229,7.4024524229,7.4024524229,7.4024524231,7.9841404008,7.9457408291,7.3624841675,7.42523825227,8.53892025197,5.53099902677,5.7579292589,4.47885258598
