,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded,logit_eigenvecs_full_tree,logit_umap_full_tree,logit_autoencoded_full_tree,xgb_eigenvecs_full_tree,xgb_umap_full_tree,xgb_autoencoded_full_tree,EV Model,Missing Type
count,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10,10
unique,1,,,,,,,,,,,,,,,,1,1
top,my_apm_data,,,,,,,,,,,,,,,,my_apm_data,mcar
freq,10,,,,,,,,,,,,,,,,10,10
mean,,0.38410987561884324,0.4277724541725699,0.3295494775458961,0.4464424683028074,0.4645542576835167,0.449025348293634,0.40744075777201366,0.41410318742806923,0.4152026688526648,0.4397870404877654,0.37857635711358173,0.3986331816967361,0.39784486001925873,0.40417902315105636,0.4352786289435137,,
std,,0.12830246767857142,0.138533238357026,0.10691240210633886,0.12893249184132402,0.13264914924142632,0.14053419561516492,0.12571335487760413,0.1533809470512794,0.12097517880869457,0.13754898707234253,0.12043815224093492,0.10373399019312507,0.1302343249571749,0.11766184960373025,0.09884901015438474,,
min,,0.14548327769575503,0.1534103632527855,0.14989717999570215,0.17840096851512738,0.2229191021472899,0.12829327361530513,0.19762865645218586,0.13410634487908876,0.17395094238412212,0.1831178820786456,0.1354672858219668,0.13168234204819573,0.14011734737436338,0.1553225666007621,0.25525561976893885,,
25%,,0.3074796656470172,0.36915450804621475,0.25895877849002846,0.37466117052969705,0.39107960637828276,0.41003167747364944,0.35991864936684576,0.3414087340324505,0.369222731665492,0.3710047682976543,0.31960084899329716,0.3888712083769874,0.3525182905096342,0.3644687550685121,0.3847130808250331,,
50%,,0.37050327788248877,0.4201105384048939,0.33029745989304815,0.4811720894672203,0.4701989532486665,0.4450908548707132,0.38477054918662656,0.3721967633718333,0.4052578655680672,0.41877465795851654,0.3834165034291263,0.41004364203959026,0.38732933496986693,0.39955192595167144,0.4243166156326156,,
75%,,0.5020315291691893,0.4907004271412233,0.37741228070175437,0.5105808032613731,0.5589819550450327,0.5106863465361757,0.45421620050276623,0.5277693780500798,0.45656663412144205,0.5078799580560124,0.46621705451462303,0.44108437762646935,0.4480455967084561,0.4744835511117301,0.49064499536844236,,
max,,0.5459423491604343,0.6421494520653346,0.49837331914731287,0.6242294624748943,0.6672148197855468,0.6455500875267519,0.6078358351887764,0.6388130242828699,0.6082435754381426,0.670652766411183,0.5329788541137226,0.5106087399190847,0.6566177668043345,0.5816267709394931,0.5799008072537484,,
