"accepted_species","I1.1/1"
"t19","1"
"t20","1"
"t24","1"
"t25","1"
"t73","0"
"t78","0"
"t79","1"
"t58","1"
"t59","0"
"t99","1"
"t100","1"
"t64","1"
"t49","1"
"t50","0"
"t13","1"
"t33","1"
"t34",NA
"t35","1"
"t37","1"
"t38","1"
"t21","0"
"t16","1"
"t17","0"
"t26","0"
"t27","0"
"t2","0"
"t44","1"
"t45","0"
"t46","0"
"t47","0"
"t4","1"
"t70","1"
"t71","1"
"t69","0"
"t1","0"
"t5","0"
"t22",NA
"t23","1"
"t7","1"
"t95","0"
"t96","0"
"t55","0"
"t8","0"
"t9",NA
"t3","0"
"t80","1"
"t81","0"
"t62","0"
"t63","1"
"t31","0"
"t76","0"
"t77",NA
"t56","0"
"t14","1"
"t15","1"
"t42","1"
"t43","1"
"t53","0"
"t91","0"
"t92","1"
"t28","1"
"t48","1"
"t72","1"
"t87","0"
"t88","1"
"t6",NA
"t86","0"
"t89","0"
"t90","0"
"t41","0"
"t93","0"
"t94","0"
"t65","1"
"t66","1"
"t18",NA
"t32","1"
"t84","1"
"t85","1"
"t60","1"
"t61","1"
"t40",NA
"t36","1"
"t54","1"
"t97","1"
"t98",NA
"t51","1"
"t52",NA
"t11","0"
"t12","0"
"t10","0"
"t29","1"
"t30","1"
"t74","1"
"t75","0"
"t57",NA
"t67","0"
"t68","0"
"t39","0"
"t82","0"
"t83","0"
