"accepted_species","traits"
"t12",0
"t19",0
"t23",0
"t24",0
"t27",0
"t28",0
"t42",1
"t48",1
"t54",1
"t55",1
"t57",0
"t58",NA
"t59",1
"t67",1
"t68",0
"t71",1
"t75",0
"t76",1
"t77",1
"t81",0
"t83",0
"t84",0
"t85",1
"t87",NA
"t88",1
"t91",0
"t92",0
"t98",0
"t99",NA
"t100",1
"t101",1
"t105",1
"t106",0
"t107",1
"t108",NA
"t110",NA
"t111",0
"t113",0
"t114",1
"t115",0
"t116",0
"t117",1
"t118",0
"t119",1
"t120",1
"t121",NA
"t123",1
"t124",NA
"t125",1
"t126",0
"t127",NA
"t128",1
"t129",1
"t131",0
"t132",1
"t133",1
"t134",1
"t136",1
"t137",1
"t138",1
"t139",NA
"t140",0
"t141",1
"t142",1
"t143",1
"t144",1
"t145",1
"t146",1
"t147",1
"t148",1
"t149",0
"t150",0
"t151",1
"t152",1
"t153",1
"t154",1
"t155",1
"t156",1
"t157",1
"t158",1
"t159",1
"t160",1
"t161",1
"t162",1
"t163",1
"t164",1
"t165",1
"t166",1
"t167",1
"t168",1
"t169",0
"t170",0
"t171",1
"t172",1
"t173",1
"t174",1
"t175",1
"t176",1
"t177",NA
"t178",1
