accepted_species,estimate
Alstonia_actinophylla,-0.24949425
Coprosma_repens,-0.2598627
Faramea_luteovirens,0.74784154
Galium_odoratum,-0.2598627
Galium_tinctorium,-0.2598627
Ixora_pendula,0.07952035
Plumeria_alba,0.043472473
Psychotria_suterella,0.74104685
Randia_thurberi,0.3151833
Vinca_minor,-0.24949425
