"","t38","t39","t58","t59","t136","t137","t132","t133","t49","t150","t151","t105","t89","t24","t155","t156","t82","t83","t79","t120","t121","t111","t100","t67","t34","t153","t154","t126","t127","t106","t90","t96","t146","t147","t124","t125","t138","t139","t97","t152","t161","t162","t115","t101","t98","t77","t78","t64","t65","t63","t68","t69","t54","t53","t118","t119","t117","t148","t149","t123","t94","t165","t166","t86","t21","t17","t12","t36","t130","t131","t84","t40","t116","t134","t135","t102","t142","t143","t128","t129","t35","t29","t37","t41","t42","t109","t110","t47","t48","t33","t18","t30","t31","t8","t60","t113","t114","t70","t71","t23","t16","t19","t20","t87","t88","t50","t66","t140","t141","t91","t51","t52","t57","t61","t99","t157","t158","t144","t145","t92","t93","t56","t85","t163","t164","t122","t103","t104","t95","t43","t25","t4","t7","t26","t75","t76","t44","t45","t46","t11","t28","t80","t81","t72","t73","t55","t32","t27","t62","t74","t107","t108","t159","t160","t112","t22","t15","t13","t14","t6","t9","t10","t5","t3","t1","t2"
"t38",0,1.5338708708,2.2919961279,3.5340691249,3.5340691249,3.5340691249,3.5340691249,3.5340691249,3.5340691255,5.9528428047,5.9528428047,5.9528428047,5.698531433,2.8717569107,5.89569496745,5.95284280489,5.95284280479,5.95284280479,5.95284280479,5.7250316727,5.9528428048,5.55653983099,5.95284280469,5.95284280439,5.19388073559,5.95284280499,5.95284280499,5.95284280486,5.95284280486,5.95284280496,5.95284280489,5.95284280473,5.95284280483,5.95284280483,5.95284280483,5.95284280483,5.95284280533,5.95284280533,5.95284280523,5.95284280535,5.95284280537,5.95284280537,5.95284280525,5.95284280534,5.95284280533,5.0857527419,5.95284280473,4.83090526776,5.95284280473,5.598706480096,5.163591882396,5.728900141796,5.952842804696,5.95284280483,5.95284280507,5.95284280507,5.95284280509,5.95284280501,5.95284280501,5.95284280511,5.95284280509,5.952842805067,5.952842805067,5.95284280509,4.01623671769,3.1716434429,3.3553290211,6.82963058812,7.74271491637,7.77458717147,7.77458717147,7.77458717137,7.77458717262,7.77458717262,7.77458717262,7.77458717211,7.77458717211,7.77458717211,7.77458717212,7.77458717212,7.77458717172,5.8018761657,5.77141053207,7.57100626911,7.77458717211,7.7745871717,7.7745871717,7.7745871724,6.11982016714,6.8827332677,4.4976777648,7.7745871716,5.1491381062,4.9427316926,13.8090925543,13.5440438397,13.8090925541,13.80909255412,13.18588165642,11.5188412093,13.5540509771,11.3934337246,12.2905363436,13.8090925537,13.8090925537,12.7658219856,13.8090925541,13.8090925536,13.8090925536,13.8090925537,13.0217025184,12.7188834291,13.8090925534,12.9495835525,13.8090925536,13.8090925536,13.8090925536,13.8090925536,13.8090925536,13.5367346274,13.8090925536,13.0245869233,13.8090925538,13.80909255394,13.80909255394,13.8090925539,13.80909255391,13.80909255391,13.8090925539,13.1053437579,11.9037838505,7.0261248478,8.82421742891,11.87846504961,13.809092554124,13.591212253224,12.810254234424,12.43535528164,13.80909255444,10.24965794299,11.91585569934,13.27693721784,13.46094657604,13.80909255374,13.08687373654,12.34096204595,11.39326593682,12.26160278965,13.80909255345,13.80909255355,13.80909255355,13.80909255355,13.80909255359,13.80909255359,13.70184203349,13.80909255349,11.90641366629,10.85640654891,12.46773842591,9.18954692804,9.13273843564,8.78408819624,7.88633209431,9.079881295,7.4210633261,7.7732263605
"t39",1.5338708708,0,2.2587970895,3.5008700865,3.5008700865,3.5008700865,3.5008700865,3.5008700865,3.5008700871,5.9196437663,5.9196437663,5.9196437663,5.6653323946,2.8385578723,5.86249592905,5.91964376649,5.91964376639,5.91964376639,5.91964376639,5.6918326343,5.9196437664,5.52334079259,5.91964376629,5.91964376599,5.16068169719,5.91964376659,5.91964376659,5.91964376646,5.91964376646,5.91964376656,5.91964376649,5.91964376633,5.91964376643,5.91964376643,5.91964376643,5.91964376643,5.91964376693,5.91964376693,5.91964376683,5.91964376695,5.91964376697,5.91964376697,5.91964376685,5.91964376694,5.91964376693,5.0525537035,5.91964376633,4.79770622936,5.91964376633,5.565507441696,5.130392843996,5.695701103396,5.919643766296,5.91964376643,5.91964376667,5.91964376667,5.91964376669,5.91964376661,5.91964376661,5.91964376671,5.91964376669,5.919643766667,5.919643766667,5.91964376669,3.98303767929,3.1384444045,3.3221299827,6.79643154972,7.70951587797,7.74138813307,7.74138813307,7.74138813297,7.74138813422,7.74138813422,7.74138813422,7.74138813371,7.74138813371,7.74138813371,7.74138813372,7.74138813372,7.74138813332,5.7686771273,5.73821149367,7.53780723071,7.74138813371,7.7413881333,7.7413881333,7.741388134,6.08662112874,6.8495342293,4.4644787264,7.7413881332,5.1159390678,4.9095326542,13.7758935159,13.5108448013,13.7758935157,13.77589351572,13.15268261802,11.4856421709,13.5208519387,11.3602346862,12.2573373052,13.7758935153,13.7758935153,12.7326229472,13.7758935157,13.7758935152,13.7758935152,13.7758935153,12.98850348,12.6856843907,13.775893515,12.9163845141,13.7758935152,13.7758935152,13.7758935152,13.7758935152,13.7758935152,13.503535589,13.7758935152,12.9913878849,13.7758935154,13.77589351554,13.77589351554,13.7758935155,13.77589351551,13.77589351551,13.7758935155,13.0721447195,11.8705848121,6.9929258094,8.79101839051,11.84526601121,13.775893515724,13.558013214824,12.777055196024,12.40215624324,13.77589351604,10.21645890459,11.88265666094,13.24373817944,13.42774753764,13.77589351534,13.05367469814,12.30776300755,11.36006689842,12.22840375125,13.77589351505,13.77589351515,13.77589351515,13.77589351515,13.77589351519,13.77589351519,13.66864299509,13.77589351509,11.87321462789,10.82320751051,12.43453938751,9.15634788964,9.09953939724,8.75088915784,7.85313305591,9.0466822566,7.3878642877,7.7400273221
"t58",2.2919961279,2.2587970895,0,1.571560995,2.7861861916,2.7861861916,2.7861861916,2.7861861916,2.7861861922,6.0282116082,6.0282116082,6.0282116082,5.7739002365,2.9471257142,5.97106377095,6.02821160839,6.02821160829,6.02821160829,6.02821160829,5.8004004762,6.0282116083,5.63190863449,6.02821160819,6.02821160789,5.26924953909,6.02821160849,6.02821160849,6.02821160836,6.02821160836,6.02821160846,6.02821160839,6.02821160823,6.02821160833,6.02821160833,6.02821160833,6.02821160833,6.02821160883,6.02821160883,6.02821160873,6.02821160885,6.02821160887,6.02821160887,6.02821160875,6.02821160884,6.02821160883,5.1611215454,6.02821160823,4.90627407126,6.02821160823,5.674075283596,5.238960685896,5.804268945296,6.028211608196,6.02821160833,6.02821160857,6.02821160857,6.02821160859,6.02821160851,6.02821160851,6.02821160861,6.02821160859,6.028211608567,6.028211608567,6.02821160859,4.09160552119,3.2470122464,3.4306978246,6.90499939162,7.81808371987,7.84995597497,7.84995597497,7.84995597487,7.84995597612,7.84995597612,7.84995597612,7.84995597561,7.84995597561,7.84995597561,7.84995597562,7.84995597562,7.84995597522,5.8772449692,5.84677933557,7.64637507261,7.84995597561,7.8499559752,7.8499559752,7.8499559759,6.19518897064,6.9581020712,4.5730465683,7.8499559751,5.2245069097,5.0181004961,13.8844613578,13.6194126432,13.8844613576,13.88446135762,13.26125045992,11.5942100128,13.6294197806,11.4688025281,12.3659051471,13.8844613572,13.8844613572,12.8411907891,13.8844613576,13.8844613571,13.8844613571,13.8844613572,13.0970713219,12.7942522326,13.8844613569,13.024952356,13.8844613571,13.8844613571,13.8844613571,13.8844613571,13.8844613571,13.6121034309,13.8844613571,13.0999557268,13.8844613573,13.88446135744,13.88446135744,13.8844613574,13.88446135741,13.88446135741,13.8844613574,13.1807125614,11.979152654,7.1014936513,8.89958623241,11.95383385311,13.884461357624,13.666581056724,12.885623037924,12.51072408514,13.88446135794,10.32502674649,11.99122450284,13.35230602134,13.53631537954,13.88446135724,13.16224254004,12.41633084945,11.46863474032,12.33697159315,13.88446135695,13.88446135705,13.88446135705,13.88446135705,13.88446135709,13.88446135709,13.77721083699,13.88446135699,11.98178246979,10.93177535241,12.54310722941,9.26491573154,9.20810723914,8.85945699974,7.96170089781,9.1552500985,7.4964321296,7.848595164
"t59",3.5340691249,3.5008700865,1.571560995,0,4.0282591886,4.0282591886,4.0282591886,4.0282591886,4.0282591892,7.2702846052,7.2702846052,7.2702846052,7.0159732335,4.1891987112,7.21313676795,7.27028460539,7.27028460529,7.27028460529,7.27028460529,7.0424734732,7.2702846053,6.87398163149,7.27028460519,7.27028460489,6.51132253609,7.27028460549,7.27028460549,7.27028460536,7.27028460536,7.27028460546,7.27028460539,7.27028460523,7.27028460533,7.27028460533,7.27028460533,7.27028460533,7.27028460583,7.27028460583,7.27028460573,7.27028460585,7.27028460587,7.27028460587,7.27028460575,7.27028460584,7.27028460583,6.4031945424,7.27028460523,6.14834706826,7.27028460523,6.916148280596,6.481033682896,7.046341942296,7.270284605196,7.27028460533,7.27028460557,7.27028460557,7.27028460559,7.27028460551,7.27028460551,7.27028460561,7.27028460559,7.270284605567,7.270284605567,7.27028460559,5.33367851819,4.4890852434,4.6727708216,8.14707238862,9.06015671687,9.09202897197,9.09202897197,9.09202897187,9.09202897312,9.09202897312,9.09202897312,9.09202897261,9.09202897261,9.09202897261,9.09202897262,9.09202897262,9.09202897222,7.1193179662,7.08885233257,8.88844806961,9.09202897261,9.0920289722,9.0920289722,9.0920289729,7.43726196764,8.2001750682,5.8151195653,9.0920289721,6.4665799067,6.2601734931,15.1265343548,14.8614856402,15.1265343546,15.12653435462,14.50332345692,12.8362830098,14.8714927776,12.7108755251,13.6079781441,15.1265343542,15.1265343542,14.0832637861,15.1265343546,15.1265343541,15.1265343541,15.1265343542,14.3391443189,14.0363252296,15.1265343539,14.267025353,15.1265343541,15.1265343541,15.1265343541,15.1265343541,15.1265343541,14.8541764279,15.1265343541,14.3420287238,15.1265343543,15.12653435444,15.12653435444,15.1265343544,15.12653435441,15.12653435441,15.1265343544,14.4227855584,13.221225651,8.3435666483,10.14165922941,13.19590685011,15.126534354624,14.908654053724,14.127696034924,13.75279708214,15.12653435494,11.56709974349,13.23329749984,14.59437901834,14.77838837654,15.12653435424,14.40431553704,13.65840384645,12.71070773732,13.57904459015,15.12653435395,15.12653435405,15.12653435405,15.12653435405,15.12653435409,15.12653435409,15.01928383399,15.12653435399,13.22385546679,12.17384834941,13.78518022641,10.50698872854,10.45018023614,10.10152999674,9.20377389481,10.3973230955,8.7385051266,9.090668161
"t136",3.5340691249,3.5008700865,2.7861861916,4.0282591886,0,0.386427293,0.8809813208,0.8809813208,3.3002632314,7.2702846052,7.2702846052,7.2702846052,7.0159732335,4.1891987112,7.21313676795,7.27028460539,7.27028460529,7.27028460529,7.27028460529,7.0424734732,7.2702846053,6.87398163149,7.27028460519,7.27028460489,6.51132253609,7.27028460549,7.27028460549,7.27028460536,7.27028460536,7.27028460546,7.27028460539,7.27028460523,7.27028460533,7.27028460533,7.27028460533,7.27028460533,7.27028460583,7.27028460583,7.27028460573,7.27028460585,7.27028460587,7.27028460587,7.27028460575,7.27028460584,7.27028460583,6.4031945424,7.27028460523,6.14834706826,7.27028460523,6.916148280596,6.481033682896,7.046341942296,7.270284605196,7.27028460533,7.27028460557,7.27028460557,7.27028460559,7.27028460551,7.27028460551,7.27028460561,7.27028460559,7.270284605567,7.270284605567,7.27028460559,5.33367851819,4.4890852434,4.6727708216,8.14707238862,9.06015671687,9.09202897197,9.09202897197,9.09202897187,9.09202897312,9.09202897312,9.09202897312,9.09202897261,9.09202897261,9.09202897261,9.09202897262,9.09202897262,9.09202897222,7.1193179662,7.08885233257,8.88844806961,9.09202897261,9.0920289722,9.0920289722,9.0920289729,7.43726196764,8.2001750682,5.8151195653,9.0920289721,6.4665799067,6.2601734931,15.1265343548,14.8614856402,15.1265343546,15.12653435462,14.50332345692,12.8362830098,14.8714927776,12.7108755251,13.6079781441,15.1265343542,15.1265343542,14.0832637861,15.1265343546,15.1265343541,15.1265343541,15.1265343542,14.3391443189,14.0363252296,15.1265343539,14.267025353,15.1265343541,15.1265343541,15.1265343541,15.1265343541,15.1265343541,14.8541764279,15.1265343541,14.3420287238,15.1265343543,15.12653435444,15.12653435444,15.1265343544,15.12653435441,15.12653435441,15.1265343544,14.4227855584,13.221225651,8.3435666483,10.14165922941,13.19590685011,15.126534354624,14.908654053724,14.127696034924,13.75279708214,15.12653435494,11.56709974349,13.23329749984,14.59437901834,14.77838837654,15.12653435424,14.40431553704,13.65840384645,12.71070773732,13.57904459015,15.12653435395,15.12653435405,15.12653435405,15.12653435405,15.12653435409,15.12653435409,15.01928383399,15.12653435399,13.22385546679,12.17384834941,13.78518022641,10.50698872854,10.45018023614,10.10152999674,9.20377389481,10.3973230955,8.7385051266,9.090668161
"t137",3.5340691249,3.5008700865,2.7861861916,4.0282591886,0.386427293,0,0.8809813208,0.8809813208,3.3002632314,7.2702846052,7.2702846052,7.2702846052,7.0159732335,4.1891987112,7.21313676795,7.27028460539,7.27028460529,7.27028460529,7.27028460529,7.0424734732,7.2702846053,6.87398163149,7.27028460519,7.27028460489,6.51132253609,7.27028460549,7.27028460549,7.27028460536,7.27028460536,7.27028460546,7.27028460539,7.27028460523,7.27028460533,7.27028460533,7.27028460533,7.27028460533,7.27028460583,7.27028460583,7.27028460573,7.27028460585,7.27028460587,7.27028460587,7.27028460575,7.27028460584,7.27028460583,6.4031945424,7.27028460523,6.14834706826,7.27028460523,6.916148280596,6.481033682896,7.046341942296,7.270284605196,7.27028460533,7.27028460557,7.27028460557,7.27028460559,7.27028460551,7.27028460551,7.27028460561,7.27028460559,7.270284605567,7.270284605567,7.27028460559,5.33367851819,4.4890852434,4.6727708216,8.14707238862,9.06015671687,9.09202897197,9.09202897197,9.09202897187,9.09202897312,9.09202897312,9.09202897312,9.09202897261,9.09202897261,9.09202897261,9.09202897262,9.09202897262,9.09202897222,7.1193179662,7.08885233257,8.88844806961,9.09202897261,9.0920289722,9.0920289722,9.0920289729,7.43726196764,8.2001750682,5.8151195653,9.0920289721,6.4665799067,6.2601734931,15.1265343548,14.8614856402,15.1265343546,15.12653435462,14.50332345692,12.8362830098,14.8714927776,12.7108755251,13.6079781441,15.1265343542,15.1265343542,14.0832637861,15.1265343546,15.1265343541,15.1265343541,15.1265343542,14.3391443189,14.0363252296,15.1265343539,14.267025353,15.1265343541,15.1265343541,15.1265343541,15.1265343541,15.1265343541,14.8541764279,15.1265343541,14.3420287238,15.1265343543,15.12653435444,15.12653435444,15.1265343544,15.12653435441,15.12653435441,15.1265343544,14.4227855584,13.221225651,8.3435666483,10.14165922941,13.19590685011,15.126534354624,14.908654053724,14.127696034924,13.75279708214,15.12653435494,11.56709974349,13.23329749984,14.59437901834,14.77838837654,15.12653435424,14.40431553704,13.65840384645,12.71070773732,13.57904459015,15.12653435395,15.12653435405,15.12653435405,15.12653435405,15.12653435409,15.12653435409,15.01928383399,15.12653435399,13.22385546679,12.17384834941,13.78518022641,10.50698872854,10.45018023614,10.10152999674,9.20377389481,10.3973230955,8.7385051266,9.090668161
"t132",3.5340691249,3.5008700865,2.7861861916,4.0282591886,0.8809813208,0.8809813208,0,0.4692944234,3.3002632314,7.2702846052,7.2702846052,7.2702846052,7.0159732335,4.1891987112,7.21313676795,7.27028460539,7.27028460529,7.27028460529,7.27028460529,7.0424734732,7.2702846053,6.87398163149,7.27028460519,7.27028460489,6.51132253609,7.27028460549,7.27028460549,7.27028460536,7.27028460536,7.27028460546,7.27028460539,7.27028460523,7.27028460533,7.27028460533,7.27028460533,7.27028460533,7.27028460583,7.27028460583,7.27028460573,7.27028460585,7.27028460587,7.27028460587,7.27028460575,7.27028460584,7.27028460583,6.4031945424,7.27028460523,6.14834706826,7.27028460523,6.916148280596,6.481033682896,7.046341942296,7.270284605196,7.27028460533,7.27028460557,7.27028460557,7.27028460559,7.27028460551,7.27028460551,7.27028460561,7.27028460559,7.270284605567,7.270284605567,7.27028460559,5.33367851819,4.4890852434,4.6727708216,8.14707238862,9.06015671687,9.09202897197,9.09202897197,9.09202897187,9.09202897312,9.09202897312,9.09202897312,9.09202897261,9.09202897261,9.09202897261,9.09202897262,9.09202897262,9.09202897222,7.1193179662,7.08885233257,8.88844806961,9.09202897261,9.0920289722,9.0920289722,9.0920289729,7.43726196764,8.2001750682,5.8151195653,9.0920289721,6.4665799067,6.2601734931,15.1265343548,14.8614856402,15.1265343546,15.12653435462,14.50332345692,12.8362830098,14.8714927776,12.7108755251,13.6079781441,15.1265343542,15.1265343542,14.0832637861,15.1265343546,15.1265343541,15.1265343541,15.1265343542,14.3391443189,14.0363252296,15.1265343539,14.267025353,15.1265343541,15.1265343541,15.1265343541,15.1265343541,15.1265343541,14.8541764279,15.1265343541,14.3420287238,15.1265343543,15.12653435444,15.12653435444,15.1265343544,15.12653435441,15.12653435441,15.1265343544,14.4227855584,13.221225651,8.3435666483,10.14165922941,13.19590685011,15.126534354624,14.908654053724,14.127696034924,13.75279708214,15.12653435494,11.56709974349,13.23329749984,14.59437901834,14.77838837654,15.12653435424,14.40431553704,13.65840384645,12.71070773732,13.57904459015,15.12653435395,15.12653435405,15.12653435405,15.12653435405,15.12653435409,15.12653435409,15.01928383399,15.12653435399,13.22385546679,12.17384834941,13.78518022641,10.50698872854,10.45018023614,10.10152999674,9.20377389481,10.3973230955,8.7385051266,9.090668161
"t133",3.5340691249,3.5008700865,2.7861861916,4.0282591886,0.8809813208,0.8809813208,0.4692944234,0,3.3002632314,7.2702846052,7.2702846052,7.2702846052,7.0159732335,4.1891987112,7.21313676795,7.27028460539,7.27028460529,7.27028460529,7.27028460529,7.0424734732,7.2702846053,6.87398163149,7.27028460519,7.27028460489,6.51132253609,7.27028460549,7.27028460549,7.27028460536,7.27028460536,7.27028460546,7.27028460539,7.27028460523,7.27028460533,7.27028460533,7.27028460533,7.27028460533,7.27028460583,7.27028460583,7.27028460573,7.27028460585,7.27028460587,7.27028460587,7.27028460575,7.27028460584,7.27028460583,6.4031945424,7.27028460523,6.14834706826,7.27028460523,6.916148280596,6.481033682896,7.046341942296,7.270284605196,7.27028460533,7.27028460557,7.27028460557,7.27028460559,7.27028460551,7.27028460551,7.27028460561,7.27028460559,7.270284605567,7.270284605567,7.27028460559,5.33367851819,4.4890852434,4.6727708216,8.14707238862,9.06015671687,9.09202897197,9.09202897197,9.09202897187,9.09202897312,9.09202897312,9.09202897312,9.09202897261,9.09202897261,9.09202897261,9.09202897262,9.09202897262,9.09202897222,7.1193179662,7.08885233257,8.88844806961,9.09202897261,9.0920289722,9.0920289722,9.0920289729,7.43726196764,8.2001750682,5.8151195653,9.0920289721,6.4665799067,6.2601734931,15.1265343548,14.8614856402,15.1265343546,15.12653435462,14.50332345692,12.8362830098,14.8714927776,12.7108755251,13.6079781441,15.1265343542,15.1265343542,14.0832637861,15.1265343546,15.1265343541,15.1265343541,15.1265343542,14.3391443189,14.0363252296,15.1265343539,14.267025353,15.1265343541,15.1265343541,15.1265343541,15.1265343541,15.1265343541,14.8541764279,15.1265343541,14.3420287238,15.1265343543,15.12653435444,15.12653435444,15.1265343544,15.12653435441,15.12653435441,15.1265343544,14.4227855584,13.221225651,8.3435666483,10.14165922941,13.19590685011,15.126534354624,14.908654053724,14.127696034924,13.75279708214,15.12653435494,11.56709974349,13.23329749984,14.59437901834,14.77838837654,15.12653435424,14.40431553704,13.65840384645,12.71070773732,13.57904459015,15.12653435395,15.12653435405,15.12653435405,15.12653435405,15.12653435409,15.12653435409,15.01928383399,15.12653435399,13.22385546679,12.17384834941,13.78518022641,10.50698872854,10.45018023614,10.10152999674,9.20377389481,10.3973230955,8.7385051266,9.090668161
"t49",3.5340691255,3.5008700871,2.7861861922,4.0282591892,3.3002632314,3.3002632314,3.3002632314,3.3002632314,0,7.2702846058,7.2702846058,7.2702846058,7.0159732341,4.1891987118,7.21313676855,7.27028460599,7.27028460589,7.27028460589,7.27028460589,7.0424734738,7.2702846059,6.87398163209,7.27028460579,7.27028460549,6.51132253669,7.27028460609,7.27028460609,7.27028460596,7.27028460596,7.27028460606,7.27028460599,7.27028460583,7.27028460593,7.27028460593,7.27028460593,7.27028460593,7.27028460643,7.27028460643,7.27028460633,7.27028460645,7.27028460647,7.27028460647,7.27028460635,7.27028460644,7.27028460643,6.403194543,7.27028460583,6.14834706886,7.27028460583,6.916148281196,6.481033683496,7.046341942896,7.270284605796,7.27028460593,7.27028460617,7.27028460617,7.27028460619,7.27028460611,7.27028460611,7.27028460621,7.27028460619,7.270284606167,7.270284606167,7.27028460619,5.33367851879,4.489085244,4.6727708222,8.14707238922,9.06015671747,9.09202897257,9.09202897257,9.09202897247,9.09202897372,9.09202897372,9.09202897372,9.09202897321,9.09202897321,9.09202897321,9.09202897322,9.09202897322,9.09202897282,7.1193179668,7.08885233317,8.88844807021,9.09202897321,9.0920289728,9.0920289728,9.0920289735,7.43726196824,8.2001750688,5.8151195659,9.0920289727,6.4665799073,6.2601734937,15.1265343554,14.8614856408,15.1265343552,15.12653435522,14.50332345752,12.8362830104,14.8714927782,12.7108755257,13.6079781447,15.1265343548,15.1265343548,14.0832637867,15.1265343552,15.1265343547,15.1265343547,15.1265343548,14.3391443195,14.0363252302,15.1265343545,14.2670253536,15.1265343547,15.1265343547,15.1265343547,15.1265343547,15.1265343547,14.8541764285,15.1265343547,14.3420287244,15.1265343549,15.12653435504,15.12653435504,15.126534355,15.12653435501,15.12653435501,15.126534355,14.422785559,13.2212256516,8.3435666489,10.14165923001,13.19590685071,15.126534355224,14.908654054324,14.127696035524,13.75279708274,15.12653435554,11.56709974409,13.23329750044,14.59437901894,14.77838837714,15.12653435484,14.40431553764,13.65840384705,12.71070773792,13.57904459075,15.12653435455,15.12653435465,15.12653435465,15.12653435465,15.12653435469,15.12653435469,15.01928383459,15.12653435459,13.22385546739,12.17384835001,13.78518022701,10.50698872914,10.45018023674,10.10152999734,9.20377389541,10.3973230961,8.7385051272,9.0906681616
"t150",5.9528428047,5.9196437663,6.0282116082,7.2702846052,7.2702846052,7.2702846052,7.2702846052,7.2702846052,7.2702846058,0,0.2771320838,0.969595744,1.3282595097,3.5823802174,6.83830419855,6.89545203599,6.89545203589,6.89545203589,6.89545203589,6.6676409038,6.8954520359,6.49914906209,6.89545203579,6.89545203549,6.13648996669,6.89545203609,6.89545203609,6.89545203596,6.89545203596,6.89545203606,6.89545203599,6.89545203583,6.89545203593,6.89545203593,6.89545203593,6.89545203593,6.89545203643,6.89545203643,6.89545203633,6.89545203645,6.89545203647,6.89545203647,6.89545203635,6.89545203644,6.89545203643,6.028361973,6.89545203583,5.77351449886,6.89545203583,6.541315711196,6.106201113496,6.671509372896,6.895452035796,6.89545203593,6.89545203617,6.89545203617,6.89545203619,6.89545203611,6.89545203611,6.89545203621,6.89545203619,6.895452036167,6.895452036167,6.89545203619,4.95884594879,4.4890852432,4.6727708214,8.14707238842,9.06015671667,9.09202897177,9.09202897177,9.09202897167,9.09202897292,9.09202897292,9.09202897292,9.09202897241,9.09202897241,9.09202897241,9.09202897242,9.09202897242,9.09202897202,7.119317966,7.08885233237,8.88844806941,9.09202897241,9.092028972,9.092028972,9.0920289727,7.43726196744,8.200175068,5.8151195651,9.0920289719,6.4665799065,6.2601734929,15.1265343546,14.86148564,15.1265343544,15.12653435442,14.50332345672,12.8362830096,14.8714927774,12.7108755249,13.6079781439,15.126534354,15.126534354,14.0832637859,15.1265343544,15.1265343539,15.1265343539,15.126534354,14.3391443187,14.0363252294,15.1265343537,14.2670253528,15.1265343539,15.1265343539,15.1265343539,15.1265343539,15.1265343539,14.8541764277,15.1265343539,14.3420287236,15.1265343541,15.12653435424,15.12653435424,15.1265343542,15.12653435421,15.12653435421,15.1265343542,14.4227855582,13.2212256508,8.3435666481,10.14165922921,13.19590684991,15.126534354424,14.908654053524,14.127696034724,13.75279708194,15.12653435474,11.56709974329,13.23329749964,14.59437901814,14.77838837634,15.12653435404,14.40431553684,13.65840384625,12.71070773712,13.57904458995,15.12653435375,15.12653435385,15.12653435385,15.12653435385,15.12653435389,15.12653435389,15.01928383379,15.12653435379,13.22385546659,12.17384834921,13.78518022621,10.50698872834,10.45018023594,10.10152999654,9.20377389461,10.3973230953,8.7385051264,9.0906681608
