,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,1100.0,1100,1100,1100,1100,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0
unique,,6,1,2,1,,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,,
freq,,200,1100,600,1100,,,,,,,,,,,,,
mean,189.9090909090909,,,,,0.11240999849749672,0.1260299165498926,0.13937092604407306,0.15324888211994758,0.15272691992419804,0.15581478598657858,0.1549447510276861,0.1538998407199424,0.13508881671127673,0.14397131518943354,0.17786143237772603,0.13721139162317125,0.13553097962507277
std,115.16254647316032,,,,,0.08356834718121928,0.09981286845648457,0.08660980358943027,0.09169983730586477,0.0929304605182476,0.10359074363452368,0.09334954611205351,0.09328093204362642,0.09586841187487002,0.09669925193417683,0.1293929665723994,0.09579567039835137,0.09621593034768208
min,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,90.0,,,,,0.03527643618688962,0.040972749832503,0.07861209095162555,0.08801157054298209,0.08688587933101147,0.07550953412406104,0.089165239458804,0.08647895958741725,0.056917658809093226,0.06786271410148963,0.07452403571766822,0.05732358228618872,0.05502337219340962
50%,182.0,,,,,0.100501011310736,0.10583076834198149,0.14718055030147084,0.16363253962214175,0.1641966606445568,0.1579961919481903,0.1684866685909811,0.1634072262524298,0.1332135646925564,0.1467050281041313,0.1689465938505758,0.13762085530621995,0.1317084909513995
75%,288.5,,,,,0.17335464379943097,0.19973417987176095,0.20739903978970498,0.2321539367245908,0.22734139021194266,0.22993241752149735,0.23318578733705647,0.23303514790709365,0.20932567707110702,0.21978740815330355,0.26723760890784887,0.21118473625583983,0.2091066892852022
max,398.0,,,,,0.4161214880125022,0.5186889312613804,0.4260667008660893,0.4792041330042198,0.434469253121164,0.7037884490859071,0.4326523377582841,0.4344465420322581,0.5799512415159188,0.5808728153359121,0.7448904091848487,0.4461156700806474,0.5387987465908352
