,phylopars_picante,phylopars_phylnn_fill_means,phylopars_linear_eigenvecs,phylopars_linear_umap,phylopars_linear_autoencoded,phylopars_xgb_eigenvecs,phylopars_xgb_umap,phylopars_xgb_autoencoded,picante_phylnn_fill_means,picante_linear_eigenvecs,picante_linear_umap,picante_linear_autoencoded,picante_xgb_eigenvecs,picante_xgb_umap,picante_xgb_autoencoded,phylnn_fill_means_linear_eigenvecs,phylnn_fill_means_linear_umap,phylnn_fill_means_linear_autoencoded,phylnn_fill_means_xgb_eigenvecs,phylnn_fill_means_xgb_umap,phylnn_fill_means_xgb_autoencoded,linear_eigenvecs_linear_umap,linear_eigenvecs_linear_autoencoded,linear_eigenvecs_xgb_eigenvecs,linear_eigenvecs_xgb_umap,linear_eigenvecs_xgb_autoencoded,linear_umap_linear_autoencoded,linear_umap_xgb_eigenvecs,linear_umap_xgb_umap,linear_umap_xgb_autoencoded,linear_autoencoded_xgb_eigenvecs,linear_autoencoded_xgb_umap,linear_autoencoded_xgb_autoencoded,xgb_eigenvecs_xgb_umap,xgb_eigenvecs_xgb_autoencoded,xgb_umap_xgb_autoencoded
stat,-1.754429568438689,-10.582252086331252,-12.629906781929282,-10.906168339091975,-13.238866146328855,-6.216216790969996,-11.274125477360988,-7.830788308394273,-10.054840773739736,-10.956188238650867,-10.098157210164727,-11.868955979640315,-5.752624275080161,-10.200211399693005,-6.913607130534542,5.217675508295853,4.02256839245754,4.2795338970127945,7.725084217074437,4.90977240478879,6.982045887476102,-2.4361350502776435,-2.7500419280502872,5.390946912677292,-0.45651242469053843,4.493864458446144,0.37287138073722953,6.438333367039721,2.047429364576947,5.837955324573269,7.349702612439693,1.7586841262071893,6.125173118768527,-5.797695019087191,-1.9103010550841877,4.041283141313075
p value,0.08245107339520195,5.8943233053839036e-18,2.3505733190550675e-22,1.1663680065420536e-18,1.2364359073339959e-23,1.2143387764248125e-08,1.8634315431771544e-19,5.519630174678504e-12,8.305943057450685e-17,9.085953640560212e-19,6.68221324986025e-17,9.785312957257841e-21,9.817465797760774e-08,4.003195618717895e-17,4.67179107146949e-10,9.978391794842027e-07,0.00011260758151659254,4.3308556845959865e-05,9.268772978934566e-12,3.5981097777667864e-06,3.372466618853151e-10,0.0166321671165499,0.007084984605433961,4.764950763532311e-07,0.6490215282873799,1.899839334422816e-05,0.7100413041216496,4.360851154103278e-09,0.04326459069626782,6.717243414033066e-08,5.7641934394443536e-11,0.08172118426007106,1.8402809935759074e-08,8.036804424526019e-08,0.058988335478199205,0.00010516705933960145
