,0,1,2,3,4,5,6,7,8,9,10,11,12
t1,-1.7264616,-1.8365548,10.458056,-2.4645622,9.519992,30.143343,10.194832,-3.2657852,23.576237,-6.3845515,-2.2371938,1.0849667,-2.4912982
t4,-0.20669341,-2.0879729,13.901065,-5.319224,4.453162,40.76582,3.5927463,-4.924873,26.608318,-9.656615,-3.2034054,-0.7506361,-4.038942
t7,-0.17237544,-3.1093068,20.657352,-7.2885756,7.216012,56.70696,6.5604243,-6.970157,38.115368,-13.669395,-5.0212436,-0.41167328,-5.835427
t45,9.376297,-3.6476018,26.5431,-8.608502,6.0086718,62.668415,1.3697892,-8.956649,36.197308,-15.355028,-6.8853183,-0.21838236,-8.843192
t46,9.342262,-3.667242,26.542599,-8.517839,6.042283,62.32516,1.6070596,-8.98542,36.2995,-15.351564,-6.8678203,-0.1566972,-8.83217
t52,9.0620365,-3.7137742,27.342392,-8.489017,5.69518,62.398613,2.4525418,-9.064105,37.093952,-15.2632475,-6.9768076,-0.27675733,-9.009659
t53,9.095083,-3.7321465,27.172462,-8.497872,5.8938646,62.65373,2.1604476,-9.060647,36.987686,-15.248522,-6.968886,-0.26521197,-9.050936
t130,11.357523,-3.808921,27.40404,-8.690362,4.852639,62.8617,-0.098513596,-9.525552,35.12375,-15.431719,-7.361675,-0.051522173,-9.666286
t131,11.356825,-3.8094425,27.407837,-8.690819,4.8508177,62.863277,-0.09842366,-9.525266,35.121933,-15.431628,-7.3608966,-0.052444186,-9.665867
t74,11.469786,-3.72807,27.476694,-8.710233,4.7849855,62.81648,-0.115537345,-9.526991,35.651424,-15.46329,-7.293504,-0.1389169,-9.6037
t75,11.414616,-3.7935002,27.579882,-8.697682,4.847396,62.739223,-0.089614,-9.489295,35.5602,-15.450118,-7.268352,-0.12490665,-9.630632
t66,11.646307,-3.6589382,26.981234,-8.497861,4.344306,60.96317,-0.17785177,-9.301187,34.286266,-15.046242,-7.1643806,-0.11645633,-9.464735
t83,11.562265,-3.7707577,27.672176,-8.714233,4.7528353,62.737064,-0.10961159,-9.5323515,35.502945,-15.402251,-7.345231,-0.1240636,-9.678775
t84,11.518486,-3.7859237,27.537998,-8.722107,4.8279963,62.79797,-0.098710716,-9.552085,35.48973,-15.42854,-7.370917,-0.088054,-9.674325
t80,11.588779,-3.70774,27.189095,-8.602107,4.521516,61.846783,-0.15803136,-9.437361,34.7521,-15.210915,-7.2682815,-0.1258752,-9.567894
t31,-0.12583804,-2.2775133,18.150978,-8.473979,2.3756704,59.61212,1.9277898,-6.3306437,42.08054,-14.395694,-3.372223,-2.2450845,-4.7537394
