"","t12","t14","t130","t131","t126","t24","t99","t100","t9","t6","t7","t128","t129","t45","t51","t93","t94","t43","t101","t102","t88","t65","t79","t80","t46","t47","t95","t96","t135","t136","t132","t127","t120","t121","t50","t97","t98","t42","t28","t33","t35","t64","t76","t111","t112","t52","t53","t23","t13","t86","t87","t133","t134","t119","t29","t81","t109","t110","t36","t115","t116","t55","t66","t71","t122","t123","t11","t8","t67","t68","t3","t5","t77","t78","t105","t106","t84","t91","t92","t22","t15","t103","t104","t10","t16","t17","t48","t49","t89","t90","t27","t72","t73","t19","t124","t125","t21","t113","t114","t75","t117","t118","t85","t1","t4","t18","t20","t25","t26","t56","t57","t34","t54","t107","t108","t63","t44","t61","t62","t74","t82","t83","t30","t40","t41","t31","t32","t37","t38","t59","t60","t69","t70","t58","t39","t2"
"t12",0,0.42297191517,3.18844417442,3.18844417442,3.18844417443,3.18844417491,3.18844417421,3.18844417421,0.8146984892,1.33709626691,3.6990192187,7.335902482476,7.335902482476,7.335902482556,6.845823831266,7.335902482466,7.335902482466,6.40524180536,7.33590248275,7.33590248275,7.3359024828,7.33590248211,7.33590248211,7.33590248211,6.62889760776,6.88738588671,7.33590248247,7.33590248247,7.335902482498,7.335902482498,7.3359024825,7.3359024825,7.30002670425,7.3359024825,7.33590248247,7.33590248257,7.33590248257,6.68050685327,6.1122567263,7.33590248221,6.77140163351,7.33590248251,7.33590248251,7.33590248251,7.33590248251,7.33590248251,7.33590248251,6.66022568391,4.48267831008,7.3359024819,7.3359024819,7.33590248218,7.33590248218,7.33590248218,7.33590248202,7.33590248212,7.33590248202,7.33590248202,7.33590248252,7.3359024815,7.3359024815,7.3359024816,7.33590248169,7.33590248166,7.33590248166,7.33590248166,5.0286607572,7.1141704054,7.3359024823,7.3359024823,3.6156351125,3.6347209113,7.33590248204,7.33590248204,7.33590248204,7.33590248204,7.16514026574,7.12217134694,7.33590248201,6.95873409524,5.63180622804,7.33590248174,7.33590248174,4.56848153914,5.4568143167,7.33590248197,7.33590248157,7.33590248157,7.3359024815,7.3359024815,7.1915229425,7.3359024819,7.3359024819,7.335902482,7.33590248207,7.33590248207,6.10716326634,7.33590248224,7.33590248224,7.33590248224,7.33590248214,7.33590248214,7.33590248214,6.1307807545,7.58143647498,9.57818872108,11.35560633722,11.35560633662,10.87854757162,11.35560633682,11.35560633682,11.35560633733,11.35560633683,11.35560633693,11.35560633693,11.35560633693,11.35560633689,11.35560633689,11.35560633689,11.02800022918,11.35560633723,11.35560633723,9.98712930742,11.35560633688,11.35560633688,11.35560633728,11.35560633728,10.53701894078,11.35560633708,11.35560633688,11.35560633688,11.07775754368,11.35560633688,11.35560633688,11.35560633698,6.77369378608
"t14",0.42297191517,0,2.94178359705,2.94178359705,2.94178359706,2.94178359754,2.94178359684,2.94178359684,0.66006005257,1.18245783028,3.54438078207,7.181264045846,7.181264045846,7.181264045926,6.691185394636,7.181264045836,7.181264045836,6.25060336873,7.18126404612,7.18126404612,7.18126404617,7.18126404548,7.18126404548,7.18126404548,6.47425917113,6.73274745008,7.18126404584,7.18126404584,7.181264045868,7.181264045868,7.18126404587,7.18126404587,7.14538826762,7.18126404587,7.18126404584,7.18126404594,7.18126404594,6.52586841664,5.95761828967,7.18126404558,6.61676319688,7.18126404588,7.18126404588,7.18126404588,7.18126404588,7.18126404588,7.18126404588,6.50558724728,4.32803987345,7.18126404527,7.18126404527,7.18126404555,7.18126404555,7.18126404555,7.18126404539,7.18126404549,7.18126404539,7.18126404539,7.18126404589,7.18126404487,7.18126404487,7.18126404497,7.18126404506,7.18126404503,7.18126404503,7.18126404503,4.87402232057,6.95953196877,7.18126404567,7.18126404567,3.46099667587,3.48008247467,7.18126404541,7.18126404541,7.18126404541,7.18126404541,7.01050182911,6.96753291031,7.18126404538,6.80409565861,5.47716779141,7.18126404511,7.18126404511,4.41384310251,5.30217588007,7.18126404534,7.18126404494,7.18126404494,7.18126404487,7.18126404487,7.03688450587,7.18126404527,7.18126404527,7.18126404537,7.18126404544,7.18126404544,5.95252482971,7.18126404561,7.18126404561,7.18126404561,7.18126404551,7.18126404551,7.18126404551,5.97614231787,7.42679803835,9.42355028445,11.20096790059,11.20096789999,10.72390913499,11.20096790019,11.20096790019,11.2009679007,11.2009679002,11.2009679003,11.2009679003,11.2009679003,11.20096790026,11.20096790026,11.20096790026,10.87336179255,11.2009679006,11.2009679006,9.83249087079,11.20096790025,11.20096790025,11.20096790065,11.20096790065,10.38238050415,11.20096790045,11.20096790025,11.20096790025,10.92311910705,11.20096790025,11.20096790025,11.20096790035,6.61905534945
"t130",3.18844417442,2.94178359705,0,0.06308008314,0.10782251631,3.33592926079,3.33592926009,3.33592926009,3.42553231182,3.94793008953,6.30985304132,9.946736305096,9.946736305096,9.946736305176,9.456657653886,9.946736305086,9.946736305086,9.01607562798,9.94673630537,9.94673630537,9.94673630542,9.94673630473,9.94673630473,9.94673630473,9.23973143038,9.49821970933,9.94673630509,9.94673630509,9.946736305118,9.946736305118,9.94673630512,9.94673630512,9.91086052687,9.94673630512,9.94673630509,9.94673630519,9.94673630519,9.29134067589,8.72309054892,9.94673630483,9.38223545613,9.94673630513,9.94673630513,9.94673630513,9.94673630513,9.94673630513,9.94673630513,9.27105950653,7.0935121327,9.94673630452,9.94673630452,9.9467363048,9.9467363048,9.9467363048,9.94673630464,9.94673630474,9.94673630464,9.94673630464,9.94673630514,9.94673630412,9.94673630412,9.94673630422,9.94673630431,9.94673630428,9.94673630428,9.94673630428,7.63949457982,9.72500422802,9.94673630492,9.94673630492,6.22646893512,6.24555473392,9.94673630466,9.94673630466,9.94673630466,9.94673630466,9.77597408836,9.73300516956,9.94673630463,9.56956791786,8.24264005066,9.94673630436,9.94673630436,7.17931536176,8.06764813932,9.94673630459,9.94673630419,9.94673630419,9.94673630412,9.94673630412,9.80235676512,9.94673630452,9.94673630452,9.94673630462,9.94673630469,9.94673630469,8.71799708896,9.94673630486,9.94673630486,9.94673630486,9.94673630476,9.94673630476,9.94673630476,8.74161457712,10.1922702976,12.1890225437,13.96644015984,13.96644015924,13.48938139424,13.96644015944,13.96644015944,13.96644015995,13.96644015945,13.96644015955,13.96644015955,13.96644015955,13.96644015951,13.96644015951,13.96644015951,13.6388340518,13.96644015985,13.96644015985,12.59796313004,13.9664401595,13.9664401595,13.9664401599,13.9664401599,13.1478527634,13.9664401597,13.9664401595,13.9664401595,13.6885913663,13.9664401595,13.9664401595,13.9664401596,9.3845276087
"t131",3.18844417442,2.94178359705,0.06308008314,0,0.10782251631,3.33592926079,3.33592926009,3.33592926009,3.42553231182,3.94793008953,6.30985304132,9.946736305096,9.946736305096,9.946736305176,9.456657653886,9.946736305086,9.946736305086,9.01607562798,9.94673630537,9.94673630537,9.94673630542,9.94673630473,9.94673630473,9.94673630473,9.23973143038,9.49821970933,9.94673630509,9.94673630509,9.946736305118,9.946736305118,9.94673630512,9.94673630512,9.91086052687,9.94673630512,9.94673630509,9.94673630519,9.94673630519,9.29134067589,8.72309054892,9.94673630483,9.38223545613,9.94673630513,9.94673630513,9.94673630513,9.94673630513,9.94673630513,9.94673630513,9.27105950653,7.0935121327,9.94673630452,9.94673630452,9.9467363048,9.9467363048,9.9467363048,9.94673630464,9.94673630474,9.94673630464,9.94673630464,9.94673630514,9.94673630412,9.94673630412,9.94673630422,9.94673630431,9.94673630428,9.94673630428,9.94673630428,7.63949457982,9.72500422802,9.94673630492,9.94673630492,6.22646893512,6.24555473392,9.94673630466,9.94673630466,9.94673630466,9.94673630466,9.77597408836,9.73300516956,9.94673630463,9.56956791786,8.24264005066,9.94673630436,9.94673630436,7.17931536176,8.06764813932,9.94673630459,9.94673630419,9.94673630419,9.94673630412,9.94673630412,9.80235676512,9.94673630452,9.94673630452,9.94673630462,9.94673630469,9.94673630469,8.71799708896,9.94673630486,9.94673630486,9.94673630486,9.94673630476,9.94673630476,9.94673630476,8.74161457712,10.1922702976,12.1890225437,13.96644015984,13.96644015924,13.48938139424,13.96644015944,13.96644015944,13.96644015995,13.96644015945,13.96644015955,13.96644015955,13.96644015955,13.96644015951,13.96644015951,13.96644015951,13.6388340518,13.96644015985,13.96644015985,12.59796313004,13.9664401595,13.9664401595,13.9664401599,13.9664401599,13.1478527634,13.9664401597,13.9664401595,13.9664401595,13.6885913663,13.9664401595,13.9664401595,13.9664401596,9.3845276087
"t126",3.18844417443,2.94178359706,0.10782251631,0.10782251631,0,3.3359292608,3.3359292601,3.3359292601,3.42553231183,3.94793008954,6.30985304133,9.946736305106,9.946736305106,9.946736305186,9.456657653896,9.946736305096,9.946736305096,9.01607562799,9.94673630538,9.94673630538,9.94673630543,9.94673630474,9.94673630474,9.94673630474,9.23973143039,9.49821970934,9.9467363051,9.9467363051,9.946736305128,9.946736305128,9.94673630513,9.94673630513,9.91086052688,9.94673630513,9.9467363051,9.9467363052,9.9467363052,9.2913406759,8.72309054893,9.94673630484,9.38223545614,9.94673630514,9.94673630514,9.94673630514,9.94673630514,9.94673630514,9.94673630514,9.27105950654,7.09351213271,9.94673630453,9.94673630453,9.94673630481,9.94673630481,9.94673630481,9.94673630465,9.94673630475,9.94673630465,9.94673630465,9.94673630515,9.94673630413,9.94673630413,9.94673630423,9.94673630432,9.94673630429,9.94673630429,9.94673630429,7.63949457983,9.72500422803,9.94673630493,9.94673630493,6.22646893513,6.24555473393,9.94673630467,9.94673630467,9.94673630467,9.94673630467,9.77597408837,9.73300516957,9.94673630464,9.56956791787,8.24264005067,9.94673630437,9.94673630437,7.17931536177,8.06764813933,9.9467363046,9.9467363042,9.9467363042,9.94673630413,9.94673630413,9.80235676513,9.94673630453,9.94673630453,9.94673630463,9.9467363047,9.9467363047,8.71799708897,9.94673630487,9.94673630487,9.94673630487,9.94673630477,9.94673630477,9.94673630477,8.74161457713,10.19227029761,12.18902254371,13.96644015985,13.96644015925,13.48938139425,13.96644015945,13.96644015945,13.96644015996,13.96644015946,13.96644015956,13.96644015956,13.96644015956,13.96644015952,13.96644015952,13.96644015952,13.63883405181,13.96644015986,13.96644015986,12.59796313005,13.96644015951,13.96644015951,13.96644015991,13.96644015991,13.14785276341,13.96644015971,13.96644015951,13.96644015951,13.68859136631,13.96644015951,13.96644015951,13.96644015961,9.38452760871
"t24",3.18844417491,2.94178359754,3.33592926079,3.33592926079,3.3359292608,0,3.2788932293,3.2788932293,3.42553231231,3.94793009002,6.30985304181,9.946736305586,9.946736305586,9.946736305666,9.456657654376,9.946736305576,9.946736305576,9.01607562847,9.94673630586,9.94673630586,9.94673630591,9.94673630522,9.94673630522,9.94673630522,9.23973143087,9.49821970982,9.94673630558,9.94673630558,9.946736305608,9.946736305608,9.94673630561,9.94673630561,9.91086052736,9.94673630561,9.94673630558,9.94673630568,9.94673630568,9.29134067638,8.72309054941,9.94673630532,9.38223545662,9.94673630562,9.94673630562,9.94673630562,9.94673630562,9.94673630562,9.94673630562,9.27105950702,7.09351213319,9.94673630501,9.94673630501,9.94673630529,9.94673630529,9.94673630529,9.94673630513,9.94673630523,9.94673630513,9.94673630513,9.94673630563,9.94673630461,9.94673630461,9.94673630471,9.9467363048,9.94673630477,9.94673630477,9.94673630477,7.63949458031,9.72500422851,9.94673630541,9.94673630541,6.22646893561,6.24555473441,9.94673630515,9.94673630515,9.94673630515,9.94673630515,9.77597408885,9.73300517005,9.94673630512,9.56956791835,8.24264005115,9.94673630485,9.94673630485,7.17931536225,8.06764813981,9.94673630508,9.94673630468,9.94673630468,9.94673630461,9.94673630461,9.80235676561,9.94673630501,9.94673630501,9.94673630511,9.94673630518,9.94673630518,8.71799708945,9.94673630535,9.94673630535,9.94673630535,9.94673630525,9.94673630525,9.94673630525,8.74161457761,10.19227029809,12.18902254419,13.96644016033,13.96644015973,13.48938139473,13.96644015993,13.96644015993,13.96644016044,13.96644015994,13.96644016004,13.96644016004,13.96644016004,13.96644016,13.96644016,13.96644016,13.63883405229,13.96644016034,13.96644016034,12.59796313053,13.96644015999,13.96644015999,13.96644016039,13.96644016039,13.14785276389,13.96644016019,13.96644015999,13.96644015999,13.68859136679,13.96644015999,13.96644015999,13.96644016009,9.38452760919
"t99",3.18844417421,2.94178359684,3.33592926009,3.33592926009,3.3359292601,3.2788932293,0,0.5645306166,3.42553231161,3.94793008932,6.30985304111,9.946736304886,9.946736304886,9.946736304966,9.456657653676,9.946736304876,9.946736304876,9.01607562777,9.94673630516,9.94673630516,9.94673630521,9.94673630452,9.94673630452,9.94673630452,9.23973143017,9.49821970912,9.94673630488,9.94673630488,9.946736304908,9.946736304908,9.94673630491,9.94673630491,9.91086052666,9.94673630491,9.94673630488,9.94673630498,9.94673630498,9.29134067568,8.72309054871,9.94673630462,9.38223545592,9.94673630492,9.94673630492,9.94673630492,9.94673630492,9.94673630492,9.94673630492,9.27105950632,7.09351213249,9.94673630431,9.94673630431,9.94673630459,9.94673630459,9.94673630459,9.94673630443,9.94673630453,9.94673630443,9.94673630443,9.94673630493,9.94673630391,9.94673630391,9.94673630401,9.9467363041,9.94673630407,9.94673630407,9.94673630407,7.63949457961,9.72500422781,9.94673630471,9.94673630471,6.22646893491,6.24555473371,9.94673630445,9.94673630445,9.94673630445,9.94673630445,9.77597408815,9.73300516935,9.94673630442,9.56956791765,8.24264005045,9.94673630415,9.94673630415,7.17931536155,8.06764813911,9.94673630438,9.94673630398,9.94673630398,9.94673630391,9.94673630391,9.80235676491,9.94673630431,9.94673630431,9.94673630441,9.94673630448,9.94673630448,8.71799708875,9.94673630465,9.94673630465,9.94673630465,9.94673630455,9.94673630455,9.94673630455,8.74161457691,10.19227029739,12.18902254349,13.96644015963,13.96644015903,13.48938139403,13.96644015923,13.96644015923,13.96644015974,13.96644015924,13.96644015934,13.96644015934,13.96644015934,13.9664401593,13.9664401593,13.9664401593,13.63883405159,13.96644015964,13.96644015964,12.59796312983,13.96644015929,13.96644015929,13.96644015969,13.96644015969,13.14785276319,13.96644015949,13.96644015929,13.96644015929,13.68859136609,13.96644015929,13.96644015929,13.96644015939,9.38452760849
"t100",3.18844417421,2.94178359684,3.33592926009,3.33592926009,3.3359292601,3.2788932293,0.5645306166,0,3.42553231161,3.94793008932,6.30985304111,9.946736304886,9.946736304886,9.946736304966,9.456657653676,9.946736304876,9.946736304876,9.01607562777,9.94673630516,9.94673630516,9.94673630521,9.94673630452,9.94673630452,9.94673630452,9.23973143017,9.49821970912,9.94673630488,9.94673630488,9.946736304908,9.946736304908,9.94673630491,9.94673630491,9.91086052666,9.94673630491,9.94673630488,9.94673630498,9.94673630498,9.29134067568,8.72309054871,9.94673630462,9.38223545592,9.94673630492,9.94673630492,9.94673630492,9.94673630492,9.94673630492,9.94673630492,9.27105950632,7.09351213249,9.94673630431,9.94673630431,9.94673630459,9.94673630459,9.94673630459,9.94673630443,9.94673630453,9.94673630443,9.94673630443,9.94673630493,9.94673630391,9.94673630391,9.94673630401,9.9467363041,9.94673630407,9.94673630407,9.94673630407,7.63949457961,9.72500422781,9.94673630471,9.94673630471,6.22646893491,6.24555473371,9.94673630445,9.94673630445,9.94673630445,9.94673630445,9.77597408815,9.73300516935,9.94673630442,9.56956791765,8.24264005045,9.94673630415,9.94673630415,7.17931536155,8.06764813911,9.94673630438,9.94673630398,9.94673630398,9.94673630391,9.94673630391,9.80235676491,9.94673630431,9.94673630431,9.94673630441,9.94673630448,9.94673630448,8.71799708875,9.94673630465,9.94673630465,9.94673630465,9.94673630455,9.94673630455,9.94673630455,8.74161457691,10.19227029739,12.18902254349,13.96644015963,13.96644015903,13.48938139403,13.96644015923,13.96644015923,13.96644015974,13.96644015924,13.96644015934,13.96644015934,13.96644015934,13.9664401593,13.9664401593,13.9664401593,13.63883405159,13.96644015964,13.96644015964,12.59796312983,13.96644015929,13.96644015929,13.96644015969,13.96644015969,13.14785276319,13.96644015949,13.96644015929,13.96644015929,13.68859136609,13.96644015929,13.96644015929,13.96644015939,9.38452760849
"t9",0.8146984892,0.66006005257,3.42553231182,3.42553231182,3.42553231183,3.42553231231,3.42553231161,3.42553231161,0,0.95425173951,3.3161746913,6.953057955076,6.953057955076,6.953057955156,6.462979303866,6.953057955066,6.953057955066,6.02239727796,6.95305795535,6.95305795535,6.9530579554,6.95305795471,6.95305795471,6.95305795471,6.24605308036,6.50454135931,6.95305795507,6.95305795507,6.953057955098,6.953057955098,6.9530579551,6.9530579551,6.91718217685,6.9530579551,6.95305795507,6.95305795517,6.95305795517,6.29766232587,5.7294121989,6.95305795481,6.38855710611,6.95305795511,6.95305795511,6.95305795511,6.95305795511,6.95305795511,6.95305795511,6.27738115651,4.09983378268,6.9530579545,6.9530579545,6.95305795478,6.95305795478,6.95305795478,6.95305795462,6.95305795472,6.95305795462,6.95305795462,6.95305795512,6.9530579541,6.9530579541,6.9530579542,6.95305795429,6.95305795426,6.95305795426,6.95305795426,4.6458162298,6.731325878,6.9530579549,6.9530579549,3.2327905851,3.2518763839,6.95305795464,6.95305795464,6.95305795464,6.95305795464,6.78229573834,6.73932681954,6.95305795461,6.57588956784,5.24896170064,6.95305795434,6.95305795434,4.18563701174,5.0739697893,6.95305795457,6.95305795417,6.95305795417,6.9530579541,6.9530579541,6.8086784151,6.9530579545,6.9530579545,6.9530579546,6.95305795467,6.95305795467,5.72431873894,6.95305795484,6.95305795484,6.95305795484,6.95305795474,6.95305795474,6.95305795474,5.7479362271,7.19859194758,9.19534419368,10.97276180982,10.97276180922,10.49570304422,10.97276180942,10.97276180942,10.97276180993,10.97276180943,10.97276180953,10.97276180953,10.97276180953,10.97276180949,10.97276180949,10.97276180949,10.64515570178,10.97276180983,10.97276180983,9.60428478002,10.97276180948,10.97276180948,10.97276180988,10.97276180988,10.15417441338,10.97276180968,10.97276180948,10.97276180948,10.69491301628,10.97276180948,10.97276180948,10.97276180958,6.39084925868
"t6",1.33709626691,1.18245783028,3.94793008953,3.94793008953,3.94793008954,3.94793009002,3.94793008932,3.94793008932,0.95425173951,0,2.52286607721,6.159749340986,6.159749340986,6.159749341066,5.669670689776,6.159749340976,6.159749340976,5.22908866387,6.15974934126,6.15974934126,6.15974934131,6.15974934062,6.15974934062,6.15974934062,5.45274446627,5.71123274522,6.15974934098,6.15974934098,6.159749341008,6.159749341008,6.15974934101,6.15974934101,6.12387356276,6.15974934101,6.15974934098,6.15974934108,6.15974934108,5.50435371178,4.93610358481,6.15974934072,5.59524849202,6.15974934102,6.15974934102,6.15974934102,6.15974934102,6.15974934102,6.15974934102,5.48407254242,3.30652516859,6.15974934041,6.15974934041,6.15974934069,6.15974934069,6.15974934069,6.15974934053,6.15974934063,6.15974934053,6.15974934053,6.15974934103,6.15974934001,6.15974934001,6.15974934011,6.1597493402,6.15974934017,6.15974934017,6.15974934017,3.85250761571,5.93801726391,6.15974934081,6.15974934081,2.43948197101,2.45856776981,6.15974934055,6.15974934055,6.15974934055,6.15974934055,5.98898712425,5.94601820545,6.15974934052,5.78258095375,4.45565308655,6.15974934025,6.15974934025,3.39232839765,4.28066117521,6.15974934048,6.15974934008,6.15974934008,6.15974934001,6.15974934001,6.01536980101,6.15974934041,6.15974934041,6.15974934051,6.15974934058,6.15974934058,4.93101012485,6.15974934075,6.15974934075,6.15974934075,6.15974934065,6.15974934065,6.15974934065,4.95462761301,6.40528333349,8.40203557959,10.17945319573,10.17945319513,9.70239443013,10.17945319533,10.17945319533,10.17945319584,10.17945319534,10.17945319544,10.17945319544,10.17945319544,10.1794531954,10.1794531954,10.1794531954,9.85184708769,10.17945319574,10.17945319574,8.81097616593,10.17945319539,10.17945319539,10.17945319579,10.17945319579,9.36086579929,10.17945319559,10.17945319539,10.17945319539,9.90160440219,10.17945319539,10.17945319539,10.17945319549,5.59754064459
