"accepted_species","traits"
"t46",0
"t60",NA
"t68",0
"t75",0
"t76",1
"t77",1
"t81",NA
"t87",1
"t90",0
"t91",NA
"t92",1
"t94",0
"t96",0
"t108",0
"t114",1
"t116",1
"t119",1
"t120",1
"t121",1
"t123",1
"t126",0
"t127",NA
"t128",1
"t132",0
"t137",0
"t139",0
"t144",1
"t146",1
"t147",0
"t151",0
"t152",0
"t154",1
"t155",0
"t157",1
"t158",0
"t162",0
"t163",1
"t164",NA
"t165",0
"t166",0
"t169",0
"t170",0
"t173",0
"t174",0
"t175",0
"t176",1
"t177",1
"t179",1
"t180",0
"t181",1
"t182",0
"t183",0
"t184",0
"t185",1
"t186",NA
"t188",0
"t189",0
"t190",0
"t191",0
"t192",0
"t193",NA
"t194",0
"t195",1
"t196",1
"t198",0
"t199",0
"t202",1
"t203",1
"t204",1
"t205",0
"t207",0
"t208",1
"t209",1
"t210",1
"t211",1
"t212",0
"t213",0
"t214",0
"t215",1
"t216",0
"t217",0
"t218",1
"t219",1
"t220",NA
"t221",0
"t222",0
"t223",NA
"t224",0
"t225",0
"t226",NA
"t227",0
"t228",0
"t229",0
"t230",0
"t231",1
"t232",1
"t233",0
"t234",0
"t235",1
"t236",1
