"","t1","t12","t33","t136","t137","t114","t101","t41","t42","t32","t89","t150","t151","t46","t29","t107","t108","t173","t174","t131","t132","t164","t165","t177","t178","t172","t24","t83","t84","t63","t45","t7","t15","t28","t38","t85","t86","t97","t98","t49","t73","t74","t52","t53","t20","t19","t30","t40","t87","t90","t91","t109","t110","t94","t103","t104","t130","t158","t159","t166","t167","t16","t31","t80","t126","t127","t129","t154","t155","t36","t37","t54","t66","t72","t100","t160","t161","t120","t121","t115","t144","t145","t95","t96","t39","t23","t27","t43","t139","t140","t8","t9","t11","t22","t67","t68","t69","t50","t51","t75","t168","t169","t112","t48","t59","t106","t113","t152","t153","t122","t123","t102","t124","t125","t60","t55","t56","t76","t77","t62","t92","t93","t105","t134","t135","t116","t117","t88","t133","t156","t157","t143","t64","t128","t141","t142","t35","t58","t170","t171","t111","t44","t34","t21","t14","t47","t70","t118","t119","t71","t162","t163","t13","t3","t2","t25","t26","t99","t138","t148","t149","t61","t65","t146","t147","t175","t176","t81","t82","t5","t6","t57","t78","t79","t10","t4","t17","t18"
"t1",0,2.17206327302,4.082003543133,5.472890232333,5.472890232333,5.181907216733,5.232829186333,5.472890232533,4.295860089033,5.472890233133,5.472890232733,5.472890232833,5.366905724233,4.332208025233,5.472890232733,5.472890232533,5.472890232533,5.472890232783,5.472890232783,5.472890232643,5.472890232643,5.472890232653,5.472890232653,5.4728902327024,5.4728902327024,5.472890232703,3.298610667633,5.472890232533,5.472890232533,5.044130899433,4.352755714233,2.9679549312,3.53684267059,3.3354922573,5.3098368428,5.4728902328,5.4728902328,5.472890233,5.472890233,4.61521754691,4.82961850731,5.09327461881,4.38532510467,5.47289023297,3.52638300679,4.14280467199,5.02790419179,4.00158406829,5.47289023249,4.87416797477,4.74465462891,5.27899032828,5.02138781118,4.74586595803,5.44218189488,5.47289023238,5.47289023268,5.47289023278,5.47289023278,5.47289023248,5.47289023248,3.28573977809,3.85175771469,5.47289023249,5.47289023249,5.15309110187,5.10740976931,5.47289023259,5.47289023259,3.89843753949,3.89482048109,5.47289023234,4.48693158024,5.23063535015,5.47289023245,5.47289023255,5.47289023255,5.47289023254,5.47289023254,5.47289023254,5.47289023244,5.47289023244,4.96310960324,5.47289023254,4.58417610359,5.47289023209,3.84432286219,5.32547633729,5.47289023269,5.47289023269,2.32799896389,1.86882468378,2.731390614001,3.181817085501,5.483611163201,4.669549743889,5.483611162389,4.159964918401,4.955030491601,5.147057025701,5.483611162781,5.483611162781,5.483611162801,5.358963428451,4.811513408351,5.483611162751,5.483611162761,5.483611162761,5.455094218461,5.483611162781,5.483611162781,5.483611162781,5.483611162801,5.483611162801,4.698995797601,5.483611162781,4.694488426381,5.124441815001,5.483611162501,5.483611161901,5.483611162641,5.190779526641,5.483611162611,5.483611162611,5.483611162611,5.483611162511,5.483611162511,5.483611162621,5.483611162621,5.483611162591,5.483611162591,5.483611162591,4.602465637521,5.483611162921,5.483611162921,5.483611162921,4.057744143765,5.483611162465,5.483611162635,5.483611162635,5.483611162665,5.109252931065,3.649084066561,3.952867551621,3.684134099021,5.483611163001,5.483611163201,5.483611162751,5.483611162751,4.711172131551,5.483611162501,5.483611162501,2.948534472301,1.890020463101,0.751654857571,4.535749990351,4.458758353571,6.646182189361,6.930900233961,6.930900233961,6.930900233961,6.930900233561,6.930900233521,6.930900234021,6.930900234021,6.930900233674,6.930900233674,6.704593531761,6.930900234261,3.311815854861,3.054792993578,6.761309643861,6.556636663161,6.930900234361,3.483887936741,2.963189760549,4.662674586861,5.453766755861
"t12",2.17206327302,0,2.045975526153,3.436862215353,3.436862215353,3.145879199753,3.196801169353,3.436862215553,2.259832072053,3.436862216153,3.436862215753,3.436862215853,3.330877707253,2.296180008253,3.436862215753,3.436862215553,3.436862215553,3.436862215803,3.436862215803,3.436862215663,3.436862215663,3.436862215673,3.436862215673,3.4368622157224,3.4368622157224,3.436862215723,1.262582650653,3.436862215553,3.436862215553,3.008102882453,2.316727697253,1.63859655382,2.23308022123,2.03172980794,4.00607439344,4.16912778344,4.16912778344,4.16912778364,4.16912778364,3.31145509755,3.52585605795,3.78951216945,3.08156265531,4.16912778361,2.22262055743,4.95884494663,5.84394446643,4.81762434293,6.28893050713,5.69020824941,5.56069490355,6.09503060292,5.83742808582,5.56190623267,6.25822216952,6.28893050702,6.28893050732,6.28893050742,6.28893050742,6.28893050712,6.28893050712,4.10178005273,4.66779798933,6.28893050713,6.28893050713,5.96913137651,5.92345004395,6.28893050723,6.28893050723,4.71447781413,4.71086075573,6.28893050698,5.30297185488,6.04667562479,6.28893050709,6.28893050719,6.28893050719,6.28893050718,6.28893050718,6.28893050718,6.28893050708,6.28893050708,5.77914987788,6.28893050718,5.40021637823,6.28893050673,4.66036313683,6.14151661193,6.28893050733,6.28893050733,3.14403923853,2.68486495842,3.723448230821,4.173874702321,6.475668780021,5.661607360709,6.475668779209,5.152022535221,5.947088108421,6.139114642521,6.475668779601,6.475668779601,6.475668779621,6.351021045271,5.803571025171,6.475668779571,6.475668779581,6.475668779581,6.447151835281,6.475668779601,6.475668779601,6.475668779601,6.475668779621,6.475668779621,5.691053414421,6.475668779601,5.686546043201,6.116499431821,6.475668779321,6.475668778721,6.475668779461,6.182837143461,6.475668779431,6.475668779431,6.475668779431,6.475668779331,6.475668779331,6.475668779441,6.475668779441,6.475668779411,6.475668779411,6.475668779411,5.594523254341,6.475668779741,6.475668779741,6.475668779741,5.049801760585,6.475668779285,6.475668779455,6.475668779455,6.475668779485,6.101310547885,4.641141683381,4.944925168441,4.676191715841,6.475668779821,6.475668780021,6.475668779571,6.475668779571,5.703229748371,6.475668779321,6.475668779321,3.940592089121,2.882078079921,1.743712474391,5.527807607171,5.450815970391,7.638239806181,7.922957850781,7.922957850781,7.922957850781,7.922957850381,7.922957850341,7.922957850841,7.922957850841,7.922957850494,7.922957850494,7.696651148581,7.922957851081,4.303873471681,4.046850610398,7.753367260681,7.548694279981,7.922957851181,4.475945553561,3.955247377369,5.654732203681,6.445824372681
"t33",4.082003543133,2.045975526153,0,2.4704222536,2.4704222536,2.179439238,2.2303612076,4.24997001,3.0729398665,4.2499700106,4.2499700102,4.2499700103,4.1439855017,3.1092878027,5.341872654,5.3418726538,5.3418726538,5.34187265405,5.34187265405,5.34187265391,5.34187265391,5.34187265392,5.34187265392,5.3418726539694,5.3418726539694,5.34187265397,3.1675930889,5.3418726538,5.3418726538,4.9131133207,4.2217381355,3.548536823933,4.143020491343,3.941670078053,5.916014663553,6.079068053553,6.079068053553,6.079068053753,6.079068053753,5.221395367663,5.435796328063,5.699452439563,4.991502925423,6.079068053723,4.132560827543,6.868785216743,7.753884736543,6.727564613043,8.198870777243,7.600148519523,7.470635173663,8.004970873033,7.747368355933,7.471846502783,8.168162439633,8.198870777133,8.198870777433,8.198870777533,8.198870777533,8.198870777233,8.198870777233,6.011720322843,6.577738259443,8.198870777243,8.198870777243,7.879071646623,7.833390314063,8.198870777343,8.198870777343,6.624418084243,6.620801025843,8.198870777093,7.212912124993,7.956615894903,8.198870777203,8.198870777303,8.198870777303,8.198870777293,8.198870777293,8.198870777293,8.198870777193,8.198870777193,7.689090147993,8.198870777293,7.310156648343,8.198870776843,6.570303406943,8.051456882043,8.198870777443,8.198870777443,5.053979508643,4.594805228533,5.633388500934,6.083814972434,8.385609050134,7.571547630822,8.385609049322,7.061962805334,7.857028378534,8.049054912634,8.385609049714,8.385609049714,8.385609049734,8.260961315384,7.713511295284,8.385609049684,8.385609049694,8.385609049694,8.357092105394,8.385609049714,8.385609049714,8.385609049714,8.385609049734,8.385609049734,7.600993684534,8.385609049714,7.596486313314,8.026439701934,8.385609049434,8.385609048834,8.385609049574,8.092777413574,8.385609049544,8.385609049544,8.385609049544,8.385609049444,8.385609049444,8.385609049554,8.385609049554,8.385609049524,8.385609049524,8.385609049524,7.504463524454,8.385609049854,8.385609049854,8.385609049854,6.959742030698,8.385609049398,8.385609049568,8.385609049568,8.385609049598,8.011250817998,6.551081953494,6.854865438554,6.586131985954,8.385609049934,8.385609050134,8.385609049684,8.385609049684,7.613170018484,8.385609049434,8.385609049434,5.850532359234,4.792018350034,3.653652744504,7.437747877284,7.360756240504,9.548180076294,9.832898120894,9.832898120894,9.832898120894,9.832898120494,9.832898120454,9.832898120954,9.832898120954,9.832898120607,9.832898120607,9.606591418694,9.832898121194,6.213813741794,5.956790880511,9.663307530794,9.458634550094,9.832898121294,6.385885823674,5.865187647482,7.564672473794,8.355764642794
"t136",5.472890232333,3.436862215353,2.4704222536,0,0.594097475,0.841577107,1.1049023968,5.6408566992,4.4638265557,5.6408566998,5.6408566994,5.6408566995,5.5348721909,4.5001744919,6.7327593432,6.732759343,6.732759343,6.73275934325,6.73275934325,6.73275934311,6.73275934311,6.73275934312,6.73275934312,6.7327593431694,6.7327593431694,6.73275934317,4.5584797781,6.732759343,6.732759343,6.3040000099,5.6126248247,4.939423513133,5.533907180543,5.332556767253,7.306901352753,7.469954742753,7.469954742753,7.469954742953,7.469954742953,6.612282056863,6.826683017263,7.090339128763,6.382389614623,7.469954742923,5.523447516743,8.259671905943,9.144771425743,8.118451302243,9.589757466443,8.991035208723,8.861521862863,9.395857562233,9.138255045133,8.862733191983,9.559049128833,9.589757466333,9.589757466633,9.589757466733,9.589757466733,9.589757466433,9.589757466433,7.402607012043,7.968624948643,9.589757466443,9.589757466443,9.269958335823,9.224277003263,9.589757466543,9.589757466543,8.015304773443,8.011687715043,9.589757466293,8.603798814193,9.347502584103,9.589757466403,9.589757466503,9.589757466503,9.589757466493,9.589757466493,9.589757466493,9.589757466393,9.589757466393,9.079976837193,9.589757466493,8.701043337543,9.589757466043,7.961190096143,9.442343571243,9.589757466643,9.589757466643,6.444866197843,5.985691917733,7.024275190134,7.474701661634,9.776495739334,8.962434320022,9.776495738522,8.452849494534,9.247915067734,9.439941601834,9.776495738914,9.776495738914,9.776495738934,9.651848004584,9.104397984484,9.776495738884,9.776495738894,9.776495738894,9.747978794594,9.776495738914,9.776495738914,9.776495738914,9.776495738934,9.776495738934,8.991880373734,9.776495738914,8.987373002514,9.417326391134,9.776495738634,9.776495738034,9.776495738774,9.483664102774,9.776495738744,9.776495738744,9.776495738744,9.776495738644,9.776495738644,9.776495738754,9.776495738754,9.776495738724,9.776495738724,9.776495738724,8.895350213654,9.776495739054,9.776495739054,9.776495739054,8.350628719898,9.776495738598,9.776495738768,9.776495738768,9.776495738798,9.402137507198,7.941968642694,8.245752127754,7.977018675154,9.776495739134,9.776495739334,9.776495738884,9.776495738884,9.004056707684,9.776495738634,9.776495738634,7.241419048434,6.182905039234,5.044539433704,8.828634566484,8.751642929704,10.939066765494,11.223784810094,11.223784810094,11.223784810094,11.223784809694,11.223784809654,11.223784810154,11.223784810154,11.223784809807,11.223784809807,10.997478107894,11.223784810394,7.604700430994,7.347677569711,11.054194219994,10.849521239294,11.223784810494,7.776772512874,7.256074336682,8.955559162994,9.746651331994
"t137",5.472890232333,3.436862215353,2.4704222536,0.594097475,0,0.841577107,1.1049023968,5.6408566992,4.4638265557,5.6408566998,5.6408566994,5.6408566995,5.5348721909,4.5001744919,6.7327593432,6.732759343,6.732759343,6.73275934325,6.73275934325,6.73275934311,6.73275934311,6.73275934312,6.73275934312,6.7327593431694,6.7327593431694,6.73275934317,4.5584797781,6.732759343,6.732759343,6.3040000099,5.6126248247,4.939423513133,5.533907180543,5.332556767253,7.306901352753,7.469954742753,7.469954742753,7.469954742953,7.469954742953,6.612282056863,6.826683017263,7.090339128763,6.382389614623,7.469954742923,5.523447516743,8.259671905943,9.144771425743,8.118451302243,9.589757466443,8.991035208723,8.861521862863,9.395857562233,9.138255045133,8.862733191983,9.559049128833,9.589757466333,9.589757466633,9.589757466733,9.589757466733,9.589757466433,9.589757466433,7.402607012043,7.968624948643,9.589757466443,9.589757466443,9.269958335823,9.224277003263,9.589757466543,9.589757466543,8.015304773443,8.011687715043,9.589757466293,8.603798814193,9.347502584103,9.589757466403,9.589757466503,9.589757466503,9.589757466493,9.589757466493,9.589757466493,9.589757466393,9.589757466393,9.079976837193,9.589757466493,8.701043337543,9.589757466043,7.961190096143,9.442343571243,9.589757466643,9.589757466643,6.444866197843,5.985691917733,7.024275190134,7.474701661634,9.776495739334,8.962434320022,9.776495738522,8.452849494534,9.247915067734,9.439941601834,9.776495738914,9.776495738914,9.776495738934,9.651848004584,9.104397984484,9.776495738884,9.776495738894,9.776495738894,9.747978794594,9.776495738914,9.776495738914,9.776495738914,9.776495738934,9.776495738934,8.991880373734,9.776495738914,8.987373002514,9.417326391134,9.776495738634,9.776495738034,9.776495738774,9.483664102774,9.776495738744,9.776495738744,9.776495738744,9.776495738644,9.776495738644,9.776495738754,9.776495738754,9.776495738724,9.776495738724,9.776495738724,8.895350213654,9.776495739054,9.776495739054,9.776495739054,8.350628719898,9.776495738598,9.776495738768,9.776495738768,9.776495738798,9.402137507198,7.941968642694,8.245752127754,7.977018675154,9.776495739134,9.776495739334,9.776495738884,9.776495738884,9.004056707684,9.776495738634,9.776495738634,7.241419048434,6.182905039234,5.044539433704,8.828634566484,8.751642929704,10.939066765494,11.223784810094,11.223784810094,11.223784810094,11.223784809694,11.223784809654,11.223784810154,11.223784810154,11.223784809807,11.223784809807,10.997478107894,11.223784810394,7.604700430994,7.347677569711,11.054194219994,10.849521239294,11.223784810494,7.776772512874,7.256074336682,8.955559162994,9.746651331994
"t114",5.181907216733,3.145879199753,2.179439238,0.841577107,0.841577107,0,0.8139193812,5.3498736836,4.1728435401,5.3498736842,5.3498736838,5.3498736839,5.2438891753,4.2091914763,6.4417763276,6.4417763274,6.4417763274,6.44177632765,6.44177632765,6.44177632751,6.44177632751,6.44177632752,6.44177632752,6.4417763275694,6.4417763275694,6.44177632757,4.2674967625,6.4417763274,6.4417763274,6.0130169943,5.3216418091,4.648440497533,5.242924164943,5.041573751653,7.015918337153,7.178971727153,7.178971727153,7.178971727353,7.178971727353,6.321299041263,6.535700001663,6.799356113163,6.091406599023,7.178971727323,5.232464501143,7.968688890343,8.853788410143,7.827468286643,9.298774450843,8.700052193123,8.570538847263,9.104874546633,8.847272029533,8.571750176383,9.268066113233,9.298774450733,9.298774451033,9.298774451133,9.298774451133,9.298774450833,9.298774450833,7.111623996443,7.677641933043,9.298774450843,9.298774450843,8.978975320223,8.933293987663,9.298774450943,9.298774450943,7.724321757843,7.720704699443,9.298774450693,8.312815798593,9.056519568503,9.298774450803,9.298774450903,9.298774450903,9.298774450893,9.298774450893,9.298774450893,9.298774450793,9.298774450793,8.788993821593,9.298774450893,8.410060321943,9.298774450443,7.670207080543,9.151360555643,9.298774451043,9.298774451043,6.153883182243,5.694708902133,6.733292174534,7.183718646034,9.485512723734,8.671451304422,9.485512722922,8.161866478934,8.956932052134,9.148958586234,9.485512723314,9.485512723314,9.485512723334,9.360864988984,8.813414968884,9.485512723284,9.485512723294,9.485512723294,9.456995778994,9.485512723314,9.485512723314,9.485512723314,9.485512723334,9.485512723334,8.700897358134,9.485512723314,8.696389986914,9.126343375534,9.485512723034,9.485512722434,9.485512723174,9.192681087174,9.485512723144,9.485512723144,9.485512723144,9.485512723044,9.485512723044,9.485512723154,9.485512723154,9.485512723124,9.485512723124,9.485512723124,8.604367198054,9.485512723454,9.485512723454,9.485512723454,8.059645704298,9.485512722998,9.485512723168,9.485512723168,9.485512723198,9.111154491598,7.650985627094,7.954769112154,7.686035659554,9.485512723534,9.485512723734,9.485512723284,9.485512723284,8.713073692084,9.485512723034,9.485512723034,6.950436032834,5.891922023634,4.753556418104,8.537651550884,8.460659914104,10.648083749894,10.932801794494,10.932801794494,10.932801794494,10.932801794094,10.932801794054,10.932801794554,10.932801794554,10.932801794207,10.932801794207,10.706495092294,10.932801794794,7.313717415394,7.056694554111,10.763211204394,10.558538223694,10.932801794894,7.485789497274,6.965091321082,8.664576147394,9.455668316394
"t101",5.232829186333,3.196801169353,2.2303612076,1.1049023968,1.1049023968,0.8139193812,0,5.4007956532,4.2237655097,5.4007956538,5.4007956534,5.4007956535,5.2948111449,4.2601134459,6.4926982972,6.492698297,6.492698297,6.49269829725,6.49269829725,6.49269829711,6.49269829711,6.49269829712,6.49269829712,6.4926982971694,6.4926982971694,6.49269829717,4.3184187321,6.492698297,6.492698297,6.0639389639,5.3725637787,4.699362467133,5.293846134543,5.092495721253,7.066840306753,7.229893696753,7.229893696753,7.229893696953,7.229893696953,6.372221010863,6.586621971263,6.850278082763,6.142328568623,7.229893696923,5.283386470743,8.019610859943,8.904710379743,7.878390256243,9.349696420443,8.750974162723,8.621460816863,9.155796516233,8.898193999133,8.622672145983,9.318988082833,9.349696420333,9.349696420633,9.349696420733,9.349696420733,9.349696420433,9.349696420433,7.162545966043,7.728563902643,9.349696420443,9.349696420443,9.029897289823,8.984215957263,9.349696420543,9.349696420543,7.775243727443,7.771626669043,9.349696420293,8.363737768193,9.107441538103,9.349696420403,9.349696420503,9.349696420503,9.349696420493,9.349696420493,9.349696420493,9.349696420393,9.349696420393,8.839915791193,9.349696420493,8.460982291543,9.349696420043,7.721129050143,9.202282525243,9.349696420643,9.349696420643,6.204805151843,5.745630871733,6.784214144134,7.234640615634,9.536434693334,8.722373274022,9.536434692522,8.212788448534,9.007854021734,9.199880555834,9.536434692914,9.536434692914,9.536434692934,9.411786958584,8.864336938484,9.536434692884,9.536434692894,9.536434692894,9.507917748594,9.536434692914,9.536434692914,9.536434692914,9.536434692934,9.536434692934,8.751819327734,9.536434692914,8.747311956514,9.177265345134,9.536434692634,9.536434692034,9.536434692774,9.243603056774,9.536434692744,9.536434692744,9.536434692744,9.536434692644,9.536434692644,9.536434692754,9.536434692754,9.536434692724,9.536434692724,9.536434692724,8.655289167654,9.536434693054,9.536434693054,9.536434693054,8.110567673898,9.536434692598,9.536434692768,9.536434692768,9.536434692798,9.162076461198,7.701907596694,8.005691081754,7.736957629154,9.536434693134,9.536434693334,9.536434692884,9.536434692884,8.763995661684,9.536434692634,9.536434692634,7.001358002434,5.942843993234,4.804478387704,8.588573520484,8.511581883704,10.699005719494,10.983723764094,10.983723764094,10.983723764094,10.983723763694,10.983723763654,10.983723764154,10.983723764154,10.983723763807,10.983723763807,10.757417061894,10.983723764394,7.364639384994,7.107616523711,10.814133173994,10.609460193294,10.983723764494,7.536711466874,7.016013290682,8.715498116994,9.506590285994
"t41",5.472890232533,3.436862215553,4.24997001,5.6408566992,5.6408566992,5.3498736836,5.4007956532,0,1.8997280305,3.8927306394,4.3433021784,4.3433021785,4.2373176699,3.2026199709,6.7327593434,6.7327593432,6.7327593432,6.73275934345,6.73275934345,6.73275934331,6.73275934331,6.73275934332,6.73275934332,6.7327593433694,6.7327593433694,6.73275934337,4.5584797783,6.7327593432,6.7327593432,6.3040000101,5.6126248249,4.939423513333,5.533907180743,5.332556767453,7.306901352953,7.469954742953,7.469954742953,7.469954743153,7.469954743153,6.612282057063,6.826683017463,7.090339128963,6.382389614823,7.469954743123,5.523447516943,8.259671906143,9.144771425943,8.118451302443,9.589757466643,8.991035208923,8.861521863063,9.395857562433,9.138255045333,8.862733192183,9.559049129033,9.589757466533,9.589757466833,9.589757466933,9.589757466933,9.589757466633,9.589757466633,7.402607012243,7.968624948843,9.589757466643,9.589757466643,9.269958336023,9.224277003463,9.589757466743,9.589757466743,8.015304773643,8.011687715243,9.589757466493,8.603798814393,9.347502584303,9.589757466603,9.589757466703,9.589757466703,9.589757466693,9.589757466693,9.589757466693,9.589757466593,9.589757466593,9.079976837393,9.589757466693,8.701043337743,9.589757466243,7.961190096343,9.442343571443,9.589757466843,9.589757466843,6.444866198043,5.985691917933,7.024275190334,7.474701661834,9.776495739534,8.962434320222,9.776495738722,8.452849494734,9.247915067934,9.439941602034,9.776495739114,9.776495739114,9.776495739134,9.651848004784,9.104397984684,9.776495739084,9.776495739094,9.776495739094,9.747978794794,9.776495739114,9.776495739114,9.776495739114,9.776495739134,9.776495739134,8.991880373934,9.776495739114,8.987373002714,9.417326391334,9.776495738834,9.776495738234,9.776495738974,9.483664102974,9.776495738944,9.776495738944,9.776495738944,9.776495738844,9.776495738844,9.776495738954,9.776495738954,9.776495738924,9.776495738924,9.776495738924,8.895350213854,9.776495739254,9.776495739254,9.776495739254,8.350628720098,9.776495738798,9.776495738968,9.776495738968,9.776495738998,9.402137507398,7.941968642894,8.245752127954,7.977018675354,9.776495739334,9.776495739534,9.776495739084,9.776495739084,9.004056707884,9.776495738834,9.776495738834,7.241419048634,6.182905039434,5.044539433904,8.828634566684,8.751642929904,10.939066765694,11.223784810294,11.223784810294,11.223784810294,11.223784809894,11.223784809854,11.223784810354,11.223784810354,11.223784810007,11.223784810007,10.997478108094,11.223784810594,7.604700431194,7.347677569911,11.054194220194,10.849521239494,11.223784810694,7.776772513074,7.256074336882,8.955559163194,9.746651332194
"t42",4.295860089033,2.259832072053,3.0729398665,4.4638265557,4.4638265557,4.1728435401,4.2237655097,1.8997280305,0,2.7157004959,3.1662720349,3.166272035,3.0602875264,2.0255898274,5.5557291999,5.5557291997,5.5557291997,5.55572919995,5.55572919995,5.55572919981,5.55572919981,5.55572919982,5.55572919982,5.5557291998694,5.5557291998694,5.55572919987,3.3814496348,5.5557291997,5.5557291997,5.1269698666,4.4355946814,3.762393369833,4.356877037243,4.155526623953,6.129871209453,6.292924599453,6.292924599453,6.292924599653,6.292924599653,5.435251913563,5.649652873963,5.913308985463,5.205359471323,6.292924599623,4.346417373443,7.082641762643,7.967741282443,6.941421158943,8.412727323143,7.814005065423,7.684491719563,8.218827418933,7.961224901833,7.685703048683,8.382018985533,8.412727323033,8.412727323333,8.412727323433,8.412727323433,8.412727323133,8.412727323133,6.225576868743,6.791594805343,8.412727323143,8.412727323143,8.092928192523,8.047246859963,8.412727323243,8.412727323243,6.838274630143,6.834657571743,8.412727322993,7.426768670893,8.170472440803,8.412727323103,8.412727323203,8.412727323203,8.412727323193,8.412727323193,8.412727323193,8.412727323093,8.412727323093,7.902946693893,8.412727323193,7.524013194243,8.412727322743,6.784159952843,8.265313427943,8.412727323343,8.412727323343,5.267836054543,4.808661774433,5.847245046834,6.297671518334,8.599465596034,7.785404176722,8.599465595222,7.275819351234,8.070884924434,8.262911458534,8.599465595614,8.599465595614,8.599465595634,8.474817861284,7.927367841184,8.599465595584,8.599465595594,8.599465595594,8.570948651294,8.599465595614,8.599465595614,8.599465595614,8.599465595634,8.599465595634,7.814850230434,8.599465595614,7.810342859214,8.240296247834,8.599465595334,8.599465594734,8.599465595474,8.306633959474,8.599465595444,8.599465595444,8.599465595444,8.599465595344,8.599465595344,8.599465595454,8.599465595454,8.599465595424,8.599465595424,8.599465595424,7.718320070354,8.599465595754,8.599465595754,8.599465595754,7.173598576598,8.599465595298,8.599465595468,8.599465595468,8.599465595498,8.225107363898,6.764938499394,7.068721984454,6.799988531854,8.599465595834,8.599465596034,8.599465595584,8.599465595584,7.827026564384,8.599465595334,8.599465595334,6.064388905134,5.005874895934,3.867509290404,7.651604423184,7.574612786404,9.762036622194,10.046754666794,10.046754666794,10.046754666794,10.046754666394,10.046754666354,10.046754666854,10.046754666854,10.046754666507,10.046754666507,9.820447964594,10.046754667094,6.427670287694,6.170647426411,9.877164076694,9.672491095994,10.046754667194,6.599742369574,6.079044193382,7.778529019694,8.569621188694
"t32",5.472890233133,3.436862216153,4.2499700106,5.6408566998,5.6408566998,5.3498736842,5.4007956538,3.8927306394,2.7157004959,0,4.343302179,4.3433021791,4.2373176705,3.2026199715,6.732759344,6.7327593438,6.7327593438,6.73275934405,6.73275934405,6.73275934391,6.73275934391,6.73275934392,6.73275934392,6.7327593439694,6.7327593439694,6.73275934397,4.5584797789,6.7327593438,6.7327593438,6.3040000107,5.6126248255,4.939423513933,5.533907181343,5.332556768053,7.306901353553,7.469954743553,7.469954743553,7.469954743753,7.469954743753,6.612282057663,6.826683018063,7.090339129563,6.382389615423,7.469954743723,5.523447517543,8.259671906743,9.144771426543,8.118451303043,9.589757467243,8.991035209523,8.861521863663,9.395857563033,9.138255045933,8.862733192783,9.559049129633,9.589757467133,9.589757467433,9.589757467533,9.589757467533,9.589757467233,9.589757467233,7.402607012843,7.968624949443,9.589757467243,9.589757467243,9.269958336623,9.224277004063,9.589757467343,9.589757467343,8.015304774243,8.011687715843,9.589757467093,8.603798814993,9.347502584903,9.589757467203,9.589757467303,9.589757467303,9.589757467293,9.589757467293,9.589757467293,9.589757467193,9.589757467193,9.079976837993,9.589757467293,8.701043338343,9.589757466843,7.961190096943,9.442343572043,9.589757467443,9.589757467443,6.444866198643,5.985691918533,7.024275190934,7.474701662434,9.776495740134,8.962434320822,9.776495739322,8.452849495334,9.247915068534,9.439941602634,9.776495739714,9.776495739714,9.776495739734,9.651848005384,9.104397985284,9.776495739684,9.776495739694,9.776495739694,9.747978795394,9.776495739714,9.776495739714,9.776495739714,9.776495739734,9.776495739734,8.991880374534,9.776495739714,8.987373003314,9.417326391934,9.776495739434,9.776495738834,9.776495739574,9.483664103574,9.776495739544,9.776495739544,9.776495739544,9.776495739444,9.776495739444,9.776495739554,9.776495739554,9.776495739524,9.776495739524,9.776495739524,8.895350214454,9.776495739854,9.776495739854,9.776495739854,8.350628720698,9.776495739398,9.776495739568,9.776495739568,9.776495739598,9.402137507998,7.941968643494,8.245752128554,7.977018675954,9.776495739934,9.776495740134,9.776495739684,9.776495739684,9.004056708484,9.776495739434,9.776495739434,7.241419049234,6.182905040034,5.044539434504,8.828634567284,8.751642930504,10.939066766294,11.223784810894,11.223784810894,11.223784810894,11.223784810494,11.223784810454,11.223784810954,11.223784810954,11.223784810607,11.223784810607,10.997478108694,11.223784811194,7.604700431794,7.347677570511,11.054194220794,10.849521240094,11.223784811294,7.776772513674,7.256074337482,8.955559163794,9.746651332794
