,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
t15,6.612755,9.61058,7.373591,8.052727,6.382427,4.19649,5.3754754,4.7359977,7.599532,2.6437924,5.5531077,2.7500932,6.6434917,4.7397623,4.683478,6.628472,3.6018348
t28,6.5873604,9.537339,7.303482,7.913862,6.364152,4.2187514,5.4034057,4.700972,7.5562916,2.719113,5.5945473,2.7915175,6.600996,4.701596,4.7093096,6.6131163,3.6232336
t38,6.7473264,10.045501,7.0275226,8.330515,6.523599,4.287806,4.7675834,4.533949,8.215262,2.4934523,5.4600854,2.7046578,6.5137835,5.513746,4.307383,6.72871,3.9365716
t85,6.735191,9.954641,7.0475407,8.317678,6.5042744,4.186317,4.8423386,4.4922476,8.180597,2.4837687,5.5711923,2.8255806,6.3953843,5.4751477,4.386144,6.650623,3.8331184
t86,6.758358,9.958136,7.0412188,8.327325,6.5177674,4.212602,4.8268013,4.5265183,8.184464,2.4747794,5.5330977,2.7861147,6.423305,5.473229,4.3545194,6.6592193,3.844585
t97,6.786299,9.987623,7.0643287,8.356711,6.53298,4.215859,4.786682,4.530724,8.229964,2.4446042,5.498065,2.7534297,6.4651866,5.517086,4.358836,6.6578116,3.8682451
t98,6.802425,9.948215,7.049502,8.362837,6.549524,4.201115,4.7911854,4.5601563,8.222566,2.44661,5.483047,2.7370644,6.4730983,5.499184,4.3432336,6.6356983,3.8390727
t49,6.7250395,9.826944,7.1027446,8.251251,6.5021935,4.2076654,4.996729,4.593302,7.9911,2.4989917,5.545221,2.7863152,6.4277062,5.2366896,4.4237175,6.638346,3.7249196
t73,6.7073393,9.769034,7.0002103,8.304938,6.575549,4.1945024,4.925,4.5981774,8.017799,2.5604382,5.5410028,2.754683,6.378585,5.2244353,4.396762,6.614785,3.735663
t74,6.7898846,9.846865,7.0838485,8.2437935,6.473713,4.234024,4.972461,4.605591,8.051373,2.4411561,5.545056,2.8118346,6.3821974,5.3420644,4.328406,6.637722,3.7080095
t52,6.7286887,9.791806,7.0967803,8.260039,6.526778,4.1961837,4.9981008,4.614747,7.975657,2.5100517,5.5308433,2.7637548,6.427523,5.2024665,4.436391,6.6208587,3.7115324
t53,6.8385606,9.828172,7.0724387,8.208926,6.490359,4.293956,4.984342,4.683782,8.039823,2.4164495,5.5041747,2.758751,6.3967423,5.3177557,4.2721095,6.616888,3.6929808
t20,6.5926843,9.621837,7.410557,8.03545,6.443065,4.2353153,5.3874907,4.719398,7.4980884,2.582273,5.5340424,2.7155411,6.6364884,4.6423798,4.788818,6.6145577,3.572873
t19,10.972584,0.32418627,4.188607,5.3832736,7.5957036,4.111994,4.8433566,3.6329932,4.1659317,6.4989343,5.036015,2.421184,4.1622205,4.142641,5.5402904,7.2595468,3.84108
t30,11.004912,0.35939756,3.6947534,5.3684554,7.469537,4.293134,4.198667,3.7573657,3.9179907,6.4555426,4.3752,2.428953,4.239836,4.2606163,5.785741,7.734941,3.6440165
t40,10.970239,0.31494024,4.113232,5.376269,7.582336,4.14207,4.7396245,3.6473312,4.1185207,6.504843,4.935195,2.4257085,4.1689196,4.157361,5.580342,7.343913,3.8003962
t87,11.038439,0.27345744,3.674658,5.3784695,7.548585,4.2611,4.0143905,3.8168736,3.8230143,6.545855,4.2304134,2.5565026,4.1099076,4.364715,5.908561,7.8515983,3.6103218
t90,10.945339,0.30531532,3.7743368,5.3256893,7.5400133,4.2988267,4.250766,3.7347543,3.89342,6.506882,4.466729,2.481456,4.197011,4.25913,5.7929616,7.717758,3.6180701
t91,10.990573,0.32832834,3.8269196,5.3659344,7.557908,4.2425947,4.342812,3.7145872,3.9490993,6.4883227,4.5619464,2.4860253,4.190513,4.2437916,5.76049,7.6572385,3.6801546
t109,10.927151,0.28153348,3.6869824,5.3007407,7.5329123,4.3645577,4.1467366,3.738464,3.835062,6.5355873,4.327284,2.46265,4.209789,4.2583117,5.8241534,7.781172,3.58231
t110,10.899828,0.26615852,3.75146,5.266865,7.5092654,4.339291,4.1819167,3.8292646,3.8314936,6.538485,4.39836,2.4955168,4.1593194,4.3553357,5.792827,7.7931323,3.5363755
t94,10.92631,0.26582703,3.840207,5.304925,7.5094953,4.3038554,4.319207,3.7557106,3.9354591,6.5469375,4.519231,2.43362,4.178934,4.2573695,5.734788,7.6546855,3.622205
t103,11.07402,0.36605608,3.5880716,5.3495145,7.475433,4.3645396,4.02331,3.8394067,3.845762,6.453787,4.1805754,2.4674711,4.21389,4.359387,5.837197,7.836932,3.5847182
t104,11.096054,0.38350567,3.6948857,5.3643584,7.4719167,4.280768,4.102122,3.90909,3.8884923,6.4286804,4.285321,2.5401459,4.12921,4.4424787,5.800994,7.8310266,3.5746617
t130,10.991838,0.30988815,3.609668,5.3744087,7.56727,4.311817,4.006959,3.7558973,3.8040147,6.5198884,4.1643567,2.5461812,4.1816916,4.3060718,5.929136,7.912901,3.6219993
t158,11.129288,0.4487085,3.537337,5.4604506,7.5166235,4.261273,4.069509,3.7247703,3.935054,6.397117,4.1503572,2.50457,4.277043,4.262041,5.881683,7.8623815,3.7020783
t159,11.053918,0.37781844,3.5554225,5.384349,7.5169277,4.3354926,4.0282135,3.7651193,3.8673675,6.4585705,4.1643095,2.4914234,4.241223,4.2942944,5.8898683,7.8580246,3.634881
t166,11.015767,0.3647477,3.6610522,5.3301344,7.446266,4.307948,4.059564,3.9017656,3.8629549,6.4418964,4.2862625,2.5129535,4.1819696,4.44263,5.8284645,7.8946066,3.553559
t167,11.027242,0.36557624,3.6605356,5.3524,7.4582453,4.2840714,4.05305,3.880446,3.8715901,6.4454594,4.283242,2.5250847,4.175333,4.42183,5.8492985,7.894604,3.577305
t16,11.00506,0.34006715,4.3719816,5.4525,7.6207614,3.9939618,5.0897512,3.55591,4.3063283,6.4732966,5.2596664,2.3649855,4.156625,4.0563025,5.412825,7.058851,3.969254
t31,11.034567,0.35588878,4.381939,5.5153675,7.6052623,3.9210477,5.0719833,3.4912593,4.34762,6.4667373,5.229916,2.303174,4.182905,3.9833345,5.3468366,7.0407023,4.0199976
t80,12.180826,-0.288269,5.37055,6.2827215,8.332881,3.1181479,6.6219425,2.8152084,5.259357,6.195082,6.387574,1.778656,3.3666322,4.0458765,4.807479,6.8205805,4.75725
t126,12.25387,-0.37913093,5.3530936,6.269951,8.409297,3.1346385,6.7162704,2.6992736,5.3563395,6.1127734,6.4258327,1.6834236,3.3261573,4.0730844,4.844438,6.855079,4.723049
t127,12.104814,-0.29933953,5.2235765,6.1486874,8.288731,3.2656522,6.613226,2.7724502,5.242173,6.209756,6.2993393,1.7958809,3.4222965,3.976338,4.9468164,6.764716,4.618282
t129,12.133453,-0.33717033,5.2223988,6.1618733,8.321643,3.2604027,6.667808,2.7034535,5.308,6.137933,6.336561,1.7249068,3.3717668,4.020073,4.9469867,6.8157196,4.5953183
t154,12.166028,-0.31093463,5.2978516,6.2137294,8.331278,3.1898756,6.630483,2.7744122,5.271511,6.182464,6.3673973,1.7683965,3.3944867,4.0355043,4.865398,6.815879,4.681856
t155,12.164255,-0.28707543,5.363218,6.2720118,8.320242,3.126506,6.629131,2.8036594,5.2610035,6.1947165,6.3745546,1.7795058,3.3729842,4.0312886,4.823592,6.8091083,4.753711
t36,11.033234,0.30082402,4.369034,5.4065523,7.640521,4.025836,5.107097,3.5793095,4.2839437,6.513557,5.2715607,2.4140432,4.1337757,4.105675,5.4428144,7.075324,3.9465654
t37,11.060501,0.29784808,4.33233,5.4307647,7.6007752,4.0168796,5.061161,3.5697577,4.273174,6.517083,5.213587,2.3888237,4.171306,4.0719776,5.439013,7.112579,3.9379702
t54,11.736264,-0.017918907,5.031793,5.8093314,8.000193,3.4697506,6.195694,3.1320076,4.8691688,6.51839,6.0596495,2.1928382,3.870467,3.8589919,4.9855123,6.628448,4.4800363
t66,11.363168,0.19453797,4.7377105,5.603303,7.7588997,3.7128892,5.6997604,3.3680582,4.5825353,6.5551834,5.705257,2.3276048,4.0465875,3.916147,5.1714616,6.7678213,4.250639
t72,11.6279125,0.05227174,4.9592705,5.78393,7.9248047,3.533252,6.0824203,3.1993065,4.8350296,6.4802933,5.969886,2.1913288,3.8767364,3.9117343,5.042607,6.7083216,4.444453
t100,11.73066,-0.014434826,4.9883757,5.7621274,7.995276,3.5146408,6.1544175,3.1294222,4.815726,6.553449,6.0082574,2.2454119,3.9207437,3.8278522,5.0078516,6.6203976,4.468328
t160,11.755786,-0.04144056,4.9908104,5.7618585,8.023422,3.5195935,6.2030053,3.1066163,4.840976,6.546372,6.0188813,2.2377932,3.909729,3.8604162,5.030536,6.6375985,4.457208
t161,11.768526,-0.056732588,4.9326468,5.6931715,8.038107,3.5854285,6.203274,3.089867,4.784201,6.5989532,5.963191,2.3002615,3.9702046,3.8572693,5.0907598,6.629658,4.41133
t120,11.704012,0.15027493,5.0310745,5.709772,7.834902,3.4950979,6.2250643,3.139881,4.797312,6.659427,6.055543,2.3197477,4.0011716,3.7322564,4.9612064,6.4882555,4.498629
t121,11.608585,0.1426804,5.0630813,5.8074946,7.8407683,3.3700898,6.214,3.2802944,4.723756,6.556205,6.0712175,2.182104,3.8557281,3.8400059,4.8631935,6.543565,4.395684
t115,11.558859,0.17060678,5.0830345,5.7171574,7.8271976,3.4324281,6.1329074,3.277389,4.7263017,6.619155,6.1204696,2.268395,3.956697,3.7638187,4.8961215,6.4610443,4.450296
t144,11.687974,0.18116254,5.1075068,5.7692204,7.805633,3.407806,6.2814894,3.1722264,4.829172,6.6588583,6.1323633,2.2854636,3.9588935,3.7148805,4.8735876,6.443681,4.5340476
t145,11.697822,0.15811408,5.0671773,5.740099,7.8283453,3.4400258,6.259375,3.162908,4.787948,6.6528034,6.0906487,2.28319,3.9607573,3.7377014,4.908806,6.4599614,4.492453
t95,11.482629,0.18755606,4.8759937,5.673408,7.7878942,3.6068025,5.9024773,3.3000362,4.704499,6.579699,5.8664584,2.3059216,4.012233,3.8428905,5.075386,6.6413097,4.374997
t96,11.673441,0.06993867,5.0534263,5.78677,7.9189215,3.44447,6.1938496,3.1848843,4.8181067,6.5642514,6.0821853,2.2152503,3.8926737,3.812007,4.944182,6.5510345,4.47417
t39,11.425378,0.16221268,4.8024015,5.6292706,7.794359,3.6623957,5.792854,3.3317168,4.6256223,6.565062,5.7843566,2.3180988,4.025717,3.895548,5.129282,6.7211847,4.2899055
t23,12.032212,-0.20353858,5.241526,6.080904,8.219882,3.257399,6.4496937,2.9455469,5.0965686,6.3367095,6.278765,1.9560369,3.6123822,3.9883165,4.8391504,6.756255,4.6844807
t27,11.015172,0.33765665,4.3461604,5.4316263,7.6004868,4.017761,5.0637274,3.5796106,4.280228,6.494463,5.2337384,2.383293,4.176076,4.0809274,5.4377093,7.086207,3.9452314
t43,12.061569,-0.23440231,5.2327175,6.0892887,8.249487,3.264662,6.483917,2.9081826,5.130068,6.3101807,6.282899,1.9220315,3.5742104,3.9975502,4.8600254,6.7689605,4.6667175
t139,11.996632,-0.16516408,5.2259965,6.0580144,8.17949,3.2752693,6.3995667,2.9912078,5.0502205,6.3668904,6.276102,2.0076234,3.6573064,3.9898384,4.8354645,6.7480254,4.6736407
t140,12.032537,-0.21431562,5.204491,6.0392065,8.228875,3.2963545,6.443744,2.944429,5.0862083,6.3585453,6.2482805,1.9711857,3.6345809,3.98206,4.8649387,6.7493744,4.651214
t8,6.073755,7.232634,6.1454782,5.4175177,6.205182,4.3754997,5.8733654,4.128674,6.2178597,4.098177,6.1290855,2.76508,6.1914067,3.6049063,6.4342303,5.87043,4.113083
t9,5.9561644,7.1796055,6.1723495,5.3731813,6.135991,4.3805976,5.8923874,4.130703,6.221326,4.067578,6.145839,2.7922115,6.2569118,3.6336114,6.510477,5.8240676,4.0412326
t11,5.56343,6.884414,6.090946,5.4390283,6.1381307,4.412328,5.845141,4.1905932,6.0526366,4.0251064,6.21971,2.8947966,6.1719427,3.766544,6.6588616,5.8507805,3.9044032
t22,5.5326495,6.8577147,6.1197743,5.513393,6.068396,4.4813395,5.8656507,4.1968617,6.0014796,4.040568,6.2973547,2.9568665,6.2375402,3.8077404,6.7255764,5.801352,3.829282
t67,-1.4965389,0.99404913,-1.6066071,7.4611406,6.090915,3.6415985,4.536717,-0.22257884,7.5204754,3.9884796,7.719763,2.2382486,4.184317,9.24014,6.548968,6.358797,2.666791
t68,-0.9954195,0.7864672,-1.2376142,7.2886677,6.2083364,3.8395903,4.9569473,-0.103179805,7.797433,4.084359,7.8835196,2.0435965,3.524758,8.656782,7.0119314,6.411299,2.602
t69,-1.6408094,1.0827409,-1.5491081,7.4426837,6.0949597,3.6021564,4.549031,-0.27506885,7.528348,3.8996928,7.6456404,2.2520976,4.143579,9.216883,6.5961165,6.4478335,2.6459324
t50,-0.84169656,0.6754616,-1.1054159,7.1923995,6.280571,3.8809574,5.0304213,-0.08361402,7.881193,4.1592455,7.9560366,2.023122,3.3932745,8.529293,7.1382923,6.3354926,2.6018476
t51,-0.9780654,0.71539295,-1.2127751,7.25472,6.255467,3.8290918,4.930654,-0.17096998,7.769387,4.1320834,7.9448066,2.1016564,3.5166976,8.66309,7.0317945,6.3410316,2.638018
t75,-1.311647,0.8950683,-1.3920743,7.3404613,6.205432,3.7289283,4.771689,-0.27513295,7.64796,4.0520434,7.767997,2.1735945,3.7881587,8.924272,6.8724003,6.425349,2.5926294
t168,-1.3704848,0.90545106,-1.4538735,7.4202185,6.107651,3.7649922,4.698951,-0.22693124,7.460325,3.9711246,7.7445874,2.250317,3.9786034,9.029786,6.714208,6.4228787,2.6624067
t169,-1.4451951,0.93949676,-1.4872463,7.4133625,6.168295,3.703638,4.6507726,-0.3325951,7.5362043,4.0177484,7.6880097,2.2659614,3.9742823,9.06804,6.6809573,6.4380255,2.6545925
t112,-1.4925696,1.0151564,-1.5181793,7.3829703,6.1684046,3.6164424,4.6665487,-0.31248716,7.608372,4.040744,7.6427894,2.177455,3.8639343,9.086344,6.78236,6.471007,2.5782545
t48,-1.455797,0.93960685,-1.4428623,7.397738,6.2019544,3.6637034,4.66519,-0.36204728,7.62805,4.021179,7.6858497,2.2098758,3.9205427,9.046187,6.7814283,6.469933,2.576203
t59,-1.0476996,0.8064259,-1.27105,7.3073425,6.194899,3.8289502,4.9378996,-0.114005074,7.7706504,4.067088,7.8724346,2.05263,3.5696318,8.693434,6.9898233,6.422649,2.59542
t106,-1.6102011,1.0344932,-1.5360949,7.389228,6.1896796,3.6428714,4.637179,-0.3622216,7.578718,3.9970095,7.650685,2.22349,4.041888,9.164608,6.79987,6.481234,2.4876835
t113,-1.5314248,1.0472093,-1.5628434,7.3645263,6.264744,3.712231,4.6921253,-0.4658675,7.5061965,4.118973,7.666263,2.3101366,4.0188513,9.152356,6.7884502,6.413569,2.572409
t152,-1.5808071,1.026443,-1.5829314,7.337953,6.271795,3.7311554,4.702411,-0.47293893,7.4904976,4.114515,7.6329746,2.320956,4.025364,9.155148,6.769773,6.447933,2.5783334
t153,-1.5192379,0.97882134,-1.5070719,7.340134,6.2488146,3.6887817,4.720347,-0.41721237,7.5544662,4.0693765,7.6810904,2.2487915,3.9232147,9.071724,6.8472986,6.4552336,2.52704
t122,-1.4786836,1.036851,-1.5633743,7.5552216,6.1127,3.6113172,4.475579,-0.33568928,7.599948,4.0505524,7.591513,2.3196523,4.219484,9.270484,6.4704275,6.4154844,2.7850242
t123,-1.5399325,1.0074061,-1.5910984,7.5259056,6.1016026,3.6156285,4.4618287,-0.32457662,7.573578,3.9987996,7.5984263,2.3044202,4.2241163,9.276918,6.414888,6.4389224,2.7753055
t102,-1.4926955,1.0108005,-1.5661072,7.543567,6.0955057,3.598087,4.4584684,-0.3191902,7.608528,4.0179954,7.6008706,2.296634,4.2022977,9.263066,6.4452004,6.424033,2.7750854
t124,-1.5651624,1.0187962,-1.5117222,7.5376873,6.132052,3.5752387,4.4677615,-0.4185793,7.6399837,3.9750123,7.533178,2.2760983,4.100563,9.219445,6.502585,6.524279,2.7279444
t125,-1.5539421,1.0603883,-1.5209917,7.529668,6.2055545,3.67447,4.5627966,-0.5012658,7.5666785,4.0676255,7.5026875,2.3521512,4.1241584,9.214448,6.5813174,6.5059633,2.7558177
t60,-0.9120948,0.72873545,-1.1678072,7.264014,6.2299204,3.8383698,4.9857893,-0.099103466,7.866787,4.115382,7.916348,2.0262601,3.4534733,8.585456,7.070198,6.384353,2.5877607
t55,-1.4954625,0.99729776,-1.462407,7.565091,6.125441,3.559146,4.467458,-0.41126707,7.6785626,3.9793987,7.53678,2.2495594,4.046604,9.180148,6.5410204,6.536448,2.7174664
t56,-0.9274982,0.6729801,-1.1716812,7.236328,6.274861,3.8298204,4.9484134,-0.15807377,7.8034396,4.157219,7.968434,2.0861037,3.4721014,8.620801,7.0666876,6.320183,2.6358047
t76,-1.3533467,0.98294824,-1.462509,7.533732,6.020007,3.498635,4.4582586,-0.13051546,7.7199144,3.8820386,7.762909,2.0550587,3.9658732,9.120976,6.6190886,6.405998,2.615465
t77,-1.4061368,1.0207146,-1.4944427,7.5157967,6.0038285,3.5059848,4.4784718,-0.12543632,7.7043934,3.8549328,7.7684965,2.0586917,3.9666853,9.123609,6.64417,6.412815,2.5658457
t62,-1.4257613,1.0316466,-1.5262599,7.5735364,5.993212,3.4960492,4.4027433,-0.15386885,7.662651,3.8692818,7.7144785,2.1051302,4.0611234,9.200386,6.5337415,6.4160633,2.6514373
t92,-2.0798335,3.6894686,11.282448,7.7459292,7.189914,6.059911,4.4069505,7.4386435,6.7108707,1.5227044,2.9681044,3.2225106,7.061761,4.304764,6.155543,7.531685,2.356181
t93,-2.1667705,3.7610521,11.245051,7.8019595,7.078969,6.1226726,4.4475155,7.3807735,6.616569,1.5135921,2.8835483,3.1356897,7.0402465,4.38281,6.2588854,7.6105886,2.3927011
t105,-2.1883814,3.7791224,11.250214,7.7333097,7.1042943,6.0519886,4.4788322,7.3824115,6.6130085,1.5321482,2.9141326,3.1149447,7.018232,4.3973584,6.2716823,7.6075845,2.39868
t134,-2.1396184,3.7902455,11.333335,7.694613,7.1432323,6.0060263,4.502248,7.2980843,6.5447826,1.5391734,2.9799688,3.0403202,6.9724274,4.4693394,6.3634477,7.6372986,2.3178809
t135,-2.118178,3.7008963,11.304878,7.7681303,7.1544237,6.0823345,4.3903313,7.3655763,6.5737534,1.4621712,2.977355,3.078661,6.9591265,4.446918,6.242489,7.660681,2.3238657
t116,-2.0308933,3.7565732,11.363713,7.786899,7.2304955,6.113013,4.465283,7.33772,6.6354795,1.5249922,2.987988,3.1527996,7.0476565,4.3693924,6.2859545,7.5709863,2.2911959
t117,-2.058891,3.768432,11.294481,7.8133135,7.137327,6.1329055,4.41376,7.3542523,6.6137695,1.4532015,2.837309,3.1263182,7.027467,4.398984,6.2284346,7.6272836,2.3203156
t88,-2.2441156,3.757897,11.254918,7.953482,7.003888,6.245111,4.383957,7.3099174,6.434535,1.4446051,2.9528532,2.9425983,6.8746347,4.573133,6.3633914,7.7885337,2.3637505
