"accepted_species","I1.1/1"
"t40","0"
"t41","0"
"t45",NA
"t46","1"
"t36","1"
"t37","1"
"t22","0"
"t23","1"
"t86","0"
"t87","0"
"t63","1"
"t64","1"
"t6","0"
"t5","0"
"t38","1"
"t52","0"
"t53","1"
"t2","1"
"t19",NA
"t72","1"
"t90","0"
"t95","0"
"t96","0"
"t75","0"
"t12","0"
"t13","1"
"t14","1"
"t15","0"
"t11",NA
"t8","0"
"t91","0"
"t92","0"
"t82","0"
"t83","0"
"t68","1"
"t69","0"
"t78","0"
"t79","0"
"t51","1"
"t80","0"
"t81","0"
"t3","0"
"t10","0"
"t7","0"
"t54","1"
"t55","0"
"t1","0"
"t30","0"
"t31","1"
"t18","1"
"t34","0"
"t35","0"
"t60","0"
"t61","0"
"t58","0"
"t59",NA
"t65","0"
"t66","0"
"t4","0"
"t16","0"
"t17","0"
"t97","0"
"t98","1"
"t62",NA
"t32","0"
"t33","0"
"t67","1"
"t70","0"
"t71",NA
"t39","1"
"t21","0"
"t99","0"
"t100","0"
"t42","0"
"t43",NA
"t26","0"
"t27","0"
"t93","1"
"t94","1"
"t20","0"
"t84","0"
"t85","0"
"t24","0"
"t44",NA
"t49","0"
"t50","0"
"t88","0"
"t89","1"
"t47","1"
"t48",NA
"t28","0"
"t29","1"
"t73","1"
"t74","0"
"t56","1"
"t57","0"
"t76","1"
"t77","1"
"t25",NA
"t9","1"
