"accepted_species","I1.1/1"
"t42","1"
"t71","0"
"t72","1"
"t20","1"
"t22","1"
"t23","1"
"t10","1"
"t45","1"
"t46","1"
"t16","1"
"t7","1"
"t21",NA
"t57","1"
"t58","1"
"t43","1"
"t44","1"
"t24","1"
"t4","1"
"t17","1"
"t3",NA
"t37","1"
"t9","1"
"t59",NA
"t60","1"
"t15",NA
"t8","1"
"t91","1"
"t92","1"
"t61","1"
"t62","1"
"t80",NA
"t81","1"
"t63","1"
"t87",NA
"t88","1"
"t34","1"
"t35","1"
"t6","1"
"t5","1"
"t84","1"
"t85","1"
"t69",NA
"t70","1"
"t12","1"
"t32","1"
"t97","1"
"t98","1"
"t38",NA
"t56",NA
"t93",NA
"t94","1"
"t82","1"
"t83","0"
"t73","1"
"t19","1"
"t67","1"
"t68","1"
"t52","1"
"t53","1"
"t1","1"
"t25","1"
"t26","0"
"t28","1"
"t41","0"
"t95","0"
"t96","0"
"t11","0"
"t51","0"
"t54","0"
"t55","0"
"t33","0"
"t65","0"
"t66","0"
"t50","0"
"t2","1"
"t29","1"
"t36","1"
"t30","1"
"t31","1"
"t13","1"
"t14","1"
"t74","1"
"t75","1"
"t18","1"
"t99","1"
"t100","1"
"t76","1"
"t77","0"
"t27","1"
"t86","0"
"t89","0"
"t90","0"
"t64","0"
"t78","0"
"t79","0"
"t39","0"
"t40","0"
"t47","0"
"t48","0"
"t49","0"
