accepted_species,estimate
t72,1.0317554
t70,-1.1443263
t6,0.32551777
t26,0.478351
t12,-0.33369786
t86,-0.5026691
t58,-0.5026691
t61,-0.54727906
t2,0.20805432
t75,-0.33068624
