"","t2","t3","t13","t17","t19","t147","t148","t51","t39","t66","t67","t27","t35","t36","t24","t14","t28","t31","t49","t50","t68","t74","t130","t131","t123","t89","t20","t121","t122","t79","t83","t84","t57","t69","t70","t55","t120","t132","t133","t138","t139","t65","t46","t22","t90","t140","t141","t63","t64","t26","t15","t16","t4","t6","t25","t145","t146","t61","t109","t110","t41","t105","t106","t82","t29","t34","t126","t127","t124","t125","t104","t136","t137","t85","t114","t115","t86","t134","t135","t111","t23","t38","t103","t118","t119","t48","t32","t33","t60","t97","t98","t95","t88","t87","t53","t54","t58","t59","t116","t117","t52","t7","t11","t12","t21","t47","t149","t150","t96","t71","t107","t108","t62","t37","t112","t113","t56","t92","t93","t43","t18","t9","t10","t8","t44","t45","t40","t91","t99","t100","t42","t128","t129","t77","t78","t142","t143","t144","t72","t73","t80","t81","t30","t101","t102","t94","t75","t76","t5","t1"
"t2",0,1.1828837405,8.6804197076,7.082382553,9.0884255382,9.088425538513,9.088425538513,9.08842553896,7.65672678292,9.08842553886,8.79198122326,7.86524773796,7.80463198796,9.08842553816,9.08842553846,8.6323023147,7.26971852226,8.04761865955,9.08842553835,9.08842553835,8.95315019275,9.08842553797,9.08842553795,9.08842553795,9.08842553797,9.08842553797,7.6081648249,9.08842553878,9.08842553878,9.08842553868,9.08842553868,9.08842553868,9.08842553868,8.64933970274,9.08842553864,8.17826397079,9.08842553862,9.08842553862,9.08842553862,9.0884255387,9.0884255387,9.08842553862,8.67488912098,7.70854180568,9.0884255392,9.08842553929,9.08842553929,8.670203503,9.0884255393,7.13869318269,9.0884255382,6.2433373599,4.817093496,3.95833218869,7.4516551426,9.088425537538,9.088425537538,9.0884255376,9.088425538,9.088425538,9.0884255376,9.0884255381,9.0884255381,9.088425538,7.7029385765,9.0884255384,9.08842553809,9.01154855614,9.08842553803,9.08842553803,9.0884255381,9.08842553808,9.08842553808,8.962709707,9.0884255381,9.0884255381,9.00334348002,9.08842553808,9.08842553808,9.08842553812,7.0742558449,9.0884255376,9.0884255382,9.0884255382,9.0884255382,9.0884255383,9.0884255376,8.6489079786,9.0884255379,9.08842553791,8.88320743256,8.85019647045,9.08842553797,9.0884255379,9.0884255378,8.23671971421,9.0783148123,9.0884255379,9.0862877986,9.0884255379,9.0884255375,5.44282616574,6.250294557018,5.516225082208,6.74931633909,9.08842553794,9.088425538081,9.088425538081,9.08842553804,9.08842553794,9.08842553794,9.08842553794,9.08842553794,8.37001775054,8.90833959117,8.98233287262,9.08842553802,9.08842553802,9.08842553802,9.08842553794,9.08842553814,5.35908789152,7.82197447248,6.02947956088,8.34888464408,8.52802736528,9.0884255377,9.0884255381,9.0884255381,9.0884255381,8.1680870549,9.08842553809,9.08842553809,9.0884255381,9.0884255381,9.08842553731,9.088425537316,9.088425537316,9.0884255377,9.0884255377,9.0884255377,9.0884255377,7.5107641399,9.08842553761,9.08842553761,9.0884255376,9.0884255376,9.0884255376,5.6192374316,3.0180806415
"t3",1.1828837405,0,8.1390403813,6.5410032267,8.5470462119,8.547046212213,8.547046212213,8.54704621266,7.11534745662,8.54704621256,8.25060189696,7.32386841166,7.26325266166,8.54704621186,8.54704621216,8.0909229884,6.72833919596,7.50623933325,8.54704621205,8.54704621205,8.41177086645,8.54704621167,8.54704621165,8.54704621165,8.54704621167,8.54704621167,7.0667854986,8.54704621248,8.54704621248,8.54704621238,8.54704621238,8.54704621238,8.54704621238,8.10796037644,8.54704621234,7.63688464449,8.54704621232,8.54704621232,8.54704621232,8.5470462124,8.5470462124,8.54704621232,8.13350979468,7.16716247938,8.5470462129,8.54704621299,8.54704621299,8.1288241767,8.547046213,6.59731385639,8.5470462119,5.7019580336,4.2757141697,3.41695286239,6.9102758163,8.547046211238,8.547046211238,8.5470462113,8.5470462117,8.5470462117,8.5470462113,8.5470462118,8.5470462118,8.5470462117,7.1615592502,8.5470462121,8.54704621179,8.47016922984,8.54704621173,8.54704621173,8.5470462118,8.54704621178,8.54704621178,8.4213303807,8.5470462118,8.5470462118,8.46196415372,8.54704621178,8.54704621178,8.54704621182,6.5328765186,8.5470462113,8.5470462119,8.5470462119,8.5470462119,8.547046212,8.5470462113,8.1075286523,8.5470462116,8.54704621161,8.34182810626,8.30881714415,8.54704621167,8.5470462116,8.5470462115,7.69534038791,8.536935486,8.5470462116,8.5449084723,8.5470462116,8.5470462112,4.90144683944,5.708915230718,4.974845755908,6.20793701279,8.54704621164,8.547046211781,8.547046211781,8.54704621174,8.54704621164,8.54704621164,8.54704621164,8.54704621164,7.82863842424,8.36696026487,8.44095354632,8.54704621172,8.54704621172,8.54704621172,8.54704621164,8.54704621184,4.81770856522,7.28059514618,5.48810023458,7.80750531778,7.98664803898,8.5470462114,8.5470462118,8.5470462118,8.5470462118,7.6267077286,8.54704621179,8.54704621179,8.5470462118,8.5470462118,8.54704621101,8.547046211016,8.547046211016,8.5470462114,8.5470462114,8.5470462114,8.5470462114,6.9693848136,8.54704621131,8.54704621131,8.5470462113,8.5470462113,8.5470462113,5.0778581053,2.4767013152
"t13",8.6804197076,8.1390403813,0,4.4333736054,6.4394165906,6.439416590913,6.439416590913,6.43941659136,5.00771783532,6.43941659126,6.14297227566,5.21623879036,5.15562304036,6.43941659056,6.43941659086,7.6325029165,6.26991912406,7.04781926135,8.08862614015,8.08862614015,7.95335079455,8.08862613977,8.08862613975,8.08862613975,8.08862613977,8.08862613977,6.9766999525,8.45696066638,8.45696066638,8.45696066628,8.45696066628,8.45696066628,8.45696066628,8.01787483034,8.45696066624,7.54679909839,8.45696066622,8.45696066622,8.45696066622,8.4569606663,8.4569606663,8.45696066622,8.04342424858,7.07707693328,8.4569606668,8.45696066689,8.45696066689,8.0387386306,8.4569606669,6.50722831029,8.4569606658,5.6118724875,7.8540526036,7.32720444049,10.8205273944,12.457297789338,12.457297789338,12.4572977894,12.4572977898,12.4572977898,12.4572977894,12.4572977899,12.4572977899,12.4572977898,11.0718108283,12.4572977902,12.45729778989,12.38042080794,12.45729778983,12.45729778983,12.4572977899,12.45729778988,12.45729778988,12.3315819588,12.4572977899,12.4572977899,12.37221573182,12.45729778988,12.45729778988,12.45729778992,10.4431280967,12.4572977894,12.45729779,12.45729779,12.45729779,12.4572977901,12.4572977894,12.0177802304,12.4572977897,12.45729778971,12.25207968436,12.21906872225,12.45729778977,12.4572977897,12.4572977896,11.60559196601,12.4471870641,12.4572977897,12.4551600504,12.4572977897,12.4572977893,8.81169841754,9.619166808818,8.885097334008,10.11818859089,12.45729778974,12.457297789881,12.457297789881,12.45729778984,12.45729778974,12.45729778974,12.45729778974,12.45729778974,11.73889000234,12.27721184297,12.35120512442,12.45729778982,12.45729778982,12.45729778982,12.45729778974,12.45729778994,8.72796014332,11.19084672428,9.39835181268,11.71775689588,11.89689961708,12.4572977895,12.4572977899,12.4572977899,12.4572977899,11.5369593067,12.45729778989,12.45729778989,12.4572977899,12.4572977899,12.45729778911,12.457297789116,12.457297789116,12.4572977895,12.4572977895,12.4572977895,12.4572977895,10.8796363917,12.45729778941,12.45729778941,12.4572977894,12.4572977894,12.4572977894,8.9881096834,8.5535657393
"t17",7.082382553,6.5410032267,4.4333736054,0,4.1259741312,4.125974131513,4.125974131513,4.12597413196,2.69427537592,4.12597413186,3.82952981626,2.90279633096,2.84218058096,4.12597413116,4.12597413146,6.0344657619,4.67188196946,5.44978210675,6.49058898555,6.49058898555,6.35531363995,6.49058898517,6.49058898515,6.49058898515,6.49058898517,6.49058898517,5.3786627979,6.85892351178,6.85892351178,6.85892351168,6.85892351168,6.85892351168,6.85892351168,6.41983767574,6.85892351164,5.94876194379,6.85892351162,6.85892351162,6.85892351162,6.8589235117,6.8589235117,6.85892351162,6.44538709398,5.47903977868,6.8589235122,6.85892351229,6.85892351229,6.440701476,6.8589235123,4.90919115569,6.8589235112,4.0138353329,6.256015449,5.72916728589,9.2224902398,10.859260634738,10.859260634738,10.8592606348,10.8592606352,10.8592606352,10.8592606348,10.8592606353,10.8592606353,10.8592606352,9.4737736737,10.8592606356,10.85926063529,10.78238365334,10.85926063523,10.85926063523,10.8592606353,10.85926063528,10.85926063528,10.7335448042,10.8592606353,10.8592606353,10.77417857722,10.85926063528,10.85926063528,10.85926063532,8.8450909421,10.8592606348,10.8592606354,10.8592606354,10.8592606354,10.8592606355,10.8592606348,10.4197430758,10.8592606351,10.85926063511,10.65404252976,10.62103156765,10.85926063517,10.8592606351,10.859260635,10.00755481141,10.8491499095,10.8592606351,10.8571228958,10.8592606351,10.8592606347,7.21366126294,8.021129654218,7.287060179408,8.52015143629,10.85926063514,10.859260635281,10.859260635281,10.85926063524,10.85926063514,10.85926063514,10.85926063514,10.85926063514,10.14085284774,10.67917468837,10.75316796982,10.85926063522,10.85926063522,10.85926063522,10.85926063514,10.85926063534,7.12992298872,9.59280956968,7.80031465808,10.11971974128,10.29886246248,10.8592606349,10.8592606353,10.8592606353,10.8592606353,9.9389221521,10.85926063529,10.85926063529,10.8592606353,10.8592606353,10.85926063451,10.859260634516,10.859260634516,10.8592606349,10.8592606349,10.8592606349,10.8592606349,9.2815992371,10.85926063481,10.85926063481,10.8592606348,10.8592606348,10.8592606348,7.3900725288,6.9555285847
"t19",9.0884255382,8.5470462119,6.4394165906,4.1259741312,0,5.014373632313,5.014373632313,5.01437363276,3.58267487672,5.01437363266,4.71792931706,3.79119583176,3.73058008176,5.01437363196,5.01437363226,8.0405087471,6.67792495466,7.45582509195,8.49663197075,8.49663197075,8.36135662515,8.49663197037,8.49663197035,8.49663197035,8.49663197037,8.49663197037,7.3847057831,8.86496649698,8.86496649698,8.86496649688,8.86496649688,8.86496649688,8.86496649688,8.42588066094,8.86496649684,7.95480492899,8.86496649682,8.86496649682,8.86496649682,8.8649664969,8.8649664969,8.86496649682,8.45143007918,7.48508276388,8.8649664974,8.86496649749,8.86496649749,8.4467444612,8.8649664975,6.91523414089,8.8649664964,6.0198783181,8.2620584342,7.73521027109,11.228533225,12.865303619938,12.865303619938,12.86530362,12.8653036204,12.8653036204,12.86530362,12.8653036205,12.8653036205,12.8653036204,11.4798166589,12.8653036208,12.86530362049,12.78842663854,12.86530362043,12.86530362043,12.8653036205,12.86530362048,12.86530362048,12.7395877894,12.8653036205,12.8653036205,12.78022156242,12.86530362048,12.86530362048,12.86530362052,10.8511339273,12.86530362,12.8653036206,12.8653036206,12.8653036206,12.8653036207,12.86530362,12.425786061,12.8653036203,12.86530362031,12.66008551496,12.62707455285,12.86530362037,12.8653036203,12.8653036202,12.01359779661,12.8551928947,12.8653036203,12.863165881,12.8653036203,12.8653036199,9.21970424814,10.027172639418,9.293103164608,10.52619442149,12.86530362034,12.865303620481,12.865303620481,12.86530362044,12.86530362034,12.86530362034,12.86530362034,12.86530362034,12.14689583294,12.68521767357,12.75921095502,12.86530362042,12.86530362042,12.86530362042,12.86530362034,12.86530362054,9.13596597392,11.59885255488,9.80635764328,12.12576272648,12.30490544768,12.8653036201,12.8653036205,12.8653036205,12.8653036205,11.9449651373,12.86530362049,12.86530362049,12.8653036205,12.8653036205,12.86530361971,12.865303619716,12.865303619716,12.8653036201,12.8653036201,12.8653036201,12.8653036201,11.2876422223,12.86530362001,12.86530362001,12.86530362,12.86530362,12.86530362,9.396115514,8.9615715699
"t147",9.088425538513,8.547046212213,6.439416590913,4.125974131513,5.014373632313,0,0.008781133106,2.179156881553,1.465226493513,3.798711646053,3.502267330453,3.668251598153,3.607635848153,4.891429398353,4.891429398653,8.040508747413,6.677924954973,7.455825092263,8.496631971063,8.496631971063,8.361356625463,8.496631970683,8.496631970663,8.496631970663,8.496631970683,8.496631970683,7.384705783413,8.864966497293,8.864966497293,8.864966497193,8.864966497193,8.864966497193,8.864966497193,8.425880661253,8.864966497153,7.954804929303,8.864966497133,8.864966497133,8.864966497133,8.864966497213,8.864966497213,8.864966497133,8.451430079493,7.485082764193,8.864966497713,8.864966497803,8.864966497803,8.446744461513,8.864966497813,6.915234141203,8.864966496713,6.019878318413,8.262058434513,7.735210271403,11.228533225313,12.865303620251,12.865303620251,12.865303620313,12.865303620713,12.865303620713,12.865303620313,12.865303620813,12.865303620813,12.865303620713,11.479816659213,12.865303621113,12.865303620803,12.788426638853,12.865303620743,12.865303620743,12.865303620813,12.865303620793,12.865303620793,12.739587789713,12.865303620813,12.865303620813,12.780221562733,12.865303620793,12.865303620793,12.865303620833,10.851133927613,12.865303620313,12.865303620913,12.865303620913,12.865303620913,12.865303621013,12.865303620313,12.425786061313,12.865303620613,12.865303620623,12.660085515273,12.627074553163,12.865303620683,12.865303620613,12.865303620513,12.013597796923,12.855192895013,12.865303620613,12.863165881313,12.865303620613,12.865303620213,9.219704248453,10.027172639731,9.293103164921,10.526194421803,12.865303620653,12.865303620794,12.865303620794,12.865303620753,12.865303620653,12.865303620653,12.865303620653,12.865303620653,12.146895833253,12.685217673883,12.759210955333,12.865303620733,12.865303620733,12.865303620733,12.865303620653,12.865303620853,9.135965974233,11.598852555193,9.806357643593,12.125762726793,12.304905447993,12.865303620413,12.865303620813,12.865303620813,12.865303620813,11.944965137613,12.865303620803,12.865303620803,12.865303620813,12.865303620813,12.865303620023,12.865303620029,12.865303620029,12.865303620413,12.865303620413,12.865303620413,12.865303620413,11.287642222613,12.865303620323,12.865303620323,12.865303620313,12.865303620313,12.865303620313,9.396115514313,8.961571570213
"t148",9.088425538513,8.547046212213,6.439416590913,4.125974131513,5.014373632313,0.008781133106,0,2.179156881553,1.465226493513,3.798711646053,3.502267330453,3.668251598153,3.607635848153,4.891429398353,4.891429398653,8.040508747413,6.677924954973,7.455825092263,8.496631971063,8.496631971063,8.361356625463,8.496631970683,8.496631970663,8.496631970663,8.496631970683,8.496631970683,7.384705783413,8.864966497293,8.864966497293,8.864966497193,8.864966497193,8.864966497193,8.864966497193,8.425880661253,8.864966497153,7.954804929303,8.864966497133,8.864966497133,8.864966497133,8.864966497213,8.864966497213,8.864966497133,8.451430079493,7.485082764193,8.864966497713,8.864966497803,8.864966497803,8.446744461513,8.864966497813,6.915234141203,8.864966496713,6.019878318413,8.262058434513,7.735210271403,11.228533225313,12.865303620251,12.865303620251,12.865303620313,12.865303620713,12.865303620713,12.865303620313,12.865303620813,12.865303620813,12.865303620713,11.479816659213,12.865303621113,12.865303620803,12.788426638853,12.865303620743,12.865303620743,12.865303620813,12.865303620793,12.865303620793,12.739587789713,12.865303620813,12.865303620813,12.780221562733,12.865303620793,12.865303620793,12.865303620833,10.851133927613,12.865303620313,12.865303620913,12.865303620913,12.865303620913,12.865303621013,12.865303620313,12.425786061313,12.865303620613,12.865303620623,12.660085515273,12.627074553163,12.865303620683,12.865303620613,12.865303620513,12.013597796923,12.855192895013,12.865303620613,12.863165881313,12.865303620613,12.865303620213,9.219704248453,10.027172639731,9.293103164921,10.526194421803,12.865303620653,12.865303620794,12.865303620794,12.865303620753,12.865303620653,12.865303620653,12.865303620653,12.865303620653,12.146895833253,12.685217673883,12.759210955333,12.865303620733,12.865303620733,12.865303620733,12.865303620653,12.865303620853,9.135965974233,11.598852555193,9.806357643593,12.125762726793,12.304905447993,12.865303620413,12.865303620813,12.865303620813,12.865303620813,11.944965137613,12.865303620803,12.865303620803,12.865303620813,12.865303620813,12.865303620023,12.865303620029,12.865303620029,12.865303620413,12.865303620413,12.865303620413,12.865303620413,11.287642222613,12.865303620323,12.865303620323,12.865303620313,12.865303620313,12.865303620313,9.396115514313,8.961571570213
"t51",9.08842553896,8.54704621266,6.43941659136,4.12597413196,5.01437363276,2.179156881553,2.179156881553,0,1.46522649396,3.7987116465,3.5022673309,3.6682515986,3.6076358486,4.8914293988,4.8914293991,8.04050874786,6.67792495542,7.45582509271,8.49663197151,8.49663197151,8.36135662591,8.49663197113,8.49663197111,8.49663197111,8.49663197113,8.49663197113,7.38470578386,8.86496649774,8.86496649774,8.86496649764,8.86496649764,8.86496649764,8.86496649764,8.4258806617,8.8649664976,7.95480492975,8.86496649758,8.86496649758,8.86496649758,8.86496649766,8.86496649766,8.86496649758,8.45143007994,7.48508276464,8.86496649816,8.86496649825,8.86496649825,8.44674446196,8.86496649826,6.91523414165,8.86496649716,6.01987831886,8.26205843496,7.73521027185,11.22853322576,12.865303620698,12.865303620698,12.86530362076,12.86530362116,12.86530362116,12.86530362076,12.86530362126,12.86530362126,12.86530362116,11.47981665966,12.86530362156,12.86530362125,12.7884266393,12.86530362119,12.86530362119,12.86530362126,12.86530362124,12.86530362124,12.73958779016,12.86530362126,12.86530362126,12.78022156318,12.86530362124,12.86530362124,12.86530362128,10.85113392806,12.86530362076,12.86530362136,12.86530362136,12.86530362136,12.86530362146,12.86530362076,12.42578606176,12.86530362106,12.86530362107,12.66008551572,12.62707455361,12.86530362113,12.86530362106,12.86530362096,12.01359779737,12.85519289546,12.86530362106,12.86316588176,12.86530362106,12.86530362066,9.2197042489,10.027172640178,9.293103165368,10.52619442225,12.8653036211,12.865303621241,12.865303621241,12.8653036212,12.8653036211,12.8653036211,12.8653036211,12.8653036211,12.1468958337,12.68521767433,12.75921095578,12.86530362118,12.86530362118,12.86530362118,12.8653036211,12.8653036213,9.13596597468,11.59885255564,9.80635764404,12.12576272724,12.30490544844,12.86530362086,12.86530362126,12.86530362126,12.86530362126,11.94496513806,12.86530362125,12.86530362125,12.86530362126,12.86530362126,12.86530362047,12.865303620476,12.865303620476,12.86530362086,12.86530362086,12.86530362086,12.86530362086,11.28764222306,12.86530362077,12.86530362077,12.86530362076,12.86530362076,12.86530362076,9.39611551476,8.96157157066
"t39",7.65672678292,7.11534745662,5.00771783532,2.69427537592,3.58267487672,1.465226493513,1.465226493513,1.46522649396,0,2.36701289046,2.07056857486,2.23655284256,2.17593709256,3.45973064276,3.45973064306,6.60880999182,5.24622619938,6.02412633667,7.06493321547,7.06493321547,6.92965786987,7.06493321509,7.06493321507,7.06493321507,7.06493321509,7.06493321509,5.95300702782,7.4332677417,7.4332677417,7.4332677416,7.4332677416,7.4332677416,7.4332677416,6.99418190566,7.43326774156,6.52310617371,7.43326774154,7.43326774154,7.43326774154,7.43326774162,7.43326774162,7.43326774154,7.0197313239,6.0533840086,7.43326774212,7.43326774221,7.43326774221,7.01504570592,7.43326774222,5.48353538561,7.43326774112,4.58817956282,6.83035967892,6.30351151581,9.79683446972,11.433604864658,11.433604864658,11.43360486472,11.43360486512,11.43360486512,11.43360486472,11.43360486522,11.43360486522,11.43360486512,10.04811790362,11.43360486552,11.43360486521,11.35672788326,11.43360486515,11.43360486515,11.43360486522,11.4336048652,11.4336048652,11.30788903412,11.43360486522,11.43360486522,11.34852280714,11.4336048652,11.4336048652,11.43360486524,9.41943517202,11.43360486472,11.43360486532,11.43360486532,11.43360486532,11.43360486542,11.43360486472,10.99408730572,11.43360486502,11.43360486503,11.22838675968,11.19537579757,11.43360486509,11.43360486502,11.43360486492,10.58189904133,11.42349413942,11.43360486502,11.43146712572,11.43360486502,11.43360486462,7.78800549286,8.595473884138,7.861404409328,9.09449566621,11.43360486506,11.433604865201,11.433604865201,11.43360486516,11.43360486506,11.43360486506,11.43360486506,11.43360486506,10.71519707766,11.25351891829,11.32751219974,11.43360486514,11.43360486514,11.43360486514,11.43360486506,11.43360486526,7.70426721864,10.1671537996,8.374658888,10.6940639712,10.8732066924,11.43360486482,11.43360486522,11.43360486522,11.43360486522,10.51326638202,11.43360486521,11.43360486521,11.43360486522,11.43360486522,11.43360486443,11.433604864436,11.433604864436,11.43360486482,11.43360486482,11.43360486482,11.43360486482,9.85594346702,11.43360486473,11.43360486473,11.43360486472,11.43360486472,11.43360486472,7.96441675872,7.52987281462
"t66",9.08842553886,8.54704621256,6.43941659126,4.12597413186,5.01437363266,3.798711646053,3.798711646053,3.7987116465,2.36701289046,0,0.9943271088,3.6682515985,3.6076358485,4.8914293987,4.891429399,8.04050874776,6.67792495532,7.45582509261,8.49663197141,8.49663197141,8.36135662581,8.49663197103,8.49663197101,8.49663197101,8.49663197103,8.49663197103,7.38470578376,8.86496649764,8.86496649764,8.86496649754,8.86496649754,8.86496649754,8.86496649754,8.4258806616,8.8649664975,7.95480492965,8.86496649748,8.86496649748,8.86496649748,8.86496649756,8.86496649756,8.86496649748,8.45143007984,7.48508276454,8.86496649806,8.86496649815,8.86496649815,8.44674446186,8.86496649816,6.91523414155,8.86496649706,6.01987831876,8.26205843486,7.73521027175,11.22853322566,12.865303620598,12.865303620598,12.86530362066,12.86530362106,12.86530362106,12.86530362066,12.86530362116,12.86530362116,12.86530362106,11.47981665956,12.86530362146,12.86530362115,12.7884266392,12.86530362109,12.86530362109,12.86530362116,12.86530362114,12.86530362114,12.73958779006,12.86530362116,12.86530362116,12.78022156308,12.86530362114,12.86530362114,12.86530362118,10.85113392796,12.86530362066,12.86530362126,12.86530362126,12.86530362126,12.86530362136,12.86530362066,12.42578606166,12.86530362096,12.86530362097,12.66008551562,12.62707455351,12.86530362103,12.86530362096,12.86530362086,12.01359779727,12.85519289536,12.86530362096,12.86316588166,12.86530362096,12.86530362056,9.2197042488,10.027172640078,9.293103165268,10.52619442215,12.865303621,12.865303621141,12.865303621141,12.8653036211,12.865303621,12.865303621,12.865303621,12.865303621,12.1468958336,12.68521767423,12.75921095568,12.86530362108,12.86530362108,12.86530362108,12.865303621,12.8653036212,9.13596597458,11.59885255554,9.80635764394,12.12576272714,12.30490544834,12.86530362076,12.86530362116,12.86530362116,12.86530362116,11.94496513796,12.86530362115,12.86530362115,12.86530362116,12.86530362116,12.86530362037,12.865303620376,12.865303620376,12.86530362076,12.86530362076,12.86530362076,12.86530362076,11.28764222296,12.86530362067,12.86530362067,12.86530362066,12.86530362066,12.86530362066,9.39611551466,8.96157157056
